DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Shelby 4190006 0 53 261 4 0 0
1 Shelby 4190007 0 116 303 3 0 0
1 Shelby 4190008 0 181 371 4 0 0
1 Shelby 419001N 0 107 593 6 0 0
1 Shelby 419001S 0 167 712 6 0 0
1 Shelby 419001W 0 32 205 5 0 0
1 Shelby 419009N 0 111 474 4 0 0
1 Shelby 419009S 0 78 412 4 0 0
1 Shelby 41901SE 0 347 269 7 0 0
1 Shelby 41901SW 0 83 586 5 0 0
1 Smith 4230001 0 96 58 2 0 0
1 Smith 4230002 0 228 59 3 0 0
1 Smith 4230003 0 378 1035 48 0 0
1 Smith 4230004 0 333 376 3 0 0
1 Smith 4230005 0 316 2077 35 0 0
1 Smith 4230006 0 86 376 8 0 0
1 Smith 4230007 0 234 804 15 0 0
1 Smith 4230008 0 177 591 8 0 0
1 Smith 4230009 0 95 44 0 0 0
1 Smith 4230010 0 783 703 12 0 0
1 Smith 4230011 0 628 106 9 0 0
1 Smith 4230012 0 675 167 9 0 0
1 Smith 4230013 0 669 27 1 0 0
1 Smith 4230014 0 315 561 15 0 0
1 Smith 4230015 0 355 2601 42 0 0
1 Smith 4230016 0 502 64 6 0 0
1 Smith 4230017 0 51 477 3 0 0
1 Smith 4230018 0 574 40 2 0 0
1 Smith 4230019 0 389 2303 41 0 0
1 Smith 4230020 0 151 116 6 0 0
1 Smith 4230021 0 220 719 14 0 0
1 Smith 4230022 0 109 136 4 0 0
1 Smith 4230023 0 376 904 29 0 0
1 Smith 4230025 0 282 971 36 0 0
1 Smith 4230026 0 228 1231 14 0 0
1 Smith 4230027 0 331 612 15 0 0
1 Smith 4230028 0 326 1779 37 0 0
1 Smith 4230029 0 212 812 21 0 0
1 Smith 4230030 0 366 2169 40 0 0
1 Smith 4230031 0 331 1876 32 0 0
1 Smith 4230032 0 327 1182 22 0 0
1 Smith 4230034 0 496 166 4 0 0
1 Smith 4230035 0 761 511 23 0 0
1 Smith 4230036 0 972 256 16 0 0
