COUNTY AREA TOTAL DEM REP Linn Savage Others
COUNTY AREA TOTAL GIDEON COLLINS Linn Savage Others
KEN "West Gardiner" 2400 756 1494 42 85 0
KEN Windsor 1449 360 971 35 70 0
KEN Winslow 4725 1668 2719 89 205 0
KEN Winthrop 3781 1562 1958 66 167 0
KNO Appleton 924 367 458 17 76 0
KNO Camden 3874 2511 1098 33 208 0
KNO Cushing 971 339 572 24 28 0
KNO Friendship 809 241 525 10 25 0
KNO Hope 1125 530 486 18 79 0
KNO "Isle Au Haut" 67 48 16 2 1 0
KNO "Matinicus Isle Plt" 51 23 25 0 3 0
KNO "North Haven" 327 188 117 3 16 0
KNO "Owls Head" 1089 459 549 13 56 0
KNO Rockland 4019 2030 1550 80 300 2
KNO Rockport 2563 1374 996 31 124 0
KNO "Saint George" 1845 912 805 20 91 0
KNO "South Thomaston" 1006 468 473 13 42 0
KNO Thomaston 1685 704 822 36 105 0
KNO Union 1575 547 903 22 87 0
KNO Vinalhaven 843 447 344 11 32 0
KNO Warren 2256 685 1379 43 131 1
KNO Washington 1003 317 587 23 57 0
LIN Alna 524 264 213 4 41 0
LIN Boothbay 2232 998 1120 29 66 0
LIN "Boothbay Harbor" 1416 646 700 18 36 0
LIN Bremen 571 296 224 4 40 0
LIN Bristol 2149 982 1029 33 82 0
LIN Damariscotta 1495 800 601 16 65 0
LIN Dresden 1170 439 643 17 57 1
LIN Edgecomb 894 429 413 11 35 1
LIN Jefferson 1709 535 1049 36 70 0
LIN "Monhegan Island Plt" 63 43 7 1 11 0
LIN Newcastle 1377 764 501 17 86 0
LIN Nobleboro 1326 589 653 13 60 0
LIN Somerville 361 107 222 13 16 0
LIN "South Bristol" 726 361 329 9 20 0
LIN Southport 496 220 258 3 13 1
LIN Waldoboro 2955 1012 1699 60 157 0
LIN "Westport Island" 557 240 277 5 27 0
LIN Whitefield 1491 514 839 32 96 0
LIN Wiscasset 2345 863 1298 28 133 0
OXF "Albany Twp" 336 116 184 4 21 0
OXF Andover 542 190 300 17 27 0
OXF "Bethel/Mason Twp" 1839 815 908 22 83 0
OXF Brownfield 967 386 521 13 34 1
OXF Buckfield 1103 345 695 19 32 1
OXF Byron 94 26 62 0 4 0
OXF Canton 550 126 379 14 19 0
OXF Denmark 834 311 467 9 36 0
OXF Dixfield 1313 354 850 30 64 0
OXF Fryeburg 1957 880 956 34 68 0
OXF Gilead 125 44 71 0 7 0
OXF Greenwood 537 215 281 10 25 0
OXF Hanover 201 86 103 5 4 0
OXF Hartford 728 216 458 15 30 0
OXF Hebron 783 223 498 23 34 0
OXF Hiram 931 288 558 24 54 0
OXF "Lincoln Plt" 32 7 24 0 0 1
OXF Lovell 775 317 408 5 33 0
OXF "Magalloway Plt" 16 5 7 0 3 0
OXF Mexico 1280 456 725 29 53 0
OXF Newry 290 137 136 1 14 0
OXF Norway 2892 1149 1515 60 136 0
OXF Otisfield 1182 431 686 10 44 0
OXF Oxford 2351 624 1559 51 102 0
