COUNTY AREA TOTAL DEM REP LIB IND Writein
COUNTY AREA TOTAL Hubbell Reynolds Porter Siegwarth Writein
Bremer "Waverly Ward III" 516 296 207 8 5 0
Bremer "Waverly Ward IV" 959 496 437 20 6 0
Bremer "Waverly Ward V/West Washington Twp" 1141 613 507 18 2 1
Buchanan AURORA 439 182 241 9 7 0
Buchanan BRANDON 349 135 203 6 5 0
Buchanan FAIRBANK 454 203 235 8 8 0
Buchanan HAZLETON 427 164 255 5 2 1
Buchanan "INDEPENDENCE 1ST WARD" 1049 492 532 20 4 1
Buchanan "INDEPENDENCE 2ND WARD" 512 269 235 7 1 0
Buchanan "INDEPENDENCE 3RD WARD" 878 410 444 15 9 0
Buchanan "INDEPENDENCE 4TH WARD" 419 243 167 9 0 0
Buchanan "INDEPENDENCE 5TH WARD" 483 259 207 13 4 0
Buchanan JESUP 981 445 510 20 5 1
Buchanan MIDDLEFIELD-NEWTON 315 117 187 6 5 0
Buchanan PERRY-WESTBURG 522 217 297 7 1 0
Buchanan QUASQUETION 558 236 303 12 7 0
Buchanan ROWLEY 488 214 262 10 2 0
Buchanan WINTHROP 619 279 322 8 10 0
"Buena Vista" ACFC 473 138 326 9 0 0
"Buena Vista" ALNE 955 331 598 20 6 0
"Buena Vista" LKHM 612 217 392 1 1 1
"Buena Vista" NENP 573 148 415 8 2 0
"Buena Vista" SMLR 996 287 682 19 8 0
"Buena Vista" SL01 617 353 249 9 6 0
"Buena Vista" SL02 348 221 112 7 8 0
"Buena Vista" SL03 878 401 462 9 6 0
"Buena Vista" SL04 700 424 253 17 6 0
"Buena Vista" TRWG 413 129 282 2 0 0
Butler 1-GR 867 337 504 13 13 0
Butler 2-CL 972 343 610 10 9 0
Butler 3-DU 545 125 409 8 3 0
Butler 4-AL 573 142 419 8 4 0
Butler 5-AP 743 177 558 7 1 0
Butler 6-SR 1014 401 578 20 15 0
Butler 7-PB 1005 350 637 9 9 0
Butler 8-NH 437 189 237 6 5 0
Calhoun "Butler Williams" 405 147 246 11 1 0
Calhoun "Calhoun, Jackson, Elm Grove, &amp; Lake City" 906 337 536 23 10 0
Calhoun Cedar 140 35 104 1 0 0
Calhoun "Center, Logan, Twin Lakes, Garfield and Lake Creek" 393 114 267 11 1 0
Calhoun "Greenfield &amp; Lincoln 2" 190 46 134 9 1 0
Calhoun "Lincoln 1" 771 262 492 14 3 0
Calhoun Reading 217 69 142 5 1 0
Calhoun "Rockwell City" 768 332 403 30 3 0
Calhoun Sherman 313 70 241 2 0 0
Calhoun Union 207 52 145 7 2 1
Carroll "Arcadia Precinct" 306 83 218 5 0 0
Carroll "Carroll Ward One" 1209 445 743 14 7 0
Carroll "Carroll Ward Two &amp; N1/2 Maple River" 1361 570 770 15 5 1
Carroll "Carroll Ward Three & S1/2 Maple River" 1072 411 637 20 4 0
Carroll "Carroll Ward Four" 917 394 506 13 4 0
Carroll "Eden Precinct" 268 65 202 1 0 0
Carroll "Ewoldt Precinct" 754 256 483 11 3 1
Carroll "Glidden-Richland Precinct" 701 226 459 13 3 0
Carroll "Pleasant Valley-Newton Precinct" 377 89 280 4 4 0
Carroll "Sheridan-Grant-Jasper Precinct" 532 171 348 8 5 0
Carroll "Union Precinct" 631 222 397 9 3 0
Carroll "Washington-Roselle Precinct" 422 114 303 4 1 0
Carroll "Wheatland-Kniest Precinct" 477 140 330 5 1 1
Cass "Atlantic 1" 391 156 226 6 3 0
Cass "Atlantic 2" 433 185 239 5 4 0
Cass "Atlantic 3" 603 197 397 6 3 0
Cass "Atlantic 4" 704 233 462 8 1 0
Cass "Atlantic 5" 670 229 429 7 5 0
Cass "Bear Grove/Cass Twp/Lewis" 394 103 280 9 2 0
Cass "Benton/Franklin Twp/Wiota" 219 70 141 7 1 0
Cass "Brighton/Grove/Pymosa/Washington Twp/Marne" 595 137 443 10 4 1
Cass "Edna/Victoria Twp" 110 32 76 1 1 0
Cass "Grant/Lincoln Twp/Anita" 571 220 339 10 2 0
Cass "Noble/Pleasant Twp/Griswold" 686 175 502 8 1 0
Cass "Massena Twp/Massena City" 259 98 155 6 0 0
Cass "Union Twp/Cumberland" 180 51 124 2 3 0
Cedar CASS/CENTER/IOWA/ROCHESTER 1066 376 659 18 12 1
Cedar DAYTON/FAIRFIELD 603 206 387 6 3 1
Cedar "FARMINGTON/SUGAR CREEK" 1112 380 706 22 4 0
Cedar "FREMONT/RED OAK" 427 161 256 8 2 0
Cedar GOWER/SPRINGDALE 665 374 269 17 4 1
Cedar INLAND 327 97 221 6 3 0
Cedar LINN/PIONEER 879 364 490 16 9 0
Cedar MASSILLON/SPRINGFIELD 618 209 394 5 8 2
Cedar "TIPTON 1" 373 174 191 6 2 0
Cedar "TIPTON 2" 430 229 194 4 3 0
Cedar "TIPTON 3" 520 242 270 6 2 0
Cedar "WEST BRANCH 1" 1098 706 372 18 2 0
"Cerro Gordo" "Clear Lake Ward 1" 1270 472 776 18 4 0
"Cerro Gordo" "Clear Lake Ward 2" 1349 565 756 16 12 0
"Cerro Gordo" "Clear Lake Ward 3" 1076 456 595 17 8 0
"Cerro Gordo" "Clear Lake / Grant / Union Twps Pct" 1143 399 721 18 5 0
"Cerro Gordo" "Falls Twp - Plymouth Pct" 292 137 150 4 1 0
"Cerro Gordo" "Falls Twp - Rock Falls Pct" 196 87 104 2 3 0
"Cerro Gordo" "Geneseo Twp Pct" 558 242 306 9 1 0
"Cerro Gordo" "Grimes Twp - Meservey Pct" 110 28 80 2 0 0
"Cerro Gordo" "Grimes Twp - Thornton Pct" 196 74 117 3 2 0
"Cerro Gordo" "Lake / Lincoln Twps Pct" 264 74 185 2 3 0
"Cerro Gordo" "Lime Creek / Mason North Twps Pct" 270 110 157 1 2 0
"Cerro Gordo" "Mason City W-1 P-1" 648 372 257 9 10 0
"Cerro Gordo" "Mason City W-1 P-2" 984 506 453 20 5 0
"Cerro Gordo" "Mason City W-1 P-3" 1133 544 573 13 3 0
"Cerro Gordo" "Mason City W-2 P-1" 572 337 225 9 1 0
"Cerro Gordo" "Mason City W-2 P-2" 1384 714 652 14 3 1
"Cerro Gordo" "Mason City W-2 P-3" 698 415 262 14 7 0
"Cerro Gordo" "Mason City W-3 P-1" 959 555 384 12 7 1
"Cerro Gordo" "Mason City W-3 P-2" 764 421 326 15 2 0
"Cerro Gordo" "Mason City W-3 P-3" 1479 723 730 17 9 0
"Cerro Gordo" "Mason City W-4 P-1" 657 399 239 17 1 1
"Cerro Gordo" "Mason City W-4 P-2" 852 444 390 12 5 1
"Cerro Gordo" "Mason City W-4 P-3" 1162 568 569 19 6 0
"Cerro Gordo" "Mason South / Bath Twps Pct" 307 115 191 1 0 0
"Cerro Gordo" "Mt Vernon / Pleasant Valley Twps Pct" 319 105 210 3 1 0
"Cerro Gordo" "Portland / Owen / Dougherty Twps Pct" 398 149 243 3 3 0
Cherokee "#1 Aurelia" 802 265 513 19 5 0
Cherokee "#2 Cleghorn" 1059 277 765 11 6 0
Cherokee "#3 Quimby" 654 164 478 11 1 0
Cherokee "#4 Cherokee" 611 177 422 8 4 0
Cherokee "#5 Cherokee Ward 1" 786 293 479 11 3 0
Cherokee "#6 Cherokee Ward 2" 538 229 295 11 3 0
Cherokee "#7 Cherokee Ward 3" 706 310 375 16 5 0
Chickasaw BRADFORD 931 366 546 11 7 1
Chickasaw CHICKASAW 173 80 89 2 2 0
Chickasaw "DAYTON - RICHLAND" 333 92 230 6 4 1
Chickasaw "DEERFIELD - WASHINGTON 2" 323 125 191 3 4 0
Chickasaw "DRESDEN - FREDERICKSBURG" 714 250 447 11 6 0
Chickasaw "JACKSONVILLE - UTICA" 292 93 192 3 4 0
Chickasaw "NEW HAMPTON RURAL" 364 115 237 7 4 1
Chickasaw STAPLETON 417 172 236 4 5 0
Chickasaw "WASHINGTON 1" 148 74 72 0 2 0
Chickasaw "New Hampton Ward 1" 362 188 166 6 2 0
Chickasaw "New Hampton Ward 2" 305 132 167 4 2 0
Chickasaw "New Hampton Ward 3" 436 208 216 7 5 0
Chickasaw "New Hampton Ward 4" 451 208 232 2 9 0
Clarke "MIDDLE PRECINCT" 552 156 386 9 1 0
Clarke "MURRAY PRECINCT" 567 168 383 14 2 0
Clarke "NORTH EAST PRECINCT" 805 248 544 11 2 0
Clarke "OSCEOLA 1ST WARD PRECINCT" 480 195 270 13 2 0
Clarke "OSCEOLA 2ND WARD PRECINCT" 411 186 206 17 2 0
Clarke "OSCEOLA 3RD WARD PRECINCT" 640 249 382 5 4 0
Clarke "WOODBURN PRECINCT" 251 78 170 3 0 0
Clay Douglas/Peterson 337 92 237 5 3 0
Clay Garfield/Herdland 202 71 131 0 0 0
Clay Lake/Freeman 241 83 152 3 3 0
Clay Lincoln/Clay 367 113 248 5 1 0
Clay "Logan/Gillett Grove" 220 55 159 5 1 0
Clay "Spencer Ward 1" 661 279 368 9 5 0
Clay "Spencer Ward 2" 766 334 410 12 9 1
Clay "Spencer Ward 3" 865 343 502 16 4 0
Clay "Spencer Ward 4" 1200 380 809 8 3 0
Clay "Spencer Ward 5" 1014 364 631 15 4 0
Clay Summit/Riverton/Sioux/Meadow 643 200 431 8 4 0
Clay "Waterford/Lone Tree" 399 103 286 9 1 0
Clayton BOARDMAN-HIGHLAND 1026 472 450 16 88 0
Clayton "BUENA VISTA" 125 64 56 4 1 0
Clayton CASS 707 258 422 7 20 0
Clayton CLAYTON-GARNAVILLO 602 185 394 8 15 0
Clayton "COX CREEK-SPERRY" 426 134 267 6 19 0
Clayton ELK-MALLORY-VOLGA 485 167 301 5 12 0
Clayton FARMERSBURG-WAGNER 433 137 245 3 48 0
Clayton GIARD-LUANA-MONONA 1053 353 655 10 34 1
Clayton "GRAND MEADOW" 196 65 123 3 5 0
Clayton JEFFERSON-MILLVILLE 1495 600 836 27 31 1
Clayton LODOMILLO 262 78 176 2 6 0
Clayton MARION 147 31 106 0 10 0
Clayton MENDON 837 389 408 9 29 2
Clayton READ 128 45 73 3 7 0
Clinton "BLOOMFIELD BROOKFIELD DELMAR" 499 220 268 4 7 0
Clinton "CAMANCHE 1" 980 525 425 19 11 0
Clinton "CAMANCHE 2" 945 464 462 12 7 0
Clinton "CENTER TWP" 266 86 176 4 0 0
Clinton "CLINTON 1-1" 595 380 204 9 2 0
Clinton "CLINTON 1-2" 984 544 414 16 9 1
Clinton "CLINTON 2-1" 687 416 250 13 8 0
Clinton "CLINTON 2-2" 1340 751 574 12 3 0
Clinton "CLINTON 3-1" 1090 636 429 18 7 0
Clinton "CLINTON 3-2" 1257 713 525 11 8 0
Clinton "CLINTON 4-1" 1264 654 590 15 5 0
Clinton "CLINTON 4-2" 1193 654 526 7 5 1
Clinton "DEEP CREEK GOOSE LAKE" 294 108 179 4 3 0
Clinton "DEWITT 1" 1036 546 477 7 6 0
Clinton "DEWITT 2" 1366 667 683 11 5 0
Clinton "DEWITT TWP" 733 257 468 6 2 0
Clinton "EDEN CAMANCHE TWP" 253 92 157 3 1 0
Clinton "ELK RIVER HAMPSHIRE ANDOVER" 749 289 449 10 1 0
Clinton "LIBERTY TORONTO" 151 52 97 2 0 0
Clinton "LOW MOOR" 81 38 43 0 0 0
Clinton "OLIVE GRANT CALAMUS" 517 172 333 8 4 0
Clinton "ORANGE GRAND MOUND" 494 216 266 11 1 0
Clinton "SHARON LOST NATION" 293 103 183 4 2 1
Clinton "SPRING ROCK WHEATLAND" 443 178 254 7 4 0
Clinton "WATERFORD CHARLOTTE" 269 100 166 1 2 0
Clinton "WELTON WASHINGTON WELTON" 445 186 249 6 4 0
Crawford "Charter Oak" 426 102 315 9 0 0
Crawford "DCAB Precinct" 539 157 379 1 2 0
Crawford "Denison 1st Ward" 664 276 374 12 2 0
Crawford "Denison 2nd Ward - Denison Township" 751 319 418 10 4 0
Crawford "Denison 3rd Ward - Goodrich Township" 974 319 628 14 12 1
Crawford "Northeast Precinct" 668 187 470 5 6 0
Crawford "Southeast Precinct" 771 232 517 19 3 0
Crawford "SRK Precinct" 629 143 478 6 2 0
Dallas Adams 750 245 489 11 5 0
Dallas "Adel 1" 828 362 451 11 4 0
Dallas "Adel 2" 1600 699 857 33 11 0
Dallas "Beaver/Des Moines" 1039 543 469 24 3 0
Dallas "Clive 5" 1541 706 817 13 4 1
Dallas "Clive 6" 2014 892 1100 20 1 1
Dallas Colfax/Adel 709 227 468 8 4 2
Dallas "De Soto" 389 186 185 11 6 1
Dallas Lincoln 528 193 325 8 2 0
Dallas "Perry 1" 837 532 279 17 7 2
Dallas "Perry 2" 702 435 255 11 1 0
Dallas "Perry 3" 702 450 233 13 5 1
Dallas "Spring Valley/Dallas" 437 210 216 9 2 0
Dallas "Sugar Grove/Dallas Center" 1232 499 696 28 6 3
Dallas Union 945 384 540 14 6 1
Dallas "Urbandale 13" 2190 1032 1130 28 0 0
Dallas "Urbandale 14" 1852 731 1099 18 4 0
Dallas "Urbandale 15" 1270 519 736 14 1 0
Dallas "Van Meter" 1573 570 965 29 8 1
Dallas Walnut/Grimes/Grant 1137 473 640 23 0 1
Dallas "Waukee 1" 1609 818 753 33 4 1
Dallas "Waukee 2" 1769 962 769 34 4 0
Dallas "Waukee 3" 1844 1033 779 22 10 0
Dallas "Waukee 4" 1604 644 947 13 0 0
Dallas "Waukee 5" 1557 703 831 19 4 0
Dallas "Waukee 6" 1537 742 769 23 3 0
Dallas "West Des Moines 221" 2030 1075 934 18 2 1
Dallas "West Des Moines 222" 1374 721 638 11 3 1
Dallas "West Des Moines 223" 1111 554 545 11 1 0
Dallas "West Des Moines" 288 130 156 0 2 0
Dallas "West Des Moines 225" 1788 1025 724 36 3 0
Dallas "West Des Moines 226" 875 470 380 22 1 2
Dallas "West Des Moines 321" 1404 754 628 18 4 0
Dallas "West Des Moines 322" 679 285 386 7 0 1
Davis "BLOOMFIELD WARD 1" 387 161 217 7 2 0
Davis "BLOOMFIELD WARD 2" 353 155 189 8 1 0
Davis "BLOOMFIELD WARD 3" 304 107 184 10 3 0
Davis CENTRAL 511 162 343 5 1 0
Davis NORTHEAST 480 129 338 12 1 0
