COUNTY AREA TOTAL DEM REP LIB Writein
"Black Hawk" "WL W2 P5" 1008 566 412 29 1
"Black Hawk" "WL W2 P6" 1070 515 532 23 0
"Black Hawk" "WL W3 P1" 787 482 280 24 1
"Black Hawk" "WL W3 P2" 767 506 242 19 0
"Black Hawk" "WL W3 P3" 435 373 54 8 0
"Black Hawk" "WL W3 P4" 446 327 105 13 1
"Black Hawk" "WL W3 P5" 997 622 341 34 0
"Black Hawk" "WL W3 P6" 454 336 109 9 0
"Black Hawk" "WL W4 P1" 610 531 54 24 1
"Black Hawk" "WL W4 P2" 426 362 53 11 0
"Black Hawk" "WL W4 P3" 345 278 59 8 0
"Black Hawk" "WL W4 P4" 578 407 152 19 0
"Black Hawk" "WL W4 P5" 700 578 110 11 1
"Black Hawk" "WL W4 P6" 424 276 132 16 0
"Black Hawk" "WL W5 P1" 298 216 71 11 0
"Black Hawk" "WL W5 P2" 770 489 257 24 0
"Black Hawk" "WL W5 P3" 625 422 186 17 0
"Black Hawk" "WL W5 P4" 940 559 363 18 0
"Black Hawk" "WL W5 P5" 1175 658 497 20 0
"Black Hawk" "WL W5 P6" 915 512 384 19 0
Bremer "City of Denver/Jefferson Twp" 1598 655 907 34 2
Bremer "City of Frederika/Frederika Twp/Leroy Twp" 236 89 138 9 0
Bremer "City of Janesville/Jackson Twp" 827 354 437 36 0
Bremer "Lafayette Twp/Warren Twp" 641 291 332 18 0
Bremer "City of Plainfield/Polk Twp/Douglas Twp" 592 225 350 17 0
Bremer "City of Readlyn" 759 254 477 28 0
Bremer "City of Sumner/Dayton Twp/Sumner Twp" 1182 441 692 49 0
Bremer "City of Tripoli/Fremont Twp" 703 344 331 27 1
Bremer "Waverly Ward I/ East Washington Twp" 1275 616 633 26 0
Bremer "Waverly Ward II/ NE 1/4 Sec 36 Washington Twp" 997 483 488 26 0
Bremer "Waverly Ward III" 513 314 186 13 0
Bremer "Waverly Ward IV" 956 503 429 24 0
Bremer "Waverly Ward V/West Washington Twp" 1140 613 508 19 0
Buchanan AURORA 433 204 211 18 0
Buchanan BRANDON 349 152 181 15 1
Buchanan FAIRBANK 451 204 224 23 0
Buchanan HAZLETON 424 181 228 14 1
Buchanan "INDEPENDENCE 1ST WARD" 1042 495 517 29 1
Buchanan "INDEPENDENCE 2ND WARD" 511 269 227 15 0
Buchanan "INDEPENDENCE 3RD WARD" 877 402 445 30 0
Buchanan "INDEPENDENCE 4TH WARD" 417 240 162 15 0
Buchanan "INDEPENDENCE 5TH WARD" 483 252 207 24 0
Buchanan JESUP 972 451 481 39 1
Buchanan MIDDLEFIELD-NEWTON 312 131 174 7 0
Buchanan PERRY-WESTBURG 519 227 277 15 0
Buchanan QUASQUETION 560 254 283 23 0
Buchanan ROWLEY 486 224 244 18 0
Buchanan WINTHROP 617 291 305 21 0
Clayton BOARDMAN-HIGHLAND 1019 545 444 29 1
Clayton "BUENA VISTA" 129 73 50 6 0
Clayton CASS 701 269 408 24 0
Clayton CLAYTON-GARNAVILLO 598 205 373 20 0
Clayton "COX CREEK-SPERRY" 425 148 259 18 0
Clayton ELK-MALLORY-VOLGA 478 176 289 12 1
Clayton FARMERSBURG-WAGNER 432 172 239 21 0
Clayton GIARD-LUANA-MONONA 1050 397 627 26 0
Clayton "GRAND MEADOW" 196 80 111 5 0
Clayton JEFFERSON-MILLVILLE 1492 660 778 54 0
Clayton LODOMILLO 262 79 176 7 0
Clayton MARION 147 37 104 6 0
Clayton MENDON 835 415 391 26 3
Clayton READ 128 55 71 2 0
Delaware "Adams/Hazel Green" 465 174 278 13 0
Delaware Colony 321 116 185 20 0
Delaware Delaware 516 160 347 9 0
Delaware "Delhi/Delaware Corp" 514 165 328 20 1
Delaware "Honey Creek/Elk" 609 201 396 12 0
Delaware "Manchester Ward 1" 579 260 300 18 1
Delaware "Manchester Ward 2" 731 307 407 17 0
Delaware "Manchester Ward 3" 733 368 343 22 0
Delaware Milo/Prairie 850 283 552 15 0
Delaware "Oneida/N Fork/Bremen" 1135 322 778 35 0
Delaware "Richland/Coffins Grove" 489 215 259 15 0
Delaware "South Fork/Union" 555 239 302 13 1
Dubuque "Rockdale Methodist Church" 1713 816 861 35 1
Dubuque "Theisen's Home Center" 1789 965 790 34 0
Dubuque "Area Residential Care" 963 570 371 22 0
Dubuque "Journey Church" 1799 994 766 38 1
Dubuque "Arbor Oaks Bible Chapel" 1602 920 643 38 1
Dubuque "Summit Congregational Church" 1415 715 666 34 0
Dubuque "St. Peter Lutheran Church" 1645 986 624 35 0
Dubuque "Emmaus Bible College" 1000 559 408 32 1
Dubuque "Westminster Church Nine" 1066 636 396 31 3
Dubuque "Westminster Church Ten" 1378 880 459 39 0
Dubuque "U.A.W. Local 94" 1152 665 460 27 0
Dubuque "Windsor Park" 1382 822 522 38 0
Dubuque "Moose Lodge 355" 886 544 312 28 2
Dubuque "Sacred Heart Church" 649 421 197 30 1
Dubuque "Holy Trinity Church" 1023 642 349 32 0
Dubuque "Election Annex" 598 429 149 18 2
Dubuque "St John's Parish House" 558 351 190 17 0
Dubuque "Federal Building" 855 595 239 20 1
Dubuque YMCA/YWCA 1211 815 367 28 1
Dubuque "Fogarty Hall Center" 1532 907 587 37 1
Dubuque "Asbury City" 1663 910 720 32 1
Dubuque "The Meadows Golf" 2020 906 1079 34 1
Dubuque "Cascade City Hall" 1155 551 566 36 2
Dubuque "Peosta Community Center" 2077 891 1129 57 0
Dubuque "Luxemburg City Hall" 1212 418 761 33 0
Dubuque "Hope Evangelical Free Church" 1427 600 796 30 1
Dubuque "Dyersville Social Center 37" 580 202 352 26 0
Dubuque "Dyersville Social Center 38" 611 243 352 16 0
Dubuque "Beckman High School" 1272 421 804 47 0
Dubuque "Farley Memorial Hall" 672 318 332 22 0
Dubuque "Epworth Council Chambers" 1308 618 650 40 0
Dubuque "SS Peter and Paul School" 1441 662 754 24 1
Dubuque "Key West Fire Station" 1649 767 839 43 0
Dubuque "Bernard Fire Station" 297 127 161 9 0
Dubuque "Swiss Valley Nature Center" 1147 493 631 23 0
Fayette "AUBURN TWP." 247 90 148 9 0
Fayette "BANKS-FREMONT TWP." 395 140 241 12 2
Fayette "BETHEL-WINDSOR TWP." 428 172 238 18 0
Fayette "CENTER TWP." 124 38 83 3 0
Fayette "CLERMONT TWP." 395 142 232 21 0
Fayette "DOVER TWP." 247 82 158 7 0
Fayette "EDEN TWP." 221 82 128 11 0
Fayette "FAIRBANK, INC." 161 85 72 4 0
Fayette "FAIRFIELD-PUTNAM TWP." 391 129 250 12 0
Fayette "HARLAN TWP." 345 155 177 13 0
Fayette "ILLYRIA TWP." 236 109 120 7 0
Fayette "JEFFERSON TWP." 256 120 118 18 0
Fayette "OELWEIN-WARD 1" 528 275 234 19 0
Fayette "OELWEIN-WARD 2" 442 274 139 29 0
Fayette "OELWEIN-WARD 3" 493 303 155 34 1
Fayette "OELWEIN-WARD 4" 704 391 295 18 0
Fayette "ORAN TWP." 207 94 112 1 0
Fayette "PLEASANT VALLEY TWP." 425 171 236 18 0
Fayette "SCOTT TWP." 109 38 67 4 0
Fayette "SMITHFIELD TWP." 115 38 76 1 0
Fayette "UNION TWP." 199 64 126 9 0
Fayette "WEST UNION-WARD 1" 395 197 187 11 0
Fayette "WEST UNION-WARD 2" 273 115 142 16 0
Fayette "WEST UNION-WARD 3" 336 145 180 11 0
Fayette "WESTFIELD TWP." 524 252 253 19 0
Howard Afton/Howard/Paris 596 265 316 15 0
Howard "Albion/Forest City" 372 144 208 20 0
Howard "Cresco 1A" 198 101 89 7 1
Howard "Cresco 2" 536 278 237 21 0
Howard "Cresco 3" 496 248 223 25 0
Howard "Saratoga/Howard Center/Chester" 318 119 188 11 0
Howard Jamestown/Oakdale 263 89 163 11 0
Howard "New Oregon" 351 136 193 21 1
Howard "Vernon Springs" 481 207 261 13 0
Iowa "Dayton / English I" 290 102 176 12 0
Iowa "English II" 473 194 257 21 1
Iowa "Fillmore / Greene" 640 249 371 20 0
Iowa "Hartford I / Sumner" 320 108 194 18 0
Iowa "Hartford II / Lincoln" 516 169 325 21 1
Iowa "Hilton / Washington" 656 263 364 28 1
Iowa "Honey Creek / Marengo Rural" 319 105 206 8 0
Iowa "Lenox / Iowa" 1339 621 674 44 0
Iowa "Marengo City" 906 423 446 37 0
Iowa "Pilot / Troy / York" 642 189 432 21 0
Iowa Williamsburg 1494 676 758 60 0
Jackson "Pct 1 - Bellevue Community Center" 1389 672 684 33 0
Jackson "Pct 2 - St Donatus Parish Center" 506 185 308 13 0
Jackson "Pct 3 - LaMotte Recreation Center" 496 213 274 9 0
Jackson "Pct 4 - St Lawrence Community Hall" 498 244 235 19 0
Jackson "Pct 5 - Baldwin Fire Station" 336 150 174 11 1
Jackson "Pct 6 - Andrew City Hall" 546 214 308 24 0
Jackson "Pct 7 - Jackson County Fairgrounds" 817 323 470 24 0
Jackson "Pct 8 - Springbrook City Hall" 343 145 188 10 0
Jackson "Pct 9 - Preston Community Hall" 723 243 462 18 0
Jackson "Pct 10 - Miles City Hall" 316 118 191 7 0
Jackson "Pct 11 - Sabula City Hall" 289 107 179 3 0
Jackson "Pct 12 - Jackson County Fairgrounds" 387 198 177 12 0
Jackson "Pct 13 - Jackson County Fairgrounds" 350 177 160 13 0
Jackson "Pct 14 - Jackson County Fairgrounds" 371 214 146 11 0
Jackson "Pct 15 - Jackson County Fairgrounds" 515 272 231 12 0
Jackson "Pct 16 - Jackson County Fairgrounds" 630 322 296 11 1
Jones "ANN-ANAMOSA NORTH/CASS" 941 433 466 42 0
Jones "ANS-ANAMOSA SOUTH/JACKSON" 1357 664 644 47 2
Jones "CGLW-CASTLE GRV/LOV/WAYNE" 1055 425 598 32 0
Jones FV-FAIRVIEW 1036 440 561 35 0
Jones GF-GREENFIELD 337 145 178 14 0
Jones "MN1-MONTICELLO 1" 379 179 193 7 0
Jones "MN2-MONTICELLO 2" 446 227 212 7 0
Jones "MN3-MONTICELLO 3" 337 179 143 15 0
Jones "MN4-MONTICELLO 4" 429 192 226 11 0
Jones OX-OXFORD 259 103 152 4 0
Jones RLWS-RICHLAND/WASHINGTON 566 207 343 16 0
Jones ROHA-ROME/HALE 567 262 281 24 0
Jones "SGMC-SC GRV/MADISON/CLAY" 543 204 316 23 0
Jones WY-WYOMING 313 127 177 9 0
Linn "Cedar Rapids 01" 1385 732 608 42 3
Linn "Cedar Rapids 02" 1087 636 420 30 1
Linn "Cedar Rapids 03" 1230 677 519 32 2
Linn "Cedar Rapids 04" 1245 626 590 29 0
Linn "Cedar Rapids 05" 1408 832 530 43 3
Linn "Cedar Rapids 06" 1396 747 599 49 1
Linn "Cedar Rapids 07" 765 492 238 34 1
Linn "Cedar Rapids 08" 1045 591 401 53 0
Linn "Cedar Rapids 09" 966 632 298 36 0
Linn "Cedar Rapids 10" 1649 972 644 33 0
Linn "Cedar Rapids 11" 1806 798 975 32 1
Linn "Cedar Rapids 12" 1976 1078 852 45 1
Linn "Cedar Rapids 13" 1340 842 449 48 1
Linn "Cedar Rapids 14" 1296 823 417 55 1
Linn "Cedar Rapids 15" 1020 651 349 19 1
Linn "Cedar Rapids 16" 1281 857 370 52 2
Linn "Cedar Rapids 17" 1042 766 234 40 2
Linn "Cedar Rapids 18" 959 578 344 37 0
Linn "Cedar Rapids 19" 1569 919 590 60 0
Linn "Cedar Rapids 20" 1694 939 702 53 0
Linn "Cedar Rapids 21" 1358 879 433 45 1
Linn "Cedar Rapids 22" 598 473 103 21 1
Linn "Cedar Rapids 23" 993 736 216 37 4
Linn "Cedar Rapids 24" 1692 1030 628 31 3
Linn "Cedar Rapids 25" 2112 1232 839 38 3
Linn "Cedar Rapids 26" 1703 1221 428 54 0
Linn "Cedar Rapids 27" 1051 724 278 48 1
Linn "Cedar Rapids 28" 1471 922 488 60 1
Linn "Cedar Rapids 29" 1222 752 413 55 2
Linn "Cedar Rapids 30" 1444 919 479 46 0
Linn "Cedar Rapids 31" 1863 1036 785 39 3
Linn "Cedar Rapids 32" 1098 719 335 42 2
Linn "Cedar Rapids 33" 1204 809 333 61 1
Linn "Cedar Rapids 34" 1157 811 285 60 1
Linn "Cedar Rapids 35" 1060 765 242 51 2
Linn "Cedar Rapids 36" 1588 990 556 42 0
Linn "Cedar Rapids 37" 1432 954 417 61 0
Linn "Cedar Rapids 38" 1092 686 359 46 1
Linn "Cedar Rapids 39" 1701 1052 592 55 2
Linn "Cedar Rapids 40" 964 591 335 37 1
Linn "Cedar Rapids 41" 1680 974 634 70 2
Linn "Cedar Rapids 42" 1201 675 481 44 1
Linn "Cedar Rapids 43" 865 563 270 30 2
Linn "Cedar Rapids 44" 548 365 161 22 0
Linn Fairfax 1372 680 657 35 0
Linn "Hiawatha 01" 1581 824 702 52 3
Linn "Hiawatha 02" 920 561 322 37 0
Linn "Hiawatha 03" 553 282 259 12 0
Linn "Hiawatha 04" 191 75 114 2 0
Linn "Marion 01" 995 630 321 43 1
Linn "Marion 02" 813 459 324 29 1
Linn "Marion 03" 1172 672 457 43 0
Linn "Marion 04" 888 505 353 30 0
Linn "Marion 05" 2041 1126 867 48 0
Linn "Marion 06" 1748 942 734 71 1
Linn "Marion 07" 1615 807 767 41 0
Linn "Marion 08" 1425 810 559 53 3
Linn "Marion 09" 1389 743 590 54 2
Linn "Marion 10" 1074 647 387 38 2
Linn "Marion 11" 1851 866 940 43 2
Linn "Marion 12" 927 470 426 31 0
Linn "Marion 13" 1568 837 687 41 3
Linn "Marion 14" 1388 628 719 40 1
Linn "Mount Vernon North" 844 583 228 32 1
Linn "Mount Vernon South" 1246 872 342 32 0
Linn Robins 2008 852 1107 47 2
Linn "Bertram Township" 2032 908 1068 54 2
Linn "Boulder Township" 249 109 130 10 0
Linn "Brown Township" 1003 440 517 46 0
Linn "Buffalo Township" 279 125 146 8 0
Linn "Clinton Township" 423 208 204 11 0
Linn "College Township" 334 179 145 10 0
Linn "Fairfax Township" 765 377 365 23 0
Linn "Fayette Township" 664 330 309 24 1
Linn "Franklin Township" 1460 817 598 45 0
Linn "Grant Township" 595 273 298 24 0
Linn "Jackson Township" 665 313 318 34 0
Linn "Linn Township" 449 191 245 13 0
Linn "Maine Township" 846 400 416 30 0
Linn "Marion Township" 803 292 491 20 0
Linn "Monroe Township 01" 1134 422 664 48 0
Linn "Monroe Township 02" 1129 391 716 22 0
Linn "Otter Creek Township" 749 290 432 27 0
Linn "Putnam Township" 1426 766 616 43 1
Linn "Spring Grove Township" 366 151 195 18 2
Linn "Washington Township" 1631 793 779 59 0
Marshall "BANGOR / LISCOMB" 359 128 224 6 1
Marshall "EDEN / LOGAN" 787 332 431 24 0
Marshall "GREEN CASTLE" 412 154 238 20 0
Marshall JEFFERSON 383 155 219 9 0
Marshall "Legrand and City" 676 271 378 26 1
Marshall "LIBERTY / MINERVA" 331 99 221 11 0
Marshall "MARIETTA / WASHINGTON" 376 101 266 9 0
Marshall "MARION / VIENNA" 562 205 345 12 0
Marshall "PUBLIC LIBRARY 1-1" 436 336 94 6 0
Marshall "PUBLIC LIBRARY 1-2" 556 343 191 22 0
Marshall "IVH MALLOY HALL 2-1" 904 511 363 29 1
Marshall "IVH MALLOY HALL 2-2" 1347 710 609 27 1
Marshall "FISHER COMM.  CENTER 3-1" 1265 599 636 29 1
Marshall "FISHER COMM. CENTER 3-2" 1606 783 777 46 0
Marshall "REDEEMER LUTHERAN CHURCH 4-1" 985 560 392 32 1
Marshall "REDEEMER LUTHERAN CHURCH 4-2" 1254 622 604 28 0
Marshall "STATE CENTER" 851 308 517 26 0
Marshall TAYLOR 533 220 282 31 0
Marshall "Timber Creek" 523 174 337 11 1
Mitchell "Osage Methodist Church" 354 110 226 17 1
Mitchell "New Haven Church" 278 102 162 14 0
Mitchell "Riceville City Hall" 366 170 181 15 0
Mitchell "Mitchell City Hall" 598 228 358 12 0
Mitchell "City of Osage-Ward 1" 414 171 232 11 0
Mitchell "City of Osage-Ward 2" 327 151 168 8 0
Mitchell "City of Osage-Ward 3" 357 168 177 12 0
Mitchell "City of Osage- Ward 4" 403 203 188 12 0
Mitchell "Carpenter Community Center" 335 113 214 8 0
Mitchell "South Square-St. Ansgar" 761 286 454 21 0
Mitchell "Stacyville Library" 309 134 158 17 0
Poweshiek BMWJ 1258 465 746 47 0
Poweshiek DRL 297 65 217 15 0
Poweshiek MS 322 123 191 8 0
Poweshiek CGWS 815 234 555 26 0
Poweshiek "1st Ward - 06.06GR" 1162 947 202 12 1
Poweshiek "2nd Ward - 07.07GR" 1212 674 511 26 1
Poweshiek "3rd Ward - 08.08GR" 809 467 313 29 0
Poweshiek "4th Ward - 09.09GR" 1039 632 378 29 0
Poweshiek JUPS 823 211 593 18 1
Poweshiek "Montezuma - 11.11MO" 505 148 338 19 0
Tama "PERRY/BUCKINGHAM/E. CRYST" 984 372 579 32 1
Tama CARLTON 385 168 203 13 1
Tama "CARROLL/ONEIDA/N. OTTER C" 325 112 205 8 0
Tama CLARK/GENESEO 977 327 621 29 0
Tama COLUMBIA/TAMA 1043 568 435 39 1
Tama "SPRING CREEK/W. CRYSTAL" 674 246 401 27 0
Tama GRANT 140 43 94 3 0
Tama "HIGHLAND/INDIAN VILLAGE" 399 169 217 13 0
Tama "INDIAN SETTLEMENT" 374 346 17 11 0
Tama "S. OTTER CREEK" 90 38 49 3 0
Tama LINCOLN 184 49 127 7 1
Tama "RICHLAND/SALT CREEK" 275 111 158 6 0
Tama HOWARD/TOLEDO 316 124 186 6 0
Tama "TOLEDO CITY" 876 495 351 30 0
Tama YORK 238 89 137 12 0
Winneshiek "PCT 1 - HE/HI/PL" 572 266 290 15 1
Winneshiek "PCT 2 - FR/GL/DEW3/DETSUP1" 1643 885 707 51 0
Winneshiek "PCT 3 - DEW1/DETSUP2" 1386 749 590 47 0
Winneshiek "PCT 4 - DEW2" 935 652 251 32 0
Winneshiek "PCT 5 - CN/DEW4/DETSUP3" 1051 651 378 22 0
Winneshiek "PCT - 6 DEW5" 710 486 211 13 0
Winneshiek "PCT 7 - CA/SP" 1009 422 519 68 0
Winneshiek "PCT 8 - MI/BLM" 794 284 448 62 0
Winneshiek "PCT 9 - BLF/BO/FR/LI/MA/OR" 1031 407 583 41 0
Winneshiek "PCT 10 - JA/SU/WA" 651 255 357 39 0
Winneshiek "PCT 11 - DETSUP5" 76 45 30 1 0
Worth "Barton Deer Creek Union Grafton" 454 188 250 16 0
Worth "Lincoln Manly" 647 355 267 25 0
Worth "Bristol Silver Lake Joice" 340 132 199 9 0
Worth "Brookfield Kensett" 352 147 192 13 0
Worth "Danville Hanlontown" 231 104 125 2 0
Worth Fertile 320 125 184 11 0
Worth "Deer Creek Grove Hartland Northwood" 1161 479 649 33 0
