COUNTY AREA TOTAL DEM REP GRN NON
COUNTY AREA TOTAL SINEMA MCSALLY GREEN WRITEIN
Maricopa "0300 HIDALGO" 0 1393 342 79 0
Maricopa "0301 HIGHLAND" 0 1326 2116 53 4
Maricopa "0302 HIGLEY" 0 1456 1967 85 9
Maricopa "0303 HILLCREST" 0 825 1103 22 1
Maricopa "0304 HILLERY" 0 811 1052 30 1
Maricopa "0305 HILLVIEW" 0 1155 1261 48 2
Maricopa "0306 HILTON" 0 367 86 12 0
Maricopa "0307 HOHOKAM PARK" 0 880 657 63 12
Maricopa "0308 HOLIDAY GARDENS" 0 455 93 28 0
Maricopa "0309 HOLIDAY PARK" 0 1400 335 72 4
Maricopa "0310 HOLLIS" 0 1223 554 60 3
Maricopa "0311 HOLLY" 0 672 170 19 2
Maricopa "0312 HOLLYHOCK" 0 946 192 46 1
Maricopa "0313 HOLMES" 0 1174 245 74 3
Maricopa "0314 HONDA" 0 990 380 77 3
Maricopa "0315 HOPE" 0 1431 253 53 8
Maricopa "0316 HOPEVILLE" 0 786 969 55 3
Maricopa "0317 HOPI" 0 943 1070 16 1
Maricopa "0318 HORIZON" 0 1550 1727 36 4
Maricopa "0319 HUALAPAI" 0 1328 1647 41 5
Maricopa "0320 HUBBELL" 0 745 494 20 3
Maricopa "0321 HUDSON" 0 1291 320 53 8
Maricopa "0322 INDEPENDENCE" 0 1169 613 73 6
Maricopa "0323 INDIAN BEND" 0 960 718 62 6
Maricopa "0324 INDIAN SPRINGS" 0 1365 521 73 6
Maricopa "0325 INDIAN WELLS" 0 803 1324 54 2
Maricopa "0326 ISAAC" 0 488 82 16 3
Maricopa "0327 IVANHOE" 0 1850 1988 77 7
Maricopa "0328 JACKRABBIT" 0 1216 1229 33 4
Maricopa "0329 JANICE" 0 769 563 42 6
Maricopa "0330 JASMINE" 0 389 674 25 0
Maricopa "0331 JASPER" 0 989 636 42 2
Maricopa "0332 JENTILLY" 0 1349 587 49 6
Maricopa "0333 JOHN CABOT" 0 919 1268 35 1
Maricopa "0334 JULIE" 0 1182 1195 75 4
Maricopa "0335 JUNIPER" 0 376 572 25 1
Maricopa "0336 JUPITER" 0 1540 969 56 3
Maricopa "0337 JUSTINE" 0 1066 1144 26 2
Maricopa "0338 KACHINA" 0 1471 794 61 3
Maricopa "0339 KAIBAB" 0 771 910 19 1
Maricopa "0340 KALER" 0 1475 902 78 11
Maricopa "0341 KEIM" 0 1145 493 56 3
Maricopa "0342 KENLY FARMS" 0 1253 1768 50 2
Maricopa "0343 KIMBERLY" 0 434 582 26 0
Maricopa "0344 KINGS" 0 997 1048 69 7
Maricopa "0345 KIVA" 0 337 498 3 1
Maricopa "0346 KLEINMAN" 0 1400 692 86 7
Maricopa "0347 KODIAK" 0 412 585 21 0
Maricopa "0348 KOKOPELLI" 0 1849 1080 79 6
Maricopa "0349 KOMATKE" 0 188 19 12 0
Maricopa "0350 LA REATA" 0 679 509 36 9
Maricopa "0351 LA SOLANA" 0 1494 2245 44 2
Maricopa "0352 LAKE PLEASANT" 0 1214 2277 43 2
Maricopa "0353 LAKEVIEW" 0 450 613 21 3
Maricopa "0354 LAKEWOOD" 0 1693 1218 44 5
Maricopa "0355 LAMAR" 0 711 504 12 2
Maricopa "0356 LANTANA CANYON" 0 1791 1762 42 2
Maricopa "0357 LAREDO" 0 1220 1190 62 3
Maricopa "0358 LAS COLINAS" 0 1015 1462 56 4
Maricopa "0359 LAS SENDAS" 0 1281 2233 31 6
Maricopa "0360 LASSEN" 0 1207 294 72 3
Maricopa "0361 LAUREL" 0 569 674 20 2
Maricopa "0362 LAVEEN" 0 945 239 37 4
Maricopa "0363 LAVEEN MEADOWS" 0 2226 707 102 9
Maricopa "0364 LAYTON LAKES" 0 162 192 11 0
Maricopa "0365 LEHI" 0 483 888 44 4
Maricopa "0366 LEISURE WORLD" 0 729 1086 30 2
Maricopa "0367 LEWIS" 0 576 131 31 5
Maricopa "0368 LIBBY" 0 561 722 41 2
Maricopa "0369 LIBERTY" 0 467 716 26 1
Maricopa "0370 LINDNER" 0 820 1017 48 2
Maricopa "0371 LITCHFIELD" 0 570 612 21 2
Maricopa "0372 LOBO" 0 728 1018 29 4
Maricopa "0373 LOLA" 0 994 923 49 4
Maricopa "0374 LOMA LINDA" 0 1618 526 68 6
Maricopa "0375 LOMA VERDES" 0 542 992 20 1
Maricopa "0376 LONE BUTTE" 0 6 1 0 0
Maricopa "0377 LONE MOUNTAIN" 0 1823 3140 55 6
Maricopa "0378 LONESOME" 0 971 249 45 4
Maricopa "0379 LONGBOW" 0 643 1254 27 4
Maricopa "0380 LONGHORN" 0 1492 1381 50 0
Maricopa "0381 LONGMORE" 0 448 222 34 2
Maricopa "0382 LOOKOUT RIDGE" 0 1122 1077 24 2
Maricopa "0383 LOS ALAMOS" 0 615 1300 39 3
Maricopa "0384 LOS GATOS" 0 1227 1644 35 4
Maricopa "0385 LOWELL" 0 506 114 23 7
Maricopa "0386 LUDDEN" 0 1691 1933 119 2
Maricopa "0387 LUKE" 0 1246 457 53 4
Maricopa "0388 LUKE FIELD" 0 723 627 42 3
Maricopa "0389 LYNWOOD" 0 941 111 52 2
Maricopa "0390 MADISON HEIGHTS" 0 842 705 15 1
Maricopa "0391 MADISON PARK" 0 1903 532 54 4
Maricopa "0392 MADRID" 0 867 170 41 5
Maricopa "0393 MAGGIE" 0 600 634 31 2
Maricopa "0394 MAGIC STONE" 0 2226 1428 69 5
Maricopa "0395 MAJESTY" 0 860 1390 34 1
Maricopa "0396 MANDALAY" 0 812 816 58 6
Maricopa "0397 MANISTEE" 0 785 376 42 4
Maricopa "0398 MANZANITA" 0 542 423 26 4
Maricopa "0399 MARICOPA" 0 1206 767 43 1
Maricopa "0400 MARIGOLD" 0 650 479 37 3
Maricopa "0401 MARIPOSA" 0 765 463 44 1
Maricopa "0402 MARIVUE" 0 1207 283 78 4
Maricopa "0403 MARLETTE" 0 1706 793 64 5
Maricopa "0404 MARLEY PARK" 0 894 1022 48 1
Maricopa "0405 MARTIN" 0 172 317 21 3
Maricopa "0406 MARYLAND" 0 674 277 39 1
Maricopa "0407 MARYVALE" 0 988 253 38 2
Maricopa "0408 MAYFLOWER" 0 1526 687 53 5
Maricopa "0409 MCAFEE PLACE" 0 396 276 34 2
Maricopa "0410 MCCORMICK RANCH" 0 2154 2030 38 3
Maricopa "0411 MCDONALD" 0 363 284 12 0
Maricopa "0412 MCDOWELL" 0 1021 141 28 4
Maricopa "0413 SUPAI" 0 1226 743 53 6
Maricopa "0414 MCKEMY" 0 1278 882 41 0
Maricopa "0415 MCQUEEN" 0 2349 2836 110 4
Maricopa "0416 MEGAN" 0 1715 1945 75 3
Maricopa "0417 MESA GRAND" 0 335 479 26 4
Maricopa "0418 MESA LINDA" 0 678 581 46 4
Maricopa "0419 MESA VISTA" 0 1078 1074 76 2
Maricopa "0420 MESQUITE" 0 1532 2318 83 6
Maricopa "0421 METRO" 0 589 317 35 4
Maricopa "0422 MICHELLE" 0 416 492 31 2
Maricopa "0423 MIMOSA" 0 1119 1583 62 1
Maricopa "0424 MINNEZONA" 0 536 123 33 1
Maricopa "0425 MIRADA" 0 1731 1460 56 5
Maricopa "0426 MISSION" 0 1273 906 83 5
Maricopa "0427 MITCHELL PARK" 0 1187 241 32 3
Maricopa "0428 MOBILE" 0 10 22 0 0
Maricopa "0429 MOHAVE" 0 1309 1122 46 2
Maricopa "0430 MOHAWK" 0 539 695 33 1
Maricopa "0431 MONROE" 0 1110 294 60 3
Maricopa "0432 MONTE CRISTO" 0 1677 1567 53 1
Maricopa "0433 MONTE VISTA" 0 613 100 30 4
Maricopa "0434 MONTEBELLO" 0 560 203 44 3
Maricopa "0435 MONTOYA" 0 1014 1712 44 1
Maricopa "0436 MOON VALLEY" 0 924 1122 20 0
Maricopa "0437 MORRISTOWN" 0 150 392 13 3
Maricopa "0438 MOUNTAIN SKY" 0 1444 1207 62 6
Maricopa "0439 MOUNTAIN VISTA" 0 1002 1946 60 6
Maricopa "0440 MUMMY MOUNTAIN" 0 1394 1124 52 5
Maricopa "0441 MUSKET" 0 1886 1450 61 6
Maricopa "0442 MUSTANG" 0 1465 1655 32 1
Maricopa "0443 MYSTIC" 0 1303 1264 60 5
Maricopa "0444 NEW RIVER" 0 855 2036 63 7
Maricopa "0445 NICOLET" 0 830 486 46 2
Maricopa "0446 NIGHTINGALE" 0 995 1037 30 3
Maricopa "0447 NORTERRA" 0 1935 2469 59 7
Maricopa "0448 NORTH HIGH" 0 1540 362 44 3
Maricopa "0449 NORTON" 0 226 128 2 1
Maricopa "0450 OAK PARK" 0 326 124 31 2
Maricopa "0451 OAKGROVE" 0 745 460 23 2
Maricopa "0452 OAKHURST" 0 342 422 11 0
Maricopa "0453 OAKTREE" 0 1719 1236 39 0
Maricopa "0454 OAKWOOD COUNTRY CLUB" 0 1517 2515 39 11
Maricopa "0455 OASIS" 0 1745 2535 90 0
Maricopa "0456 OCOTILLO" 0 549 229 36 4
Maricopa "0457 OLD WEST" 0 895 792 80 3
Maricopa "0458 OLIVE" 0 817 1056 50 2
Maricopa "0459 OLNEY" 0 1101 535 34 10
Maricopa "0460 ONYX" 0 1040 716 24 1
Maricopa "0461 OPTIMIST" 0 1637 911 53 1
Maricopa "0462 ORANGE TREE" 0 435 570 7 1
Maricopa "0463 ORANGEWOOD" 0 887 428 24 1
Maricopa "0464 ORANGEWOOD FARMS" 0 1468 1570 83 5
Maricopa "0465 ORME" 0 1421 702 80 3
Maricopa "0466 OSUNA PARK" 0 1102 768 73 4
Maricopa "0467 OVAL" 0 616 810 21 3
Maricopa "0468 PAINTED MOUNTAIN" 0 654 1031 41 1
Maricopa "0469 PAIUTE" 0 1408 737 56 2
Maricopa "0470 PALISADES" 0 879 1379 26 0
Maricopa "0471 PALM GARDENS" 0 100 94 12 0
Maricopa "0472 PALM VALLEY" 0 750 798 29 1
Maricopa "0473 PALMAIRE" 0 600 354 12 1
Maricopa "0474 PALMBROOK" 0 1355 893 67 6
Maricopa "0475 PALMDALE" 0 874 168 46 2
Maricopa "0476 PALMER" 0 1420 587 47 3
Maricopa "0477 PALO BLANCO" 0 928 1096 48 3
Maricopa "0478 PALO CRISTI" 0 743 1067 10 0
Maricopa "0479 PALO VERDE" 0 1639 1295 98 11
Maricopa "0480 PALOMINO" 0 1210 780 80 3
Maricopa "0481 PAPAGO PARK" 0 718 216 41 1
Maricopa "0482 PARADA" 0 1224 257 34 2
