COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Coconino "MOUNTAIN VIEW 86" 0 96 120 0 0 0 1 0 0
Coconino "NAVAJO MOUNTAIN 71" 0 51 9 0 0 0 0 0 0
Coconino "PAGE CENTRAL 72" 0 284 316 0 0 0 11 0 0
Coconino "PAGE EAST 73" 0 261 369 0 0 0 9 0 0
Coconino "PAGE SOUTH 74" 0 253 177 0 0 0 8 0 0
Coconino "PAGE WEST 75" 0 335 410 0 0 0 17 0 0
Coconino "PARKS 79" 0 284 492 0 0 0 12 0 0
Coconino "PINEWOOD 80" 0 287 430 0 0 0 15 0 0
Coconino "PUMPHOUSE WASH 62" 0 1557 801 0 0 0 47 0 0
Coconino "RANCHES 84" 0 215 210 0 0 0 6 0 0
Coconino "SCHULTZ 51" 0 38 25 0 0 0 1 0 0
Coconino "SEDONA NORTH 82" 0 431 256 0 0 0 4 0 0
Coconino "SEDONA SOUTH 83" 0 750 492 0 0 0 15 0 0
Coconino "SUNSET CRATER 85" 0 636 744 0 0 0 31 0 0
Coconino "TIMBERLINE FERNWOOD 52" 0 641 744 0 0 0 26 0 0
Coconino "TOLANI LAKE 88" 0 182 15 0 0 0 2 0 0
Coconino "TONALEA 90" 0 921 149 0 0 0 22 0 0
Coconino "TUBA CITY NORTHEAST 93" 0 563 90 0 0 0 9 0 0
Coconino "TUBA CITY NORTHWEST 94" 0 467 54 0 0 0 8 0 0
Coconino "TUBA CITY SOUTH 95" 0 1961 247 0 0 0 34 0 0
Coconino "TUSAYAN 97" 0 217 244 0 0 0 6 0 0
Coconino "WILLIAMS NORTHSIDE 98" 0 483 1191 0 0 0 29 0 0
Coconino "WILLIAMS SOUTHSIDE 99" 0 255 379 0 0 0 9 0 0
Coconino "WINONA 92" 0 631 630 0 0 0 25 0 0
Gila "Canyon Day" 0 73 10 0 0 0 0 0 0
Gila Carrizo 0 1 1 0 0 0 0 0 0
Gila "Central Heights" 0 92 172 0 0 0 1 0 0
Gila "Claypool #1" 0 151 310 0 0 0 11 0 0
Gila "Claypool #2" 0 171 245 0 0 0 9 0 0
Gila "Claypool #3" 0 125 123 0 0 0 7 0 0
Gila "Copper Basin" 0 280 120 0 0 0 3 0 0
Gila "East Globe" 0 233 367 0 0 0 5 0 0
Gila Gisela 0 89 300 0 0 0 4 0 0
Gila "Globe #1" 0 128 268 0 0 0 4 0 0
Gila "Globe #11" 0 145 307 0 0 0 8 0 0
Gila "Globe #2" 0 73 81 0 0 0 1 0 0
Gila "Globe #3" 0 42 49 0 0 0 1 0 0
Gila "Globe #4" 0 203 197 0 0 0 12 0 0
Gila "Globe #6" 0 240 339 0 0 0 9 0 0
Gila "Globe #7" 0 126 191 0 0 0 3 0 0
Gila "Globe #8" 0 165 166 0 0 0 10 0 0
Gila "Miami #1" 0 140 168 0 0 0 6 0 0
Gila "Miami #3" 0 140 119 0 0 0 6 0 0
Gila "Payson #1" 0 243 722 0 0 0 14 0 0
Gila "Payson #2" 0 394 1089 0 0 0 20 0 0
Gila "Payson #3" 0 621 1545 0 0 0 18 0 0
Gila "Payson #4" 0 305 591 0 0 0 20 0 0
Gila "Payson #5" 0 358 978 0 0 0 12 0 0
Gila "Payson #6" 0 243 641 0 0 0 10 0 0
Gila "Payson #7" 0 202 499 0 0 0 6 0 0
Gila "Payson #8" 0 300 757 0 0 0 18 0 0
