COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
KEN Waterville 6061 3705 1839 345 0
KEN Wayne 730 386 290 39 0
KEN "West Gardiner" 1878 722 999 120 1
KEN Windsor 1120 345 677 74 0
KEN Winslow 3649 1659 1729 197 0
KEN Winthrop 3006 1495 1276 179 0
KNO Appleton 755 391 314 28 22
KNO Camden 3310 2339 746 108 2
KNO Cushing 748 342 359 32 0
KNO Friendship 651 268 338 27 1
KNO Hope 951 530 358 46 0
KNO "Isle Au Haut" 65 48 8 4 0
KNO "Matinicus Isle Plt" 47 28 11 6 0
KNO "North Haven" 271 192 63 10 0
KNO "Owls Head" 900 450 392 40 1
KNO Rockland 3060 1895 943 147 1
KNO Rockport 2126 1283 675 94 0
KNO "Saint George" 1515 868 545 75 0
KNO "South Thomaston" 765 412 304 36 0
KNO Thomaston 1295 681 505 75 1
KNO Union 1246 535 618 72 1
KNO Vinalhaven 704 432 200 41 0
KNO Warren 1720 674 914 95 1
KNO Washington 796 323 401 49 1
LIN Alna 471 271 167 25 0
LIN Boothbay 1845 925 789 89 2
LIN "Boothbay Harbor" 1230 644 493 61 1
LIN Bremen 457 267 159 23 0
LIN Bristol 1716 902 708 81 0
LIN Damariscotta 1220 749 373 64 0
LIN Dresden 953 423 458 51 0
LIN Edgecomb 717 377 297 31 0
LIN Jefferson 1388 563 740 59 0
LIN "Monhegan Island Plt" 63 45 7 9 0
LIN Newcastle 1169 742 358 44 2
LIN Nobleboro 1045 509 470 52 0
LIN Somerville 280 106 144 19 0
LIN "South Bristol" 575 323 202 37 0
LIN Southport 411 206 178 23 0
LIN Waldoboro 2313 1030 1108 134 0
LIN "Westport Island" 477 241 195 26 0
LIN Whitefield 1215 557 574 65 0
LIN Wiscasset 1884 796 904 126 0
OXF "Albany Twp" 252 102 112 30 0
OXF Andover 443 164 230 37 0
OXF Bethel 1464 758 563 106 0
OXF Brownfield 721 335 322 45 0
OXF Buckfield 917 258 420 222 0
