COUNTY AREA TOTAL DEM REP IND1 IND2
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins
Bell 0270306 0 735 563 22 19
Bell 0270307 0 1026 462 23 5
Bell 0270308 0 769 730 42 12
Bell 0270309 0 76 519 8 2
Bell 0270310 0 34 366 6 0
Bell 0270311 0 380 1820 34 10
Bell 0270312 0 221 1215 24 4
Bell 0270313 0 643 1341 29 10
Bell 0270314 0 803 990 39 13
Bell 0270315 0 1913 3600 125 24
Bell 0270317 0 1873 3730 98 21
Bell 0270401 0 226 680 16 5
Bell 0270402 0 615 1308 32 6
Bell 0270404a 0 1656 947 67 18
Bell 0270404b 0 0 0 0 0
Bell 0270405 0 2242 982 106 27
Bell 0270406 0 824 670 36 7
Bell 0270408 0 2440 1388 106 26
Bell 0270409 0 696 639 37 8
Bell 0270410 0 707 413 37 16
Bell 0270412 0 2280 872 90 35
Bell 0270413 0 3383 1727 159 46
Bexar 0291001 0 396 124 10 4
Bexar 0291002 0 285 174 5 5
Bexar 0291003 0 1032 297 29 11
Bexar 0291004 0 367 116 7 9
Bexar 0291005 0 319 102 5 7
Bexar 0291006 0 803 297 20 13
Bexar 0291007 0 541 184 10 10
Bexar 0291008 0 1005 226 25 11
Bexar 0291009 0 665 470 21 9
Bexar 0291010 0 299 79 8 6
Bexar 0291011 0 191 83 3 7
Bexar 0291012 0 735 427 25 13
Bexar 0291013 0 969 286 34 14
Bexar 0291014 0 467 137 13 12
Bexar 0291015 0 500 175 17 4
Bexar 0291016 0 424 129 11 4
Bexar 0291017 0 77 47 2 1
Bexar 0291018 0 809 321 15 11
Bexar 0291019 0 290 98 12 7
Bexar 0291020 0 911 355 20 10
Bexar 0291021 0 612 211 20 13
Bexar 0291022 0 341 129 7 2
Bexar 0291023 0 878 257 25 14
Bexar 0291024 0 1214 733 43 19
Bexar 0291025 0 201 70 8 1
Bexar 0291026 0 428 158 8 12
Bexar 0291027 0 166 125 5 2
Bexar 0291028 0 358 145 9 3
Bexar 0291029 0 733 257 13 13
Bexar 0291030 0 21 16 2 1
Bexar 0291031 0 533 182 19 15
Bexar 0291032 0 804 235 31 22
Bexar 0291033 0 623 343 20 7
Bexar 0291034 0 1587 1403 82 23
Bexar 0291035 0 197 238 15 6
Bexar 0291036 0 1214 775 52 16
Bexar 0291037 0 860 362 30 9
Bexar 0291038 0 1112 627 48 24
Bexar 0291039 0 922 361 26 33
Bexar 0291040 0 860 308 22 16
Bexar 0291041 0 728 251 27 13
Bexar 0291042 0 408 168 8 6
Bexar 0291043 0 555 299 29 15
Bexar 0291044 0 856 338 15 12
Bexar 0291045 0 1230 549 38 16
Bexar 0291046 0 776 288 21 11
Bexar 0291047 0 614 223 11 10
Bexar 0291048 0 809 359 14 14
Bexar 0291049 0 878 404 27 17
Bexar 0291050 0 505 258 13 4
Bexar 0291051 0 639 424 15 17
Bexar 0291052 0 785 397 23 14
Bexar 0291053 0 79 42 1 2
Bexar 0291054 0 993 444 24 22
Bexar 0291055 0 824 509 30 17
Bexar 0291056 0 1124 715 33 18
Bexar 0291057 0 610 684 19 7
Bexar 0291058 0 703 704 24 20
Bexar 0291059 0 134 89 6 5
Bexar 0291060 0 1052 430 31 19
Bexar 0291061 0 897 338 23 24
Bexar 0291062 0 32 64 0 1
Bexar 0291063 0 527 630 23 15
Bexar 0291064a 0 360 307 8 8
Bexar 0291064b 0 0 0 0 0
Bexar 0291065 0 650 706 25 13
Bexar 0291066 0 253 173 6 7
Bexar 0291067 0 799 1102 19 15
Bexar 0291068 0 657 561 44 18
Bexar 0291069 0 182 187 6 0
Bexar 0291070 0 375 199 16 7
Bexar 0291071 0 729 416 20 8
Bexar 0291072 0 825 349 26 12
Bexar 0291073a 0 1157 939 49 14
Bexar 0291073b 0 148 125 7 3
Bexar 0291074 0 6 5 0 0
Bexar 0291075 0 772 322 15 12
Bexar 0291076 0 1076 627 34 19
Bexar 0291077 0 668 213 14 12
Bexar 0291078 0 191 63 5 4
Bexar 0291079 0 1058 578 44 9
Bexar 0291080a 0 1939 829 89 44
Bexar 0291080b 0 20 9 1 0
Bexar 0291081 0 470 792 16 14
Bexar 0291082 0 1695 979 74 27
Bexar 0291083 0 1081 718 55 18
Bexar 0291084 0 694 339 24 11
Bexar 0291085 0 574 279 22 14
Bexar 0291086 0 938 471 30 15
Bexar 0291087 0 591 248 12 12
Bexar 0291088 0 338 120 5 4
Bexar 0291089 0 582 453 25 10
Bexar 0291090 0 0 0 0 0
Bexar 0291091 0 887 462 24 25
Bexar 0291092 0 394 193 17 7
Bexar 0291093 0 495 309 22 7
Bexar 0291094 0 943 539 48 12
Bexar 0291095 0 85 74 6 2
Bexar 0291096 0 58 17 1 1
Bexar 0291097 0 265 133 8 4
Bexar 0291098 0 363 86 9 6
Bexar 0291099 0 1202 700 53 22
Bexar 0291100 0 1107 691 40 11
Bexar 0291101 0 0 0 0 0
Bexar 0291102 0 273 300 15 7
Bexar 0291103 0 263 275 16 5
Bexar 0291104 0 1284 828 42 25
Bexar 0291105 0 252 141 11 11
Bexar 0291106 0 0 0 0 0
Bexar 0291107 0 879 766 41 16
Bexar 0291108a 0 1742 1327 64 27
Bexar 0291108b 0 13 9 0 0
Bexar 0291108c 0 35 26 1 0
Bexar 0291109 0 1 2 0 0
Bexar 0291110a 0 1126 708 48 21
Bexar 0291110b 0 36 23 1 0
Bexar 0291111 0 2042 1362 63 22
Bexar 0291112 0 1928 900 84 32
Bexar 0291113 0 1173 726 46 22
Bexar 0291114 0 25 16 0 0
Bexar 0291115 0 52 58 0 1
Bexar 0291116 0 480 432 20 6
Bexar 0291117 0 116 79 2 1
Bexar 0291118 0 1589 1522 77 25
Bexar 0291119 0 49 18 1 3
Bexar 0291120 0 58 16 2 3
Bexar 0291121 0 1386 961 63 12
Bexar 0291122a 0 1886 1483 67 19
Bexar 0291122b 0 21 16 0 0
Bexar 0291122c 0 36 27 1 0
Bexar 0291123 0 153 182 3 2
Bexar 0291124 0 258 182 11 5
Bexar 0291125a 0 788 684 32 13
Bexar 0291125b 0 2 1 0 0
Bexar 0291125c 0 16 14 0 0
Bexar 0291126 0 0 0 0 0
Bexar 0291127 0 198 82 7 2
Bexar 0291128 0 569 399 24 10
Bexar 0291129 0 1001 671 35 10
Bexar 0291130 0 0 0 0 0
Bexar 0291131 0 0 0 0 0
Bexar 0291132 0 2 0 0 0
Bexar 0291133 0 0 2 0 0
Bexar 0291134 0 0 0 0 0
Bexar 0291135 0 0 0 0 0
Bexar 0291136 0 37 25 0 2
Bexar 0291137 0 0 0 0 0
Bexar 0291138 0 334 150 19 12
Bexar 0291139 0 387 205 19 9
Bexar 0291140 0 456 309 33 5
Bexar 0291141 0 887 673 50 15
Bexar 0291142 0 832 402 35 8
Bexar 0291143 0 1310 1051 49 12
Bexar 0291144a 0 786 1244 9 6
Bexar 0291144b 0 49 80 0 0
Bexar 0291144c 0 39 63 0 0
Bexar 0291145 0 226 305 6 2
Bexar 0291146 0 47 53 3 0
Bexar 0291147 0 1029 637 44 17
Bexar 0291148 0 321 198 19 2
Bexar 0291149 0 911 495 39 15
Bexar 0291150 0 967 709 33 20
Bexar 0291151 0 924 717 40 12
Bexar 0292001 0 262 71 6 4
Bexar 0292002 0 442 139 14 10
Bexar 0292003 0 681 187 24 10
Bexar 0292004 0 992 296 33 15
Bexar 0292005 0 444 135 11 8
Bexar 0292006 0 8 2 1 0
Bexar 0292007 0 564 201 15 12
Bexar 0292008 0 378 142 14 8
Bexar 0292009 0 818 320 28 16
Bexar 0292010 0 490 322 25 11
Bexar 0292011 0 681 199 15 18
Bexar 0292012 0 498 167 11 5
Bexar 0292013 0 473 166 6 13
Bexar 0292014 0 473 167 11 7
Bexar 0292015 0 594 188 16 20
Bexar 0292016 0 411 95 10 8
Bexar 0292017 0 337 100 9 7
Bexar 0292018 0 512 182 6 11
Bexar 0292019 0 595 176 14 6
Bexar 0292020 0 979 260 25 19
Bexar 0292021 0 977 305 30 22
Bexar 0292022 0 517 183 17 8
Bexar 0292023 0 1016 355 35 16
Bexar 0292024 0 646 297 22 5
Bexar 0292025 0 1094 395 37 18
Bexar 0292026 0 925 481 32 14
Bexar 0292027 0 567 278 18 6
Bexar 0292028 0 1014 479 32 12
Bexar 0292029 0 382 124 11 11
Bexar 0292030 0 498 157 10 8
Bexar 0292031 0 531 129 18 12
Bexar 0292032 0 207 74 4 6
Bexar 0292033 0 252 82 7 5
Bexar 0292034 0 269 96 8 4
Bexar 0292035 0 734 241 9 6
Bexar 0292036 0 824 419 16 5
Bexar 0292037 0 522 531 27 11
Bexar 0292038 0 563 350 17 6
Bexar 0292039 0 682 181 21 10
Bexar 0292040 0 943 439 32 19
Bexar 0292041 0 1118 483 20 10
Bexar 0292042 0 604 214 30 11
Bexar 0292043 0 728 268 18 13
Bexar 0292044 0 750 289 28 17
Bexar 0292045 0 1065 318 28 17
Bexar 0292046 0 1036 420 23 9
Bexar 0292047 0 741 335 15 10
Bexar 0292048 0 655 228 19 13
Bexar 0292049 0 1130 504 29 20
Bexar 0292050 0 771 358 26 7
Bexar 0292051 0 282 106 15 5
Bexar 0292052 0 358 128 14 8
Bexar 0292053 0 499 158 17 7
Bexar 0292054 0 962 291 19 19
