COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Butler "0381 G Ana Armory #2" 0 250 135 0
Butler "0420 Chapman Post Office" 0 103 95 0
Butler "0470 Friendship" 0 47 72 0
Butler "0480 Rocky Creek Voting Hse" 0 74 146 0
Butler "0490 Center Hill Voting Hse" 0 79 20 0
Butler "0495 Bolling Voting House" 0 43 53 0
Butler "0510 McLains Voting House" 0 124 189 0
Butler "0530 McKenzie City Hall" 0 145 147 0
Butler "Absentee Votes" 0 92 87 0
Calhoun "10 GLENWOOD MEADOWS MEETING ROOM" 0 474 188 2
Calhoun "20 NATIONAL GUARD ARMORY" 0 459 227 1
Calhoun "30 JACKSONVILLE-WESTSIDE BAPTIST" 0 291 89 1
Calhoun "40 JACKSONVILLE-FIRST BAPTIST" 0 708 388 1
Calhoun "50 ALEXANDRIA-CIVITAN CLUB CNTR" 0 775 612 2
Calhoun "60 FOUR MILE - METHODIST CHURCH" 0 182 103 2
Calhoun "70 EULATON-UNITED METHODIST" 0 383 301 4
Calhoun "80 BYNUM SCHOOL" 0 661 556 1
Calhoun "90 WELLBORN HIGH SCHOOL" 0 598 282 0
Calhoun "100 OXFORD ELEMENTARY SCHOOL #1" 0 451 470 2
Calhoun "101 OXFORD ELEMENTARY SCHOOL #2" 0 429 329 0
Calhoun "110 OXFORD CITY HALL" 0 328 202 0
Calhoun "115 LLOYDS CHAPEL BAPTIST CHURCH" 0 40 20 1
Calhoun "120 1ST UNITED METHODIST-WEAVER #1" 0 392 251 4
Calhoun "121 1ST UNITED METHODIST-WEAVER #2" 0 542 342 1
Calhoun "130 S.M. MCCURRY RESIDENCE" 0 130 129 1
Calhoun "140 FRIENDSHIP BAPTIST CHURCH" 0 320 207 0
Calhoun "150 WEBSTERS CHAPEL METHODIST" 0 258 172 1
Calhoun "160 ASBERRY BAPTIST CHURCH" 0 311 214 0
Calhoun "170 PIEDMONT NATIONAL GUARD ARMORY" 0 319 179 3
Calhoun "180 PIEDMONT FIRE STATION" 0 346 160 0
Calhoun "190 RECREATION BUILDING" 0 199 86 0
