COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Biden Trump Jorgensen
Lake "STI 1 HD93" 0 324 432 15
Lake "STI 2 HD15" 0 450 414 22
Lake "SWA 1 HD10" 0 32 71 0
Lake "SWA 2 HD15" 0 29 93 1
"Lewis & Clark" "PCT 01" 0 405 900 36
"Lewis & Clark" "PCT 02" 0 506 909 25
"Lewis & Clark" "PCT 03" 0 483 753 22
"Lewis & Clark" "PCT 04" 0 590 807 50
"Lewis & Clark" "PCT 05" 0 693 431 38
"Lewis & Clark" "PCT 06" 0 689 754 45
"Lewis & Clark" "PCT 07" 0 738 435 34
"Lewis & Clark" "PCT 08" 0 1195 350 38
"Lewis & Clark" "PCT 09" 0 946 486 36
"Lewis & Clark" "PCT 10" 0 572 1285 45
"Lewis & Clark" "PCT 11" 0 527 930 58
"Lewis & Clark" "PCT 12" 0 316 604 25
"Lewis & Clark" "PCT 13" 0 1471 551 32
"Lewis & Clark" "PCT 14" 0 981 203 40
"Lewis & Clark" "PCT 15" 0 450 516 36
"Lewis & Clark" "PCT 16" 0 961 758 44
"Lewis & Clark" "PCT 17" 0 993 298 35
"Lewis & Clark" "PCT 18" 0 618 642 28
"Lewis & Clark" "PCT 19" 0 307 589 43
"Lewis & Clark" "PCT 20" 0 519 843 52
"Lewis & Clark" "PCT 21" 0 491 1190 33
"Lewis & Clark" "PCT 22" 0 554 206 30
"Lewis & Clark" "PCT 23" 0 531 726 28
"Lewis & Clark" "PCT 24" 0 855 686 36
"Lewis & Clark" "PCT 25" 0 707 518 48
"Lewis & Clark" "PCT 26" 0 983 1066 41
"Lewis & Clark" "PCT 27" 0 610 1276 56
"Lewis & Clark" "PCT 28" 0 456 982 39
"Lewis & Clark" "PCT 29" 0 227 347 14
"Lewis & Clark" "PCT 30" 0 49 150 8
"Lewis & Clark" "PCT 31" 0 165 563 11
"Lewis & Clark" "PCT 32" 0 9 70 0
"Lewis & Clark" "PCT 33" 0 146 585 7
Liberty "#1 Precinct - West" 0 41 287 2
Liberty "#2 Precinct - North" 0 90 166 3
Liberty "#3 Precinct - South" 0 74 189 3
Liberty "#4 Precinct - Joplin" 0 44 179 5
Lincoln "CITY OF LIBBY" 0 465 883 31
Lincoln "CITY OF TROY" 0 140 313 17
Lincoln "EUREKA RURAL" 0 497 1754 57
Lincoln FORTINE 0 118 456 8
Lincoln "LIBBY EAST" 0 147 684 11
Lincoln "LIBBY NORTH" 0 220 656 17
Lincoln "LIBBY WEST" 0 246 1002 32
Lincoln LIBBY/PLUMMER 0 322 886 14
Lincoln "MC CORMICK" 0 88 211 4
Lincoln "TOWN OF EUREKA" 0 148 435 13
Lincoln TREGO 0 80 330 4
Lincoln "TROY NORTH" 0 66 229 9
Lincoln "TROY RURAL" 0 247 680 19
Lincoln YAAK 0 51 153 4
Madison ALDER 0 38 159 1
Madison "ENNIS - RURAL" 0 800 1533 42
Madison "ENNIS - TOWN" 0 223 371 25
Madison HARRISON 0 103 283 11
Madison "JEFF ISLAND" 0 46 198 8
Madison SHERIDAN 0 268 859 20
Madison "TWIN BRIDGES" 0 197 665 12
Madison "VIRGINIA CITY" 0 96 123 6
McCone "PRECINCT 27" 0 45 254 2
McCone "PRECINCT 4" 0 62 386 10
McCone "PRECINCT 8" 0 48 316 5
Meagher "Precinct 5" 0 258 833 19
Mineral ALBERTON 0 164 277 8
Mineral "ST. REGIS" 0 110 350 7
Mineral SUPERIOR_24 0 64 127 4
Mineral SUPERIOR_25 0 132 383 14
Mineral SUPERIOR_30 0 189 533 14
Mineral "WEST END" 0 27 158 2
Missoula "BONNER 89" 0 112 93 2
Missoula "BONNER 92" 0 797 715 42
Missoula "CHIEF CHARLO 90" 0 895 550 46
Missoula "CLINTON 89" 0 203 313 19
Missoula "CLINTON 92" 0 272 434 20
Missoula "COLD SPRINGS 89" 0 1013 972 48
Missoula "COLD SPRINGS 99" 0 883 838 48
Missoula "CSPORTER 98" 0 1218 726 76
Missoula "EAST MSLA 92" 0 676 410 52
Missoula "EVARO 94" 0 324 252 15
Missoula "FRANKLIN 100N" 0 1215 325 41
Missoula "FRANKLIN 100S" 0 783 218 32
Missoula "FRENCHTWN 14N" 0 79 158 7
Missoula "FRENCHTWN 14S" 0 92 155 5
Missoula "FRENCHTWN 94" 0 490 976 22
Missoula "FRENCHTWN 96" 0 234 538 30
Missoula "HAWTHORNE 95" 0 1080 516 43
Missoula "HAWTHORNE 98N" 0 444 277 16
Missoula "HAWTHORNE 98S" 0 1009 609 57
Missoula "HELLGATE 94" 0 1075 695 47
Missoula "HELLGATE 95" 0 535 357 26
Missoula "HELLGATE 96E" 0 2910 2346 175
Missoula "HELLGATE 96W" 0 406 577 17
Missoula "HELLGATE 97" 0 570 666 38
Missoula "LEWIS CLK 89" 0 169 96 4
Missoula "LEWIS CLK 90E" 0 1113 442 26
Missoula "LEWIS CLK 90W" 0 1778 627 55
Missoula "LIBRARY 91" 0 1812 366 47
Missoula "LOLO 89" 0 303 449 16
Missoula "LOLO 97" 0 1485 1955 93
Missoula "LOWELL 94" 0 1298 279 52
Missoula "LOWELL 95" 0 1692 368 58
Missoula "MEADOW HILL 99" 0 1219 735 47
Missoula "PAXSON 89" 0 1371 232 38
Missoula "PETTY CRK 97" 0 144 273 1
Missoula "POTOMAC 92" 0 321 555 16
Missoula "RATTLSNK 91E" 0 1198 322 31
Missoula "RATTLSNK 91W" 0 1761 340 25
Missoula "RUSSELL 90" 0 386 161 22
Missoula "RUSSELL 99N" 0 783 354 38
Missoula "RUSSELL 99S" 0 960 588 39
Missoula "SEELEY LK 92" 0 453 896 24
Missoula "SENIOR CIT 91" 0 966 123 16
Missoula "SENIOR CIT 95" 0 967 205 33
Missoula "SPRING MDW 94" 0 276 630 20
Missoula "SPRING MDW 96" 0 127 216 15
Missoula "ST JOSEPH 100E" 0 1528 257 39
Missoula "ST JOSEPH 100W" 0 1925 345 39
Missoula "SWAN 92" 0 111 293 5
Missoula "TARGET RNG 97" 0 631 566 15
Missoula "TARGET RNG 98" 0 967 872 43
Missoula "UC CENTR 89" 0 298 86 10
Musselshell "PRECINCT 1" 0 98 377 13
Musselshell "PRECINCT 3" 0 67 362 3
Musselshell "PRECINCT 5" 0 75 658 4
Musselshell "PRECINCT 6" 0 144 810 24
Musselshell "PRECINCT 7" 0 16 127 1
Musselshell "PRECINCT 8" 0 13 89 0
Park "59A NORTH PC" 0 262 726 16
Park "59B N CENTRAL PC" 0 568 919 16
Park "59C S CENTRAL PC" 0 470 748 18
Park "59D SOUTH PC" 0 505 463 15
Park "60A NW OF LIVINGSTON" 0 317 470 17
Park "60B SW OF LIVINGSTON" 0 338 596 27
Park "60CL NW COL" 0 577 655 41
Park "60DL NE COL" 0 484 408 25
Park "60EL SE COL" 0 639 360 26
Park "60FL SC COL" 0 524 289 34
Park "60GL SW COL" 0 596 391 26
Petroleum "PRECNCT 1" 0 39 298 11
Phillips "PCT 11N - PHILLIPS - 33/17" 0 307 1357 25
Phillips "PCT 11S - PHILLIPS - 32/16" 0 109 579 5
Pondera BRADY_19 0 104 244 7
Pondera "CONRAD RURAL 29" 0 33 130 2
Pondera CONRAD_24 0 162 470 14
Pondera CONRAD_27 0 162 484 15
Pondera DUPUYER_23 0 23 120 1
Pondera "HEART BUTTE_20" 0 235 18 7
Pondera "VALIER (RURAL)_35" 0 108 357 10
Pondera VALIER_34 0 76 208 5
"Powder River" PRECINCT03 0 12 44 0
"Powder River" PRECINCT04 0 3 48 0
"Powder River" PRECINCT05 0 25 117 1
"Powder River" PRECINCT08 0 3 20 0
"Powder River" PRECINCT09 0 13 42 0
"Powder River" PRECINCT11 0 60 392 7
"Powder River" PRECINCT12 0 38 307 4
Powell "PRECINCT #1.80" 0 17 164 2
Powell "PRECINCT #10.80" 0 14 79 1
Powell "PRECINCT #11.80" 0 15 105 1
Powell "PRECINCT #12.80" 0 40 130 5
Powell "PRECINCT #14.80" 0 43 159 2
