COUNTY AREA TOTAL DEM REP Ringelstein Others
COUNTY AREA TOTAL King Brakey Ringelstein Others
KNO "Owls Head" 900 478 306 92 0
KNO Rockland 3060 1757 768 455 0
KNO Rockport 2126 1335 542 218 0
KNO "Saint George" 1515 905 447 147 0
KNO "South Thomaston" 765 417 224 90 0
KNO Thomaston 1295 751 392 136 0
KNO Union 1246 580 517 107 0
KNO Vinalhaven 704 451 150 86 1
KNO Warren 1720 814 742 128 2
KNO Washington 796 366 354 67 0
LIN Alna 471 272 129 66 0
LIN Boothbay 1845 1050 632 138 0
LIN "Boothbay Harbor" 1230 739 380 90 0
LIN Bremen 457 280 133 39 0
LIN Bristol 1716 984 573 135 0
LIN Damariscotta 1220 776 295 130 0
LIN Dresden 953 493 382 64 0
LIN Edgecomb 717 422 229 58 0
LIN Jefferson 1388 670 618 86 0
LIN "Monhegan Island Plt" 63 45 3 12 0
LIN Newcastle 1169 714 305 134 0
LIN Nobleboro 1045 568 375 90 0
LIN Somerville 280 126 124 22 0
LIN "South Bristol" 575 354 174 43 0
LIN Southport 411 260 128 19 0
LIN Waldoboro 2313 1169 924 190 0
LIN "Westport Island" 477 267 176 31 0
LIN Whitefield 1215 610 486 104 0
LIN Wiscasset 1884 964 748 141 0
OXF "Albany Twp" 252 128 93 27 0
OXF Andover 443 222 184 27 0
OXF Bethel 1464 865 468 115 0
OXF Brownfield 721 366 265 84 0
OXF Buckfield 917 415 414 72 0
OXF Byron 85 28 48 7 0
OXF Canton 438 197 206 28 0
OXF Denmark 649 338 266 34 0
OXF Dixfield 1002 434 465 76 0
OXF Fryeburg 1533 811 467 216 0
OXF Gilead 106 51 42 10 0
OXF Greenwood 406 200 147 50 0
OXF Hanover 151 71 64 16 0
OXF Hartford 534 251 249 31 0
OXF Hebron 632 294 289 39 0
OXF Hiram 663 324 275 60 0
OXF "Lincoln Plt" 29 12 14 2 0
OXF Lovell 634 294 233 71 0
OXF "Milton Twp" 64 33 27 4 0
OXF "Magalloway Plt" 15 6 8 1 0
OXF Mexico 1001 529 330 112 0
OXF Newry 258 139 92 17 0
OXF Norway 2217 1174 847 175 0
OXF Otisfield 914 441 381 61 0
OXF Oxford 1753 732 835 109 0
OXF Paris 2102 1084 850 145 0
OXF Peru 781 366 354 47 0
OXF Porter 670 286 298 65 0
OXF Roxbury 205 98 96 10 0
OXF Rumford 2247 1177 832 189 0
OXF Stoneham 165 88 61 12 0
OXF Stow 200 114 52 22 0
OXF Sumner 451 181 220 38 0
OXF Sweden 217 115 83 17 0
OXF Upton 47 12 32 2 0
OXF Waterford 806 424 318 54 0
OXF "West Paris" 749 368 309 45 0
OXF Woodstock 648 286 296 51 0
PEN "Argyle Twp  (Alton, Edinburg & Penobscot Nation)" 68 28 35 5 0
PEN Alton 371 181 170 13 0
PEN Bangor 12658 7049 3844 1527 0
PEN Bradford 536 203 301 19 0
PEN Bradley 680 332 265 70 0
PEN Brewer 4092 2044 1647 328 0
PEN Burlington 153 56 80 9 0
PEN Carmel 1305 489 707 89 0
PEN "Carroll Plt" 72 15 52 2 0
PEN Charleston 590 150 397 31 0
PEN Chester 236 81 139 3 0
PEN Clifton 399 160 207 27 0
PEN Corinna 895 361 488 38 0
PEN Corinth 1162 353 741 56 0
PEN Dexter 1428 610 637 92 0
PEN Dixmont 619 282 277 45 0
PEN "Drew Plt" 21 3 17 0 0
PEN "East Millinocket" 797 404 319 48 0
PEN Eddington 1134 467 582 73 2
PEN Edinburg 68 30 35 2 0
PEN Enfield 653 293 313 40 0
PEN Etna 539 210 290 29 0
PEN Exeter 452 214 204 24 0
PEN "Grand Falls Twp (Burlington)" 12 5 7 0 0
PEN "Grindstone/Herseytown/Soldiertown Twps (Medway)" 23 8 14 1 0
PEN Garland 467 173 246 35 1
