COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 229 0 252 153 8 10 0
Harris 230 0 447 55 8 3 0
Harris 231 0 839 401 23 20 0
Harris 232 0 807 766 11 7 0
Harris 233 0 2841 1635 92 24 1
Harris 234 0 1263 2384 27 7 0
Harris 235 0 733 55 24 9 0
Harris 236 0 875 77 21 12 0
Harris 237 0 964 61 9 20 0
Harris 238 0 823 65 13 9 0
Harris 239 0 890 65 17 11 0
Harris 240 0 1276 78 21 19 0
Harris 241 0 747 460 25 12 0
Harris 242 0 483 432 17 14 0
Harris 243 0 351 13 5 8 0
Harris 244 0 1224 996 36 17 0
Harris 245 0 1309 2059 84 31 0
Harris 246 0 1533 1791 58 29 0
Harris 247 0 688 49 21 11 0
Harris 248 0 545 305 32 16 0
Harris 249 0 632 1067 41 12 0
Harris 250 0 456 40 6 6 0
Harris 251 0 1145 216 32 15 0
Harris 252 0 1117 59 16 8 0
Harris 253 0 976 75 12 10 0
Harris 254 0 537 234 15 10 0
Harris 255 0 1250 726 26 10 0
Harris 256 0 1265 755 46 28 0
Harris 257 0 1322 537 40 21 0
Harris 258 0 901 1890 30 16 0
Harris 259 0 1299 78 25 15 0
Harris 260 0 569 544 18 2 0
Harris 261 0 468 263 8 5 0
Harris 262 0 1466 1437 58 32 0
Harris 263 0 1095 2142 60 17 0
Harris 264 0 1028 910 52 14 0
Harris 265 0 985 1971 28 14 0
Harris 266 0 690 497 25 9 0
Harris 267 0 437 343 12 8 0
Harris 268 0 1052 1003 18 9 0
Harris 269 0 628 1313 11 3 0
Harris 270 0 1381 1286 59 27 0
Harris 271 0 1569 61 29 13 0
Harris 272 0 982 417 33 24 0
Harris 273 0 549 1558 14 8 0
Harris 274 0 755 1094 26 11 0
Harris 275 0 671 196 19 22 0
Harris 276 0 1192 53 20 9 0
Harris 277 0 581 389 23 13 0
Harris 278 0 857 773 27 19 0
Harris 279 0 530 812 28 12 0
Harris 280 0 554 272 11 9 0
Harris 281 0 1089 794 13 9 0
Harris 282 0 848 809 28 11 0
Harris 283 0 3517 919 81 60 0
Harris 284 0 1335 832 38 31 0
Harris 285 0 1307 217 29 19 0
Harris 286 0 2083 318 47 40 0
Harris 287 0 806 579 24 7 0
Harris 288 0 1128 62 14 18 0
Harris 289 0 518 378 20 7 0
Harris 290 0 348 890 29 7 0
Harris 291 0 506 327 13 5 0
Harris 292 0 659 145 16 14 0
Harris 293 0 879 501 20 4 0
Harris 294 0 1031 52 15 8 0
Harris 295 0 392 19 11 7 0
Harris 296 0 535 568 20 4 0
Harris 297 0 751 464 20 12 0
Harris 298 0 818 735 47 16 0
Harris 299 0 577 315 21 9 0
Harris 300 0 1427 3322 76 6 0
Harris 301 0 680 540 21 10 0
Harris 302 0 870 1027 36 14 0
Harris 303 0 842 2126 26 7 0
Harris 304 0 920 891 30 8 0
Harris 305 0 2441 1240 73 49 0
Harris 306 0 594 942 12 4 0
Harris 307 0 928 1471 43 12 0
Harris 308 0 624 249 13 6 0
Harris 309 0 1017 2212 27 10 0
Harris 310 0 522 691 22 8 0
Harris 311 0 870 849 29 13 0
Harris 312 0 1336 1185 43 26 0
Harris 313 0 16 27 0 0 0
Harris 314 0 2122 2407 95 36 0
Harris 315 0 621 640 15 8 0
Harris 316 0 661 559 14 5 0
Harris 317 0 686 197 12 13 0
Harris 318 0 2091 223 40 26 0
Harris 319 0 1132 153 17 25 1
Harris 320 0 480 383 12 11 0
Harris 321 0 785 443 23 26 0
Harris 322 0 395 159 14 6 0
Harris 323 0 752 440 27 10 0
Harris 324 0 958 1201 33 15 0
Harris 325 0 895 289 26 9 0
Harris 326 0 258 179 9 7 0
Harris 327 0 818 69 12 11 0
Harris 328 0 496 288 19 7 0
Harris 329 0 617 340 22 13 0
Harris 330 0 1011 740 42 17 0
Harris 331 0 2122 2157 91 24 0
Harris 332 0 1912 415 36 38 0
Harris 333 0 911 1827 72 14 0
Harris 334 0 393 102 9 5 0
