COUNTY AREA TOTAL DEM REP LIB UPC
COUNTY AREA TOTAL Polis Stapleton Helker Hammons
Arapahoe 1260303102 0 411 263 42 14
Arapahoe 1260303103 0 251 158 15 7
Arapahoe 1260303104 0 278 104 11 3
Arapahoe 1260303105 0 644 208 26 17
Arapahoe 1260303106 0 307 76 10 0
Arapahoe 1260303107 0 475 165 13 3
Arapahoe 1260303108 0 404 186 15 4
Arapahoe 1260303109 0 399 140 14 3
Arapahoe 1260303110 0 282 149 7 4
Arapahoe 1260303111 0 630 216 28 7
Arapahoe 1260303112 0 491 178 25 9
Arapahoe 1260303113 0 325 222 4 3
Arapahoe 1260303114 0 478 101 25 9
Arapahoe 1260303115 0 511 202 36 11
Arapahoe 1260303116 0 539 286 31 18
Arapahoe 1260303117 0 510 195 40 6
Arapahoe 1260303118 0 429 169 27 8
Arapahoe 1260303119 0 352 188 10 6
Arapahoe 1260303120 0 370 140 21 6
Arapahoe 1260303121 0 243 175 19 4
Arapahoe 1260303122 0 287 205 27 11
Arapahoe 1260303123 0 399 258 26 9
Arapahoe 1260303124 0 445 285 28 23
Arapahoe 1260303125 0 239 87 13 5
Arapahoe 1260303129 0 276 188 8 8
Arapahoe 1260303130 0 473 255 19 6
Arapahoe 1260303131 0 345 491 6 3
Arapahoe 1260303132 0 330 554 8 1
Arapahoe 1260303133 0 292 510 12 3
Arapahoe 1260303134 0 259 206 4 4
Arapahoe 1260303135 0 160 166 3 1
Arapahoe 1260303136 0 421 323 8 1
Arapahoe 1260303140 0 172 136 15 13
Arapahoe 1263803141 0 179 223 12 2
Arapahoe 1310903137 0 510 223 18 6
Arapahoe 1310903138 0 229 101 9 0
Arapahoe 1310903139 0 384 151 15 3
Arapahoe 1310903230 0 0 0 0 0
Arapahoe 1310903402 0 0 0 0 0
Arapahoe 1310903475 0 8 13 0 0
Arapahoe 1310903501 0 683 179 22 6
Arapahoe 1310903502 0 616 132 31 5
Arapahoe 4283603348 0 0 0 0 0
Arapahoe 4283603350 0 0 0 0 0
Arapahoe 4293603358 0 20 8 2 0
Arapahoe 4293603361 0 0 0 0 0
Arapahoe 4295603357 0 0 0 0 0
Arapahoe 4295603359 0 0 0 0 0
Arapahoe 4295603362 0 205 637 14 11
Arapahoe 4295603363 0 150 627 22 11
Arapahoe 4295603364 0 195 709 32 15
Arapahoe 4295603365 0 78 375 19 4
Arapahoe 4295603366 0 163 526 21 7
Arapahoe 6260303126 0 213 109 14 5
Arapahoe 6260303127 0 50 27 3 0
Arapahoe 6260303128 0 176 127 10 4
Arapahoe 6260303143 0 331 208 17 9
Arapahoe 6260303153 0 603 294 22 9
Arapahoe 6260303161 0 322 221 21 10
Arapahoe 6260303162 0 358 184 18 6
Arapahoe 6260303201 0 129 197 5 1
Arapahoe 6260303202 0 132 167 1 0
Arapahoe 6260303203 0 269 378 5 2
Arapahoe 6260303204 0 497 851 8 5
Arapahoe 6260303229 0 480 500 15 5
Arapahoe 6260303231 0 458 277 9 8
Arapahoe 6260303232 0 627 484 9 1
Arapahoe 6260303234 0 578 377 13 9
Arapahoe 6260303249 0 414 302 5 0
Arapahoe 6260303253 0 642 600 19 4
Arapahoe 6260303254 0 199 150 7 2
Arapahoe 6260303256 0 0 0 0 0
