DIST COUNTY AREA TOTAL DEM REP IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Ind Other
4 Milwaukee "City Of Milwaukee Ward 32" 0 1281 0 0 25
4 Milwaukee "City Of Milwaukee Ward 35" 0 652 0 0 31
4 Milwaukee "City Of Milwaukee Ward 36" 0 711 0 0 11
4 Milwaukee "City Of Milwaukee Ward 37" 0 576 0 0 5
4 Milwaukee "City Of Milwaukee Ward 38" 0 489 0 0 4
4 Milwaukee "City Of Milwaukee Ward 39" 0 581 0 0 4
4 Milwaukee "City Of Milwaukee Ward 4" 0 1288 0 0 20
4 Milwaukee "City Of Milwaukee Ward 40" 0 581 0 0 6
4 Milwaukee "City Of Milwaukee Ward 41" 0 576 0 0 1
4 Milwaukee "City Of Milwaukee Ward 42" 0 818 0 0 15
4 Milwaukee "City Of Milwaukee Ward 43" 0 234 0 0 1
4 Milwaukee "City Of Milwaukee Ward 45" 0 787 0 0 4
4 Milwaukee "City Of Milwaukee Ward 46" 0 452 0 0 3
4 Milwaukee "City Of Milwaukee Ward 47" 0 779 0 0 7
4 Milwaukee "City Of Milwaukee Ward 48" 0 384 0 0 2
4 Milwaukee "City Of Milwaukee Ward 49" 0 520 0 0 4
4 Milwaukee "City Of Milwaukee Ward 5" 0 683 0 0 11
4 Milwaukee "City Of Milwaukee Ward 50" 0 476 0 0 5
4 Milwaukee "City Of Milwaukee Ward 51" 0 465 0 0 2
4 Milwaukee "City Of Milwaukee Ward 52" 0 654 0 0 9
4 Milwaukee "City Of Milwaukee Ward 53" 0 347 0 0 3
4 Milwaukee "City Of Milwaukee Ward 54" 0 403 0 0 2
4 Milwaukee "City Of Milwaukee Ward 55" 0 868 0 0 17
4 Milwaukee "City Of Milwaukee Ward 56" 0 611 0 0 2
4 Milwaukee "City Of Milwaukee Ward 57" 0 770 0 0 3
4 Milwaukee "City Of Milwaukee Ward 58" 0 601 0 0 4
4 Milwaukee "City Of Milwaukee Ward 59" 0 1096 0 0 8
4 Milwaukee "City Of Milwaukee Ward 6" 0 1496 0 0 29
4 Milwaukee "City Of Milwaukee Ward 60" 0 719 0 0 4
4 Milwaukee "City Of Milwaukee Ward 61" 0 621 0 0 7
4 Milwaukee "City Of Milwaukee Ward 62" 0 516 0 0 2
4 Milwaukee "City Of Milwaukee Ward 63" 0 505 0 0 1
4 Milwaukee "City Of Milwaukee Ward 7" 0 432 0 0 16
4 Milwaukee "City Of Milwaukee Ward 78" 0 910 0 0 13
4 Milwaukee "City Of Milwaukee Ward 79" 0 951 0 0 20
4 Milwaukee "City Of Milwaukee Ward 8" 0 1205 0 0 48
