COUNTY AREA TOTAL DEM REP CON IND LIB
COUNTY AREA TOTAL Biden Trump Blankenship Other Jorgensen
Clark 3752 0 627 228 2 14 10
Clark 3753 0 111 55 1 2 2
Clark 3754 0 1069 563 2 13 12
Clark 3755 0 450 323 2 2 7
Clark 3756 0 183 388 0 2 7
Clark 3757 0 331 584 1 9 8
Clark 3758 0 339 701 2 10 13
Clark 3759 0 598 703 6 19 11
Clark 3760 0 897 586 3 14 17
Clark 3761 0 590 327 0 6 9
Clark 3762 0 529 378 2 13 13
Clark 3763 0 0 0 0 0 0
Clark 3764 0 847 448 3 15 14
Clark 3765 0 811 509 1 14 16
Clark 3766 0 310 380 0 6 1
Clark 3767 0 7 32 0 0 0
Clark 3768 0 506 441 1 9 8
Clark 3769 0 476 431 0 10 6
Clark 3770 0 665 395 2 9 12
Clark 3771 0 435 338 1 8 6
Clark 3772 0 664 447 3 9 12
Clark 3773 0 577 353 1 4 11
Clark 3774 0 423 362 5 11 6
Clark 3775 0 363 315 2 10 2
Clark 3776 0 0 0 0 0 0
Clark 3777 0 1 1 1 1 1
Clark 3778 0 0 0 0 0 0
Clark 3779 0 0 0 0 0 0
Clark 3780 0 641 728 4 10 21
Clark 3782 0 258 222 2 2 11
Clark 3783 0 620 367 4 10 14
Clark 3784 0 506 298 1 13 9
Clark 3785 0 489 240 1 14 8
Clark 3786 0 793 720 4 15 18
Clark 3787 0 654 577 2 19 15
Clark 3788 0 516 710 1 8 2
Clark 3789 0 479 528 2 5 2
Clark 3790 0 489 494 0 6 2
Clark 3791 0 567 295 2 8 6
Clark 3792 0 460 251 2 4 0
Clark 3794 0 525 257 2 3 5
Clark 3795 0 447 225 2 7 8
Clark 3796 0 104 49 1 2 0
Clark 3800 0 412 417 0 8 4
Clark 3801 0 361 136 1 3 3
Clark 3802 0 520 252 4 12 1
Clark 3803 0 29 18 2 0 1
Clark 3804 0 657 360 4 11 13
Clark 3805 0 59 20 0 1 1
Clark 3806 0 279 256 0 9 6
Clark 3807 0 611 587 1 13 8
Clark 3808 0 423 464 3 8 3
Clark 3809 0 516 402 1 11 7
Clark 3811 0 727 305 3 7 6
Clark 3812 0 141 71 0 1 0
Clark 3813 0 627 311 2 10 9
Clark 3814 0 445 269 1 10 15
Clark 3815 0 460 279 4 6 8
Clark 3821 0 0 0 0 0 0
Clark 3822 0 11 32 0 0 1
Clark 3823 0 14 3 0 0 0
Clark 3824 0 173 117 1 0 5
Clark 3825 0 1 1 1 1 1
Clark 3826 0 203 167 0 2 2
Clark 3831 0 48 41 0 1 2
Clark 3832 0 0 0 0 0 0
Clark 3833 0 211 243 1 6 6
Clark 3834 0 601 282 3 10 13
Clark 3841 0 859 314 4 15 17
Clark 3842 0 599 311 0 7 11
Clark 3843 0 787 376 3 16 14
Clark 3844 0 448 294 4 13 3
Clark 3845 0 56 90 0 1 3
Clark 3851 0 1 1 1 1 1
Clark 3852 0 72 98 1 2 1
Clark 3853 0 27 30 0 0 0
Clark 3854 0 495 272 6 5 8
Clark 3855 0 847 335 6 21 6
Clark 3863 0 455 338 4 9 9
Clark 3864 0 742 536 5 9 22
Clark 3866 0 161 179 0 1 0
Clark 3875 0 0 0 0 0 0
Clark 3881 0 0 0 0 0 0
Clark 4017 0 781 93 2 15 3
Clark 4028 0 625 48 0 10 5
Clark 4066 0 54 14 0 1 0
Clark 4069 0 44 25 0 0 1
Clark 4073 0 15 14 1 0 0
Clark 4075 0 0 0 0 0 0
Clark 4076 0 1 1 1 1 1
Clark 4304 0 788 267 1 10 11
Clark 4305 0 950 272 5 19 13
Clark 4306 0 988 292 6 16 8
Clark 4307 0 825 259 0 11 8
Clark 4309 0 580 109 1 14 4
Clark 4310 0 614 53 1 7 3
Clark 4381 0 337 147 0 6 4
Clark 4384 0 490 156 0 7 5
Clark 4387 0 837 254 1 12 9
Clark 4415 0 322 64 3 6 1
Clark 4434 0 53 69 0 0 1
Clark 4454 0 1 1 1 1 1
Clark 4461 0 910 107 5 8 6
Clark 4463 0 39 11 1 0 0
Clark 4467 0 403 30 1 10 3
Clark 4500 0 475 227 1 3 5
Clark 4501 0 1039 651 2 20 11
Clark 4502 0 550 272 2 15 10
Clark 4504 0 1155 422 2 16 18
Clark 4505 0 718 326 4 8 11
Clark 4506 0 664 344 2 11 8
Clark 4507 0 982 219 3 15 9
Clark 4508 0 496 65 3 7 3
Clark 4510 0 385 183 4 10 3
Clark 4511 0 0 0 0 0 0
Clark 4512 0 309 206 3 8 3
Clark 4513 0 277 205 0 2 3
Clark 4514 0 779 213 3 14 9
Clark 4522 0 324 169 1 5 2
Clark 4523 0 472 161 1 8 5
Clark 4525 0 517 253 2 6 3
Clark 4526 0 517 95 1 9 1
Clark 4527 0 961 227 6 17 9
Clark 4528 0 933 227 5 15 6
Clark 4529 0 632 161 2 5 3
Clark 4530 0 567 230 2 5 5
Clark 4531 0 803 300 3 16 22
Clark 4532 0 544 153 4 2 3
Clark 4535 0 764 282 6 9 10
Clark 4536 0 802 301 1 13 11
Clark 4540 0 404 179 1 3 8
Clark 4541 0 702 248 4 15 8
Clark 4543 0 288 103 4 7 3
Clark 4546 0 543 212 3 6 5
Clark 4547 0 295 96 0 9 7
Clark 4548 0 311 96 4 5 7
Clark 4549 0 290 122 2 3 9
Clark 4550 0 269 78 0 7 3
Clark 4551 0 420 144 0 10 6
Clark 4552 0 603 170 1 6 7
Clark 4553 0 914 327 7 16 9
Clark 4554 0 213 26 1 0 0
Clark 4555 0 540 165 3 9 6
Clark 4556 0 492 148 2 5 3
Clark 4557 0 651 186 2 3 9
Clark 4559 0 630 151 3 21 15
Clark 4560 0 380 136 1 4 3
Clark 4561 0 454 164 2 3 4
Clark 4562 0 283 125 0 2 2
Clark 4563 0 258 160 0 4 4
Clark 4564 0 110 22 1 3 1
Clark 4565 0 829 295 6 16 13
Clark 4566 0 675 230 4 9 11
Clark 4567 0 987 277 4 13 7
Clark 4568 0 82 20 1 2 0
Clark 4569 0 557 135 2 1 5
Clark 4571 0 38 21 0 0 1
Clark 4572 0 1 1 1 1 1
Clark 4573 0 147 44 0 2 2
Clark 4574 0 0 0 0 0 0
Clark 4577 0 941 256 2 13 11
Clark 4581 0 927 354 4 15 15
Clark 4582 0 681 284 0 8 3
Clark 4583 0 782 263 1 10 5
Clark 4584 0 687 263 2 19 12
Clark 4585 0 506 172 2 10 9
Clark 4586 0 1104 503 8 14 11
Clark 4590 0 349 81 1 1 2
Clark 4591 0 175 32 0 6 1
Clark 4592 0 72 24 0 1 0
Clark 4593 0 355 88 1 6 4
Clark 4594 0 1 1 1 1 1
Clark 4596 0 86 24 0 1 2
Clark 4597 0 821 180 1 7 5
Clark 4598 0 499 146 0 8 9
Clark 4599 0 551 126 2 5 6
Clark 4601 0 55 38 1 0 0
Clark 4602 0 522 185 1 12 6
Clark 4603 0 301 149 0 2 6
Clark 4604 0 271 94 2 3 4
Clark 4605 0 1184 472 1 18 15
Clark 4606 0 53 18 0 0 2
Clark 4611 0 417 170 4 10 9
Clark 4612 0 751 363 2 9 15
Clark 4613 0 1 1 1 1 1
Clark 4614 0 82 35 0 2 1
Clark 4615 0 1 1 1 1 1
Clark 4616 0 910 102 4 16 3
Clark 4621 0 476 474 2 7 11
Clark 4623 0 694 453 4 7 9
Clark 4633 0 626 381 1 7 10
Clark 4634 0 907 444 2 16 11
Clark 4635 0 428 234 1 11 3
Clark 4636 0 1 1 1 1 1
Clark 4637 0 0 0 0 0 0
Clark 4638 0 0 0 0 0 0
Clark 4641 0 81 84 1 1 3
Clark 4642 0 381 155 2 6 4
Clark 4643 0 350 112 1 4 4
