COUNTY AREA TOTAL DEM REP WRI
COUNTY AREA TOTAL Smith McMaster Writein
Beaufort "Bluffton 2E" 0 328 209 0
Beaufort "ROSE HILL" 0 289 623 0
Beaufort "Bluffton 4D" 0 177 382 0
Beaufort "Bluffton 5B" 1 196 284 1
Beaufort "SUN CITY 1" 0 217 460 0
Beaufort "SUN CITY 2" 0 183 307 0
Beaufort "SUN CITY 3" 0 259 497 0
Beaufort "SUN CITY 4" 1 229 423 1
Beaufort "SUN CITY 5" 0 227 389 0
Beaufort "SUN CITY 6" 1 218 357 1
Beaufort "SUN CITY 7" 0 201 333 0
Beaufort "SUN CITY 8" 0 240 352 0
Beaufort Absentee 6 9510 8295 6
Beaufort Emergency 0 30 4 0
Beaufort Failsafe 1 116 81 1
Beaufort Provisional 0 35 37 0
Beaufort "Failsafe Provisional" 0 31 39 0
Berkeley ALVIN 1 276 158 1
Berkeley BETHERA 1 10 109 1
Berkeley BONNEAU 1 209 300 1
Berkeley "BONNEAU BEACH" 1 162 552 1
Berkeley CENTRAL 4 443 531 4
Berkeley CAINHOY 0 406 103 0
Berkeley "CARNES CROSS ROAD 1" 0 185 794 0
Berkeley "CARNES CROSS ROAD 2" 0 314 401 0
Berkeley CORDESVILLE 2 198 321 2
Berkeley CROSS 1 225 244 1
Berkeley "DANIEL ISLAND 1" 0 352 695 0
Berkeley "DANIEL ISLAND 2" 1 378 405 1
Berkeley "DEVON FOREST 1" 3 394 389 3
Berkeley "DEVON FOREST 2" 2 285 385 2
Berkeley EADYTOWN 0 229 63 0
Berkeley "HANAHAN 1" 0 343 697 0
Berkeley "HANAHAN 2" 0 245 329 0
Berkeley "HANAHAN 3" 1 181 391 1
Berkeley "HANAHAN 4" 0 299 276 0
Berkeley "HILTON CROSS RD" 1 370 249 1
Berkeley HUGER 0 366 201 0
Berkeley JAMESTOWN 1 152 102 1
Berkeley LEBANON 3 48 283 3
Berkeley MACEDONIA 3 101 623 3
Berkeley MCBETH 0 163 264 0
Berkeley "MONCKS CORNER 1" 2 251 383 2
Berkeley "MONCKS CORNER 2" 1 271 270 1
Berkeley "MONCKS CORNER 3" 4 485 315 4
Berkeley "MONCKS CORNER 4" 3 216 479 3
Berkeley PIMLICO 1 119 480 1
Berkeley PINOPOLIS 3 192 584 3
Berkeley RUSSELLVILLE 0 427 110 0
Berkeley "SANGAREE 1" 1 176 237 1
Berkeley "SANGAREE 2" 1 260 320 1
Berkeley "SANGAREE 3" 0 260 294 0
Berkeley SHULERVILLE 0 91 114 0
Berkeley "ST. STEPHEN 1" 1 442 82 1
Berkeley "ST. STEPHEN 2" 3 299 250 3
