COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Graham "Artesia #20" 0 11 191 0 0 0 1 0 0
Graham "Bonita #13" 0 1 41 0 0 0 1 0 0
Graham "Bylas #11" 0 398 65 0 0 0 1 0 0
Graham "Cactus #17" 0 5 26 0 0 0 0 0 0
Graham "Central #8" 0 5 116 0 0 0 1 0 0
Graham "Desert Hills #19" 0 23 259 0 0 0 9 0 0
Graham "Ft Thomas #10" 0 1 82 0 0 0 0 0 0
Graham "Gila River #22" 0 2 6 0 0 0 0 0 0
Graham "Jackson #18" 0 22 213 0 0 0 5 0 0
Graham "Klondyke #12" 0 1 7 0 0 0 0 0 0
Graham "Layton #4" 0 19 76 0 0 0 1 0 0
Graham "Layton #5" 0 33 259 0 0 0 6 0 0
Graham "Peridot #16" 0 244 52 0 0 0 2 0 0
Graham "Pima #9" 0 59 601 0 0 0 13 0 0
Graham "Quatro Cerros #21" 0 0 6 0 0 0 0 0 0
Graham "Safford #15" 0 43 222 0 0 0 4 0 0
Graham "Safford #2" 0 61 240 0 0 0 3 0 0
Graham "Safford #3" 0 24 104 0 0 0 2 0 0
Graham "Solomon #1" 0 34 196 0 0 0 0 0 0
Graham "Thatcher #6" 0 13 178 0 0 0 6 0 0
Graham "Thatcher #7" 0 46 302 0 0 0 5 0 0
Graham "Thunderbird #14" 0 10 72 0 0 0 3 0 0
Greenlee "001 Eagle" 0 1 0 0 0 0 0 0 0
Greenlee "002 Blue" 0 1 7 0 0 0 0 0 0
Greenlee "003 Clifton 1" 0 55 143 0 0 0 4 0 0
Greenlee "004 Clifton 2" 0 16 55 0 0 0 1 0 0
Greenlee "005 Morenci" 0 64 257 0 0 0 4 0 0
Greenlee "006 East Plantsite" 0 6 81 0 0 0 3 0 0
Greenlee "007 York/Sheldon" 0 20 121 0 0 0 3 0 0
Greenlee "008 Duncan" 0 21 176 0 0 0 1 0 0
"La Paz" "051 Parker" 0 298 407 0 0 0 14 0 0
"La Paz" "052 Poston" 0 72 34 0 0 0 5 0 0
"La Paz" "054 Upriver" 0 35 337 0 0 0 2 0 0
"La Paz" "055 Bouse" 0 17 126 0 0 0 1 0 0
"La Paz" "056 Wenden" 0 3 37 0 0 0 1 0 0
"La Paz" "057 Salome" 0 36 165 0 0 0 0 0 0
"La Paz" "058 Quartzsite Two" 0 36 234 0 0 0 4 0 0
"La Paz" "059 Cibola" 0 4 31 0 0 0 0 0 0
"La Paz" "060 Ehrenberg" 0 26 122 0 0 0 0 0 0
