COUNTY AREA TOTAL DEM REP LIB Knupp Elworth_Jr Grandanette Writein
COUNTY AREA TOTAL Axne Young Holder Knupp Elworth_Jr Grandanette Writein
Polk "DES MOINES 69" 1013 674 301 18 8 6 6 0
Polk "DES MOINES 70" 650 453 171 13 7 2 4 0
Polk "DES MOINES 71" 1378 821 504 29 5 11 8 0
Polk "DES MOINES 72" 73 34 38 0 0 1 0 0
Polk "DES MOINES 73" 1356 809 497 30 1 7 11 1
Polk "DES MOINES 74" 510 287 203 11 5 2 2 0
Polk "DES MOINES 75" 930 565 302 27 12 10 11 3
Polk "DES MOINES 76" 904 543 304 24 6 19 7 1
Polk "DES MOINES 77" 775 478 263 14 6 8 5 1
Polk "DES MOINES 78" 908 556 307 23 6 7 9 0
Polk "DES MOINES 79" 994 600 332 36 4 15 6 1
Polk "DES MOINES 80" 1394 846 484 33 6 16 6 3
Polk "DES MOINES 81" 940 550 345 19 8 7 10 1
Polk "DES MOINES 82" 870 485 355 15 4 2 7 2
Polk "DES MOINES 83" 1124 670 396 34 8 11 4 1
Polk "DES MOINES 84" 551 363 156 11 10 6 5 0
Polk ALLEMAN 518 162 341 6 3 2 3 1
Polk ALLEN 196 90 93 8 2 3 0 0
Polk "ALTOONA 1" 827 409 381 17 6 12 0 2
Polk "ALTOONA 2" 1385 716 610 30 10 8 10 1
Polk "ALTOONA 3" 1987 978 920 50 14 14 10 1
Polk "ALTOONA 4" 1826 894 859 41 9 12 10 1
Polk "ALTOONA 5" 2027 910 1039 47 13 8 5 5
Polk "ANKENY 1" 3482 1669 1716 62 16 13 4 2
Polk "ANKENY 2" 1976 901 1030 33 5 5 1 1
Polk "ANKENY 3" 1502 741 706 35 8 7 5 0
Polk "ANKENY 4" 1561 703 806 36 6 6 3 1
Polk "ANKENY 5" 1706 869 780 42 7 7 1 0
Polk "ANKENY 6" 1711 849 810 31 8 9 4 0
Polk "ANKENY 7" 1345 723 571 32 10 3 2 4
Polk "ANKENY 8" 1735 896 787 32 7 8 5 0
Polk "ANKENY 9" 1681 891 744 26 6 9 5 0
Polk "ANKENY 10" 1473 697 725 34 7 6 4 0
Polk "ANKENY 11" 1548 754 730 46 8 7 3 0
Polk "ANKENY 12" 3257 1597 1581 58 7 8 4 2
Polk "ANKENY 13" 2897 1248 1580 45 8 11 3 2
Polk "ANKENY 14" 1853 902 893 34 6 15 1 2
Polk "ANKENY 15" 1527 770 719 29 2 4 3 0
Polk "BONDURANT 1" 1161 527 575 44 5 8 2 0
Polk "BONDURANT 2" 1418 603 752 40 14 5 4 0
Polk CLAY 585 226 340 12 3 2 2 0
Polk "CLIVE 1" 757 439 289 12 5 8 3 1
Polk "CLIVE 2" 1267 737 498 17 4 5 6 0
Polk "CLIVE 3" 1923 955 940 11 3 3 11 0
Polk "CLIVE 4" 1732 775 936 12 5 0 3 1
Polk "CROCKER 1" 1251 511 701 23 7 4 3 2
Polk "CROCKER 2" 936 372 541 15 2 4 2 0
Polk "DELAWARE 1" 866 448 360 30 7 11 10 0
Polk "DELAWARE 2" 258 125 121 6 2 3 1 0
Polk DOUGLAS 692 240 429 16 2 3 1 1
Polk ELKHART 856 312 513 19 2 8 2 0
Polk "FOUR MILE" 1219 465 710 25 7 5 7 0
Polk FRANKLIN 844 303 523 12 4 2 0 0
Polk GRANGER 156 59 93 4 0 0 0 0
Polk "GRIMES 1" 2741 1193 1461 62 12 6 6 1
Polk "GRIMES 2" 2096 977 1039 54 12 8 5 1
Polk "GRIMES 3" 1025 551 436 26 3 4 4 1
Polk JEFFERSON 1234 457 741 22 4 5 5 0
Polk "JOHNSTON 1" 1908 971 877 46 3 4 6 1
Polk "JOHNSTON 2" 1748 990 702 30 7 13 6 0
Polk "JOHNSTON 3" 1535 668 840 18 5 2 2 0
Polk "JOHNSTON 4" 1846 880 928 26 5 2 4 1
Polk "JOHNSTON 5" 2785 1421 1294 40 9 9 11 1
Polk "JOHNSTON 6" 1152 492 632 20 3 0 4 1
Polk MADISON 92 37 55 0 0 0 0 0
Polk MITCHELLVILLE 1241 496 689 28 12 8 8 0
Polk "PLEASANT HILL 1" 1512 768 676 40 11 7 9 1
Polk "PLEASANT HILL 2" 1474 739 691 22 9 4 7 2
Polk "PLEASANT HILL 3" 1584 793 747 27 12 2 3 0
Polk "POLK CITY" 2347 929 1357 37 10 7 6 1
Polk RUNNELLS 1113 408 659 25 10 5 5 1
Polk "SAYLOR 1" 1404 650 702 34 3 8 7 0
Polk "SAYLOR 2" 1136 511 584 20 5 10 6 0
Polk SHELDAHL 253 89 156 5 2 0 1 0
Polk "URBANDALE 1" 1346 693 594 31 7 11 9 1
Polk "URBANDALE 2" 1599 900 657 22 7 7 5 1
Polk "URBANDALE 3" 1497 832 615 30 5 6 9 0
Polk "URBANDALE 4" 1547 775 742 18 3 6 3 0
Polk "URBANDALE 5" 1440 763 615 37 3 8 12 2
Polk "URBANDALE 6" 1490 870 574 22 8 4 10 2
Polk "URBANDALE 7" 1886 903 951 15 8 4 5 0
Polk "URBANDALE 8" 1477 824 618 18 6 7 3 1
Polk "URBANDALE 9" 1658 940 671 29 8 5 4 1
Polk "URBANDALE 10" 1636 814 788 23 4 1 5 1
Polk "URBANDALE 11" 1570 713 829 17 7 4 0 0
Polk WASHINGTON 254 56 187 8 1 0 1 1
Polk WEBSTER 294 148 124 14 4 3 0 1
Polk "WEST DES MOINES 111" 1116 682 377 36 8 7 6 0
Polk "WEST DES MOINES 112" 762 435 303 12 3 7 2 0
Polk "WEST DES MOINES 113" 1070 695 328 24 7 7 9 0
Polk "WEST DES MOINES 114" 1712 1029 635 37 7 2 1 1
Polk "WEST DES MOINES 115" 1082 557 498 20 1 1 5 0
Polk "WEST DES MOINES 116" 1427 778 612 16 9 8 3 1
Polk "WEST DES MOINES 117" 1322 729 557 24 3 5 3 1
Polk "WEST DES MOINES 118" 1097 695 353 23 7 9 9 1
Polk "WEST DES MOINES 211" 820 476 311 16 8 6 3 0
Polk "WEST DES MOINES 212" 1613 997 562 31 10 6 6 1
Polk "WEST DES MOINES 213" 1065 499 545 12 1 5 3 0
Polk "WEST DES MOINES 311" 1526 807 692 20 4 2 1 0
Polk "WEST DES MOINES 312" 1421 822 553 25 6 7 8 0
Polk "WEST DES MOINES 313" 715 367 337 6 4 1 0 0
Polk "WEST DES MOINES 314" 717 464 232 12 4 3 1 1
Polk "WEST DES MOINES 315" 1240 679 528 19 5 3 5 1
Polk "WEST DES MOINES 316" 1657 846 770 19 8 4 9 1
Polk "WEST DES MOINES 317" 1640 764 850 18 3 3 2 0
Polk "WEST DES MOINES 318" 603 214 382 5 1 1 0 0
Polk "WINDSOR HEIGHTS 1" 836 543 256 21 7 3 6 0
Polk "WINDSOR HEIGHTS 2" 978 552 400 15 5 3 3 0
Polk "WINDSOR HEIGHTS 3" 1082 708 333 16 9 6 9 1
Pottawattamie "CB 01" 603 319 243 20 6 14 1 0
Pottawattamie "CB 02" 882 412 410 30 10 17 1 2
Pottawattamie "CB 03" 678 336 292 19 4 24 2 1
Pottawattamie "CB 04" 721 354 325 22 6 12 1 1
Pottawattamie "CB 05" 768 350 363 34 5 15 1 0
Pottawattamie "CB 06" 1116 538 522 38 7 8 3 0
Pottawattamie "CB 07" 1108 512 527 45 9 12 2 1
Pottawattamie "CB 08" 1395 636 696 48 6 8 1 0
Pottawattamie "CB 09" 1002 455 497 28 6 12 2 2
Pottawattamie "CB 10A" 1536 704 762 52 3 9 4 2
