COUNTY AREA TOTAL DEM REP DEM2
COUNTY AREA TOTAL Dem Rep Dem2
Napa 121753A 322 233 81 0
Napa 211161 1 1 0 0
Napa 211161A 64 45 17 0
Napa 211162 0 0 0 0
Napa 211162A 18 8 8 0
Napa 211561 16 9 7 0
Napa 211561A 440 348 81 0
Napa 211562 12 3 8 0
Napa 211562A 445 306 124 0
Napa 211563 0 0 0 0
Napa 211563A 34 24 9 0
Napa 211751 0 0 0 0
Napa 211751A 78 61 16 0
Napa 211761 6 3 3 0
Napa 211761A 279 197 73 0
Napa 211762 2 0 2 0
Napa 211762A 20 15 4 0
Napa 211771 0 0 0 0
Napa 211771A 1 1 0 0
Napa 221161 4 0 4 0
Napa 221161A 294 207 79 0
Napa 221162 9 6 3 0
Napa 221162A 435 301 119 0
Napa 221163 2 2 0 0
Napa 221163A 370 242 111 0
Napa 221231 6 1 4 0
Napa 221231A 311 260 39 0
Napa 221232 6 2 3 0
Napa 221232A 353 273 69 0
Napa 221233 1 1 0 0
Napa 221233A 45 32 9 0
Napa 221551 19 11 7 0
Napa 221551A 519 429 74 0
Napa 221552 7 4 3 0
Napa 221552A 337 263 60 0
Napa 221553 9 5 3 0
Napa 221553A 249 201 42 0
Napa 221561 7 4 2 0
Napa 221561A 150 107 35 0
Napa 221562 15 6 9 0
Napa 221562A 521 369 133 0
Napa 221563 15 5 10 0
Napa 221563A 612 442 147 0
Napa 221564 22 13 7 0
Napa 221564A 623 435 168 0
Napa 221565 11 2 9 0
Napa 221565A 579 373 183 0
Napa 221566 24 19 5 0
Napa 221566A 433 300 119 0
Napa 221571 35 11 24 0
Napa 221571A 1002 709 256 0
Napa 221572 18 13 4 0
Napa 221572A 759 489 249 0
Napa 221573 9 3 6 0
Napa 221573A 526 374 142 0
Napa 221574 28 15 11 0
Napa 221574A 801 569 196 0
Napa 221575 33 12 20 0
Napa 221575A 1062 728 300 0
Napa 221671 5 3 2 0
Napa 221671A 314 221 82 0
Napa 221672 17 10 7 0
Napa 221672A 725 502 203 0
Napa 221673 3 1 2 0
Napa 221673A 423 270 141 0
Napa 221674 24 7 17 0
Napa 221674A 663 424 210 0
Napa 221675 20 5 14 0
Napa 221675A 813 545 232 0
Napa 221676 15 10 4 0
Napa 221676A 335 232 100 0
Napa 221677 7 2 4 0
Napa 221677A 291 217 64 0
Napa 221762 18 5 13 0
Napa 221762A 589 412 149 0
Napa 311411 0 0 0 0
Napa 311411A 24 16 8 0
Napa 311471 1 0 1 0
Napa 311471A 59 29 28 0
Napa 311571 0 0 0 0
Napa 311571A 62 41 21 0
Napa 311572 1 0 1 0
Napa 311572A 18 10 7 0
Napa 311611 6 3 3 0
Napa 311611A 501 312 177 0
Napa 311612 2 0 2 0
Napa 311612A 35 23 12 0
Napa 311671 12 7 5 0
Napa 311671A 255 161 83 0
Napa 311672 0 0 0 0
Napa 311672A 76 40 32 0
Napa 311712 0 0 0 0
Napa 311712A 21 20 0 0
Napa 312401 0 0 0 0
Napa 312401A 5 0 5 0
Napa 312601 4 2 2 0
Napa 312601A 127 79 46 0
Napa 312602 10 8 2 0
Napa 312602A 299 234 59 0
Napa 312706 7 6 1 0
Napa 312706A 240 191 45 0
Napa 312701 4 2 2 0
Napa 312701A 44 21 23 0
Napa 312702 1 1 0 0
Napa 312702A 53 28 22 0
Napa 312703 0 0 0 0
Napa 312703A 6 2 4 0
Napa 312704 5 4 1 0
Napa 312704A 139 90 47 0
Napa 312705 14 7 7 0
Napa 312705A 321 228 86 0
Napa 312707 13 13 0 0
Napa 312707A 203 144 53 0
Napa 312708 22 14 7 0
Napa 312708A 361 254 98 0
Napa 312709 10 6 3 0
Napa 312709A 315 227 78 0
Napa 313701 13 4 8 0
Napa 313701A 439 324 98 0
Napa 313702 8 5 3 0
Napa 313702A 234 152 77 0
Napa 314701 124 63 56 0
Napa 314701A 1397 955 398 0
Napa 315701 8 2 6 0
Napa 315701A 165 98 59 0
Napa 315702 10 2 7 0
Napa 315702A 170 84 83 0
Napa 321671 16 3 13 0
Napa 321671A 481 335 130 0
Napa 321672 11 7 4 0
Napa 321672A 420 291 117 0
Napa 332601 47 30 17 0
Napa 332601A 694 548 121 0
Napa 332602 17 12 4 0
Napa 332602A 478 394 83 0
Napa 332603 19 13 6 0
Napa 332603A 660 518 133 0
Napa 332604 33 20 12 0
Napa 332604A 595 494 90 0
Napa 332605 32 17 14 0
Napa 332605A 398 308 66 0
Napa 332606 4 3 1 0
Napa 332606A 281 218 52 0
Napa 343701 63 35 26 0
Napa 343701A 783 613 146 0
Napa 343702 18 9 9 0
Napa 343702A 361 282 64 0
Napa 343703 8 4 4 0
Napa 343703A 393 335 52 0
Napa 343704 17 10 6 0
Napa 343704A 325 268 43 0
Napa 343705 11 7 4 0
Napa 343705A 351 259 77 0
Napa 351611 7 6 1 0
Napa 351611A 408 258 114 0
Napa 351612 20 10 9 0
Napa 351612A 474 340 114 0
Napa 351613 32 20 11 0
Napa 351613A 563 429 114 0
Napa 351614 7 3 3 0
Napa 351614A 233 167 60 0
Napa 411221 1 0 1 0
Napa 411221A 101 63 35 0
Napa 411411 3 0 3 0
Napa 411411A 191 107 75 0
Napa 411412 7 4 3 0
Napa 411412A 271 121 142 0
Napa 411413 8 4 3 0
Napa 411413A 332 230 96 0
Napa 411414 7 1 6 0
Napa 411414A 136 87 40 0
Napa 411415 6 4 2 0
Napa 411415A 535 346 178 0
Napa 411416 9 4 5 0
Napa 411416A 617 402 204 0
Napa 411417 0 0 0 0
Napa 411417A 37 23 14 0
Napa 411418 9 1 8 0
Napa 411418A 190 81 98 0
Napa 411419 22 8 14 0
Napa 411419A 725 452 248 0
Napa 411711 14 6 8 0
Napa 411711A 303 152 139 0
Napa 411712 8 6 2 0
Napa 411712A 310 196 105 0
Napa 411713 0 0 0 0
Napa 411713A 126 89 32 0
Napa 416801 3 0 2 0
Napa 416801A 172 79 89 0
Napa 421221 18 12 6 0
Napa 421221A 364 278 72 0
Napa 421222 26 10 16 0
Napa 421222A 398 312 74 0
Napa 421223 3 2 1 0
Napa 421223A 84 60 21 0
Napa 421224 16 9 5 0
Napa 421224A 478 366 93 0
Napa 421225 14 8 6 0
Napa 421225A 464 354 91 0
Napa 421226 20 13 7 0
Napa 421226A 362 285 61 0
Napa 421227 4 1 3 0
Napa 421227A 82 51 28 0
Napa 421228 0 0 0 0
Napa 421228A 146 94 50 0
Napa 421229 4 0 4 0
Napa 421229A 107 85 17 0
Napa 421421 4 1 2 0
Napa 421421A 106 84 20 0
Napa 421422 19 8 11 0
Napa 421422A 520 413 98 0
Napa 421423 13 9 4 0
Napa 421423A 399 291 91 0
Napa 421424 35 19 16 0
Napa 421424A 748 532 191 0
Napa 421425 19 11 8 0
Napa 421425A 684 532 129 0
Napa 421426 24 12 10 0
Napa 421426A 680 516 142 0
Napa 421427 35 10 24 0
Napa 421427A 658 476 156 0
Napa 421471 14 5 9 0
Napa 421471A 582 407 151 0
Napa 421472 39 20 16 0
Napa 421472A 1277 922 311 0
Napa 421521 0 0 0 0
Napa 421521A 9 3 3 0
Napa 421571 22 12 10 0
Napa 421571A 693 512 156 0
Napa 421671 25 12 13 0
Napa 421671A 641 442 181 0
Napa 511141 2 0 2 0
Napa 511141A 142 74 56 0
Napa 511142 0 0 0 0
Napa 511142A 17 8 8 0
Napa 511211 2 1 1 0
Napa 511211A 259 160 90 0
Napa 511221 0 0 0 0
Napa 511221A 83 41 37 0
Napa 511411 11 3 8 0
Napa 511411A 566 371 181 0
Napa 511431 14 4 9 0
Napa 511431A 381 253 114 0
Napa 511441 0 0 0 0
Napa 511441A 32 14 18 0
Napa 521141 31 18 12 0
Napa 521141A 884 660 184 0
Napa 521142 29 19 9 0
Napa 521142A 804 581 191 0
Napa 521221 10 5 5 0
Napa 521221A 222 176 41 0
Napa 521222 5 3 2 0
Napa 521222A 135 104 29 0
Napa 521223 13 9 4 0
Napa 521223A 658 528 118 0
Napa 521224 0 0 0 0
Napa 521224A 146 117 27 0
Napa 521225 0 0 0 0
Napa 521225A 217 161 50 0
