COUNTY AREA TOTAL DEM REP Writein
Chickasaw "City of New Hampton Ward 2" 390 143 247 0
Chickasaw "City of New Hampton Ward 3" 539 204 335 0
Chickasaw "City of New Hampton Ward 4" 471 182 289 0
Clay Douglas/Peterson 407 102 305 0
Clay Garfield/Herdland 234 66 168 0
Clay Lake/Freeman 316 99 217 0
Clay Lincoln/Clay 449 125 324 0
Clay "Logan/Gillett Grove" 269 59 209 1
Clay "Spencer Ward 1" 878 347 530 1
Clay "Spencer Ward 2" 997 407 586 4
Clay "Spencer Ward 3" 1110 410 697 3
Clay "Spencer Ward 4" 1404 429 971 4
Clay "Spencer Ward 5" 1294 461 831 2
Clay Summit/Riverton/Sioux/Meadow 792 216 575 1
Clay "Waterford/Lone Tree" 498 113 385 0
Crawford "Charter Oak" 497 143 352 2
Crawford DCAB 692 241 450 1
Crawford "Denison 1st Ward" 831 404 426 1
Crawford "Denison 2nd Ward and Denison TWP" 919 414 504 1
Crawford "Denison 3rd Ward and Goodrich TWP" 1073 411 658 4
Crawford Northeast 815 246 568 1
Crawford Southeast 970 318 650 2
Crawford SRK 844 235 607 2
Dickinson "Precinct No. 1" 771 207 564 0
Dickinson "Precinct No. 2" 688 203 485 0
Dickinson "Precinct No. 3" 632 211 421 0
Dickinson "Precinct No. 4 - NS Ballot #1" 253 84 169 0
Dickinson "Precinct No. 5" 995 340 655 0
Dickinson "Precinct No. 6 - NS Ballot #1" 275 97 178 0
Dickinson "Precinct No. 7" 119 37 82 0
Dickinson "Precinct No. 8" 2056 659 1395 2
Dickinson "Precinct No. 9 - NS Ballot #1" 105 32 73 0
Dickinson "Precinct No. 10 - S Ballot #1" 519 177 342 0
Dickinson "Precinct No. 11" 665 241 423 1
Dickinson "Precinct No. 12" 591 172 419 0
Dickinson "Precinct No. 13 - S Ballot #1" 847 294 551 2
Dickinson "Precinct No. 14 - S Ballot #1" 596 221 374 1
Dickinson "Precinct No. 15" 1679 600 1074 5
Emmet AG-IL-Armstrong 650 168 482 0
Emmet CN-SL-Gruver 220 50 170 0
Emmet DM-JC-Ringsted 316 88 228 0
Emmet EL-LN-Dolliver 193 53 140 0
Emmet Emmet-Estherville 334 68 266 0
Emmet "Estherville Ward 1" 661 232 429 0
Emmet "Estherville Ward 2" 553 198 354 1
Emmet "Estherville Ward 3" 569 247 322 0
Emmet "Estherville Ward 4" 444 202 242 0
Emmet "Estherville Ward 5" 380 161 219 0
Emmet HL-TM-Wallingford 332 98 232 2
Floyd "CC1 - Courthouse" 1078 504 572 2
Floyd "CC2 - Messiah" 1246 599 647 0
Floyd "CC3 - Trinity" 1058 531 523 4
Floyd "Floyd - Cedar - Niles" 849 287 562 0
Floyd "Rock Grove - Rudd" 1154 494 657 3
Floyd "Rockford - Ulster" 831 297 532 2
Floyd "Scott - Union - Pleasant Grove" 531 212 319 0
Floyd "St. Charles - Riverton" 988 320 666 2
Franklin "Geneva/Ingham/East Mott" 346 97 249 0
Franklin Grant/Osceola 315 82 232 1
Franklin Hamilton/Lee/Reeve 343 105 238 0
Franklin "Hampton 1" 347 153 193 1
Franklin "Hampton 2" 457 192 262 3
Franklin "Hampton 3" 513 206 306 1
Franklin "Hampton 4" 370 181 188 1
Franklin Marion 353 98 255 0
Franklin Oakland/Morgan 346 91 255 0
Franklin "Richland/Ross/West Fork" 981 293 685 3
Franklin "West Mott Township" 244 74 170 0
Franklin Wisner/Scott 278 62 216 0
Greene "Central Precinct" 676 229 445 2
Greene "East Precinct" 704 256 446 2
Greene "Jefferson 1 Precinct" 687 289 394 4
Greene "Jefferson 2 Precinct" 714 303 411 0
Greene "Jefferson 3 Precinct" 853 390 463 0
Greene "North Precinct" 622 220 401 1
Greene "West Precinct" 556 161 392 3
Grundy "PRECINCT 1" 899 261 636 2
Grundy "PRECINCT 2" 461 111 349 1
Grundy "PRECINCT 3" 874 164 708 2
Grundy "PRECINCT 4" 554 116 437 1
Grundy "PRECINCT 5" 1411 472 936 3
Grundy "PRECINCT 6" 1365 394 969 2
Grundy "PRECINCT 7" 1367 494 871 2
Hamilton "Precinct 1" 726 249 474 3
Hamilton "Precinct 2" 561 179 382 0
Hamilton "Precinct 3" 1119 359 760 0
Hamilton "Precinct 4" 1103 400 700 3
Hamilton "Precinct 5" 663 191 468 4
Hamilton "Webster City 1st" 1244 570 673 1
Hamilton "Webster City 2nd" 1432 630 801 1
Hamilton "Webster City 3rd" 803 369 432 2
Hancock "Precinct #1" 692 225 466 1
Hancock "Precinct #2" 224 86 138 0
Hancock "Precinct #3" 220 68 152 0
Hancock "Precinct #4" 1346 389 953 4
Hancock "Precinct #5 - Garfield Twp" 181 42 139 0
Hancock "Precinct #6" 1846 586 1259 1
Hancock "Precinct #7" 496 136 357 3
Hancock "Precinct #8" 248 66 182 0
Hancock "Precinct #9" 480 117 362 1
Hancock "Precinct #10" 185 57 128 0
Hardin Alden/Buckeye 719 256 461 2
Hardin Eldora/Pleasant/Providence/Union 941 252 689 0
Hardin Concord/Sherman/Grant/Tipton 1368 379 986 3
Hardin "Eldora City" 1215 420 791 4
Hardin Etna/Clay 1219 381 838 0
Hardin Hardin/Ellis/Jackson 857 257 600 0
Hardin "Iowa Falls #1" 955 430 524 1
Hardin "Iowa Falls #2" 1428 559 869 0
Harrison "Precinct 1 - Little Sioux" 145 66 79 0
Harrison "Precinct 2 - Pisgah" 343 84 258 1
Harrison "Precinct 3 - Dunlap" 757 294 462 1
Harrison "Precinct 4 - Mondamin" 379 133 246 0
Harrison "Precinct 5 - Magnolia" 615 147 466 2
Harrison "Precinct 6 - Boyer/Lincoln" 312 99 213 0
Harrison "Precinct 7 - Woodbine" 733 236 496 1
Harrison "Precinct 8 - Modale" 440 166 273 1
Harrison "Precinct 9 - Jefferson/LaGrange" 594 146 447 1
Harrison "Precinct 10 - Logan" 720 248 468 4
Harrison "Precinct 11 - St John" 749 253 492 4
Harrison "Precinct 12 - Missouri Valley" 1241 473 760 8
Harrison "Precinct 13 - Persia" 634 153 480 1
Humboldt "Avery-North Weaver" 283 85 198 0
Humboldt "Dakota City-Grove" 575 178 396 1
Humboldt "Delana-Wacousta-North Rutland" 349 84 265 0
Humboldt "Humboldt-West Vernon" 321 69 252 0
Humboldt "Humboldt 1-Corinth-South Weaver" 1173 315 858 0
Humboldt "Humboldt 2-Beaver-South Norway" 947 316 629 2
Humboldt "Humboldt 3-South Rutland" 1052 334 714 4
Humboldt "North Lake-East Vernon" 217 58 157 2
Humboldt "South Lake-North Norway" 166 34 132 0
Ida "Ida Grove Ward 1" 345 123 222 0
Ida "Ida Grove Ward 2" 414 106 308 0
Ida "Ida Grove Ward 3" 434 140 294 0
Ida "City of Arthur" 426 74 350 2
Ida "City of Galva" 267 60 207 0
Ida "City of Holstein" 979 312 665 2
Ida "City of Battle Creek & Grant Twp" 864 244 614 6
Kossuth "EG, GT, HS, SW" 619 131 487 1
Kossuth "HB, LY, LN, SF" 467 115 351 1
Kossuth "GW, SN" 183 37 146 0
Kossuth "GM, RM" 583 149 433 1
Kossuth "BT, FT, UN" 766 261 505 0
Kossuth "BF, PT" 510 155 355 0
Kossuth LC 112 25 87 0
Kossuth UN 81 33 48 0
Kossuth PC 181 51 130 0
Kossuth "IV, PC" 95 29 66 0
Kossuth "PR, WL" 435 121 314 0
Kossuth "GF, WM" 552 139 413 0
Kossuth "CR, IV, RV" 623 186 437 0
Kossuth "LV, SM" 289 64 225 0
Kossuth "CR 1" 31 3 28 0
Kossuth "CR 2" 205 68 136 1
Kossuth AL1 839 304 535 0
Kossuth AL2 787 330 457 0
Kossuth AL3 741 333 407 1
Kossuth AL4 650 246 404 0
Lyon "George Community Center" 1313 169 1144 0
Lyon "Doon City Hall" 946 59 882 5
Lyon "Inwood Community Center" 629 114 514 1
Lyon "Larchwood City Hall" 746 259 487 0
Lyon "Lester Community Center" 491 94 397 0
Lyon "Little Rock Town and Country Building" 395 44 351 0
Lyon "Forster Community Building N" 886 151 734 1
Lyon "Forster Community Building S" 1295 248 1047 0
Monona Ashton-Lincoln-Belvidere-Kennebec-Turin-Franklin 419 137 281 1
Monona Castana-Center-Jordan 209 67 141 1
Monona Cooper-Maple-Mapleton 824 279 535 10
Monona "Fairview-Grant-Lake-Rodney-Whiting-W Fork" 724 204 517 3
Monona "Moorhead-Soldier-Solider City-Spring Valley-Willow" 426 161 263 2
Monona "Onawa Ward 1" 290 118 172 0
Monona "Onawa Ward 2- NE Franklin" 404 143 260 1
Monona "Onawa Ward 3" 386 146 240 0
Monona "Onawa Ward 4" 305 105 196 4
Monona "Sherman-SE Franklin-Blencoe-Sioux" 295 95 200 0
Monona "St. Clair-Ute" 261 92 169 0
O'Brien Carroll-Floyd 413 80 332 1
O'Brien Franklin 829 135 690 4
O'Brien Hartley-Lincoln-Omega 1112 269 843 0
O'Brien "Sheldon 1st Ward" 1040 213 826 1
O'Brien "Sheldon 2nd Ward" 784 181 601 2
O'Brien "Sheldon 3rd Ward" 698 155 540 3
O'Brien Summit-Center-Dale-Highland 859 226 629 4
O'Brien Union-Baker-Caledonia 937 182 754 1
O'Brien Waterman-Grant-Liberty 704 174 529 1
Osceola "Ashton Precinct" 416 65 349 2
Osceola "Harris Precinct" 172 32 140 0
Osceola "May City Precinct" 175 38 137 0
Osceola "Melvin Precinct" 254 47 207 0
Osceola "Ocheyedan Precinct" 303 64 239 0
Osceola "Osceola 1 Precinct" 516 95 420 1
Osceola "Osceola 2 Precinct" 627 135 492 0
Osceola "Osceola 3 Precinct" 711 151 558 2
"Palo Alto" "Emmetsburg Ward 1" 496 191 305 0
"Palo Alto" "Emmetsburg Ward 2" 447 206 240 1
"Palo Alto" "EM Ward 3/SL/pt.HL&WL&EM" 935 360 575 0
"Palo Alto" EMWard4/FV/FF/FR/IN/VN/ptEM 968 326 641 1
"Palo Alto" "GR/RV/LI/pt. HL&WL" 923 328 594 1
"Palo Alto" WB/EL/RL/BO/GO/NV 1048 210 838 0
Plymouth "Akron Public Library" 872 228 640 4
Plymouth "American Bank" 490 79 407 4
Plymouth "Courthouse Annex" 537 102 433 2
Plymouth "Brunsville Legion Club" 836 146 688 2
Plymouth "Remsen Public Library" 1286 271 1013 2
Plymouth "Westfield Community Center" 408 113 293 2
Plymouth "Kissinger Community Center" 970 256 711 3
Plymouth "Perry Township Hall" 1021 279 740 2
Plymouth "Hinton Community Center" 1260 330 929 1
Plymouth "Kingsley Community Center" 1032 238 792 2
Plymouth "Le Mars Convention Center #11" 1755 553 1201 1
Plymouth "Le Mars Convention Center #12" 1984 576 1407 1
Plymouth "Le Mars Convention Center #13" 1326 449 872 5
Pocahontas "Swan Lake-N Marshall" 703 203 495 5
Pocahontas "DM-Cum-Pow-N Gar-N Sherm-N Roos" 670 189 480 1
Pocahontas "Grant-S Marsh-S Sherman" 211 47 163 1
Pocahontas "Pocahontas #1" 794 262 527 5
Pocahontas "Pocahontas #2" 362 107 254 1
Pocahontas Cedar-Colfa-Dover 520 178 340 2
Pocahontas "Bell-Liz-S Lake-S Lincoln" 403 78 325 0
Sac Schaller 631 200 429 2
Sac Nemaha 188 58 130 0
Sac Early 408 128 278 2
Sac "Sac City" 1213 444 766 3
Sac Lytton 265 72 192 1
Sac Odebolt 714 162 542 10
Sac "Lake View" 1035 279 753 3
Sac Auburn 275 72 203 0
Sac "Wall Lake" 584 125 452 7
Shelby Grove-Union-Washington-Westphalia 1032 293 734 5
Shelby Douglas-Greeley-Jefferson-Polk 664 159 503 2
Shelby Cass-Center-Jackson-Lincoln 913 255 655 3
Shelby Clay-Monroe 602 198 404 0
Shelby Shelby-Fairview 662 193 469 0
Shelby "Harlan Ward 1" 535 176 358 1
Shelby "Harlan Ward 2" 718 255 460 3
Shelby "Harlan Ward 3" 698 263 435 0
Shelby "Harlan Ward 4" 533 170 361 2
Sioux "Alton/Nassau/East Orange" 1140 275 863 2
Sioux Floyd/Lynn 838 83 753 2
Sioux Grant/Sheridan 927 108 818 1
Sioux "Hawarden/Buncombe/Logan/Washington/Eagle South" 1394 457 936 1
Sioux Lincoln 1631 95 1531 5
Sioux "Orange City No. 1/Holland West" 1818 350 1461 7
Sioux "Orange City No. 2/Holland East/Nassau" 1897 377 1517 3
Sioux "Plato/Garfield/Settlers/Sioux/Eagle North" 835 61 773 1
Sioux "Reading/Center South" 581 74 500 7
Sioux "Rock Valley East" 1166 126 1036 4
Sioux "Rock Valley West/Rock" 1225 84 1140 1
Sioux Sherman 363 26 334 3
Sioux "Sioux Center North/Capel/Welcome" 1253 131 1116 6
Sioux "Sioux Center Central" 1123 215 906 2
Sioux "Sioux Center South" 2131 247 1878 6
Sioux "West Branch/Center North" 504 47 455 2
Story "Ames 1-1" 1702 1023 675 4
Story "Ames 1-2" 1493 1003 486 4
Story "Ames 1-3/Grant 2" 1468 935 530 3
Story "Ames 1-4" 1527 1179 346 2
Story "Ames 1-5" 1852 1218 632 2
Story "Ames 2-1" 1549 1154 390 5
Story "Ames 2-2" 1391 978 413 0
Story "Ames 2-3" 1667 1102 557 8
Story "Ames 2-4" 1974 1180 789 5
Story "Ames 2-5" 2557 1520 1032 5
Story "Ames 3-1/Wash 2" 2074 1389 679 6
Story "Ames 3-2" 1093 748 341 4
Story "Ames 3-3" 1263 853 408 2
Story "Ames 3-4" 1975 1358 616 1
Story "Ames 3-5/Wash 3" 1548 1088 460 0
Story "Ames 4-1" 1238 720 517 1
Story "Ames 4-2" 282 154 127 1
Story "Ames 4-3" 577 368 206 3
Story "Ames 4-4" 1382 1009 372 1
Story "Ames 4-5" 1727 1127 592 8
Story Collins/Collins 450 126 324 0
Story Franklin/Gilbert 2371 1074 1296 1
Story "Grant Twp" 263 112 146 5
Story Howard/Roland 1163 497 659 7
Story Huxley 2383 1076 1304 3
Story "Indian Creek/Maxwell" 878 323 552 3
Story "Lafayette Twp" 269 92 177 0
Story Lincoln/Zearing 411 128 281 2
Story "Milford Twp" 340 141 195 4
Story "Nevada 1" 841 440 396 5
Story "Nevada 2" 833 490 341 2
Story "Nevada 3/Grant 3" 956 481 472 3
Story "Nevada 4" 923 445 475 3
Story "Nevada Twp" 462 175 286 1
Story "New Albany/Colo" 657 237 419 1
Story "Palestine Twp" 514 185 329 0
Story "Richland Twp" 227 72 155 0
Story "Sherman Twp" 112 31 81 0
Story Slater/Sheldahl 1056 474 581 1
Story "Story City" 1984 894 1085 5
Story Union/Cambridge 770 319 448 3
Story Warren/McCallsburg 329 95 234 0
Story Washington/Kelley 528 236 290 2
Webster "Badger-NW Cooper" 746 278 465 3
Webster Clay-Roland 445 96 347 2
Webster Colfax-Duncombe 308 125 182 1
Webster "Cooper Township" 145 60 84 1
Webster Dayton-Burnside 778 263 515 0
Webster "Deer Creek-Jackson" 441 109 332 0
Webster "Douglas Township" 635 215 420 0
Webster "Elkhorn Township" 473 134 339 0
Webster "Fort Dodge #1" 1315 511 801 3
Webster "Fort Dodge #2" 980 490 486 4
Webster "Fort Dodge #3" 739 340 398 1
Webster "Fort Dodge #4" 870 417 452 1
Webster "Fort Dodge #5" 556 260 294 2
Webster "Fort Dodge #6" 302 150 150 2
Webster "Fort Dodge #7" 725 418 307 0
Webster "Fort Dodge #8" 692 370 322 0
Webster "Fort Dodge #9" 737 373 363 1
Webster "Fort Dodge #10" 946 447 498 1
Webster "Fort Dodge #11" 1393 518 872 3
Webster "Fort Dodge #12" 862 390 470 2
Webster Fulton 231 61 170 0
Webster Gowrie 638 187 449 2
Webster Johnson 231 85 146 0
Webster "Lost Grove" 257 58 199 0
Webster Newark 166 53 113 0
Webster "Otho-Pleasant Valley" 798 276 521 1
Webster Sumner-Webster-Yell-Hardin 445 156 288 1
Webster "Washington Township" 188 54 134 0
Winnebago "Buffalo Grant Lincoln" 865 261 601 3
Winnebago "King Linden" 442 142 298 2
Winnebago "FC3 Forest D3" 574 247 326 1
Winnebago "Forest City Ward 1" 571 248 322 1
Winnebago "Forest City Ward 2" 441 212 228 1
Winnebago "Forest City Ward 4" 418 183 232 3
Winnebago "Newton Forest" 463 158 304 1
Winnebago Center 1315 545 767 3
Winnebago "Eden Logan Norway" 359 122 237 0
Winnebago "Mt Valley" 331 97 234 0
Woodbury "1 Church of Jesus Christ of LD" 1349 648 698 3
Woodbury "2 Cross Pointe Church" 954 586 366 2
Woodbury "3 Concordia Lutheran Church" 1487 717 763 7
Woodbury "4 Siouxland Center for Active" 682 376 306 0
Woodbury "5 Riverside Lutheran Church" 1194 617 575 2
Woodbury "6 Faith Lutheran Church" 1162 688 465 9
Woodbury "7 Crescent Park School" 1086 569 514 3
Woodbury "8 Mt. Zion Baptist Church" 560 372 185 3
Woodbury "9 Boys & Girls Home" 365 236 128 1
Woodbury "10 First Congregational Church" 1508 674 827 7
Woodbury "11 Girls Inc." 435 296 139 0
Woodbury "12 St. John Lutheran Church" 1437 767 664 6
Woodbury "13 Sioux City Transit Building" 736 351 385 0
Woodbury "14 Boys & Girls Home" 667 414 251 2
Woodbury "15 Peace Reformed Church -" 1490 600 883 7
Woodbury "16 Trimble United Methodist Ch" 1166 627 536 3
Woodbury "17 Sioux City Baptist Church" 1428 711 714 3
Woodbury "18 Calvary Lutheran Church" 1386 671 706 9
Woodbury "19 Central Baptist Church" 1563 704 857 2
Woodbury "20 Augustana Lutheran Church" 585 390 191 4
Woodbury "21Morningside Lutheran Church" 1112 516 588 8
Woodbury "22 Morningside Branch Library" 1454 707 735 12
Woodbury "23 Iglesia Restauracion Canaan" 1265 650 602 13
Woodbury "24 Washington Heights Chapel" 1392 626 763 3
Woodbury "25 Morningside College Eppley" 1242 605 632 5
Woodbury "26 Morningside Bible Church" 1440 647 786 7
Woodbury "27 St. James United Methodist" 1422 682 731 9
Woodbury "28 Redeemer Lutheran Church -" 3116 1222 1881 13
Woodbury "29 Sgt Bluff East -" 1838 607 1227 4
Woodbury "30 Sgt Bluff West" 1559 570 989 0
Woodbury "31 Salix -" 664 210 451 3
Woodbury "32 Bronson -" 638 176 459 3
Woodbury "33 Pierson -" 300 90 210 0
Woodbury "34 Correctionville -" 560 165 392 3
Woodbury "35 Moville -" 1490 444 1039 7
Woodbury "36 Lawton -" 780 192 581 7
Woodbury "37 Climbing Hill -" 283 78 205 0
Woodbury "38 Sloan -" 660 219 436 5
Woodbury "39 Hornick -" 255 43 212 0
Woodbury "40 Anthon -" 350 96 253 1
Woodbury "41 Danbury -" 367 93 272 2
Woodbury "42 Smithland -" 236 56 180 0
Woodbury "43 Oto -" 138 41 97 0
Woodbury "44 Cushing -" 234 63 171 0
Wright "Belmond Precinct" 1571 593 977 1
Wright "Clarion Precinct" 1153 424 727 2
Wright "Dows Precinct" 372 131 240 1
Wright "Big 6 Precinct" 653 184 466 3
Wright "EG #1 Precinct" 296 126 168 2
Wright "EG #2 Precinct" 304 119 182 3
Wright "EG #3 Precinct" 409 126 283 0
Wright "EG #4 Precinct" 337 141 195 1
Wright "Rural Eagle Grove Precinct" 414 116 297 1
Wright "Goldfield Precinct" 426 105 320 1
