COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Baxley Armistead Adams WRITEIN
Chilton "MAPLESVILLE-NEW FIRE STATION" 0 292 225 6 1
Chilton "MARS HILL-W CHILTON FIRE" 0 206 340 12 0
Chilton "PROVIDENCE-E CHILTON FIRE" 0 250 435 12 1
Chilton "PROVIDENCE-N CHILTON FIRE" 0 131 311 6 3
Chilton "SOUTH CHILTON FIRE STATION" 0 141 379 6 1
Chilton "THORSBY TOWN HALL" 0 281 578 11 2
Chilton "UNION GROVE-FIRE STATION" 0 287 500 7 3
Chilton "VERBENA-FIRE STATION" 0 319 436 16 1
Chilton "VETERANS CLUB-CLANTON" 0 676 390 9 3
Choctaw Absentee 0 88 52 5 0
Choctaw Ararat 0 46 48 2 0
Choctaw Barrytown 0 26 121 1 0
Choctaw "Bladon Sprgs." 0 74 10 0 0
Choctaw Bogueloosa 0 68 142 2 0
Choctaw Branch 0 144 34 0 0
Choctaw Butler 0 521 511 11 0
Choctaw "Chappell Hill" 0 43 94 1 0
Choctaw Cromwell 0 50 16 0 0
Choctaw Crossroads 0 65 18 3 0
Choctaw Cullomburg 0 37 41 1 0
Choctaw Gilbertown 0 117 148 3 0
Choctaw Halsell 0 41 12 1 0
Choctaw Hurricane 0 14 11 1 0
Choctaw Intersection 0 45 1 1 0
Choctaw Isney 0 10 37 0 0
Choctaw Lavaca 0 117 45 0 0
Choctaw Lisman 0 194 23 1 0
Choctaw Lusk 0 50 84 2 0
Choctaw Melvin 0 66 17 1 0
Choctaw "Mt. Sterling" 0 101 31 0 0
Choctaw Pelham 0 87 19 0 0
Choctaw Pennington 0 207 51 2 0
Choctaw "Pleasant Valley" 0 30 80 1 0
Choctaw Pushmataha 0 98 5 0 0
Choctaw Riderwood 0 73 8 0 0
Choctaw "Rock Springs" 0 16 31 1 0
Choctaw Silas 0 97 121 1 0
Choctaw Souwilpa 0 11 27 0 0
Choctaw Toomey 0 58 54 1 0
Choctaw Toxey 0 97 74 0 0
Choctaw "Womack Hill" 0 35 38 0 0
Choctaw Yantley 0 196 9 1 0
Clarke "ABSENTEE VOTERS" 0 60 112 0 0
Clarke "ANTIOCH FIRE STATION" 0 102 118 1 4
Clarke "BASHI - METHODIST CHURCH" 0 22 42 0 0
Clarke "CHOCTAW BLUFF FIRE STATION" 0 153 44 1 0
Clarke "COFFEEVILLE HIGH SCHOOL GYM" 0 221 225 2 1
Clarke "GOOD HOPE AME CHRCH GAINSTOWN" 0 204 34 7 4
Clarke "GOSPORT FIRE STATION" 0 126 16 3 1
Clarke "GROVE HILL - COURTHOUSE" 0 139 220 1 0
Clarke "GROVE HILL-CITY HALL" 0 111 264 1 2
Clarke "GROVE HILL-NATIONAL GUARD" 0 161 53 2 2
Clarke "HELLWESTERN FIRE STATION" 0 55 138 1 2
Clarke "HOPEWELL CHURCH - CHILTON" 0 9 72 1 1
Clarke "JACKSON CITY HALL" 0 555 278 9 2
Clarke "JACKSON-FIRE STATION NO_2" 0 139 285 3 1
Clarke "JACKSON-NATIONAL GUARD ARMORY" 0 163 362 0 1
Clarke "JACKSON-SKIPPERS FIRE STATION" 0 202 272 4 0
Clarke "MORNING STAR BAPTIST CHURCH" 0 109 20 0 1
Clarke "MORVIN CAMP MORVIN" 0 88 33 1 1
Clarke "NETTLESBORO FIRE STATION" 0 52 64 0 0
Clarke "OLD FULTON SCHOOL" 0 181 283 1 2
Clarke "OVERSTREET GROCERY" 0 158 89 1 1
Clarke "SALITPA-ALABAMA SANDBLASTING" 0 81 50 0 1
Clarke "SALTWORKS VOTING HOUSE-CARLTON" 0 88 27 0 0
Clarke "SPRINGFIELD UNITED METHODIST" 0 21 169 3 0
Clarke "TALLAHATTA SPR_-COMM_ HOUSE" 0 6 79 0 1
Clarke "THOMASVILLE FIRE STATION" 0 175 359 1 1
Clarke "THOMASVILLE FIRE STATION .2" 0 74 309 2 0
Clarke "THOMASVILLE-NATIONAL GUARD" 0 551 349 4 1
Clarke "WHATLEY - GARRICKS STORE" 0 106 51 1 0
Clarke "WINN & ZIMCO-FIRE STATION" 0 132 41 4 2
Clay Absentee 0 114 114 2 0
Clay "Ashland National Guard 17" 0 326 366 7 2
Clay "Ashland National Guard 18A" 0 71 107 3 0
Clay "Ashland National Guard 18B" 0 41 53 1 1
Clay "Ashland National Guard 21" 0 183 68 1 0
Clay "Barfield Volunteer" 0 236 178 8 0
Clay "Bluff Springs F.D." 0 123 157 10 0
Clay "Coleta Valley F.D." 0 41 59 2 0
Clay "Cragford F.D." 0 91 98 6 0
Clay "Delta Community Center" 0 98 63 5 0
Clay "Highland/Coppermine FD" 0 68 57 2 0
Clay "Highland/Coppermine FD 2" 0 83 98 4 0
Clay "Hipine F.D." 0 33 64 1 0
Clay "Hollins Community Center" 0 108 86 2 0
Clay "Idaho F.D." 0 77 130 4 0
Clay "Lineville Armory" 0 207 148 3 0
Clay "Lineville National Guard 15" 0 154 145 2 0
Clay "Lineville National Guard 20" 0 249 55 1 0
Clay "Mellow Valley High 01" 0 22 34 2 0
Clay "Mellow Valley High 02" 0 90 134 2 0
