COUNTY AREA TOTAL DEM REP CST GRE LIB
COUNTY AREA TOTAL DEM REP CST GRE LIB
BUNCOMBE 43.2 0 186 166 0 0 10
BUNCOMBE 44.1 0 339 428 0 0 23
BUNCOMBE 45.1 0 291 408 0 0 29
BUNCOMBE 46.1 0 176 226 0 0 10
BUNCOMBE 47.1 0 294 656 0 0 29
BUNCOMBE 48.1 0 231 425 0 0 24
BUNCOMBE 49.1 0 265 705 0 0 31
BUNCOMBE 50.1 0 159 356 0 0 6
BUNCOMBE 51.2 0 161 293 0 0 22
BUNCOMBE 52.1 0 198 430 0 0 23
BUNCOMBE 53.1 0 192 392 0 0 10
BUNCOMBE 54.2 0 388 388 0 0 30
BUNCOMBE 55.1 0 322 398 0 0 0
BUNCOMBE 56.2 0 250 217 0 0 0
BUNCOMBE 57.1 0 266 427 0 0 0
BUNCOMBE 58.1 0 156 200 0 0 17
BUNCOMBE 59.1 0 250 390 0 0 14
BUNCOMBE 60.2 0 179 130 0 0 0
BUNCOMBE 60.4 0 163 187 0 0 0
BUNCOMBE 61.1 0 344 396 0 0 0
BUNCOMBE 62.1 0 310 293 0 0 0
BUNCOMBE 63.1 0 82 120 0 0 6
BUNCOMBE 64.1 0 212 324 0 0 0
BUNCOMBE 65.1 0 373 359 0 0 0
BUNCOMBE 66.1 0 200 213 0 0 0
BUNCOMBE 67.1 0 185 177 0 0 16
BUNCOMBE 68.1 0 333 501 0 0 24
BUNCOMBE 681 0 34 100 0 0 4
BUNCOMBE 69.1 0 266 406 0 0 25
BUNCOMBE 70.1 0 369 287 0 0 35
BUNCOMBE 71.1 0 277 337 0 0 19
BUNCOMBE ABSENTEE 0 0 0 0 0 0
BUNCOMBE CURBSIDE 0 0 0 0 0 0
BUNCOMBE "OS AVML" 0 6379 1804 0 0 23
BUNCOMBE "OS BCPI" 0 2514 597 0 0 16
BUNCOMBE "OS BMBL" 0 4371 2542 0 0 4
BUNCOMBE "OS ECBL" 0 3849 4007 0 0 125
BUNCOMBE "OS FVBL" 0 2732 2391 0 0 3
BUNCOMBE "OS LCBL" 0 1573 2675 0 0 53
BUNCOMBE "OS NABL" 0 7988 1513 0 0 72
BUNCOMBE "OS SBBL" 0 6871 4141 0 0 79
BUNCOMBE "OS WABL" 0 6951 1589 0 0 118
BUNCOMBE "OS WGSC" 0 3882 218 0 0 11
BUNCOMBE "OS WVTH" 0 4322 3854 0 0 109
BUNCOMBE PROVISIONAL 0 0 0 0 0 0
BUNCOMBE TRANSFER 0 0 0 0 0 0
BURKE 0001 0 461 988 0 0 39
BURKE 0003 0 117 433 0 0 12
BURKE 0011 0 218 957 0 0 22
BURKE 0012 0 118 827 0 0 14
BURKE 0013 0 236 1123 0 0 30
BURKE 0014 0 158 767 0 0 6
BURKE 0015 0 153 516 0 0 22
BURKE 0018 0 94 151 0 0 3
BURKE 0019 0 131 238 0 0 1
BURKE 0020 0 233 324 0 0 6
BURKE 0021 0 214 434 0 0 12
BURKE 0022 0 230 696 0 0 21
BURKE 0024 0 421 885 0 0 28
BURKE 0029-A 0 86 398 0 0 13
BURKE 0029-B 0 126 370 0 0 4
BURKE 0031 0 629 337 0 0 31
BURKE 0034 0 562 458 0 0 26
BURKE 0035 0 408 337 0 0 17
BURKE 0036 0 273 671 0 0 13
BURKE 0038 0 409 629 0 0 18
BURKE 0039 0 432 373 0 0 28
BURKE 0040 0 287 490 0 0 20
BURKE 0047-A 0 528 499 0 0 10
BURKE 0047-B 0 238 394 0 0 14
BURKE 0048 0 465 679 0 0 16
BURKE 0051 0 557 1073 0 0 27
BURKE 0052 0 206 374 0 0 14
BURKE 0053 0 219 705 0 0 21
BURKE 0062 0 120 274 0 0 5
BURKE 0064 0 116 286 0 0 4
BURKE 0065 0 117 368 0 0 7
BURKE 0066 0 278 593 0 0 17
BURKE 0070 0 368 877 0 0 15
BURKE "ABSENTEE MAIL" 0 0 0 0 0 0
BURKE "OS BOE LOBBY PAPER" 0 0 0 0 0 0
BURKE "OS GLEN ALPINE PAPER" 0 0 0 0 0 0
BURKE "OS HILDEBRAN PAPER" 0 0 0 0 0 0
BURKE "OS R COLLEGE PAPER" 0 0 0 0 0 0
BURKE "OS SENIOR CENTER PAPER" 0 0 0 0 0 0
BURKE PROVISIONAL 0 0 0 0 0 0
BURKE "TRANSFER PAPER" 0 0 0 0 0 0
CABARRUS 01-02 0 224 639 0 0 0
