DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Bastrop "Precinct 3016" 0 846 1018 31 49 0
NA Bastrop "Precinct 4017" 0 1127 832 41 65 0
NA Bastrop "Precinct 4018" 0 161 342 5 8 0
NA Bastrop "Precinct 4019" 0 767 968 35 60 0
NA Bastrop "Precinct 4020" 0 1348 1163 44 61 0
NA Bastrop "Precinct 4021" 0 324 654 12 34 0
NA Baylor 1 0 32 469 2 9 0
NA Baylor 2 0 35 301 1 3 0
NA Baylor 3 0 40 300 3 9 0
NA Baylor 4 0 48 393 2 9 0
NA Bee PCT 0 3219 5463 85 159 0
NA Bell "Precinct 101" 0 1242 3627 40 140 0
NA Bell "Precinct 102" 0 571 1720 19 60 0
NA Bell "Precinct 103" 0 1178 2690 37 115 0
NA Bell "Precinct 104" 0 1332 4386 44 145 0
NA Bell "Precinct 105" 0 164 986 9 17 0
NA Bell "Precinct 106" 0 1886 1054 67 82 0
NA Bell "Precinct 107" 0 83 254 2 4 0
NA Bell "Precinct 108" 0 157 1045 7 20 0
NA Bell "Precinct 109" 0 781 557 19 49 0
NA Bell "Precinct 110" 0 373 467 18 48 0
NA Bell "Precinct 111" 0 1506 2548 51 87 0
NA Bell "Precinct 113" 0 39 195 2 4 0
NA Bell "Precinct 201" 0 1010 1052 39 60 0
NA Bell "Precinct 202" 0 1785 2524 67 141 0
NA Bell "Precinct 203" 0 1041 4872 58 144 0
NA Bell "Precinct 204" 0 835 616 27 40 0
NA Bell "Precinct 205" 0 1696 939 41 47 0
NA Bell "Precinct 206" 0 717 434 17 25 0
NA Bell "Precinct 207" 0 1331 773 32 69 0
NA Bell "Precinct 208" 0 2611 1521 61 122 0
NA Bell "Precinct 209" 0 2833 2657 76 186 0
NA Bell "Precinct 210" 0 2667 1890 54 134 0
NA Bell "Precinct 301" 0 388 2243 14 57 0
NA Bell "Precinct 302" 0 1007 1660 42 70 0
NA Bell "Precinct 303" 0 1279 1638 20 80 0
NA Bell "Precinct 304" 0 124 439 3 6 0
NA Bell "Precinct 305" 0 563 1361 23 23 0
NA Bell "Precinct 306" 0 698 573 22 26 0
NA Bell "Precinct 307" 0 987 470 24 23 0
NA Bell "Precinct 308" 0 718 747 30 47 0
NA Bell "Precinct 309" 0 68 515 5 9 0
NA Bell "Precinct 310" 0 35 361 1 8 0
NA Bell "Precinct 311" 0 340 1844 12 42 0
NA Bell "Precinct 312" 0 206 1214 6 25 0
NA Bell "Precinct 313" 0 580 1339 21 55 0
NA Bell "Precinct 314" 0 754 991 27 62 0
NA Bell "Precinct 315" 0 1767 3647 51 160 0
NA Bell "Precinct 317" 0 1769 3703 53 130 0
NA Bell "Precinct 401" 0 212 674 11 26 0
NA Bell "Precinct 402" 0 577 1326 15 33 0
NA Bell "Precinct 404" 0 1597 953 35 86 0
NA Bell "Precinct 405" 0 2132 1001 63 109 0
NA Bell "Precinct 406" 0 788 678 28 34 0
NA Bell "Precinct 408" 0 2367 1386 55 120 0
NA Bell "Precinct 409" 0 673 642 19 35 0
NA Bell "Precinct 410" 0 671 430 21 38 0
NA Bell "Precinct 412" 0 2256 897 57 86 0
NA Bell "Precinct 413" 0 3306 1722 84 173 0
NA Bexar 1001 0 394 113 6 15 0
NA Bexar 1002 0 286 160 11 6 0
NA Bexar 1003 0 1021 276 24 28 0
NA Bexar 1004 0 378 98 13 6 0
NA Bexar 1005 0 336 87 6 8 0
NA Bexar 1006 0 836 262 14 17 0
NA Bexar 1007 0 565 169 3 13 0
NA Bexar 1008 0 998 211 25 28 0
NA Bexar 1009 0 673 447 15 26 0
NA Bexar 1010 0 308 73 8 4 0
NA Bexar 1011 0 207 66 1 4 0
NA Bexar 1012 0 771 405 15 15 0
NA Bexar 1013 0 1026 235 17 21 0
NA Bexar 1014 0 500 113 11 10 0
NA Bexar 1015 0 522 150 8 16 0
NA Bexar 1016 0 447 108 4 13 0
NA Bexar 1017 0 84 40 2 3 0
NA Bexar 1018 0 837 288 14 11 0
NA Bexar 1019 0 295 98 9 8 0
NA Bexar 1020 0 923 322 16 18 0
NA Bexar 1021 0 650 187 10 11 0
NA Bexar 1022 0 360 112 1 7 0
NA Bexar 1023 0 909 235 12 16 0
NA Bexar 1024 0 1216 677 41 54 0
NA Bexar 1025 0 213 57 4 2 0
NA Bexar 1026 0 453 136 10 10 0
NA Bexar 1027 0 170 125 0 3 0
NA Bexar 1028 0 350 140 9 12 0
NA Bexar 1029 0 762 221 12 16 0
NA Bexar 1030 0 20 14 4 3 0
NA Bexar 1031 0 566 161 12 20 0
NA Bexar 1032 0 872 194 14 21 0
NA Bexar 1033 0 624 318 20 19 0
NA Bexar 1034 0 1571 1346 48 94 0
NA Bexar 1035 0 176 232 13 19 0
NA Bexar 1036 0 1240 726 35 44 0
NA Bexar 1037 0 881 336 15 23 0
NA Bexar 1038 0 1130 596 29 38 0
NA Bexar 1039 0 959 325 22 35 0
NA Bexar 1040 0 922 256 20 14 0
NA Bexar 1041 0 763 222 15 17 0
NA Bexar 1042 0 428 151 5 7 0
NA Bexar 1043 0 588 268 20 18 0
NA Bexar 1044 0 888 298 9 18 0
NA Bexar 1045 0 1260 512 24 35 0
NA Bexar 1046 0 803 266 9 18 0
NA Bexar 1047 0 649 199 14 9 0
NA Bexar 1048 0 838 320 14 18 0
NA Bexar 1049 0 938 361 20 14 0
NA Bexar 1050 0 533 225 13 13 0
NA Bexar 1051 0 682 392 11 15 0
NA Bexar 1052 0 823 350 14 18 0
NA Bexar 1053 0 84 38 3 1 0
NA Bexar 1054 0 1030 395 18 16 0
NA Bexar 1055 0 830 461 21 40 0
NA Bexar 1056 0 1145 674 19 35 0
NA Bexar 1057 0 618 656 14 27 0
NA Bexar 1058 0 738 657 22 28 0
NA Bexar 1059 0 139 82 5 6 0
NA Bexar 1060 0 1079 379 27 34 0
NA Bexar 1061 0 912 312 20 32 0
NA Bexar 1062 0 35 63 0 0 0
NA Bexar 1063 0 536 613 13 19 0
NA Bexar 1064 0 371 282 10 18 0
NA Bexar 1065 0 686 656 19 22 0
NA Bexar 1066 0 255 170 3 5 0
NA Bexar 1067 0 821 1037 17 28 0
NA Bexar 1068 0 643 554 16 45 0
NA Bexar 1069 0 196 164 4 12 0
NA Bexar 1070 0 386 187 9 9 0
NA Bexar 1071 0 729 388 19 28 0
NA Bexar 1072 0 817 324 23 31 0
NA Bexar 1073 0 1284 1026 36 64 0
NA Bexar 1074 0 6 5 0 0 0
NA Bexar 1075 0 794 285 14 18 0
NA Bexar 1076 0 1081 603 20 33 0
NA Bexar 1077 0 687 189 15 11 0
NA Bexar 1078 0 204 50 6 4 0
NA Bexar 1079 0 1079 529 24 48 0
NA Bexar 1080 0 1976 791 53 83 0
NA Bexar 1081 0 465 762 12 23 0
NA Bexar 1082 0 1716 929 44 76 0
NA Bexar 1083 0 1093 687 30 48 0
NA Bexar 1084 0 722 294 9 28 0
NA Bexar 1085 0 615 248 6 17 0
NA Bexar 1086 0 963 438 16 28 0
NA Bexar 1087 0 599 236 5 14 0
NA Bexar 1088 0 356 102 4 3 0
NA Bexar 1089 0 591 434 16 25 0
NA Bexar 1090 0 0 0 0 0 0
NA Bexar 1091 0 941 420 17 24 0
NA Bexar 1092 0 403 180 11 19 0
NA Bexar 1093 0 482 304 11 23 0
NA Bexar 1094 0 926 519 24 44 0
NA Bexar 1095 0 79 75 5 5 0
NA Bexar 1096 0 57 16 1 2 0
NA Bexar 1097 0 290 102 5 8 0
NA Bexar 1098 0 377 72 8 4 0
NA Bexar 1099 0 1226 656 27 46 0
NA Bexar 1100 0 1125 639 16 40 0
NA Bexar 1101 0 0 0 0 0 0
