COUNTY AREA TOTAL DEM REP IAP LPN NP NPP
Clark 1625 0 294 223 4 5 8 5
Clark 1631 0 470 244 6 6 8 9
Clark 1632 0 253 159 5 5 5 4
Clark 1633 0 485 230 5 6 9 8
Clark 1634 0 390 114 3 9 10 2
Clark 1635 0 247 89 3 5 6 2
Clark 1641 0 309 201 5 2 9 5
Clark 1642 0 215 79 1 4 3 5
Clark 1643 0 163 165 0 2 3 0
Clark 1644 0 1 1 0 0 0 0
Clark 1645 0 57 27 1 0 2 1
Clark 1651 0 130 270 1 4 3 3
Clark 1652 0 606 303 4 9 15 11
Clark 1653 0 498 221 4 7 9 10
Clark 1655 0 516 175 7 9 13 7
Clark 1661 0 520 259 4 9 16 3
Clark 1662 0 395 243 9 11 12 6
Clark 1664 0 295 314 9 6 9 6
Clark 1665 0 0 0 0 0 0 0
Clark 1668 0 697 781 6 10 21 16
Clark 1669 0 201 190 2 2 4 1
Clark 1670 0 408 299 9 7 15 9
Clark 1671 0 5 18 1 0 0 0
Clark 1672 0 445 268 3 6 8 6
Clark 1673 0 0 0 0 0 0 0
Clark 1674 0 355 490 3 3 9 5
Clark 1675 0 390 501 3 8 17 2
Clark 1676 0 208 213 5 8 10 3
Clark 1677 0 368 307 10 9 9 14
Clark 1678 0 293 416 8 3 11 10
Clark 1679 0 418 425 5 10 5 1
Clark 1680 0 649 485 5 12 17 6
Clark 1681 0 14 33 0 2 0 1
Clark 1682 0 453 260 3 10 20 7
Clark 1683 0 512 299 4 11 18 11
Clark 1684 0 121 160 0 4 7 1
Clark 1685 0 5 0 0 0 0 0
Clark 1686 0 275 388 4 8 14 6
Clark 1687 0 432 360 3 14 17 9
Clark 1688 0 384 275 4 5 11 9
Clark 1689 0 369 302 2 5 5 3
Clark 1691 0 0 0 0 0 0 0
Clark 1692 0 35 96 0 3 1 2
Clark 1693 0 142 232 3 3 4 2
Clark 1694 0 0 0 0 0 0 0
Clark 1695 0 319 123 7 3 7 4
Clark 1702 0 456 365 8 7 15 10
Clark 1703 0 566 225 5 7 18 12
Clark 1704 0 327 268 6 14 6 3
Clark 1711 0 0 1 0 0 0 0
Clark 1712 0 842 864 7 13 13 16
Clark 1713 0 418 338 3 4 8 4
Clark 1715 0 345 517 1 2 7 2
Clark 1717 0 434 510 1 3 12 5
Clark 1718 0 563 679 2 6 7 6
Clark 1719 0 406 494 2 5 8 5
Clark 1720 0 346 389 4 4 12 11
Clark 1721 0 413 596 4 1 13 0
Clark 1722 0 266 366 3 3 10 3
Clark 1727 0 728 866 7 4 20 11
Clark 1732 0 26 18 1 1 1 2
Clark 1750 0 284 417 6 11 9 7
Clark 1751 0 250 598 6 12 15 8
Clark 1753 0 55 96 0 1 1 2
Clark 2008 0 406 396 7 12 14 13
Clark 2037 0 409 418 5 9 18 8
Clark 2044 0 433 558 9 15 17 5
Clark 2078 0 0 1 0 0 0 0
Clark 2126 0 169 112 2 3 5 6
Clark 2352 0 331 362 5 8 6 9
Clark 2353 0 333 536 3 3 15 5
Clark 2354 0 320 258 1 8 8 7
Clark 2356 0 0 0 0 0 0 0
Clark 2360 0 722 231 5 2 17 5
Clark 2366 0 530 330 11 10 19 12
Clark 2371 0 376 286 6 8 19 10
Clark 2372 0 470 239 12 6 20 11
Clark 2373 0 338 258 4 4 10 6
Clark 2380 0 509 234 7 11 14 11
Clark 2381 0 595 294 13 10 12 8
Clark 2382 0 672 291 9 9 24 13
Clark 2383 0 635 343 6 15 19 15
Clark 2384 0 634 438 10 7 21 12
Clark 2385 0 423 298 5 7 15 7
Clark 2386 0 608 368 9 5 12 10
Clark 2387 0 779 403 17 15 18 13
Clark 2390 0 542 303 7 4 13 7
Clark 2391 0 303 275 5 2 12 8
Clark 2392 0 388 231 7 6 11 6
Clark 2393 0 601 389 9 11 12 12
Clark 2394 0 775 338 7 7 12 10
Clark 2399 0 609 357 18 10 9 11
Clark 2400 0 913 280 8 14 16 11
Clark 2401 0 3 2 0 0 0 0
Clark 2405 0 0 2 0 0 0 0
Clark 2406 0 0 0 0 0 0 0
Clark 2407 0 2 5 0 0 0 0
Clark 2408 0 1 0 0 0 0 0
Clark 2409 0 737 348 13 5 27 8
Clark 2417 0 68 30 1 1 5 0
Clark 2430 0 450 172 6 10 11 21
Clark 2436 0 0 1 0 0 0 0
Clark 2440 0 566 659 5 8 13 10
Clark 2444 0 104 78 3 1 0 1
Clark 2445 0 0 0 0 0 0 0
Clark 2446 0 513 226 12 4 16 6
Clark 2447 0 0 0 0 0 0 0
Clark 2449 0 671 451 11 10 15 11
Clark 2456 0 453 265 12 4 11 8
Clark 2457 0 695 727 13 19 18 7
Clark 2458 0 1 0 0 0 0 0
Clark 2463 0 811 261 20 12 23 6
Clark 2464 0 746 621 11 6 20 14
Clark 2465 0 253 518 11 14 16 9
Clark 2466 0 407 627 7 8 35 11
Clark 2468 0 0 0 0 0 0 0
Clark 2469 0 62 245 6 4 10 2
Clark 2473 0 62 324 1 0 6 5
Clark 2476 0 123 899 7 10 9 6
Clark 2477 0 211 470 6 8 10 4
Clark 2478 0 0 0 0 0 0 0
Clark 2479 0 665 380 9 8 15 10
Clark 2480 0 634 447 13 15 13 9
Clark 2481 0 695 216 11 14 20 16
Clark 2483 0 802 252 12 7 14 8
Clark 2484 0 585 375 4 12 17 5
Clark 2486 0 0 0 0 0 0 0
Clark 2487 0 0 0 0 0 0 0
Clark 2488 0 0 0 0 0 0 0
Clark 2489 0 0 0 0 0 0 0
Clark 2500 0 486 547 4 9 15 9
Clark 2501 0 8 22 0 1 0 0
Clark 2503 0 2 6 0 0 0 0
Clark 2600 0 429 532 7 6 11 8
Clark 2601 0 11 6 0 0 0 0
Clark 2602 0 40 61 0 3 2 0
Clark 2603 0 415 482 13 8 7 9
Clark 2604 0 370 305 2 7 10 4
Clark 2605 0 349 449 5 5 7 10
Clark 2606 0 471 265 4 4 10 7
Clark 2607 0 557 236 4 4 23 5
Clark 2608 0 0 0 0 0 0 0
Clark 2609 0 0 5 0 1 0 0
Clark 2611 0 543 461 12 9 15 10
Clark 2612 0 0 0 0 0 0 0
Clark 2613 0 411 376 9 9 13 6
Clark 2614 0 351 385 6 5 12 6
Clark 2615 0 377 477 5 5 13 7
Clark 2616 0 289 142 5 6 13 7
Clark 2617 0 372 208 2 6 8 1
Clark 2621 0 490 445 8 7 13 13
Clark 2622 0 305 369 2 3 4 6
Clark 2623 0 0 2 0 0 0 0
Clark 2624 0 247 406 0 4 13 3
Clark 2625 0 1 2 0 0 0 0
Clark 2631 0 8 8 0 0 0 0
Clark 2632 0 3 25 1 1 0 0
Clark 2633 0 234 519 6 6 10 8
Clark 2634 0 280 300 5 5 5 2
Clark 2635 0 482 577 3 1 10 10
Clark 2640 0 0 0 0 0 0 0
Clark 2641 0 4 1 0 0 0 0
Clark 2642 0 17 31 0 1 0 0
Clark 2643 0 517 715 4 1 17 9
Clark 2644 0 276 575 2 3 8 6
Clark 2645 0 35 60 2 1 1 0
Clark 2646 0 0 0 0 0 0 0
Clark 2650 0 315 433 4 6 11 3
Clark 2651 0 191 263 3 1 8 6
Clark 2652 0 689 520 6 14 19 18
Clark 2653 0 369 760 2 9 17 11
Clark 2654 0 276 343 6 4 9 3
Clark 2655 0 288 474 3 4 12 10
Clark 2660 0 225 305 3 6 6 7
Clark 2661 0 548 584 10 7 23 8
Clark 2662 0 92 80 0 1 5 1
Clark 2663 0 238 505 3 4 5 5
Clark 2664 0 7 4 0 0 0 0
Clark 2665 0 37 109 0 0 1 2
Clark 2666 0 819 618 9 9 16 8
Clark 2671 0 488 731 14 16 16 9
Clark 2672 0 502 576 15 11 19 13
Clark 2673 0 36 73 2 1 1 0
Clark 2674 0 549 331 7 15 16 10
Clark 2675 0 5 13 0 0 0 0
Clark 2676 0 10 15 1 0 1 0
Clark 2681 0 1 0 0 0 0 0
Clark 2682 0 348 413 2 8 5 3
Clark 2683 0 0 2 0 1 0 0
Clark 2684 0 7 13 0 0 0 0
Clark 2685 0 0 2 0 0 0 0
Clark 2691 0 12 18 0 0 0 0
Clark 2692 0 391 462 9 9 7 9
Clark 2693 0 35 39 0 3 1 1
Clark 2694 0 2 0 0 0 0 0
Clark 2695 0 352 455 4 10 7 4
Clark 2696 0 14 20 0 1 0 0
Clark 2700 0 362 282 3 8 7 7
Clark 2701 0 426 509 12 9 13 15
Clark 2702 0 288 250 11 4 6 8
Clark 2703 0 0 2 0 0 0 0
Clark 2704 0 12 27 1 0 2 0
Clark 2705 0 348 355 6 6 9 3
Clark 2706 0 0 0 0 0 0 0
Clark 2709 0 256 242 0 3 8 5
Clark 2710 0 302 227 9 9 7 4
Clark 2711 0 386 394 5 8 12 3
Clark 2712 0 0 1 0 0 0 0
Clark 2713 0 318 153 3 6 10 5
Clark 2714 0 366 113 13 2 5 6
Clark 2715 0 0 1 0 0 0 0
Clark 2716 0 642 219 7 5 13 8
Clark 2717 0 482 178 14 6 15 3
Clark 2720 0 0 0 0 0 0 0
Clark 2721 0 0 0 0 0 0 0
Clark 2722 0 117 29 1 1 3 2
Clark 2723 0 0 0 0 0 0 0
Clark 2724 0 426 152 7 10 9 7
Clark 2725 0 55 336 12 0 12 7
Clark 2726 0 66 337 1 7 9 3
Clark 2727 0 155 644 12 11 23 11
Clark 2729 0 249 69 9 4 2 3
Clark 2730 0 661 251 10 15 16 15
Clark 2731 0 527 791 16 7 18 17
Clark 2732 0 338 402 9 10 19 12
Clark 2733 0 354 177 11 8 11 8
Clark 2734 0 443 213 10 6 15 12
Clark 2735 0 367 145 9 7 24 12
Clark 2736 0 251 142 3 1 9 0
Clark 2737 0 476 92 4 3 11 9
Clark 2738 0 391 217 3 2 9 3
Clark 2740 0 382 175 10 6 7 12
Clark 2742 0 330 125 3 3 12 5
Clark 2743 0 534 267 5 11 14 13
Clark 2745 0 3 3 0 0 1 0
Clark 2746 0 315 171 6 10 16 8
Clark 2751 0 249 92 3 4 8 4
Clark 2752 0 645 142 11 5 19 7
Clark 2770 0 39 13 0 0 1 1
Clark 2775 0 569 1096 3 16 20 10
Clark 2776 0 489 1039 13 9 22 10
Clark 3036 0 269 344 4 3 7 3
Clark 3037 0 214 289 4 3 10 2
Clark 3040 0 317 469 11 5 10 5
Clark 3151 0 0 0 0 0 0 0
Clark 3152 0 23 35 0 0 3 0
Clark 3191 0 0 2 0 0 0 0
Clark 3217 0 614 459 7 11 14 14
Clark 3361 0 463 346 3 3 9 3
Clark 3363 0 482 626 5 3 16 8
Clark 3364 0 480 718 3 2 13 3
Clark 3365 0 252 297 1 0 5 3
Clark 3366 0 272 369 0 1 6 2
Clark 3370 0 359 269 1 8 11 12
Clark 3371 0 311 197 2 2 5 6
Clark 3372 0 449 373 7 7 10 4
Clark 3373 0 490 533 5 5 10 5
Clark 3374 0 322 327 4 5 12 2
Clark 3375 0 482 518 4 4 5 7
Clark 3380 0 244 126 5 6 7 1
Clark 3381 0 570 589 3 5 13 2
Clark 3382 0 471 377 4 7 13 3
Clark 3383 0 347 580 1 3 9 4
Clark 3385 0 589 608 3 5 12 7
Clark 3386 0 267 328 2 3 10 3
Clark 3391 0 302 228 3 3 5 2
Clark 3392 0 300 281 3 9 14 5
Clark 3393 0 257 185 0 2 5 6
Clark 3395 0 338 347 2 5 6 5
Clark 3413 0 293 410 3 4 6 6
Clark 3414 0 77 70 0 4 0 1
Clark 3416 0 470 331 10 7 15 3
Clark 3417 0 720 433 6 13 19 8
Clark 3418 0 222 261 4 5 8 7
Clark 3430 0 400 288 3 5 15 3
Clark 3431 0 418 315 4 13 15 9
Clark 3433 0 0 2 0 0 0 0
Clark 3435 0 560 378 9 6 17 16
Clark 3439 0 0 0 0 2 0 0
Clark 3457 0 0 9 0 0 0 0
Clark 3464 0 370 477 6 6 15 5
Clark 3465 0 343 354 4 6 8 4
Clark 3518 0 1 7 1 0 0 0
Clark 3532 0 64 187 1 1 1 1
Clark 3535 0 19 35 0 0 2 1
Clark 3537 0 0 0 0 0 0 0
Clark 3540 0 121 225 0 4 5 3
Clark 3544 0 362 492 1 4 6 2
Clark 3545 0 0 0 0 0 0 0
Clark 3546 0 751 619 15 12 19 5
Clark 3547 0 848 923 8 14 22 18
Clark 3552 0 0 0 0 0 0 0
Clark 3553 0 0 0 0 0 0 0
Clark 3557 0 678 602 8 9 17 6
Clark 3559 0 0 2 0 0 0 0
Clark 3562 0 0 7 0 0 0 0
Clark 3564 0 67 172 0 2 2 3
Clark 3565 0 354 371 5 8 4 5
Clark 3566 0 0 14 0 0 0 0
Clark 3571 0 3 2 0 0 0 0
Clark 3574 0 0 0 0 0 0 0
Clark 3576 0 219 337 1 3 5 1
Clark 3578 0 9 21 0 1 0 0
Clark 3579 0 3 6 0 0 0 0
Clark 3580 0 0 0 0 0 0 0
Clark 3581 0 0 2 0 0 0 0
Clark 3582 0 2 5 1 0 0 0
Clark 3583 0 0 0 0 0 0 0
Clark 3584 0 0 1 0 0 0 0
Clark 3585 0 0 0 0 0 0 0
Clark 3586 0 0 0 0 0 0 0
Clark 3602 0 665 600 3 13 18 4
Clark 3604 0 822 457 11 19 26 16
Clark 3605 0 70 178 2 4 6 6
Clark 3606 0 393 339 9 6 10 14
Clark 3607 0 562 276 9 6 9 15
Clark 3608 0 344 725 6 6 15 5
Clark 3609 0 327 596 4 14 16 3
Clark 3610 0 441 430 9 11 14 9
Clark 3611 0 0 0 0 0 0 0
Clark 3612 0 0 0 0 0 0 0
Clark 3613 0 415 218 5 7 12 9
Clark 3700 0 1 10 0 0 0 1
Clark 3701 0 0 0 0 0 0 0
Clark 3702 0 587 397 6 10 18 19
Clark 3703 0 8 7 0 0 0 0
Clark 3704 0 311 161 7 6 8 1
Clark 3705 0 359 346 3 1 11 7
Clark 3706 0 724 513 10 8 6 20
Clark 3707 0 878 796 8 11 22 11
Clark 3708 0 208 253 10 5 5 4
Clark 3709 0 732 528 12 12 16 21
Clark 3710 0 59 104 3 0 6 2
Clark 3711 0 51 117 1 4 5 0
Clark 3712 0 0 1 0 0 0 0
Clark 3713 0 20 16 1 0 1 0
Clark 3714 0 17 17 0 0 1 0
Clark 3715 0 57 101 0 1 1 0
Clark 3716 0 213 289 2 2 7 4
Clark 3717 0 144 296 1 3 2 4
Clark 3718 0 196 514 7 2 8 6
Clark 3719 0 545 452 7 4 14 6
Clark 3720 0 271 188 4 6 5 5
Clark 3721 0 357 360 12 5 11 3
Clark 3722 0 305 192 2 3 9 3
Clark 3723 0 286 311 4 2 9 3
Clark 3724 0 391 274 6 7 12 5
Clark 3725 0 1 5 0 1 0 1
Clark 3726 0 583 405 8 14 13 8
Clark 3727 0 459 636 4 5 17 7
Clark 3728 0 520 541 4 6 16 6
Clark 3729 0 339 314 5 8 7 4
Clark 3730 0 557 392 14 16 13 3
Clark 3731 0 1 4 0 0 0 0
Clark 3732 0 253 162 5 5 8 8
Clark 3733 0 387 281 3 6 10 6
Clark 3734 0 459 496 6 6 14 2
Clark 3735 0 21 31 1 0 0 0
Clark 3736 0 8 22 0 0 0 0
Clark 3737 0 0 0 0 0 0 0
Clark 3738 0 129 72 1 1 9 5
Clark 3739 0 391 334 2 5 10 7
Clark 3740 0 692 759 4 8 15 6
Clark 3741 0 139 187 2 2 6 2
Clark 3742 0 455 202 7 9 12 14
Clark 3743 0 447 301 3 8 20 6
Clark 3744 0 0 4 0 0 0 0
Clark 3745 0 0 0 0 0 0 0
Clark 3746 0 542 556 10 7 7 4
Clark 3747 0 378 260 1 6 12 2
Clark 3748 0 459 391 6 5 11 2
Clark 3749 0 519 376 14 10 21 11
Clark 3750 0 0 0 0 0 0 0
Clark 3751 0 321 111 7 8 13 6
Clark 3752 0 445 140 7 11 13 5
Clark 3753 0 51 17 0 1 1 0
Clark 3754 0 708 342 9 10 17 12
Clark 3755 0 376 197 1 4 6 4
Clark 3756 0 126 267 0 2 5 2
Clark 3757 0 204 426 3 2 4 5
Clark 3758 0 249 536 1 9 9 5
Clark 3759 0 480 537 6 10 12 8
Clark 3760 0 542 332 10 9 11 15
Clark 3761 0 378 212 4 5 12 4
Clark 3762 0 368 198 4 9 9 7
Clark 3763 0 0 0 0 0 0 0
Clark 3764 0 598 269 7 9 20 9
Clark 3765 0 587 292 9 9 19 7
Clark 3766 0 245 288 3 4 6 5
Clark 3767 0 5 23 0 0 0 1
Clark 3768 0 369 282 7 5 12 6
Clark 3769 0 382 296 5 6 7 2
Clark 3770 0 498 226 4 7 15 8
Clark 3771 0 320 207 3 5 3 6
Clark 3772 0 432 229 10 12 6 7
Clark 3773 0 398 205 3 7 14 7
Clark 3774 0 349 260 9 3 6 7
Clark 3775 0 259 162 5 7 5 8
Clark 3776 0 0 0 0 0 0 0
Clark 3777 0 0 1 0 1 0 0
Clark 3780 0 478 511 8 5 8 9
Clark 3782 0 165 157 3 5 1 3
Clark 3783 0 402 202 8 9 12 12
Clark 3784 0 360 207 2 4 9 6
Clark 3785 0 302 137 4 4 13 2
Clark 3786 0 578 509 8 12 13 12
Clark 3787 0 515 390 3 10 15 9
Clark 3788 0 432 598 3 1 18 4
Clark 3789 0 388 473 1 3 10 9
Clark 3790 0 404 438 2 3 4 1
Clark 3791 0 411 157 6 4 9 6
Clark 3792 0 360 180 6 5 9 5
Clark 3794 0 360 121 8 6 7 7
Clark 3795 0 319 115 3 6 8 6
Clark 3796 0 53 30 0 2 1 2
Clark 3800 0 301 277 3 3 4 2
Clark 3801 0 257 70 7 3 5 3
Clark 3802 0 369 132 7 4 6 6
Clark 3803 0 19 13 1 0 0 1
Clark 3804 0 525 208 7 6 10 7
Clark 3805 0 53 14 0 1 1 2
Clark 3806 0 228 188 2 2 6 1
Clark 3807 0 467 442 6 5 9 4
Clark 3808 0 304 374 3 5 8 2
Clark 3809 0 391 288 4 9 8 7
Clark 3811 0 462 135 6 10 13 12
Clark 3812 0 94 40 1 1 4 1
Clark 3813 0 466 155 5 9 8 1
Clark 3814 0 334 152 3 8 8 5
Clark 3815 0 304 142 5 7 11 12
Clark 3821 0 0 0 0 0 0 0
Clark 3822 0 11 19 0 1 0 0
Clark 3823 0 7 0 0 0 0 0
Clark 3824 0 147 74 3 1 2 5
Clark 3825 0 2 0 0 0 0 0
Clark 3826 0 138 125 3 1 5 4
Clark 3831 0 44 25 0 0 1 0
Clark 3832 0 0 0 0 0 0 0
Clark 3833 0 154 169 3 4 7 1
Clark 3834 0 403 176 4 11 21 7
Clark 3841 0 605 168 14 4 21 14
Clark 3842 0 405 164 2 4 12 12
Clark 3843 0 586 203 6 7 13 12
Clark 3844 0 328 181 3 12 10 4
Clark 3845 0 43 71 0 0 0 0
Clark 3851 0 0 0 0 0 0 0
Clark 3852 0 62 60 0 3 6 1
Clark 3853 0 22 19 2 1 1 1
Clark 3854 0 355 181 3 2 13 6
Clark 3855 0 569 184 13 11 17 5
Clark 3863 0 354 189 6 6 6 7
Clark 3864 0 517 325 8 15 9 14
Clark 3866 0 123 130 4 0 4 1
Clark 3875 0 0 0 0 0 0 0
Clark 3881 0 0 0 0 0 0 0
Clark 4017 0 525 26 4 1 10 1
Clark 4028 0 460 17 4 6 7 3
Clark 4066 0 24 6 0 3 0 1
Clark 4069 0 34 6 1 0 0 0
Clark 4073 0 10 13 0 0 0 1
Clark 4075 0 0 0 0 0 0 0
Clark 4076 0 3 0 0 1 0 0
Clark 4304 0 560 144 7 5 16 5
Clark 4305 0 703 139 9 5 14 6
Clark 4306 0 697 132 9 5 11 7
Clark 4307 0 543 145 4 4 15 13
Clark 4309 0 414 42 5 1 20 6
Clark 4310 0 445 24 7 1 11 4
Clark 4381 0 253 45 7 2 4 5
Clark 4384 0 331 88 3 1 9 6
Clark 4387 0 581 100 5 7 17 7
Clark 4415 0 196 25 6 2 7 4
Clark 4434 0 26 26 1 1 0 0
Clark 4454 0 0 0 0 0 0 0
Clark 4461 0 600 44 6 5 15 5
Clark 4463 0 21 3 1 1 2 1
Clark 4467 0 284 14 1 1 5 3
Clark 4500 0 323 116 2 3 13 5
Clark 4501 0 672 335 8 10 23 14
Clark 4502 0 398 157 6 4 12 7
Clark 4504 0 806 251 7 8 23 9
Clark 4505 0 449 180 2 4 7 4
Clark 4506 0 464 228 7 5 15 10
Clark 4507 0 692 109 6 5 20 10
Clark 4508 0 386 17 6 0 12 2
Clark 4510 0 215 60 1 1 11 4
Clark 4511 0 0 0 0 0 0 0
Clark 4512 0 209 121 2 5 7 6
Clark 4513 0 200 116 5 3 6 5
Clark 4514 0 451 51 4 8 10 9
Clark 4522 0 234 94 2 2 8 3
Clark 4523 0 337 67 2 0 9 5
Clark 4525 0 338 148 6 10 15 6
Clark 4526 0 422 38 1 2 7 7
Clark 4527 0 698 74 4 8 19 6
Clark 4528 0 643 112 11 4 16 8
Clark 4529 0 411 68 0 4 10 6
Clark 4530 0 356 73 2 1 17 5
Clark 4531 0 565 136 3 8 23 6
Clark 4532 0 334 68 6 1 8 5
Clark 4535 0 476 170 8 9 15 8
Clark 4536 0 577 127 13 3 16 5
Clark 4540 0 255 86 1 3 12 3
Clark 4541 0 513 126 5 6 14 9
Clark 4543 0 190 47 3 2 7 2
Clark 4546 0 312 85 4 1 8 3
Clark 4547 0 183 38 0 1 5 2
Clark 4548 0 181 41 8 2 5 2
Clark 4549 0 225 44 1 5 5 12
Clark 4550 0 176 34 2 2 6 1
Clark 4551 0 249 66 4 2 13 4
