COUNTY AREA TOTAL DEM REP DEM IND DEM REP IND LBT IRP IND DEM UPA IND IND REP REP None DEM REP
COUNTY AREA TOTAL Kelly McSally Arif Beckett Chilton Davida Decker Dorchester Glenn Haupt Kapadia Rodriguez Rodriguez1 Saenz Schiess Simmons Stevens Stewart Thomas
Cochise "41 SV VILLAGE MEADOWS" 0 757 1282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "42 SV VISTA VILLAGE" 0 600 853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "43 SV YAQUI" 0 603 1363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "44 TOMBSTONE" 0 386 965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "45 WEBB" 0 146 340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "46 WHETSTONE" 0 553 1345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "47 WI KANSAS SETTLEMENT" 0 315 784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "48 WI STEWART" 0 231 736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "49 WI WILLCOX" 0 250 487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BELLEMONT 40" 0 289 340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BLUE RIDGE 41" 0 148 460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BODAWAY 42" 0 607 151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "CAMERON 43" 0 663 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "COALMINE 48" 0 177 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "COPPERMINE 47" 0 349 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "DONEY PARK 50" 0 783 1020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 1" 0 1195 348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 10" 0 156 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 11" 0 604 240 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
