DIST COUNTY AREA TOTAL DEM REP NPA NPA OverVotes REF NPA UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Gillum DeSantis Foley Gibson OverVotes Richardson Stanley UnderVotes WriteinVotes
NA Brevard 218 0 170 261 0 0 1 2 2 2 2
NA Brevard 219 0 1602 1311 6 20 1 21 5 17 1
NA Brevard 220 0 200 306 2 3 2 3 0 2 0
NA Brevard 221 0 870 1334 3 5 4 13 3 17 5
NA Brevard 222 0 1074 1377 7 5 4 19 2 17 6
NA Brevard 223 0 204 258 0 7 0 4 1 2 0
NA Brevard 224 0 1536 1729 7 15 5 35 6 19 4
NA Brevard 225 0 4 2 0 0 0 0 0 0 0
NA Brevard 226 0 884 1157 6 15 3 19 5 17 3
NA Brevard 227 0 61 72 0 1 0 0 0 0 0
NA Brevard 228 0 307 402 4 2 0 4 0 3 0
NA Brevard 229 0 107 262 1 0 1 1 1 2 1
NA Brevard 230 0 2 4 0 0 0 0 0 0 0
NA Brevard 231 0 426 135 6 3 1 4 3 0 0
NA Brevard 233 0 352 25 2 1 0 1 0 3 0
NA Brevard 234 0 86 118 1 1 0 1 0 0 1
NA Brevard 235 0 578 1100 4 3 5 18 2 2 2
NA Brevard 236 0 186 300 1 0 1 4 1 2 0
NA Brevard 237 0 10 29 0 0 0 0 0 0 0
NA Brevard 238 0 9 19 1 0 0 0 0 0 0
NA Brevard 239 0 2 0 0 0 0 0 0 0 0
NA Brevard 240 0 260 664 2 5 2 7 1 5 0
NA Brevard 300 0 960 495 5 2 2 11 3 7 4
NA Brevard 301 0 92 273 1 1 1 2 2 4 0
NA Brevard 302 0 713 1904 5 5 2 13 10 11 2
NA Brevard 303 0 2036 1953 15 29 20 49 7 30 10
NA Brevard 304 0 1199 1926 18 21 22 40 7 57 4
NA Brevard 305 0 856 1128 0 6 0 14 2 14 1
NA Brevard 306 0 654 178 2 1 2 2 1 3 1
NA Brevard 307 0 373 658 4 3 2 10 2 9 1
NA Brevard 308 0 995 1259 8 10 10 25 7 11 3
NA Brevard 309 0 3045 3897 18 24 8 58 20 54 8
NA Brevard 310 0 752 949 4 10 7 17 8 15 3
NA Brevard 311 0 753 1152 5 8 5 10 1 15 4
NA Brevard 312 0 551 1095 4 7 4 18 6 9 0
NA Brevard 313 0 2511 2602 14 21 9 29 8 29 4
NA Brevard 314 0 1006 1122 11 8 6 17 4 16 3
NA Brevard 315 0 1389 1218 10 10 7 21 5 20 3
NA Brevard 316 0 1142 1079 1 10 4 14 4 10 4
NA Brevard 317 0 1803 1726 12 14 16 35 7 25 3
NA Brevard 318 0 929 1512 5 2 2 19 2 15 3
NA Brevard 319 0 3 2 0 0 0 0 0 0 0
NA Brevard 320 0 26 55 0 0 0 0 0 0 0
NA Brevard 321 0 116 89 0 0 1 2 0 1 1
NA Brevard 322 0 1561 1382 5 14 16 22 6 20 6
NA Brevard 323 0 164 117 0 2 1 1 0 3 0
NA Brevard 324 0 227 352 2 4 2 1 2 1 3
NA Brevard 325 0 89 174 0 1 0 4 0 4 0
NA Brevard 326 0 95 241 0 0 0 2 0 1 0
NA Brevard 327 0 115 237 0 1 2 3 1 3 1
NA Brevard 328 0 121 212 2 0 0 2 0 0 1
NA Brevard 400 0 1384 1438 8 11 5 23 5 18 3
NA Brevard 402 0 1076 1516 10 20 5 28 4 21 2
NA Brevard 403 0 305 462 2 2 3 18 4 5 1
NA Brevard 404 0 1544 2542 7 11 4 28 12 27 5
NA Brevard 405 0 1447 2182 7 3 6 28 4 21 1
NA Brevard 406 0 1708 2588 8 6 6 32 6 32 5
NA Brevard 407 0 89 174 1 1 0 3 0 0 1
NA Brevard 408 0 432 437 1 4 1 9 2 7 3
NA Brevard 409 0 1653 2604 10 9 5 28 6 34 1
NA Brevard 410 0 217 406 5 1 1 3 2 7 1
NA Brevard 411 0 337 406 0 0 2 4 3 6 2
NA Brevard 412 0 315 512 4 2 0 3 4 5 1
NA Brevard 414 0 1303 1518 6 14 7 28 9 26 7
NA Brevard 415 0 847 1261 6 4 2 14 3 10 2
NA Brevard 416 0 440 955 3 1 2 12 3 8 0
NA Brevard 417 0 1407 1902 5 9 5 22 7 22 1
NA Brevard 418 0 767 1456 2 8 2 9 1 4 1
NA Brevard 419 0 657 1214 2 4 4 7 3 15 2
NA Brevard 420 0 856 1432 4 3 3 13 0 12 2
NA Brevard 421 0 1130 2154 2 3 0 15 3 16 1
NA Brevard 422 0 1443 2593 9 13 7 36 8 18 3
NA Brevard 424 0 1074 1554 4 6 1 14 6 10 0
NA Brevard 425 0 201 348 0 1 1 4 0 3 0
NA Brevard 426 0 394 986 0 3 1 9 2 5 1
NA Brevard 427 0 1120 2011 5 14 3 25 9 16 4
NA Brevard 428 0 1465 2216 7 8 5 12 3 23 1
NA Brevard 429 0 751 1317 1 2 2 10 3 16 4
NA Brevard 430 0 224 535 0 4 0 6 0 4 1
NA Brevard 431 0 408 627 1 3 1 12 2 12 5
NA Brevard 432 0 37 76 0 1 0 1 0 1 0
