COUNTY AREA TOTAL DEM REP LIB GRN IND
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Other
Arapahoe 1260303117 0 788 291 22 3 6
Arapahoe 1260303118 0 584 182 15 3 5
Arapahoe 1260303119 0 485 264 18 4 5
Arapahoe 1260303120 0 466 182 14 4 8
Arapahoe 1260303121 0 343 172 10 0 8
Arapahoe 1260303122 0 399 262 10 2 11
Arapahoe 1260303123 0 537 323 15 4 11
Arapahoe 1260303124 0 625 316 20 1 15
Arapahoe 1260303125 0 382 125 15 6 7
Arapahoe 1260303129 0 335 250 9 1 5
Arapahoe 1260303130 0 559 309 26 3 4
Arapahoe 1260303131 0 483 471 5 1 6
Arapahoe 1260303132 0 470 502 9 0 3
Arapahoe 1260303133 0 415 478 13 0 2
Arapahoe 1260303134 0 340 171 8 0 5
Arapahoe 1260303135 0 204 152 10 0 1
Arapahoe 1260303136 0 550 283 6 0 6
Arapahoe 1260303140 0 244 186 8 1 3
Arapahoe 1263803141 0 249 203 3 1 5
Arapahoe 1310903137 0 614 226 17 2 6
Arapahoe 1310903138 0 278 105 7 0 1
Arapahoe 1310903139 0 487 166 8 2 5
Arapahoe 1310903475 0 14 15 1 0 0
Arapahoe 1310903501 0 961 235 27 8 10
Arapahoe 1310903502 0 872 187 19 6 12
Arapahoe 4283603350 0 0 0 0 0 0
Arapahoe 4293603358 0 2 10 0 0 0
Arapahoe 4293603361 0 0 0 0 0 0
Arapahoe 4295603357 0 0 0 0 0 0
Arapahoe 4295603362 0 284 746 18 0 8
Arapahoe 4295603363 0 224 894 18 3 9
Arapahoe 4295603364 0 271 1004 23 3 11
Arapahoe 4295603365 0 144 581 11 0 8
Arapahoe 4295603366 0 245 650 9 1 4
Arapahoe 6260303126 0 389 192 11 3 9
Arapahoe 6260303127 0 70 35 3 1 0
Arapahoe 6260303128 0 258 143 5 1 5
Arapahoe 6260303143 0 425 251 21 2 3
Arapahoe 6260303153 0 822 429 35 4 13
Arapahoe 6260303161 0 421 260 10 2 3
Arapahoe 6260303162 0 468 242 15 3 7
Arapahoe 6260303201 0 179 168 2 1 5
Arapahoe 6260303202 0 178 166 4 0 1
Arapahoe 6260303203 0 324 362 13 1 5
Arapahoe 6260303204 0 664 793 16 2 3
Arapahoe 6260303229 0 578 471 20 0 2
Arapahoe 6260303231 0 715 375 12 3 12
Arapahoe 6260303232 0 901 519 22 0 11
Arapahoe 6260303234 0 757 456 17 3 6
Arapahoe 6260303249 0 519 258 7 1 4
Arapahoe 6260303253 0 825 639 16 1 4
Arapahoe 6260303254 0 250 150 5 0 2
Arapahoe 6263803142 0 488 358 10 1 9
Arapahoe 6263803144 0 385 313 23 0 14
Arapahoe 6263803145 0 349 255 14 3 9
Arapahoe 6263803146 0 410 362 12 1 2
Arapahoe 6263803147 0 401 411 7 1 1
Arapahoe 6263803148 0 273 280 7 0 2
Arapahoe 6263803149 0 480 672 6 0 6
Arapahoe 6263803150 0 620 506 38 3 12
Arapahoe 6263803151 0 544 286 25 1 12
Arapahoe 6263803152 0 505 285 5 1 9
Arapahoe 6263803154 0 647 357 21 1 15
Arapahoe 6263803155 0 614 492 18 3 13
Arapahoe 6263803156 0 240 189 5 1 9
Arapahoe 6263803157 0 426 244 6 1 4
Arapahoe 6263803158 0 491 321 14 2 8
Arapahoe 6263803159 0 380 268 4 2 5
Arapahoe 6263803160 0 465 317 18 1 5
Arapahoe 6263803163 0 438 261 6 2 10
Arapahoe 6263803165 0 528 378 18 1 10
Arapahoe 6263803166 0 259 156 5 0 1
Arapahoe 6263803167 0 464 344 18 3 12
Arapahoe 6263803168 0 544 325 13 1 7
Arapahoe 6263803169 0 551 413 17 0 7
Arapahoe 6263803170 0 657 493 22 6 4
Arapahoe 6263803171 0 796 552 19 3 2
Arapahoe 6263803172 0 407 339 11 2 2
Arapahoe 6263803173 0 665 383 14 4 8
Arapahoe 6263803174 0 393 254 10 3 3
Arapahoe 6263803175 0 534 343 19 1 4
Arapahoe 6263803176 0 756 509 19 0 12
Arapahoe 6264003255 0 714 342 15 3 5
Arapahoe 6264003258 0 263 122 8 1 6
Arapahoe 6264003323 0 11 29 1 0 0
Arapahoe 6264003453 0 287 217 2 1 1
Arapahoe 6264003455 0 499 260 12 0 7
Arapahoe 6264103401 0 841 247 12 5 9
Arapahoe 6264103403 0 564 128 18 6 8
Arapahoe 6264103404 0 558 123 10 3 6
Arapahoe 6264103405 0 586 164 9 5 10
Arapahoe 6264103406 0 311 96 7 0 3
Arapahoe 6264103407 0 847 350 15 1 10
Arapahoe 6264103408 0 554 164 9 3 4
Arapahoe 6264103409 0 1045 246 25 5 13
Arapahoe 6264103410 0 830 271 10 0 9
Arapahoe 6264103411 0 986 242 17 1 12
Arapahoe 6264103412 0 1004 238 19 6 9
Arapahoe 6264103413 0 755 195 11 2 12
Arapahoe 6264103414 0 515 241 10 6 7
Arapahoe 6264103416 0 901 417 18 3 17
Arapahoe 6264103417 0 668 247 14 2 12
Arapahoe 6264103418 0 547 251 9 3 6
Arapahoe 6264103419 0 629 310 8 2 5
Arapahoe 6264103423 0 933 326 15 2 18
Arapahoe 6264103425 0 886 325 14 3 14
Arapahoe 6264103426 0 435 211 9 0 4
Arapahoe 6264103442 0 399 278 1 1 3
Arapahoe 6264103443 0 298 212 2 0 5
Arapahoe 6270303245 0 317 138 5 3 1
Arapahoe 6270303246 0 687 301 15 1 10
Arapahoe 6270303247 0 971 399 26 6 11
Arapahoe 6270303248 0 373 192 10 0 6
Arapahoe 6270303250 0 627 325 5 0 5
Arapahoe 6270303251 0 894 478 28 1 3
Arapahoe 6270303252 0 830 470 13 1 4
Arapahoe 6273603335 0 793 607 18 4 13
Arapahoe 6273603336 0 747 565 30 5 6
Arapahoe 6273603337 0 658 509 35 5 12
Arapahoe 6273603368 0 362 174 18 1 5
Arapahoe 6273703218 0 545 292 16 2 5
Arapahoe 6273703220 0 547 257 17 1 3
Arapahoe 6273703221 0 435 306 5 1 5
Arapahoe 6273703222 0 499 341 5 1 3
Arapahoe 6273703223 0 543 330 18 3 7
Arapahoe 6273703224 0 468 303 6 3 2
Arapahoe 6273703225 0 565 306 19 2 6
Arapahoe 6273703226 0 439 216 10 0 2
Arapahoe 6273703227 0 394 244 11 0 5
Arapahoe 6273703228 0 453 302 9 0 8
Arapahoe 6273703233 0 496 203 10 6 1
Arapahoe 6273703235 0 389 239 17 6 4
Arapahoe 6273703236 0 365 235 18 2 3
Arapahoe 6273703237 0 634 447 15 2 4
Arapahoe 6273703238 0 464 300 11 1 5
Arapahoe 6273703239 0 531 270 11 0 4
Arapahoe 6273703240 0 942 527 18 2 8
Arapahoe 6273703241 0 636 325 8 2 10
Arapahoe 6273703242 0 439 224 15 2 5
Arapahoe 6273703243 0 684 414 16 5 8
Arapahoe 6273703244 0 661 450 12 6 5
Arapahoe 6273703257 0 660 442 6 1 8
Arapahoe 6273703259 0 1011 531 43 8 13
Arapahoe 6273703260 0 825 556 32 5 11
Arapahoe 6273703261 0 786 530 15 2 6
Arapahoe 6273703262 0 685 425 30 5 10
Arapahoe 6273703263 0 558 392 18 1 5
Arapahoe 6273703264 0 709 385 15 0 5
Arapahoe 6273703274 0 585 474 16 3 3
Arapahoe 6273703275 0 322 246 13 1 4
Arapahoe 6273703276 0 146 120 4 0 3
Arapahoe 6273703277 0 425 337 19 4 5
Arapahoe 6273703278 0 248 194 7 1 3
Arapahoe 6273703279 0 458 368 14 3 7
Arapahoe 6273703280 0 613 432 21 1 8
Arapahoe 6273703281 0 609 443 17 2 8
Arapahoe 6273703282 0 733 549 18 5 14
Arapahoe 6273703283 0 499 316 9 0 7
Arapahoe 6273703284 0 361 260 6 0 1
Arapahoe 6273703285 0 379 330 11 2 8
Arapahoe 6273703286 0 1033 600 36 4 7
Arapahoe 6273703320 0 850 610 33 2 17
Arapahoe 6273703321 0 667 495 14 3 7
Arapahoe 6273703322 0 582 463 9 2 5
Arapahoe 6273703324 0 219 301 8 3 6
Arapahoe 6273703325 0 676 886 20 1 12
Arapahoe 6273703328 0 110 152 6 0 0
Arapahoe 6273703331 0 320 301 13 2 4
Arapahoe 6273703332 0 520 423 15 2 11
Arapahoe 6273703333 0 413 317 13 1 11
Arapahoe 6273703334 0 859 726 40 5 14
Arapahoe 6273703338 0 492 344 14 4 4
Arapahoe 6273703339 0 663 442 24 4 7
Arapahoe 6273703367 0 653 539 18 2 6
Arapahoe 6273803164 0 402 276 10 3 5
Arapahoe 6273803177 0 444 448 13 4 4
Arapahoe 6273803178 0 428 308 31 4 8
Arapahoe 6273803179 0 341 272 18 0 8
Arapahoe 6273803180 0 417 279 9 3 5
Arapahoe 6273803181 0 375 277 9 3 8
Arapahoe 6273803182 0 533 340 15 5 5
Arapahoe 6273803183 0 697 530 24 3 18
Arapahoe 6273803184 0 327 322 13 1 7
Arapahoe 6273803185 0 482 324 18 6 6
Arapahoe 6273803186 0 499 367 15 0 12
Arapahoe 6273803187 0 484 356 14 0 6
Arapahoe 6273803188 0 330 252 13 0 6
Arapahoe 6273803189 0 572 425 20 5 11
Arapahoe 6273803190 0 670 438 18 2 7
Arapahoe 6273803191 0 558 490 10 1 5
Arapahoe 6273803192 0 500 454 19 1 6
Arapahoe 6273803193 0 471 313 7 1 7
Arapahoe 6273803194 0 620 432 22 1 10
Arapahoe 6273803195 0 555 381 6 1 8
Arapahoe 6273803196 0 378 208 4 0 4
Arapahoe 6273803197 0 457 215 17 0 7
Arapahoe 6273803205 0 367 252 11 1 3
Arapahoe 6273803206 0 432 278 13 1 8
Arapahoe 6273803207 0 617 428 23 6 7
Arapahoe 6273803208 0 585 432 13 3 8
Arapahoe 6273803209 0 576 355 6 1 3
Arapahoe 6273803210 0 793 559 24 9 10
Arapahoe 6273803211 0 424 365 15 2 11
Arapahoe 6273803212 0 633 460 18 1 11
Arapahoe 6273803213 0 506 396 13 3 10
Arapahoe 6273803214 0 421 353 13 1 3
Arapahoe 6273803215 0 343 284 4 1 2
Arapahoe 6273803216 0 457 402 10 2 4
Arapahoe 6273803217 0 498 294 12 0 2
Arapahoe 6273803219 0 569 466 18 0 9
Arapahoe 6274003457 0 0 0 0 0 0
Arapahoe 6283603318 0 531 334 19 3 4
Arapahoe 6283603340 0 1421 923 31 4 15
Arapahoe 6283603341 0 920 614 25 2 12
Arapahoe 6283603342 0 895 658 27 4 13
Arapahoe 6283603343 0 660 456 23 2 12
Arapahoe 6283603344 0 827 592 19 4 11
Arapahoe 6283603351 0 854 782 40 1 10
Arapahoe 6283603369 0 690 452 13 6 6
Arapahoe 6283603370 0 860 511 15 5 9
Arapahoe 6283603371 0 486 339 12 1 4
Arapahoe 6283603372 0 883 676 26 3 11
Arapahoe 6284003265 0 552 314 16 4 6
Arapahoe 6284003266 0 579 347 23 0 4
Arapahoe 6284003267 0 532 383 14 0 3
Arapahoe 6284003268 0 473 300 7 3 5
Arapahoe 6284003269 0 540 305 18 3 14
Arapahoe 6284003270 0 468 254 18 5 7
Arapahoe 6284003271 0 380 256 14 0 3
Arapahoe 6284003272 0 437 284 12 0 6
Arapahoe 6284003273 0 430 317 20 2 5
Arapahoe 6284003302 0 657 383 9 3 16
Arapahoe 6284003303 0 485 279 16 3 4
Arapahoe 6284003304 0 476 276 17 2 7
Arapahoe 6284003305 0 714 392 13 5 7
Arapahoe 6284003306 0 391 310 4 0 6
Arapahoe 6284003307 0 395 132 13 2 3
Arapahoe 6284003308 0 649 369 13 7 6
Arapahoe 6284003309 0 637 399 14 4 9
Arapahoe 6284003310 0 1062 466 10 9 8
Arapahoe 6284003311 0 1017 548 24 4 18
Arapahoe 6284003312 0 1008 438 23 6 14
Arapahoe 6284003313 0 541 351 20 4 9
Arapahoe 6284003314 0 465 265 12 2 6
Arapahoe 6284003315 0 815 496 20 2 10
Arapahoe 6284003316 0 404 239 11 6 7
Arapahoe 6284003317 0 529 324 13 3 10
Arapahoe 6284003319 0 910 542 28 4 16
Arapahoe 6284003446 0 378 328 10 1 5
Arapahoe 6284003447 0 595 222 9 1 11
Arapahoe 6284003448 0 967 474 35 4 12
Arapahoe 6284003449 0 446 211 9 2 5
Arapahoe 6284003450 0 699 326 15 6 12
Arapahoe 6284003451 0 612 401 21 7 8
Arapahoe 6284003452 0 455 277 20 3 5
Arapahoe 6284003454 0 573 345 25 6 7
Arapahoe 6284003456 0 588 403 16 4 12
Arapahoe 6284003459 0 438 302 11 4 7
Arapahoe 6284003460 0 612 336 18 0 9
Arapahoe 6284003461 0 696 377 19 3 6
Arapahoe 6284003462 0 610 404 19 5 11
Arapahoe 6284003463 0 719 513 19 2 15
Arapahoe 6284003464 0 474 272 12 3 6
Arapahoe 6284003472 0 653 335 26 6 7
Arapahoe 6284003473 0 831 418 23 2 18
Arapahoe 6284103301 0 369 186 13 2 5
Arapahoe 6284103420 0 1031 359 22 3 21
Arapahoe 6284103421 0 314 169 9 0 5
Arapahoe 6284103422 0 409 175 4 1 3
Arapahoe 6284103427 0 877 418 14 3 10
Arapahoe 6284103428 0 609 292 15 2 9
Arapahoe 6284103429 0 527 204 5 4 13
Arapahoe 6284103430 0 658 277 11 6 10
Arapahoe 6284103431 0 360 162 11 1 7
Arapahoe 6284103432 0 743 224 12 4 7
Arapahoe 6284103433 0 516 223 14 1 6
Arapahoe 6284103437 0 785 371 17 4 4
Arapahoe 6284103438 0 773 323 23 3 13
Arapahoe 6284103439 0 460 332 20 1 9
Arapahoe 6284103440 0 432 353 2 4 5
Arapahoe 6284103441 0 445 340 0 0 4
Arapahoe 6284103444 0 325 239 4 0 3
Arapahoe 6284103445 0 329 249 15 6 5
Arapahoe 6284103465 0 324 243 6 3 7
Arapahoe 6284103466 0 446 302 9 1 12
Arapahoe 6284103467 0 494 293 14 2 6
Arapahoe 6284103468 0 428 289 16 1 7
Arapahoe 6284103469 0 398 168 10 2 12
Arapahoe 6284103470 0 632 296 24 2 9
Arapahoe 6284103471 0 540 299 12 0 10
Arapahoe 6284203434 0 674 257 19 3 8
Arapahoe 6284203435 0 746 316 10 2 11
Arapahoe 6284203436 0 885 196 13 7 12
Arapahoe 6285603352 0 715 444 23 0 7
Arapahoe 6285603373 0 671 612 19 1 6
Arapahoe 6285603378 0 775 572 15 1 8
Arapahoe 6293603345 0 265 178 3 0 2
Arapahoe 6293603346 0 663 611 29 4 20
Arapahoe 6293603347 0 684 503 8 1 7
Arapahoe 6293603360 0 435 277 13 2 11
Arapahoe 6293603374 0 883 605 23 3 12
Arapahoe 6293603381 0 881 637 24 2 14
Arapahoe 6293603474 0 416 150 5 2 12
Arapahoe 6293603537 0 665 230 16 6 15
Arapahoe 6293603538 0 613 305 21 5 9
Arapahoe 6293603539 0 652 259 15 2 7
Arapahoe 6293603540 0 354 199 5 3 3
Arapahoe 6293603541 0 431 149 2 4 5
Arapahoe 6293603542 0 412 102 19 3 4
Arapahoe 6293603543 0 578 219 8 2 14
Arapahoe 6293603544 0 795 207 8 5 9
Arapahoe 6293603545 0 211 57 4 1 5
Arapahoe 6293603546 0 577 260 14 6 13
Arapahoe 6293603547 0 497 336 8 1 3
Arapahoe 6293603548 0 244 63 2 1 6
Arapahoe 6293603549 0 257 107 4 1 7
Arapahoe 6293603550 0 30 31 0 0 0
Arapahoe 6293603551 0 413 164 12 0 12
Arapahoe 6293603552 0 543 173 13 2 4
Arapahoe 6293603553 0 811 311 20 4 11
Arapahoe 6293603554 0 629 290 14 3 4
Arapahoe 6293603555 0 509 202 13 1 4
Arapahoe 6293603556 0 613 378 21 2 13
Arapahoe 6293603557 0 881 491 24 10 13
Arapahoe 6293603558 0 562 268 17 3 12
