COUNTY AREA TOTAL DEM REP Writein
Buchanan Hazleton 527 208 319 0
Buchanan Rowley 620 230 390 0
Buchanan Winthrop 767 321 445 1
Buchanan Aurora 569 214 354 1
Buchanan Middlefield-Newton 354 123 231 0
Buchanan Quasqueton 696 267 429 0
Clayton BOARDMAN-HIGHLAND 1114 549 565 0
Clayton "BUENA VISTA" 173 79 94 0
Clayton CASS 875 319 555 1
Clayton CLAYTON-GARNAVILLO 709 220 488 1
Clayton "COX CREEK-SPERRY" 485 149 335 1
Clayton ELK-MALLORY-VOLGA 596 177 419 0
Clayton FARMERSBURG-WAGNER 526 189 337 0
Clayton GIARD-LUANA-MONONA 1334 436 896 2
Clayton "GRAND MEADOW" 216 83 133 0
Clayton JEFFERSON-MILLVILLE 1766 730 1035 1
Clayton LODOMILLO 349 95 254 0
Clayton MARION 183 45 138 0
Clayton MENDON 1016 468 548 0
Clayton READ 149 51 98 0
Delaware "Adams/Hazel Green" 604 220 383 1
Delaware Colony 428 114 314 0
Delaware Delaware 665 177 488 0
Delaware "Delhi/Delaware Corp" 660 168 492 0
Delaware "Honey Creek/Elk" 792 224 568 0
Delaware "Manchester Ward 1" 774 341 431 2
Delaware "Manchester Ward 2" 942 362 578 2
Delaware "Manchester Ward 3" 933 411 521 1
Delaware Milo/Prairie 1104 358 744 2
Delaware "Oneida/N Fork/Bremen" 1574 391 1183 0
Delaware "Richland/Coffins Grove" 676 236 440 0
Delaware "South Fork/Union" 744 278 466 0
Dubuque "1 Rockdale" 2140 1022 1116 2
Dubuque "2 Theisens" 1983 1077 904 2
Dubuque "3 ARC" 1138 641 495 2
Dubuque "4 EMA" 2249 1219 1028 2
Dubuque "5 Arbor Oaks" 1955 1117 835 3
Dubuque "6 Summit" 1683 882 800 1
Dubuque "7 St. Peter Lutheran" 1977 1154 819 4
Dubuque "8 Emmaus" 1146 654 491 1
Dubuque "9 Westminster" 1295 767 527 1
Dubuque "10 Westminster" 1679 989 685 5
Dubuque "11 UAW" 1451 780 667 4
Dubuque "12 Windsor" 1731 1002 726 3
Dubuque "13 Moose Lodge" 1088 614 473 1
Dubuque "14 Sacred Heart" 864 535 326 3
Dubuque "15 Holy Trinity" 1424 852 570 2
Dubuque "16 Election Annex" 777 520 256 1
Dubuque "17 St. Johns" 745 473 269 3
Dubuque "18 Federal Building" 1089 752 333 4
Dubuque "19 YMCA" 1432 906 522 4
Dubuque "20 Fogarty Hall" 1740 1037 703 0
Dubuque "31 Asbury City Hall" 2013 1100 913 0
Dubuque "32 Meadows" 2530 1121 1407 2
Dubuque "33 Cascade" 1552 637 915 0
Dubuque "34 Peosta" 2625 1061 1564 0
Dubuque "35 Luxemburg" 1489 438 1051 0
Dubuque "36 Hope Church" 1773 730 1042 1
Dubuque "37 DYV Social Center" 694 245 449 0
Dubuque "38 DYV Social Center" 731 249 482 0
Dubuque "39 Beckman/Theisens" 1604 498 1106 0
Dubuque "40 Farley" 891 365 525 1
Dubuque "41 Epworth" 1657 697 959 1
Dubuque "42 Sherrill" 1860 774 1086 0
Dubuque "43 Key West" 2088 927 1160 1
Dubuque "44 Bernard" 372 131 241 0
Dubuque "45 Swiss Valley" 1394 575 818 1
Fayette "AUBURN TWP." 294 106 188 0
Fayette "BANKS-FREMONT TWP." 471 150 321 0
Fayette "BETHEL-WINDSOR TWP." 547 185 362 0
Fayette "CENTER TWP." 177 46 131 0
Fayette "CLERMONT TWP." 477 152 325 0
Fayette "DOVER TWP." 311 76 235 0
Fayette "EDEN TWP." 291 97 194 0
Fayette "FAIRBANK, INC." 226 100 126 0
Fayette "FAIRFIELD-PUTNAM TWP." 510 170 340 0
Fayette "HARLAN TWP." 423 174 249 0
Fayette "ILLYRIA TWP." 289 107 182 0
Fayette "JEFFERSON TWP." 313 130 183 0
Fayette "OELWEIN-WARD 1" 672 342 330 0
Fayette "OELWEIN-WARD 2" 576 333 243 0
Fayette "OELWEIN-WARD 3" 552 318 233 1
Fayette "OELWEIN-WARD 4" 838 415 423 0
Fayette "ORAN TWP." 275 106 168 1
Fayette "PLEASANT VALLEY TWP." 528 190 337 1
Fayette "SCOTT TWP." 131 40 91 0
Fayette "SMITHFIELD TWP." 134 36 98 0
Fayette "UNION TWP." 242 69 173 0
Fayette "WEST UNION-WARD 1" 449 200 249 0
Fayette "WEST UNION-WARD 2" 331 128 203 0
Fayette "WEST UNION-WARD 3" 414 154 260 0
Fayette "WESTFIELD TWP." 615 275 340 0
Howard Afton/Howard/Paris 787 288 499 0
Howard "Albion/Forest City" 501 191 309 1
Howard Cresco 2320 1006 1314 0
Howard "New Oregon" 459 136 323 0
Howard Jamestown/Oakdale 368 124 244 0
Howard Saratoga/Howard/Ctr/Chest 404 148 255 1
Iowa "Dayton/English I" 356 114 242 0
Iowa "English II" 595 223 370 2
Iowa Fillmore/Greene 809 300 509 0
Iowa "Hartford I/Sumner" 393 102 291 0
Iowa "Hartford II/Lincoln" 648 187 461 0
Iowa Hilton/Washington 791 277 514 0
Iowa "Honey Creek/Marengo Rural" 435 123 311 1
Iowa Lenox/Iowa 1656 696 959 1
Iowa "Marengo City" 1204 484 718 2
Iowa Pilot/Troy/York 809 212 597 0
Iowa Williamsburg 1896 825 1069 2
Jackson "Pct 1- Bellevue Community Center" 1743 821 922 0
Jackson "Pct 2- St Donatus Parish Center" 673 229 444 0
Jackson "Pct 3- LaMotte Recreation Center" 613 227 386 0
Jackson "Pct 4- St Lawrence Community Center" 632 266 366 0
Jackson "Pct 5- Baldwin Fire Station" 411 147 263 1
Jackson "Pct 6- Andrew City Hall" 674 241 431 2
Jackson "Pct 7-Jackson County Fairgrounds" 961 366 593 2
Jackson "Pct 8- Springbrook City Hall" 406 154 252 0
Jackson "Pct 9- Preston Community Hall" 977 322 654 1
Jackson "Pct 10- Miles City Hall" 401 133 268 0
Jackson "Pct 11- Sabula City Hall" 361 128 233 0
Jackson "Pct 12-Maquoketa 1st Ward" 501 245 256 0
Jackson "Pct 13-Maquoketa 2nd Ward" 424 215 208 1
Jackson "Pct 14-Maquoketa 3rd Ward" 474 216 258 0
Jackson "Pct 15-Maquoketa 4th Ward" 600 295 304 1
Jackson "Pct 16-Maquoketa 5th Ward" 723 335 387 1
Jones "ANN-ANAMOSA NORTH/CASS" 1179 503 675 1
Jones "ANS-ANAMOSA SOUTH/JACKSON" 1692 780 911 1
Jones "CGLW-CASTLE GRV/LOV/WAYN" 1301 433 867 1
Jones FV-FAIRVIEW 1312 494 817 1
Jones GF-GREENFIELD 427 155 272 0
Jones "MN1-MONTICELLO 1" 487 191 296 0
Jones "MN2-MONTICELLO 2" 589 253 335 1
Jones "MN3-MONTICELLO 3" 424 195 228 1
Jones "MN4-MONTICELLO 4" 488 234 254 0
Jones OX-OXFORD 357 132 225 0
Jones RLWS-RICHLAND/WASHINGTON 732 233 499 0
Jones ROHA-ROME/HALE 755 290 464 1
Jones "SGMC-SC GRV/MADISON/CLAY" 695 211 483 1
Jones WY-WYOMING 433 138 295 0
Linn "Cedar Rapids 01" 1759 886 872 1
Linn "Cedar Rapids 02" 1366 781 583 2
Linn "Cedar Rapids 03" 1633 914 717 2
Linn "Cedar Rapids 04" 1401 721 679 1
Linn "Cedar Rapids 05" 1752 1062 688 2
Linn "Cedar Rapids 06" 1841 1015 823 3
Linn "Cedar Rapids 07" 1053 664 387 2
Linn "Cedar Rapids 08" 1301 755 545 1
Linn "Cedar Rapids 09" 1203 742 459 2
Linn "Cedar Rapids 10" 1894 1067 827 0
Linn "Cedar Rapids 11" 2160 957 1201 2
Linn "Cedar Rapids 12" 2303 1282 1020 1
Linn "Cedar Rapids 13" 1637 996 640 1
Linn "Cedar Rapids 14" 1596 1004 591 1
Linn "Cedar Rapids 15" 1159 758 400 1
Linn "Cedar Rapids 16" 1505 1039 465 1
Linn "Cedar Rapids 17" 1313 957 353 3
Linn "Cedar Rapids 18" 1186 694 489 3
Linn "Cedar Rapids 19" 1894 1135 755 4
Linn "Cedar Rapids 20" 2068 1137 929 2
Linn "Cedar Rapids 21" 1709 1064 641 4
Linn "Cedar Rapids 22" 702 520 176 6
Linn "Cedar Rapids 23" 1219 912 302 5
Linn "Cedar Rapids 24" 1865 1196 667 2
Linn "Cedar Rapids 25" 2411 1451 955 5
Linn "Cedar Rapids 26" 1961 1407 552 2
Linn "Cedar Rapids 27" 1314 861 449 4
Linn "Cedar Rapids 28" 1739 1058 674 7
Linn "Cedar Rapids 29" 1535 962 573 0
Linn "Cedar Rapids 30" 1673 1001 670 2
Linn "Cedar Rapids 31" 2275 1241 1033 1
Linn "Cedar Rapids 32" 1337 885 450 2
Linn "Cedar Rapids 33" 1573 1041 528 4
Linn "Cedar Rapids 34" 1627 1125 498 4
Linn "Cedar Rapids 35" 1315 963 348 4
Linn "Cedar Rapids 36" 1889 1142 745 2
Linn "Cedar Rapids 37" 1712 1051 659 2
Linn "Cedar Rapids 38" 1349 835 512 2
Linn "Cedar Rapids 39" 2200 1306 893 1
Linn "Cedar Rapids 40" 1297 766 527 4
Linn "Cedar Rapids 41" 2156 1244 911 1
Linn "Cedar Rapids 42" 1672 859 807 6
Linn "Cedar Rapids 43" 1211 722 486 3
Linn "Cedar Rapids 44" 839 494 345 0
Linn Fairfax 1822 886 935 1
Linn "Hiawatha 01" 1871 969 900 2
Linn "Hiawatha 02" 1129 657 470 2
Linn "Hiawatha 03" 728 370 358 0
Linn "Hiawatha 04" 221 91 129 1
Linn Robins 2388 964 1423 1
Linn "Marion 01" 1264 752 510 2
Linn "Marion 02" 995 514 475 6
Linn "Marion 03" 1454 827 627 0
Linn "Marion 04" 1120 616 501 3
Linn "Marion 05" 2466 1310 1155 1
Linn "Marion 06" 2085 1092 992 1
Linn "Marion 07" 1929 979 948 2
Linn "Marion 08" 1909 1023 884 2
Linn "Marion 09" 1748 876 871 1
Linn "Marion 10" 1329 778 550 1
Linn "Marion 11" 2284 1002 1281 1
Linn "Marion 12" 1209 592 615 2
Linn "Marion 13" 2105 1090 1014 1
Linn "Marion 14" 1774 787 987 0
Linn "Mount Vernon North" 995 675 319 1
Linn "Mount Vernon South" 1420 944 475 1
Linn "Bertram Township" 2336 1052 1282 2
Linn "Boulder Township" 303 126 177 0
Linn "Brown Township" 1260 491 768 1
Linn "Buffalo Township" 329 132 197 0
Linn "Clinton Township" 476 213 263 0
Linn "College Township" 400 205 195 0
Linn "Fairfax Township" 920 392 528 0
Linn "Fayette Township" 991 412 578 1
Linn "Franklin Township" 1804 910 892 2
Linn "Grant Township" 748 317 429 2
Linn "Jackson Township" 822 355 467 0
Linn "Linn Township" 545 214 331 0
Linn "Maine Township" 1084 450 633 1
Linn "Marion Township" 930 360 570 0
Linn "Monroe TWP 01" 1342 480 862 0
Linn "Monroe TWP 02" 1324 482 842 0
Linn "Otter Creek Township" 958 321 636 1
Linn "Putnam Township" 1833 923 909 1
Linn "Spring Grove Township" 469 191 277 1
Linn "Washington Township" 2063 899 1164 0
Marshall BANGOR/LISCOMB 432 145 286 1
Marshall EDEN/LOGAN 950 364 585 1
Marshall "GREEN CASTLE" 535 188 347 0
Marshall JEFFERSON 468 176 292 0
Marshall LEGRAND 834 330 504 0
Marshall LIBERTY/MINERVA 386 113 273 0
Marshall MARIETTA/WASHINGTON 450 131 319 0
Marshall MARION/VIENNA 701 251 447 3
Marshall "1-1 PUBLIC LIBRARY" 592 414 178 0
Marshall "1-2 PUBLIC LIBRARY" 772 491 278 3
Marshall "2-1 IVH MALLOY HALL" 1166 669 497 0
Marshall "2-2 IVH MALLOY HALL" 1661 854 804 3
Marshall "3-1 FISHER COMMUNITY CENTER" 1482 724 755 3
Marshall "3-2 FISHER COMMUNITY CENTER" 1911 959 951 1
Marshall "4-1 REDEEMER LUTHERAN CHURCH" 1199 707 492 0
Marshall "4-2 REDEEMER LUTHERAN CHURCH" 1494 756 733 5
Marshall "STATE CENTER" 1055 405 649 1
Marshall TAYLOR 635 274 361 0
Marshall "Timber Creek Township" 650 225 425 0
Mitchell "Our Savior's Lutheran Church" 671 245 426 0
Mitchell "Osage Public Library" 433 180 253 0
Mitchell "Mitchell County Courthouse" 1147 399 747 1
Mitchell "Osage City Hall" 455 188 267 0
Mitchell "Riceville City Hall" 864 290 574 0
Mitchell "Stacyville Public Library" 549 206 342 1
Mitchell "South Square" 1459 508 950 1
Poweshiek BMWJ 1674 524 1143 7
Poweshiek DRL 401 80 321 0
Poweshiek MS 428 163 265 0
Poweshiek CGWS 991 318 671 2
Poweshiek "1st Ward - GR - 06GR" 1005 751 252 2
Poweshiek "2nd Ward - GR - 07GR" 1434 818 612 4
Poweshiek "3rd Ward - GR - 08GR" 1022 585 433 4
Poweshiek "4th Ward - GR - 09GR" 1234 754 478 2
Poweshiek JUPS 1009 254 753 2
Poweshiek "Montezuma - 11MO" 686 182 504 0
Tama "PERRY/BUCKINGHAM/E. CRYSTAL" 1215 430 781 4
Tama CARLTON 480 197 283 0
Tama "CARROLL/ONEIDA/N. OTTER CREEK" 408 114 294 0
Tama CLARK/GENESEO 1162 396 766 0
Tama COLUMBIA/TAMA 1335 664 666 5
Tama "SPRING CREEK/W. CRYSTAL" 813 260 551 2
Tama GRANT 177 59 118 0
Tama "HIGHLAND/INDIAN VILLAGE" 484 179 305 0
Tama "INDIAN SETTLEMENT" 507 465 42 0
Tama "S. OTTER CREEK" 99 38 61 0
Tama LINCOLN 213 51 162 0
Tama "RICHLAND/SALT CREEK" 315 108 206 1
Tama HOWARD/TOLEDO 371 131 240 0
Tama "TOLEDO CITY" 1042 563 474 5
Tama YORK 296 95 201 0
Winneshiek "PCT 1 - HE/HI/PL" 714 315 398 1
Winneshiek "PCT 2 - FR/GL/DEW3/DETSUP1" 1972 1083 887 2
Winneshiek "PCT 3 - DEW1/DETSUP2" 1677 918 759 0
Winneshiek "PCT 4 - DEW2" 1054 724 330 0
Winneshiek "PCT 5 - CN/DEW4/DETSUP3" 1092 603 488 1
Winneshiek "PCT 6 - DEW5" 656 446 210 0
Winneshiek "PCT 7 - CA/SP" 1309 527 781 1
Winneshiek "PCT 8 - MI/BLM" 997 333 664 0
Winneshiek "PCT 9 - BLF/BO/FR/LI/MA/OR" 1441 503 938 0
Winneshiek "PCT 10 - JA/SU/WA" 848 303 545 0
Winneshiek "PCT 11 - DETSUP5" 93 52 41 0
Worth "Barton Deer Creek Union Grafton" 526 178 347 1
Worth "Lincoln Manly" 830 401 427 2
Worth "Bristol Silver Lake Joice" 425 155 270 0
Worth "Brookfield Kensett" 414 155 259 0
Worth "Danville Hanlontown" 270 109 159 2
Worth Fertile 393 136 257 0
Worth "Deer Creek Grove Hartland Northwood" 1450 535 914 1
