COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Tester Rosendale Breckenridge
Gallatin "PCT 69B" 0 325 1022 28
Gallatin "PCT 69C" 0 571 975 51
Gallatin "PCT 69D" 0 557 729 35
Garfield "PRECINCT 01" 0 59 364 23
Garfield "PRECINCT 07" 0 9 66 5
Garfield "PRECINCT 14" 0 7 77 1
Garfield "PRECINCT 19" 0 6 64 1
Glacier "PCT 01" 0 160 215 21
Glacier "PCT 02" 0 153 149 16
Glacier "PCT 03" 0 147 132 7
Glacier "PCT 04" 0 83 79 14
Glacier "PCT 05" 0 218 243 5
Glacier "PCT 06" 0 20 46 2
Glacier "PCT 07" 0 49 3 0
Glacier "PCT 08" 0 415 14 2
Glacier "PCT 09" 0 1103 77 11
Glacier "PCT 10" 0 281 35 1
Glacier "PCT 11" 0 101 34 1
Glacier "PCT 12" 0 203 13 0
Glacier "PCT 13" 0 212 8 1
Glacier "PCT 15" 0 176 67 5
Glacier "PCT 19" 0 164 21 3
Glacier "PCT 21C" 0 269 17 0
"Golden Valley" LAVINA 0 62 162 8
"Golden Valley" RYEGATE 0 68 141 13
Granite "PRECINCT #1" 0 185 227 19
Granite "PRECINCT #10" 0 150 320 8
Granite "PRECINCT #2" 0 252 267 16
Granite "PRECINCT #9" 0 108 232 9
Hill "PRECINCT #01" 0 364 199 23
Hill "PRECINCT #02" 0 205 106 18
Hill "PRECINCT #03" 0 289 230 14
Hill "PRECINCT #07" 0 368 247 29
Hill "PRECINCT #08" 0 318 264 23
Hill "PRECINCT #09" 0 292 181 16
Hill "PRECINCT #10" 0 189 109 6
Hill "PRECINCT #13" 0 126 82 8
Hill "PRECINCT #14" 0 126 184 20
Hill "PRECINCT #15" 0 101 143 7
Hill "PRECINCT #16" 0 111 118 13
Hill "PRECINCT #18" 0 129 23 4
Hill "PRECINCT #20" 0 128 112 8
Hill "PRECINCT #21" 0 59 77 4
Hill "PRECINCT #22" 0 124 111 6
Hill "PRECINCT #25" 0 273 243 27
Hill "PRECINCT #28" 0 527 5 1
Jefferson 01-71 0 288 521 49
Jefferson 02-75 0 344 592 46
Jefferson 03-75 0 34 34 0
Jefferson 04-75 0 446 447 40
Jefferson 05-75 0 65 74 5
Jefferson 06-75 0 178 277 6
Jefferson 07-75 0 420 445 25
Jefferson 08-75 0 220 260 14
Jefferson 09-75 0 463 489 25
Jefferson 10-75 0 496 514 16
"Judith Basin" "PRECINCT 1" 0 37 72 3
"Judith Basin" "PRECINCT 2" 0 42 96 8
"Judith Basin" "PRECINCT 3" 0 172 292 27
"Judith Basin" "PRECINCT 4" 0 137 292 13
Lake "ARL 1 HD93" 0 478 256 15
Lake "BEA 1 HD10" 0 245 241 7
Lake "BEA 2 HD12" 0 61 74 5
Lake "CHA 1 HD93" 0 281 334 27
Lake "DAY 1 HD12" 0 187 322 17
