COUNTY AREA TOTAL DEM REP LIB Writein
COUNTY AREA TOTAL Axne Young Holder Writein
Polk "WEST DES MOINES 116" 1582 900 651 29 2
Polk "WEST DES MOINES 117" 1496 848 621 26 1
Polk "WEST DES MOINES 118" 1307 866 401 38 2
Polk "WEST DES MOINES 211" 1227 723 465 38 1
Polk "WEST DES MOINES 212" 1626 1007 567 51 1
Polk "WEST DES MOINES 213" 1146 546 570 27 3
Polk "WEST DES MOINES 311" 1865 1023 805 35 2
Polk "WEST DES MOINES 312" 1633 979 628 26 0
Polk "WEST DES MOINES 313" 788 428 349 11 0
Polk "WEST DES MOINES 314" 832 553 257 22 0
Polk "WEST DES MOINES 315" 1449 823 586 38 2
Polk "WEST DES MOINES 316" 2043 1100 904 38 1
Polk "WEST DES MOINES 317" 1927 954 945 26 2
Polk "WEST DES MOINES 318" 726 273 445 7 1
Polk "WINDSOR HEIGHTS 1" 986 630 329 27 0
Polk "WINDSOR HEIGHTS 2" 1026 634 371 20 1
Polk "WINDSOR HEIGHTS 3" 1229 784 397 46 2
Pottawattamie "CB 01" 754 383 334 37 0
Pottawattamie "CB 02" 1113 491 559 63 0
Pottawattamie "CB 03" 841 395 393 53 0
Pottawattamie "CB 04" 956 446 444 65 1
Pottawattamie "CB 05" 945 444 433 68 0
Pottawattamie "CB 06" 1476 738 658 79 1
Pottawattamie "CB 07" 1449 695 680 74 0
Pottawattamie "CB 08" 1734 812 848 71 3
Pottawattamie "CB 09" 1315 605 660 49 1
Pottawattamie "CB 10A" 1927 864 965 98 0
Pottawattamie "CB 10B" 1970 793 1122 55 0
Pottawattamie "CB 11" 1445 728 626 91 0
Pottawattamie "CB 12" 1498 658 776 63 1
Pottawattamie "CB 13" 803 426 325 51 1
Pottawattamie "CB 14" 837 401 388 48 0
Pottawattamie "CB 15" 934 481 385 68 0
Pottawattamie "CB 16" 1038 494 454 89 1
Pottawattamie "CB 17" 1315 646 596 71 2
Pottawattamie "CB 18" 1269 601 602 65 1
Pottawattamie "CB 19" 919 443 442 34 0
Pottawattamie "CB 20" 1070 445 583 41 1
Pottawattamie "CB 21" 942 415 484 43 0
Pottawattamie "Carter Lake 1" 800 344 423 33 0
Pottawattamie "Carter Lake 2" 774 333 389 51 1
Pottawattamie Avoca 1128 395 701 31 1
Pottawattamie Carson 546 164 364 17 1
Pottawattamie Crescent 1689 598 976 112 3
Pottawattamie Garner 2034 660 1294 80 0
Pottawattamie GLWCW 515 125 379 10 1
Pottawattamie Hancock 233 69 156 8 0
Pottawattamie "Lewis 1" 1402 520 826 56 0
Pottawattamie "Lewis 2" 1652 551 1040 61 0
Pottawattamie Macedonia 224 76 142 6 0
Pottawattamie McClelland 683 163 498 22 0
Pottawattamie Minden 757 208 532 16 1
Pottawattamie Neola 1196 378 774 44 0
Pottawattamie Oakland 1186 349 800 37 0
Pottawattamie Treynor 1168 309 820 38 1
Pottawattamie Underwood 1767 596 1091 79 1
Pottawattamie Walnut 498 182 294 18 4
Ringgold Athens 297 74 213 10 0
Ringgold Clinton 193 64 126 3 0
Ringgold "Mount Ayr 1" 640 217 404 19 0
Ringgold "Mount Ayr 2" 671 227 431 12 1
Ringgold Tingley 164 42 119 3 0
Ringgold Union 241 94 143 4 0
Ringgold Washington 470 105 353 12 0
Taylor Blockton 178 44 131 3 0
Taylor Clearfield 215 54 154 7 0
Taylor Gravity 223 53 165 5 0
Taylor "New Market" 428 99 316 13 0
Taylor Lenox 960 329 600 31 0
Taylor "Bedford City" 747 163 568 16 0
Taylor "Township District 3" 419 79 327 12 1
Union Afton 830 242 556 32 0
Union Arispe 267 82 179 6 0
Union "CS1 Salem Lutheran Church" 573 245 301 26 1
Union "CS2 SWCC" 1496 498 948 50 0
Union "CS3 Trinity Lutheran Church" 750 336 377 36 1
Union "CS4 Supertel" 741 288 413 37 3
Union "CS5 Crest Baptist Church" 1001 396 567 37 1
Union Lorimor 386 114 248 24 0
Warren "Allen 2" 1067 466 549 49 3
Warren "Allen 3" 1474 652 764 58 0
Warren Belmont 222 54 151 16 1
Warren "Cumming/West Des Moines" 484 186 283 15 0
Warren "Greenfield 1" 969 408 530 30 1
Warren "Greenfield 1/ DM85" 987 486 463 38 0
Warren "Greenfield 1/ DM86" 93 38 54 1 0
Warren "Greenfield 2/ Lincoln 2" 1455 519 880 56 0
Warren "Indianola 1" 928 413 473 41 1
Warren "Indianola 2" 1392 695 644 50 3
Warren "Indianola 3" 661 350 280 31 0
Warren "Indianola 4" 1693 813 831 45 4
Warren "Indianola 5" 1091 450 579 60 2
Warren "Indianola 6" 948 415 493 40 0
Warren "Indianola 7" 1610 716 800 92 2
Warren Jackson 627 212 380 34 1
Warren Jefferson 1183 418 708 53 4
Warren Liberty 297 83 206 8 0
Warren "Lincoln 1" 489 191 284 14 0
Warren "Norwalk 1" 1859 808 1000 50 1
Warren "Norwalk 2/ Greenfield 1" 1473 705 719 49 0
Warren "Norwalk 3/ Linn" 2529 1172 1271 84 2
Warren "Norwalk 4" 2216 1000 1145 68 3
Warren Otter/Milo 995 317 641 35 2
Warren Palmyra 346 105 230 11 0
Warren Richland/Palmyra 698 231 426 41 0
Warren "Squaw Creek" 486 137 326 23 0
Warren Union 337 103 227 6 1
Warren Virgina 673 199 444 30 0
Warren "White Breast" 407 126 260 21 0
Warren "White Oak" 684 230 432 22 0
