COUNTY AREA TOTAL DEM REP LMN GLC Writein
COUNTY AREA TOTAL Smith Lewis OConnor Steinberg Writein
Becker "SUGAR BUSH TWP" 321 124 160 25 12 0
Becker "TOAD LAKE TWP" 271 67 189 11 4 0
Becker "TWO INLETS TWP" 155 52 100 2 1 0
Becker "WALWORTH TWP" 48 24 24 0 0 0
Becker "WHITE EARTH TWP" 227 106 92 18 11 0
Becker "WOLF LAKE" 32 7 25 0 0 0
Becker "WOLF LAKE TWP" 159 22 134 2 1 0
Beltrami "ALASKA TWP" 119 66 48 4 1 0
Beltrami "BATTLE TWP" 16 6 10 0 0 0
Beltrami "BEMIDJI TWP" 1696 611 947 104 34 0
Beltrami "BEMIDJI W-1" 959 469 296 147 46 1
Beltrami "BEMIDJI W-2" 1176 594 449 100 32 1
Beltrami "BEMIDJI W-3 P-1" 1119 511 492 88 26 2
Beltrami "BEMIDJI W-3 P-2" 615 269 285 48 13 0
Beltrami "BEMIDJI W-4" 1470 714 570 137 48 1
Beltrami "BEMIDJI W-5" 1619 754 706 121 37 1
Beltrami "BENVILLE TWP" 61 19 39 1 2 0
Beltrami "BIRCH TWP" 68 27 40 1 0 0
Beltrami BLACKDUCK 311 105 171 28 7 0
Beltrami "BUZZLE TWP" 179 57 117 5 0 0
Beltrami "CORMANT TWP" 104 23 78 2 1 0
Beltrami "DURAND TWP" 127 32 85 7 3 0
Beltrami "ECKLES TWP" 1011 295 622 76 18 0
Beltrami "FROHN TWP" 981 375 555 42 9 0
Beltrami FUNKLEY 6 2 4 0 0 0
Beltrami "GRANT VALLEY TWP" 1258 471 700 63 24 0
Beltrami "HAGALI TWP" 219 51 157 6 5 0
Beltrami "HAMRE TWP" 13 5 8 0 0 0
Beltrami "HINES TWP" 416 99 295 20 2 0
Beltrami "HORNET TWP" 119 26 79 6 7 1
Beltrami "JONES TWP" 141 28 106 7 0 0
Beltrami KELLIHER 119 38 79 1 1 0
Beltrami "KELLIHER TWP" 81 24 53 1 3 0
Beltrami "LAMMERS TWP" 334 87 225 15 7 0
Beltrami "LANGOR TWP" 115 20 86 7 2 0
Beltrami "LEE TWP" 23 5 18 0 0 0
Beltrami "LIBERTY TWP" 457 160 266 22 9 0
Beltrami "MAPLE RIDGE TWP" 66 27 35 4 0 0
Beltrami "MINNIE TWP" 16 6 10 0 0 0
Beltrami "MOOSE LAKE TWP" 155 57 92 4 2 0
Beltrami "NEBISH TWP" 161 56 96 8 1 0
Beltrami "NORTHERN TWP P 01" 2147 759 1257 88 43 0
Beltrami "NORTHERN TWP P 02" 0 0 0 0 0 0
Beltrami "O'BRIEN TWP" 27 0 27 0 0 0
Beltrami "PONEMAH PREC" 415 288 9 94 20 4
Beltrami "PORT HOPE TWP" 463 146 290 17 10 0
Beltrami "QUIRING TWP" 35 12 22 1 0 0
Beltrami "RED LAKE AGENCY PREC" 859 598 25 178 54 4
Beltrami "REDBY PREC" 599 399 18 146 32 4
Beltrami "LITTLE ROCK" 407 302 12 74 18 1
Beltrami "ROOSEVELT TWP" 149 63 76 9 1 0
Beltrami "SHOOKS TWP" 101 7 94 0 0 0
Beltrami "SHOTLEY TWP" 27 6 18 2 1 0
