DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
5 Clay "702 - Keystone Heights City Ha" 0 415 1774 79
5 Clay "704 - First Bapt Church of KH" 0 277 1134 54
5 Clay "706 - Freedom Baptist Church" 0 431 2211 78
5 Clay "708 - Gadara Baptist Church" 0 200 1483 47
5 Clay "710 - Penney Farms Town Hall" 0 274 594 35
5 Dixie "1 1ST DIST. COM. BLDG" 0 283 1491 0
5 Dixie "10 COUNTY BLDG 292 Ave" 0 41 368 0
5 Dixie "11 JENA COM. CENTER" 0 45 293 0
5 Dixie "12 HORSESHOE BCH CITY HALL" 0 40 256 0
5 Dixie "2 MASONIC LODGE" 0 57 325 0
5 Dixie "4 Old Town CTR" 0 351 1748 0
5 Dixie "5 SUWANNEE COM. CENTER" 0 23 284 0
5 Dixie "6 COM. BUILDING HWY 55A" 0 99 683 0
5 Dixie "7 CO BLDG WARD AVE" 0 33 263 0
5 Dixie "9 CITY HALL" 0 310 705 0
5 Gilchrist "1A Trenton Center" 0 147 716 0
5 Gilchrist "1B County Library" 0 57 357 0
5 Gilchrist "1C County Library" 0 106 137 0
5 Gilchrist "2A Donnie Center" 0 156 1214 0
5 Gilchrist "3A Bell Community Center" 0 169 1039 0
5 Gilchrist "4A Cruse Center" 0 210 1026 0
5 Gilchrist "5A N Gilchrist Fire Station" 0 104 570 0
5 Gilchrist "6A Osteen Center" 0 216 1217 0
5 Gilchrist "7A Osceola Center" 0 166 798 0
5 Gilchrist "8A Southeast Center" 0 212 788 0
5 Lafayette "4th District Community Center" 0 98 817 0
5 Lafayette "Airline Community Center" 0 97 780 0
5 Lafayette "Day Community Center" 0 71 662 0
5 Lafayette "Lafayette Public Library" 0 77 496 0
5 Lafayette "Mayo Community Center" 0 157 301 0
5 Levy "Bronson Dogan Cobb Building" 0 768 1932 0
5 Levy "Cedar Key Community Center" 0 328 739 0
5 Levy "Fanning Springs City Hall" 0 292 1236 0
5 Levy "Gulf Hammock Church of God" 0 67 320 0
5 Levy "Inglis Community Center" 0 454 1542 0
5 Levy "Levy County Ag Extension Office" 0 503 1205 0
5 Levy "Miracle Vision Tabernacle" 0 342 719 0
5 Levy "Morriston Baptist Church" 0 578 1965 0
5 Levy "Pine Grove Baptist Church" 0 123 690 0
5 Levy "Tommy Usher Center" 0 871 3188 0
5 Levy "Williston City Hall" 0 910 1271 0
5 Levy "Williston Highlands" 0 570 1709 0
5 Marion 0050 0 344 711 0
5 Marion 4500 0 534 1121 0
5 Marion 4510 0 751 1561 0
5 Marion 4521 0 21 96 0
5 Marion 4690 0 702 1447 0
5 Marion 4700 0 121 431 0
5 Marion 4710 0 726 1914 0
5 Suwannee "Precinct 1 - Recreation Center" 0 825 660 75
5 Suwannee "Precinct 10 - McAlpin" 0 227 1152 49
5 Suwannee "Precinct 11 - O'Brien" 0 236 1181 50
5 Suwannee "Precinct 12 - Wellborn" 0 244 1387 38
5 Suwannee "Precinct 13 - Branford" 0 237 1522 42
5 Suwannee "Precinct 14 - Clayland" 0 133 701 29
5 Suwannee "Precinct 15 - Pinegrove" 0 141 826 35
5 Suwannee "Precinct 16 - Anchor Church" 0 212 1025 42
5 Suwannee "Precinct 2 - Church of God" 0 361 1171 58
5 Suwannee "Precinct 3 - Presbyterian Church" 0 305 962 55
5 Suwannee "Precinct 4 - Coliseum" 0 346 1440 67
5 Suwannee "Precinct 5 - Diagnostic Center" 0 234 888 41
5 Suwannee "Precinct 6 - Luraville" 0 183 966 36
5 Suwannee "Precinct 7 - Mt. Gilead" 0 133 628 25
5 Suwannee "Precinct 8 - Rocky Sink" 0 144 764 40
5 Suwannee "Precinct 9 - Dowling Park" 0 205 987 63
5 Union "1A & 1B" 0 159 838 33
5 Union "2A & 2B" 0 129 726 32
5 Union "3A & 3B" 0 191 1151 47
5 Union 3C 0 24 204 17
5 Union "4A & 4C" 0 156 483 24
5 Union 4B 0 227 1048 47
5 Union "5A & 5C" 0 106 332 19
5 Union 5B 0 30 243 15
7 Flagler 1 0 595 942 90
7 Flagler 10 0 1221 1735 171
7 Flagler 11 0 1110 1319 133
7 Flagler 13 0 1136 1422 136
7 Flagler 14 0 1632 2221 218
7 Flagler 15 0 1172 1345 121
7 Flagler 16 0 855 1114 124
7 Flagler 17 0 602 775 83
7 Flagler 18 0 1673 1921 211
7 Flagler 19 0 1575 1865 186
7 Flagler 20 0 1466 1963 180
7 Flagler 21 0 1104 1616 137
7 Flagler 23 0 1472 2419 194
7 Flagler 24 0 1103 1828 174
