COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Valdez Abbott Tippetts
Bexar 0293035 0 250 232 2
Bexar 0293036 0 1173 809 48
Bexar 0293037 0 823 786 30
Bexar 0293038 0 356 419 17
Bexar 0293039 0 761 1586 41
Bexar 0293040 0 588 669 25
Bexar 0293041 0 142 218 8
Bexar 0293042 0 471 839 22
Bexar 0293043 0 469 1178 27
Bexar 0293044 0 406 519 13
Bexar 0293045 0 326 699 21
Bexar 0293046 0 410 551 28
Bexar 0293047 0 564 691 33
Bexar 0293048 0 501 550 23
Bexar 0293049 0 548 936 26
Bexar 0293050 0 271 430 7
Bexar 0293051 0 84 169 8
Bexar 0293052 0 1057 1568 46
Bexar 0293053 0 457 673 27
Bexar 0293054 0 533 426 16
Bexar 0293055 0 395 1416 31
Bexar 0293056 0 576 411 21
Bexar 0293057 0 160 211 7
Bexar 0293058 0 970 711 47
Bexar 0293059 0 397 572 10
Bexar 0293060 0 556 596 20
Bexar 0293061 0 533 487 23
Bexar 0293062 0 9 16 1
Bexar 0293063 0 566 647 22
Bexar 0293064 0 145 133 6
Bexar 0293065 0 24 11 1
Bexar 0293066 0 550 653 23
Bexar 0293067 0 452 575 19
Bexar 0293068 0 798 408 23
Bexar 0293069 0 927 1092 33
Bexar 0293070 0 722 984 29
Bexar 0293071 0 761 650 22
Bexar 0293072 0 821 1425 26
Bexar 0293073 0 464 513 19
Bexar 0293074 0 709 982 33
Bexar 0293075 0 644 1494 37
Bexar 0293076 0 322 652 13
Bexar 0293077 0 682 935 30
Bexar 0293078 0 697 1063 41
Bexar 0293079 0 798 1224 36
Bexar 0293080 0 286 405 13
Bexar 0293081 0 613 741 24
Bexar 0293082 0 625 730 27
Bexar 0293083 0 375 568 29
Bexar 0293084 0 783 996 41
Bexar 0293085 0 340 420 16
Bexar 0293086a 0 482 680 25
Bexar 0293086b 0 0 0 0
Bexar 0293087 0 355 567 16
Bexar 0293088 0 717 1218 36
Bexar 0293089 0 705 2077 43
Bexar 0293090 0 731 1063 45
Bexar 0293091 0 139 467 8
Bexar 0293092 0 518 1355 37
Bexar 0293093 0 974 1774 47
Bexar 0293094 0 708 1336 22
Bexar 0293095 0 804 495 28
Bexar 0293096a 0 752 1299 35
Bexar 0293096b 0 0 0 0
Bexar 0293097 0 0 4 0
Bexar 0293098 0 340 448 24
Bexar 0293099 0 822 1129 36
Bexar 0293100 0 804 873 36
Bexar 0293101 0 659 894 22
Bexar 0293102 0 727 1217 43
Bexar 0293103 0 191 158 6
Bexar 0293104 0 647 1002 34
Bexar 0293105 0 756 982 30
Bexar 0293106 0 348 736 12
Bexar 0293107 0 496 358 24
Bexar 0293108 0 333 659 15
Bexar 0293109 0 829 665 28
Bexar 0293110 0 795 888 34
Bexar 0293111 0 2 0 0
Bexar 0293112 0 470 287 16
Bexar 0293113 0 326 185 15
Bexar 0293114 0 428 1102 19
Bexar 0293115 0 494 795 27
Bexar 0293116 0 469 435 20
Bexar 0293117 0 764 1197 39
Bexar 0293118 0 268 308 11
Bexar 0293119 0 1020 1092 47
Bexar 0293120 0 856 927 48
Bexar 0293121 0 1028 1412 45
Bexar 0293122 0 557 775 28
Bexar 0293123 0 112 211 4
Bexar 0293124 0 701 1093 24
Bexar 0293125 0 701 1298 31
Bexar 0293126 0 353 645 16
Bexar 0293127 0 987 907 42
Bexar 0293128 0 19 21 1
Bexar 0293129 0 940 815 58
Bexar 0293130 0 374 855 13
Bexar 0293131 0 3 0 0
Bexar 0293132 0 399 251 12
Bexar 0293133 0 0 0 0
Bexar 0293134 0 1011 466 29
Bexar 0293135 0 286 234 11
Bexar 0293136 0 145 166 7
Bexar 0293137 0 987 1433 49
Bexar 0293138 0 5 32 0
Bexar 0293139 0 429 340 16
Bexar 0293140 0 141 93 5
Bexar 0293141 0 415 323 13
Bexar 0293142 0 104 67 2
Bexar 0293143 0 449 434 15
Bexar 0293144 0 66 73 4
Bexar 0293145 0 723 1080 24
Bexar 0293146 0 1013 823 44
Bexar 0293147 0 743 721 25
Bexar 0293148 0 251 487 13
Bexar 0293149 0 1244 316 31
Bexar 0293150 0 8 8 0
Bexar 0293151 0 851 1177 39
Bexar 0293152 0 483 287 25
Bexar 0293153 0 405 503 21
Bexar 0293154 0 377 719 17
Bexar 0293155 0 593 988 34
Bexar 0293156 0 7 10 0
Bexar 0293157 0 699 990 35
Bexar 0293158a 0 11 18 1
Bexar 0293158b 0 3 6 0
Bexar 0293159 0 552 457 17
Bexar 0293160 0 342 549 14
Bexar 0293161 0 729 588 14
Bexar 0293162 0 341 311 24
Bexar 0293163 0 581 960 29
Bexar 0293164 0 383 785 24
Bexar 0293165 0 846 1315 42
Bexar 0293166 0 171 142 6
Bexar 0293167 0 1 5 0
Bexar 0293168a 0 0 0 0
Bexar 0293168b 0 0 0 0
Bexar 0293169 0 31 49 0
Bexar 0293170 0 0 0 0
Bexar 0293171 0 1 0 0
Bexar 0293172 0 161 118 4
Bexar 0293173 0 807 1196 42
Bexar 0293174 0 880 1752 45
Bexar 0293175 0 178 200 10
Bexar 0293176 0 18 20 0
Bexar 0293177 0 0 0 0
Bexar 0293178 0 0 0 0
Bexar 0293179 0 0 2 0
Bexar 0293180 0 322 325 17
Bexar 0293181 0 429 856 18
Bexar 0293182 0 221 277 16
Bexar 0293183 0 1 10 0
Bexar 0293184 0 41 62 2
Bexar 0293185a 0 53 75 2
Bexar 0293185b 0 13 18 0
Bexar 0293186 0 0 1 0
Bexar 0293187 0 0 0 0
Bexar 0293188a 0 0 0 0
Bexar 0293188b 0 0 0 0
Bexar 0293189 0 309 304 8
Bexar 0293190 0 242 235 11
Bexar 0293191a 0 42 85 1
Bexar 0293191b 0 0 0 0
Bexar 0293191c 0 0 0 0
Bexar 0293193 0 49 72 3
Bexar 0293194 0 648 1429 28
Bexar 0293195 0 810 301 23
Bexar 0293198 0 173 223 9
Bexar 0293199 0 655 1158 28
Bexar 0293201 0 752 1620 17
Bexar 0293202 0 214 371 3
Bexar 0293203 0 94 199 10
Bexar 0293204 0 0 0 0
Bexar 0293205 0 0 0 0
Bexar 0293206 0 52 8 2
Bexar 0293207 0 2 2 0
Bexar 0293208 0 26 14 1
Bexar 0293209a 0 91 172 7
Bexar 0293209b 0 59 112 4
Bexar 0293210 0 351 480 16
Bexar 0294001 0 853 455 38
Bexar 0294002 0 256 59 3
Bexar 0294003 0 342 80 4
Bexar 0294004 0 284 119 10
Bexar 0294005 0 608 142 19
Bexar 0294006 0 218 62 5
Bexar 0294007 0 169 189 13
Bexar 0294008 0 220 200 14
Bexar 0294009 0 235 64 6
Bexar 0294010 0 321 42 8
Bexar 0294011 0 373 70 6
Bexar 0294012 0 198 48 6
Bexar 0294013 0 270 111 5
Bexar 0294014 0 124 38 0
Bexar 0294015 0 620 161 16
