COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
Greene "Jefferson 1 Precinct" 543 299 228 13 2 1
Greene "Jefferson 2 Precinct" 585 283 285 8 8 1
Greene "Jefferson 3 Precinct" 778 434 328 12 3 1
Greene "North Precinct" 518 245 264 8 1 0
Greene "West Precinct" 452 156 286 7 2 1
Grundy "PRECINCT 1" 774 290 458 19 5 2
Grundy "PRECINCT 2" 376 113 252 8 3 0
Grundy "PRECINCT 3" 710 172 518 12 7 1
Grundy "PRECINCT 4" 442 110 319 9 3 1
Grundy "PRECINCT 5" 1158 460 660 26 10 2
Grundy "PRECINCT 6" 1189 408 747 25 8 1
Grundy "PRECINCT 7" 1054 443 586 17 8 0
Hamilton "PRECINCT 1" 614 254 338 19 2 1
Hamilton "PRECINCT 2" 501 202 286 11 2 0
Hamilton "PRECINCT 3" 952 378 548 17 7 2
Hamilton "PRECINCT 4" 891 380 489 14 8 0
Hamilton "PRECINCT 5" 528 178 334 11 4 1
Hamilton "WEBSTER CITY 1" 1002 529 442 21 10 0
Hamilton "WEBSTER CITY 2" 1207 655 521 22 8 1
Hamilton "WEBSTER CITY 3" 643 366 257 14 5 1
Hancock "Precinct #1" 565 236 304 18 6 1
Hancock "Precinct #2" 182 78 95 4 5 0
Hancock "Precinct #3" 166 66 92 5 3 0
Hancock "Precinct #4" 1077 408 646 17 5 1
Hancock "Precinct #5" 161 46 110 4 1 0
Hancock "Precinct #6" 1471 604 816 41 8 2
Hancock "Precint #7" 382 142 222 11 7 0
Hancock "Precinct #8" 233 89 139 5 0 0
Hancock "Precinct #9" 391 122 261 8 0 0
Hancock "Precinct #10" 140 52 80 7 1 0
Hardin Alden/Buckeye 563 250 302 9 2 0
Hardin Hardin/Ellis/Jackson 722 300 399 12 11 0
Hardin "Iowa Falls #1" 816 446 341 19 10 0
Hardin "Iowa Falls #2" 1142 544 577 15 6 0
Hardin Etna/Clay 998 400 567 21 10 0
Hardin Concord/Sherman/Grant/Tipton 1132 406 688 30 7 1
Hardin Eldora/Pleasant/Providence/Union 789 256 509 15 9 0
Hardin "Eldora City" 993 425 534 28 5 1
Harrison "#1 Little Sioux" 105 58 43 2 2 0
Harrison "#2 Pisgah" 273 95 172 2 4 0
Harrison "#3 Dunlap" 553 286 252 10 5 0
Harrison "#4 Mondamin" 285 95 176 10 4 0
Harrison "#5 Magnolia" 487 144 330 9 4 0
Harrison "#6 Boyer/Lincoln" 249 89 151 8 1 0
Harrison "#7 Woodbine" 631 244 366 15 5 1
Harrison "#8 Modale" 371 144 211 11 5 0
Harrison "#9 Jefferson/LaGrange" 445 120 316 8 1 0
Harrison "#10 Logan" 531 221 293 13 4 0
Harrison "#11 St John" 609 227 365 12 5 0
Harrison "#12 Missouri Valley" 941 380 521 26 12 2
Harrison "#13 Persia" 505 134 363 5 3 0
Humboldt "Avery-North Weaver" 196 78 109 6 3 0
Humboldt "Dakota City-Grove" 465 178 278 7 2 0
Humboldt "Delana-Wacousta-N. Rutland" 294 91 197 5 1 0
Humboldt "Humboldt 1-Corinth-S. Weaver" 993 349 623 16 4 1
Humboldt "Humboldt 2-Beaver-S. Norway" 735 284 431 13 6 1
Humboldt "Humboldt 3-South Rutland" 793 309 456 21 7 0
Humboldt "Humboldt-West Vernon" 276 76 193 5 2 0
Humboldt "North Lake-East Vernon" 167 56 108 1 2 0
Humboldt "South Lake-North Norway" 133 44 86 1 2 0
Ida "Ida Grove Ward 1" 265 120 140 3 1 1
Ida "Ida Grove Ward 2" 326 117 201 5 3 0
Ida "Ida Grove Ward 3 / Corwin" 348 144 198 4 2 0
Ida "Arthur / Blaine / Hayes / Silver Creek" 336 98 229 6 2 1
Ida "Galva City / Galva Twp" 209 69 138 2 0 0
Ida "Holstein / Griggs / Douglas" 756 318 424 10 4 0
Ida "Battle Creek / MP / GF / GR / BT / LG" 698 251 427 15 4 1
Kossuth "EG, GT, HS, SW" 478 152 321 4 1 0
Kossuth "HB, LY, LN, SF" 372 126 232 9 5 0
Kossuth "GW, SN" 147 43 99 5 0 0
Kossuth "GM, RM" 465 184 270 7 4 0
Kossuth "BT, FT, UN" 621 279 319 19 4 0
Kossuth "BF, PT" 442 180 252 7 3 0
Kossuth LC 91 37 52 2 0 0
Kossuth UN 62 35 25 1 1 0
Kossuth PC 154 49 103 2 0 0
Kossuth "IV, PC" 88 39 48 1 0 0
Kossuth "PR, WL" 380 153 217 5 4 1
Kossuth "GF, WM" 454 171 274 6 3 0
Kossuth "CR, IV, RV" 503 205 284 11 3 0
Kossuth "LV, SM" 244 89 145 8 2 0
Kossuth "CR 1" 25 9 16 0 0 0
Kossuth "CR 2" 173 82 89 1 1 0
Kossuth AL1 559 281 268 9 1 0
Kossuth AL2 809 414 390 4 1 0
Kossuth AL3 640 354 277 8 1 0
Kossuth AL4 564 289 261 11 3 0
Lyon "George Community Center" 987 205 767 9 6 0
Lyon "Doon City Hall" 741 76 650 7 5 3
Lyon "Inwood City Hall" 443 125 311 5 2 0
Lyon "Larchwood City Hall" 596 290 294 8 3 1
Lyon "Lester City Hall" 412 120 288 2 0 2
Lyon "Little Rock Town and Country Bldg" 323 60 253 5 5 0
Lyon "Rock Rapids Forster Bldg N" 679 181 484 9 5 0
Lyon "Rock Rapids Forster Bldg S" 991 298 669 17 5 2
Monona "AS-BV-KB-LN-NW FR-TU" 369 167 198 3 1 0
Monona Castana-Center-Jordan 183 77 101 3 0 2
Monona Cooper-Maple-Mapleton 697 321 365 7 4 0
Monona "Fairview-Grant-Lake-Rodney-West Fork-Whiting" 605 242 344 14 5 0
Monona "Moorhead-Soldier-Soldier City-Spring Valley-Willow" 345 145 186 11 2 1
Monona "Onawa Ward 1" 237 104 125 5 2 1
Monona "Onawa Ward 2 -NE Franklin" 325 151 170 4 0 0
Monona "Onawa Ward 3" 325 144 177 2 2 0
Monona "Onawa Ward 4" 244 107 134 2 1 0
Monona "Sherman-SE Franklin-Blencoe-Sioux" 262 118 136 5 3 0
Monona "St. Clair-Ute" 217 95 119 2 1 0
O'Brien Carroll-Floyd 318 77 235 3 3 0
O'Brien Franklin 699 175 513 7 4 0
O'Brien Hartley-Lincoln-Omega 852 346 488 10 8 0
