COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda 442610 294 201 73 3 3 3 1
Alameda 442700 2242 1716 394 16 4 16 13
Alameda 443100 2140 1635 393 8 8 8 9
Alameda 443400 2469 1950 391 14 11 7 14
Alameda 443600 330 251 64 2 0 2 1
Alameda 443700 366 260 87 3 2 1 1
Alameda 443710 0 0 0 0 0 0 0
Alameda 443720 0 0 0 0 0 0 0
Alameda 443800 284 226 39 1 2 2 2
Alameda 447010 2 1 0 0 0 0 0
Alameda 447100 17 13 2 0 0 1 0
Alameda 447200 1477 1137 267 7 6 7 6
Alameda 447210 6 3 3 0 0 0 0
Alameda 447300 311 213 76 11 2 3 0
Alameda 447510 35 24 9 1 0 0 0
Alameda 447600 816 599 175 4 4 0 5
Alameda 447700 378 250 110 2 4 0 3
Alameda 447710 0 0 0 0 0 0 0
Alameda 450200 2974 2106 769 25 20 12 6
Alameda 450610 3004 2014 889 22 12 7 9
Alameda 450620 0 0 0 0 0 0 0
Alameda 450800 1031 722 274 5 6 3 2
Alameda 450920 0 0 0 0 0 0 0
Alameda 450930 1 0 1 0 0 0 0
Alameda 451600 2032 1404 547 28 10 3 15
Alameda 451900 1047 733 279 10 4 5 1
Alameda 452400 3259 2394 758 22 17 10 10
Alameda 453300 657 498 144 4 2 2 2
Alameda 453500 2361 1715 566 17 18 7 8
Alameda 453920 753 588 142 2 6 2 5
Alameda 454100 1043 778 235 4 5 1 4
Alameda 454220 52 39 13 0 0 0 0
Alameda 454230 0 0 0 0 0 0 0
Alameda 454510 0 0 0 0 0 0 0
Alameda 454600 0 0 0 0 0 0 0
Alameda 454700 301 195 91 5 2 0 2
Alameda 455010 319 247 61 0 0 0 2
Alameda 455100 705 598 89 4 3 3 4
Alameda 455200 454 348 91 2 1 2 3
Alameda 455300 2107 1602 448 14 15 3 6
Alameda 455400 1440 1148 250 9 9 2 5
Alameda 455700 476 377 86 1 2 3 0
Alameda 456100 1475 1181 243 7 10 4 5
Alameda 456200 3471 2694 638 29 32 7 7
Alameda 456500 708 611 88 3 0 0 2
Alameda 456610 0 0 0 0 0 0 0
Alameda 457300 2421 2053 289 16 10 7 6
Alameda 457500 2729 2268 365 23 18 15 8
Alameda 458300 2270 1838 357 24 14 5 6
Alameda 458500 801 651 132 4 3 6 0
Alameda 458800 2473 1860 526 21 6 10 11
Alameda 464000 3 3 0 0 0 0 0
Alameda 464010 0 0 0 0 0 0 0
Alameda 464310 0 0 0 0 0 0 0
Alameda 464320 0 0 0 0 0 0 0
Alameda 464500 56 28 27 0 0 0 1
Alameda 464660 258 140 101 5 1 2 2
Alameda 464710 0 0 0 0 0 0 0
Alameda 470100 197 137 48 3 0 1 0
Alameda 470600 1931 1350 470 19 5 8 9
Alameda 470700 363 296 54 3 1 2 1
Alameda 470800 1161 795 289 18 7 2 8
Alameda 471300 4214 2897 1084 33 22 20 14
Alameda 471900 3074 2107 780 49 26 6 7
Alameda 472400 3188 2160 857 43 18 9 15
Alameda 472920 1 1 0 0 0 0 0
Alameda 473300 2255 1510 625 31 7 11 2
Alameda 473800 2849 1864 834 51 22 11 5
Alameda 473900 1071 738 281 19 3 5 3
Alameda 474200 2116 1447 542 25 11 10 6
Alameda 475000 2264 1546 593 29 9 7 3
Alameda 475200 2497 1605 770 32 6 12 6
Alameda 475210 8 6 1 1 0 0 0
Alameda 475540 2911 2083 656 26 15 10 9
Alameda 475600 145 76 64 5 0 0 0
Alameda 475640 0 0 0 0 0 0 0
Alameda 476100 2139 1569 472 13 9 5 6
Alameda 476120 0 0 0 0 0 0 0
Alameda 480010 0 0 0 0 0 0 0
Alameda 481110 14 11 2 0 0 0 0
Alameda 481200 1530 1080 368 9 6 5 7
Alameda 481410 893 639 202 7 10 2 2
Alameda 481430 0 0 0 0 0 0 0
Alameda 481500 1550 1214 252 5 5 3 11
Alameda 481550 0 0 0 0 0 0 0
Alameda 481900 507 389 84 3 3 6 4
Alameda 481940 10 10 0 0 0 0 0
Alameda 481950 0 0 0 0 0 0 0
Alameda 481960 0 0 0 0 0 0 0
Alameda 481970 0 0 0 0 0 0 0
Alameda 482000 111 84 21 0 2 1 1
Alameda 482040 7 2 5 0 0 0 0
Alameda 482050 18 15 1 0 0 0 0
Alameda 484000 2 1 1 0 0 0 0
Alameda 490100 55 26 27 1 1 0 0
Alameda 490200 0 0 0 0 0 0 0
Alameda 490300 2 2 0 0 0 0 0
Alameda 490400 0 0 0 0 0 0 0
Alameda 491000 2132 1640 367 15 12 8 5
Alameda 491010 0 0 0 0 0 0 0
Alameda 491040 0 0 0 0 0 0 0
Alameda 491210 1483 1076 337 8 7 11 5
Alameda 491300 2124 1567 471 16 10 3 9
Alameda 491410 29 21 7 0 0 0 0
Alameda 491600 347 231 101 4 0 1 0
Alameda 491650 3 3 0 0 0 0 0
Alameda 492000 157 87 64 3 1 0 0
Alameda 492110 9 9 0 0 0 0 0
Alameda 498200 29 11 18 0 0 0 0
Alameda 498300 38 17 20 0 0 1 0
Alameda 498320 0 0 0 0 0 0 0
Alameda 499010 0 0 0 0 0 0 0
Alameda 500130 4327 2545 1599 78 9 14 5
Alameda 500200 3748 2287 1298 60 17 11 13
Alameda 500310 1638 987 604 18 6 3 5
Alameda 500350 3029 1879 1003 55 21 9 1
Alameda 500410 3349 2072 1135 57 11 7 4
Alameda 500600 4058 2571 1319 59 19 12 9
Alameda 501400 2846 1835 892 46 9 7 5
Alameda 501410 3065 1870 1075 54 12 6 3
Alameda 501640 4288 2516 1617 58 3 9 8
Alameda 501900 49 34 15 0 0 0 0
Alameda 501910 2847 1748 984 37 11 8 2
Alameda 502020 3522 2048 1329 57 6 12 7
Alameda 502300 3373 2098 1142 57 9 9 2
Alameda 502600 3175 2021 1021 52 10 18 13
Alameda 502720 2671 1584 966 44 15 13 8
