COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cunningham Tillis Bray Hayes
BUNCOMBE 15.1 0 551 95 25 5
BUNCOMBE 16.2 0 586 104 30 6
BUNCOMBE 17.1 0 434 98 9 2
BUNCOMBE 18.2 0 1259 492 45 22
BUNCOMBE 19.1 0 362 139 15 7
BUNCOMBE 20.1 0 282 41 12 2
BUNCOMBE 21.1 0 654 223 21 13
BUNCOMBE 22.2 0 728 175 10 2
BUNCOMBE 23.2 0 148 53 3 0
BUNCOMBE 23.3 0 221 90 6 2
BUNCOMBE 24.1 0 401 191 27 11
BUNCOMBE 25.1 0 505 195 31 13
BUNCOMBE 26.1 0 405 97 26 0
BUNCOMBE 27.2 0 236 61 6 0
BUNCOMBE 28.1 0 484 60 23 1
BUNCOMBE 29.2 0 866 290 39 12
BUNCOMBE 30.2 0 467 324 40 11
BUNCOMBE 30.3 0 506 382 37 13
BUNCOMBE 31.1 0 343 329 7 0
BUNCOMBE 32.1 0 320 239 19 5
BUNCOMBE 33.2 0 192 147 12 6
BUNCOMBE 33.3 0 258 207 34 8
BUNCOMBE 34.1 0 239 130 14 0
BUNCOMBE 35.1 0 395 157 24 6
BUNCOMBE 36.1 0 252 192 24 6
BUNCOMBE 37.1 0 178 281 18 3
BUNCOMBE 38.2 0 222 212 9 2
BUNCOMBE 38.3 0 385 418 33 10
BUNCOMBE 39.2 0 181 146 12 11
BUNCOMBE 39.3 0 338 243 20 12
BUNCOMBE 40.2 0 439 428 41 16
BUNCOMBE 41.1 0 324 421 39 19
BUNCOMBE 42.1 0 347 246 34 18
BUNCOMBE 43.2 0 228 124 24 10
BUNCOMBE 44.1 0 1044 448 71 14
BUNCOMBE 45.1 0 561 392 71 18
BUNCOMBE 46.1 0 236 157 19 4
BUNCOMBE 47.1 0 436 641 41 26
BUNCOMBE 48.1 0 479 424 34 16
BUNCOMBE 49.1 0 434 672 47 23
BUNCOMBE 50.1 0 183 370 21 5
BUNCOMBE 51.2 0 257 248 21 6
BUNCOMBE 52.1 0 377 354 27 11
BUNCOMBE 53.1 0 295 315 27 16
BUNCOMBE 54.2 0 608 383 39 10
BUNCOMBE 55.1 0 518 321 40 11
BUNCOMBE 56.2 0 422 165 32 10
BUNCOMBE 57.1 0 516 385 25 6
BUNCOMBE 58.1 0 412 179 28 5
BUNCOMBE 59.1 0 690 374 43 13
BUNCOMBE 60.2 0 225 118 15 4
BUNCOMBE 60.4 0 318 145 12 6
BUNCOMBE 61.1 0 484 267 19 8
BUNCOMBE 62.1 0 512 270 29 7
BUNCOMBE 63.1 0 89 139 8 0
BUNCOMBE 64.1 0 243 232 26 12
BUNCOMBE 65.1 0 463 224 24 5
BUNCOMBE 66.1 0 243 147 14 8
BUNCOMBE 67.1 0 492 156 13 4
BUNCOMBE 68.1 0 535 398 38 12
BUNCOMBE 681 0 54 90 7 0
BUNCOMBE 69.1 0 371 301 28 10
BUNCOMBE 70.1 0 660 261 35 10
BUNCOMBE 71.1 0 823 313 30 11
BUNCOMBE ABSENTEE 0 0 0 0 0
BUNCOMBE AVML 0 5942 2402 355 91
BUNCOMBE AVOM 0 2925 3320 214 74
BUNCOMBE BMBL 0 3482 2748 215 66
BUNCOMBE BTFD 0 2774 2625 140 64
BUNCOMBE ECBL 0 3225 4993 241 114
BUNCOMBE FVCC 0 3169 3972 195 73
BUNCOMBE HACC 0 2383 268 86 18
BUNCOMBE LECC 0 1468 3577 123 49
BUNCOMBE LSKY 0 2427 3076 176 82
BUNCOMBE PROVISIONAL 0 0 0 0 0
BUNCOMBE REYV 0 4153 1904 163 47
BUNCOMBE SBBL 0 4326 4062 234 85
BUNCOMBE TCRK 0 3249 2377 189 55
BUNCOMBE TRANSFER 0 0 0 0 0
BUNCOMBE UNCA 0 4204 454 155 18
BUNCOMBE WACC 0 5902 1354 189 45
BUNCOMBE WGSC 0 3882 265 93 37
BUNCOMBE WVTH 0 4146 5808 232 93
BURKE 0001 0 664 1528 86 48
BURKE 0003 0 197 637 32 13
BURKE 0011 0 371 1729 54 49
BURKE 0012 0 171 1266 33 28
BURKE 0013 0 375 1715 53 40
BURKE 0014 0 221 1254 31 41
BURKE 0015 0 224 826 30 11
BURKE 0018 0 139 249 8 7
BURKE 0019 0 170 312 6 6
BURKE 0020 0 315 436 23 5
BURKE 0021 0 319 716 48 23
BURKE 0022 0 330 1036 42 22
BURKE 0024 0 550 1335 60 24
BURKE 0029-A 0 139 680 18 15
BURKE 0029-B 0 197 610 23 18
BURKE 0031 0 894 498 51 13
BURKE 0034 0 749 668 46 15
BURKE 0035 0 573 448 32 22
BURKE 0036 0 379 989 54 38
BURKE 0038 0 599 957 70 27
BURKE 0039 0 579 602 45 23
BURKE 0040 0 420 825 48 24
BURKE 0047-A 0 718 800 33 27
BURKE 0047-B 0 352 620 35 17
BURKE 0048 0 605 957 46 23
BURKE 0051 0 793 1589 94 69
BURKE 0052 0 275 651 35 20
BURKE 0053 0 348 1142 41 39
BURKE 0062 0 154 468 11 11
BURKE 0064 0 154 442 9 15
BURKE 0065 0 185 598 26 18
BURKE 0066 0 420 1020 46 30
BURKE 0070 0 529 1331 40 38
CABARRUS 01-02 0 102 416 26 10
CABARRUS 01-04 0 190 322 37 8
CABARRUS 01-07 0 62 225 15 4
CABARRUS 01-08 0 186 321 32 7
CABARRUS 01-10 0 108 274 18 12
CABARRUS 01-11 0 112 294 24 7
CABARRUS 02-01 0 95 231 22 8
CABARRUS 02-02 0 188 340 24 17
CABARRUS 02-03 0 212 441 42 15
CABARRUS 02-05 0 150 289 18 6
CABARRUS 02-06 0 196 218 26 19
CABARRUS 02-07 0 103 269 13 4
CABARRUS 02-08 0 258 478 38 18
CABARRUS 02-09 0 234 385 29 4
CABARRUS 03-00 0 158 444 48 12
