COUNTY AREA TOTAL DEM REP GRN IND1 IND2 WI1
COUNTY AREA TOTAL Strickland Portman DeMare Connors Rupert Stahl
Ashtabula "ASHTABULA TWP. 3" 246 105 114 7 11 4 0
Ashtabula "ASHTABULA TWP. 4" 535 218 271 20 8 9 0
Ashtabula "ASHTABULA TWP. 5" 407 151 207 11 13 10 0
Ashtabula "ASHTABULA TWP. 6" 358 117 201 9 9 8 0
Ashtabula "AUSTINBURG TWP. 1" 608 164 385 13 20 7 0
Ashtabula "AUSTINBURG TWP. 2" 625 181 388 10 20 9 0
Ashtabula "CHERRY VALLEY" 364 74 250 9 8 10 0
Ashtabula "COLEBROOK TWP." 379 91 254 11 7 8 0
Ashtabula "DENMARK TWP." 360 106 198 7 12 17 0
Ashtabula "DORSET TWP." 363 97 227 8 19 5 0
Ashtabula "GENEVA TWP. 1" 720 229 420 12 27 12 0
Ashtabula "GENEVA TWP. 2" 386 136 217 4 8 6 0
Ashtabula "GENEVA TWP. 3" 278 78 155 7 16 8 0
Ashtabula "GEN ON LAKE VILL" 463 179 242 8 11 6 0
Ashtabula "HARPERSFLD TWP 1" 441 109 298 9 13 6 0
Ashtabula "HARPERSFLD TWP 2" 573 157 376 8 11 6 0
Ashtabula "HARPERSFLD TWP 3" 432 127 270 9 8 5 0
Ashtabula "HARTSGROVE TWP" 693 129 483 5 22 16 0
Ashtabula "JEFFERSON TWP. 1" 373 106 231 8 10 6 0
Ashtabula "JEFFERSON TWP. 2" 306 73 203 5 6 6 0
Ashtabula "JEFFERSON TWP 3" 384 77 278 5 5 3 0
Ashtabula "JEFF VILL 1" 327 85 212 2 4 11 0
Ashtabula "JEFF VILL 2" 674 218 384 14 21 13 0
Ashtabula "JEFF VILL 3" 430 123 272 4 11 0 0
Ashtabula "KINGSVILLE TWP. 1" 435 160 241 5 10 5 0
Ashtabula "KINGSVILLE TWP. 2" 431 142 254 4 13 8 0
Ashtabula "LENOX TWP. 1" 357 71 239 11 9 11 0
Ashtabula "LENOX TWP. 2" 339 90 203 8 9 21 0
Ashtabula "MONROE TWP. 1" 513 124 342 9 8 13 0
Ashtabula "MONROE TWP. 2" 494 145 299 8 14 10 0
Ashtabula "ROCK CREEK VILLAGE" 214 68 110 8 12 5 0
Ashtabula "MORGAN TWP." 437 94 281 11 15 12 0
Ashtabula "NEW LYME TWP." 488 131 307 11 11 15 0
Ashtabula "N KINGS VILL 1" 541 191 287 16 12 14 0
Ashtabula "N KINGS VILL 2" 679 221 361 13 35 13 0
Ashtabula "N KINGS VILL 3" 246 81 141 5 8 4 0
Ashtabula "ORWELL TWP." 509 118 346 7 8 15 0
Ashtabula "ORWELL VILLAGE" 607 162 365 20 24 16 0
Ashtabula "PIERPONT TWP." 490 117 320 13 12 16 0
Ashtabula "PLYMOUTH TWP. 1" 407 141 231 5 12 6 0
Ashtabula "PLYMOUTH TWP. 2" 705 228 402 19 16 20 0
Ashtabula "RICHMOND TWP." 370 87 239 9 12 9 0
Ashtabula "ROME TWP." 425 101 274 9 9 14 0
Ashtabula "SAYBROOK TWP. 1" 324 97 203 6 7 4 0
Ashtabula "SAYBROOK TWP. 2" 376 156 185 4 11 7 0
Ashtabula "SAYBROOK TWP. 3" 402 146 211 17 9 3 0
Ashtabula "SAYBROOK TWP. 4" 417 143 237 9 7 8 0
Ashtabula "SAYBROOK TWP. 5" 488 200 257 7 7 8 0
Ashtabula "SAYBROOK TWP. 6" 575 231 318 5 6 6 0
Ashtabula "SAYBROOK TWP. 7" 330 103 193 9 11 6 0
Ashtabula "SAYBROOK TWP. 8" 299 101 164 10 7 8 0
Ashtabula "SHEFFIELD TWP. 1" 333 100 212 3 4 3 0
Ashtabula "SHEFFIELD TWP. 2" 438 101 298 8 5 9 0
Ashtabula "TRUMBULL TWP." 735 181 494 20 11 7 0
Ashtabula "WAYNE TWP." 262 58 176 3 13 2 0
Ashtabula "WMSFLD TWP 1" 269 60 188 3 9 4 0
Ashtabula "WMSFLD TWP 2" 356 90 225 9 14 11 0
Ashtabula "WINDSOR TWP." 630 158 397 17 10 19 0
Ashtabula "ROAMING SHORES VILLAGE" 798 212 535 12 8 6 0
Athens "ATHENS 1-1" 851 542 183 50 14 6 0
Athens "ATHENS 1-2" 440 299 60 31 4 5 0
Athens "ATHENS 1-3" 683 426 158 33 5 5 0
Athens "ATHENS 1-4" 834 368 312 21 4 2 0
Athens "ATHENS 1-5" 247 128 91 4 2 2 0
Athens "ATHENS 2-1" 921 415 323 25 14 4 0
Athens "ATHENS 2-2" 319 189 67 16 4 4 0
Athens "ATHENS 2-3" 479 287 156 8 2 2 0
Athens "ATHENS 2-4" 652 417 179 12 8 3 0
Athens "ATHENS 3-1" 447 187 161 18 3 3 0
Athens "ATHENS 3-2" 497 213 169 21 1 6 0
Athens "ATHENS 3-3" 481 211 173 11 1 5 0
Athens "ATHENS 3-4" 585 391 132 20 5 3 0
Athens "ATHENS 3-5" 627 473 90 29 2 3 0
Athens "ATHENS 3-6" 429 334 70 7 2 4 0
Athens "ATHENS 4-1" 556 350 157 18 5 0 0
Athens "ATHENS 4-2" 474 341 98 13 0 5 0
Athens "ATHENS 4-3" 433 278 100 20 4 3 0
Athens "ATHENS 4-4" 435 237 127 20 4 2 0
Athens "NELSONVILLE 1" 374 163 166 18 8 3 0
Athens "NELSONVILLE 2" 278 126 110 10 5 6 0
Athens "NELSONVILLE 3" 370 186 131 13 11 9 0
Athens "NELSONVILLE 4" 429 207 178 12 6 5 0
Athens "ALEXANDER EAST" 880 324 461 16 20 9 0
Athens "ALEXANDER WEST" 533 247 237 13 6 5 0
Athens "AMES TOWNSHIP" 575 319 187 21 10 14 0
Athens "AMESVILLE VLG" 90 49 34 4 1 1 0
