COUNTY AREA TOTAL DEM REP De_La_Fuente Hawkins Jorgensen Others
COUNTY AREA TOTAL Biden Trump De_La_Fuente Hawkins Jorgensen Others
PEN "Milford/Greenfield Twp" 1867 861 922 5 14 49 0
PEN Millinocket 2417 1049 1310 4 9 25 0
PEN "Millinocket Penobscot Twps" 172 69 99 0 0 3 0
PEN "Mount Chase" 125 39 81 0 2 0 0
PEN Newburgh 1004 366 599 3 3 23 0
PEN Newport 1760 584 1118 0 11 28 0
PEN "Old Town/Argyle Twp" 4305 2365 1668 11 61 154 0
PEN Orono 5268 3728 1200 9 87 176 0
PEN Orrington 2581 1089 1405 5 18 45 0
PEN Passadumkeag 225 55 165 0 2 2 0
PEN Patten 526 149 362 1 0 8 0
PEN "Penobscot Nation Voting District" 309 237 54 1 2 5 3
PEN Plymouth 756 230 505 0 2 8 0
PEN "Prentiss Twp" 92 19 71 0 0 1 0
PEN "Seboeis Plt" 41 22 19 0 0 0 0
PEN Springfield 163 26 135 0 0 0 0
PEN Stacyville 210 38 169 0 0 2 0
PEN Stetson 773 217 524 1 5 18 0
PEN "T5 R7 Twp/T5 R8 Twp/T6 R8 Twp" 10 4 6 0 0 0 0
PEN Veazie 1228 646 525 2 7 43 0
PEN "Webster Plt" 42 9 33 0 0 0 0
PEN Winn 207 60 145 1 1 0 0
PEN Woodville 138 19 116 0 0 1 0
PIS Abbot 421 121 288 0 1 7 0
PIS "Atkinson Township" 175 49 122 1 0 1 0
PIS "Beaver Cove" 119 59 60 0 0 0 0
PIS Bowerbank 118 41 76 0 0 0 0
PIS Brownville/Twps 782 280 467 1 5 27 0
PIS Dover-Foxcroft 2363 914 1356 2 18 44 1
PIS Greenville 1169 486 644 2 7 17 2
PIS "Guilford/Kingsbury Plt" 738 248 466 1 6 7 0
PIS "Lake View Plt" 114 40 71 0 0 3 0
PIS Medford 164 46 112 2 1 3 0
PIS "Millinocket Piscataquis Twps" 88 26 61 0 0 0 0
PIS "Milo/Ornveille Twp" 1231 410 781 0 11 25 0
PIS "Monson/Elliotsville Twp" 484 173 289 1 3 9 0
PIS Parkman 493 148 333 1 3 6 0
PIS Sangerville 759 255 479 0 3 16 0
PIS Sebec 432 117 305 1 1 4 0
PIS Shirley 134 34 96 0 0 3 0
PIS Wellington 119 50 67 0 1 1 0
PIS Willimantic 93 20 70 0 0 0 0
SAG Arrowsic 375 260 104 4 1 4 0
SAG Bath 5202 3421 1540 5 73 103 0
SAG Bowdoin 1888 755 1079 0 12 31 0
SAG Bowdoinham 2084 1123 856 5 30 52 1
SAG Georgetown 844 525 294 0 7 13 0
SAG Phippsburg 1586 794 745 0 11 19 1
SAG Richmond 2102 934 1056 2 28 56 0
SAG Topsham 6619 3944 2390 8 62 148 0
SAG "West Bath" 1407 737 629 4 3 19 0
SAG Woolwich 2173 1035 1062 3 22 28 0
SOM Anson 1238 398 796 0 13 15 1
SOM Athens 515 167 332 0 5 6 0
SOM Bingham 584 215 349 1 6 9 0
SOM "Brighton Plt" 50 16 29 0 2 2 0
SOM Cambridge 258 72 176 0 1 3 0
SOM Canaan 1170 384 749 0 8 14 0
SOM Caratunk 61 24 36 0 0 1 0
SOM Cornville 789 283 471 0 5 15 2
SOM "Dennistown Plt" 24 5 19 0 0 0 0
SOM Detroit 442 151 276 0 5 4 0
SOM Embden 570 181 374 1 4 5 0
SOM Fairfield 3421 1428 1845 9 36 71 2
SOM Harmony 492 151 326 1 2 7 1
SOM Hartland 909 266 610 0 4 19 0
SOM "Highland Plt" 116 42 71 0 2 1 0
SOM Jackman 538 144 387 0 2 2 0
SOM "Lexington Twp/Spring Lake Twp" 27 6 19 0 1 1 0
SOM Madison 2407 928 1411 0 10 33 0
SOM Mercer 484 183 283 0 7 8 0
SOM "Moose River" 125 13 107 0 2 2 0
SOM Moscow 283 74 199 0 2 4 0
SOM "New Portland" 489 185 266 4 8 18 0
SOM Norridgewock 1889 687 1128 2 16 41 0
SOM Palmyra 1166 325 800 0 9 21 0
SOM Pittsfield 2069 817 1156 4 20 45 0
SOM "Pleasant Ridge Plt" 54 12 40 0 1 0 0
SOM Ripley 302 100 195 0 2 2 0
SOM "Rockwood Strip Twp" 215 57 152 0 3 2 0
SOM "Saint Albans" 1193 321 833 0 11 21 0
SOM Skowhegan 4245 1876 2215 8 29 68 1
SOM Smithfield 643 269 342 1 7 8 0
SOM "Solon/Concord Twp" 627 243 365 0 4 11 0
SOM "Spring Lake Twp" 2 0 2 0 0 0 0
SOM Starks 383 137 237 1 1 5 0
SOM "The Forks Plt" 39 18 18 0 1 1 0
SOM "West Forks Plt" 54 21 30 0 1 1 0
WAL Belfast 4293 2847 1259 4 71 56 0
WAL Belmont 603 259 319 0 6 14 0
WAL Brooks 602 246 317 2 11 17 0
WAL Burnham 647 234 389 3 7 11 0
WAL Frankfort 693 220 441 1 4 14 0
WAL Freedom 474 201 236 1 15 16 0
WAL Islesboro 446 309 120 0 11 5 0
WAL Jackson 341 134 191 1 4 8 0
WAL Knox 484 147 315 2 2 11 0
WAL Liberty 594 265 308 0 11 7 0
WAL Lincolnville 1667 1059 551 6 21 17 0
WAL Monroe 608 308 266 0 14 14 0
