COUNTY AREA TOTAL DEM REP DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
COUNTY AREA TOTAL Biden Trump DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
"Black Hawk" "WL W5 P4" 1192 674 493 1 0 0 4 13 1 3 3
"Black Hawk" "WL W5 P5" 1338 763 554 2 1 0 2 14 0 1 1
"Black Hawk" "WL W5 P6" 1098 656 428 0 0 0 2 9 0 2 1
Boone "Boone 1st Ward- BN1" 1337 593 703 2 1 4 0 28 2 3 1
Boone "Boone 2nd Ward- BN2" 1500 684 796 1 2 0 4 9 0 3 1
Boone "Boone 3rd Ward- BN3" 1391 720 643 0 2 0 1 12 2 7 4
Boone "Boone 4th Ward/Des Monies" 1784 727 1009 1 3 0 6 26 1 5 6
Boone "Boone 5th Ward- BN5" 1330 554 741 3 1 1 3 22 0 3 2
Boone "Madrid 1st Ward- MD1" 527 234 286 1 1 0 1 3 0 0 1
Boone "Madrid 2nd Ward- MD2" 549 210 331 0 1 0 0 7 0 0 0
Boone "Madrid 3rd Ward- MD3" 470 190 265 0 0 0 1 9 0 3 2
Boone "Ogden- OG" 1124 415 687 2 1 1 0 13 0 2 3
Boone "Rural Precinct 1- RP1" 752 326 410 0 3 0 2 9 0 0 2
Boone "Rural Precinct 2- RP2" 1177 470 681 0 1 0 0 13 2 5 5
Boone "Rural Precinct 3- RP3" 505 157 332 1 1 0 0 12 0 0 2
Boone "Rural Precinct 4- RP4" 1293 435 832 0 1 0 4 16 1 1 3
Boone "Rural Precinct 5- RP5" 431 148 270 1 0 1 1 7 1 1 1
Boone "Rural Precinct 6- RP6" 1170 440 709 3 1 0 1 12 2 1 1
Bremer "City of Denver/Jefferson Twp" 2059 750 1264 1 4 0 2 27 0 5 6
Bremer "City of Frederika/Frederika Twp/Leroy Twp" 313 105 204 0 0 0 0 3 0 1 0
Bremer "City of Janesville/Jackson Twp" 1024 383 624 1 2 0 1 13 0 0 0
Bremer "Lafayette Twp/Warren Twp" 806 311 482 0 1 1 1 8 1 0 1
Bremer "City of Plainfield/Polk Twp/Douglas Twp" 772 242 519 0 2 1 0 7 1 0 0
Bremer "City of Readlyn/Franklin Twp/Maxfield Twp" 996 284 692 0 1 0 3 11 0 2 3
Bremer "City of Sumner/Dayton Twp/Sumner #2 Twp" 1513 470 1017 1 1 1 1 15 0 2 5
Bremer "City of Tripoli/Fremont Twp" 902 354 532 0 1 0 0 10 0 3 2
Bremer "City of Waverly Ward 1/ East Washington Twp" 1622 754 834 2 1 0 2 23 0 4 2
Bremer "City of Waverly Ward 2/ NE 1/4 Sec 36 Washington Twp" 1261 592 650 0 0 0 1 14 0 0 4
Bremer "City of Waverly Ward 3" 684 371 287 0 1 1 8 12 2 1 1
Bremer "City of Waverly Ward 4" 1238 632 573 2 3 0 1 21 0 1 5
Bremer "City of Waverly Ward 5/West Washington Twp" 1356 710 616 1 2 0 4 21 0 1 1
Buchanan Jesup 1274 475 777 0 4 0 0 16 0 1 1
Buchanan Brandon 434 152 275 0 0 0 0 5 0 2 0
Buchanan Fairbank 612 220 387 0 0 0 0 3 0 0 2
Buchanan Perry-Westburg 698 224 465 0 0 1 1 7 0 0 0
Buchanan "Independence 1st Ward" 1277 531 731 0 1 1 2 9 0 1 1
Buchanan "Independence 2nd Ward" 671 310 349 3 0 0 2 7 0 0 0
Buchanan "Independence 3rd Ward" 1155 476 658 1 3 0 2 11 0 2 2
Buchanan "Independence 4th Ward" 537 252 267 2 1 1 3 7 0 3 1
Buchanan "Independence 5th Ward" 568 253 303 0 1 0 3 7 0 1 0
Buchanan Hazleton 531 186 333 1 1 0 0 7 0 2 1
Buchanan Rowley 623 222 394 1 0 0 1 3 0 2 0
Buchanan Winthrop 766 291 459 3 5 0 3 0 0 5 0
Buchanan Aurora 575 196 369 2 1 1 1 4 0 1 0
Buchanan Middlefield-Newton 353 128 222 0 0 0 0 3 0 0 0
Buchanan Quasqueton 700 253 431 1 2 0 2 7 0 2 2
"Buena Vista" ACFC 602 141 453 1 0 0 0 6 0 0 1
"Buena Vista" ALNE 1217 355 844 3 1 1 1 7 0 3 2
"Buena Vista" LKHM 705 215 482 1 0 0 1 4 0 1 1
"Buena Vista" NENP 700 164 520 0 4 1 0 6 2 2 1
"Buena Vista" SMLR 1260 299 948 1 2 0 0 9 0 1 0
"Buena Vista" SL01 845 453 375 4 3 0 2 4 0 4 0
"Buena Vista" SL02 472 280 181 2 1 0 1 2 0 3 2
