COUNTY AREA TOTAL DEM REP LMN IND Writein
COUNTY AREA TOTAL Smith Housley Wellington Trooien Writein
Becker "Detroit Lakes W-2 P-1" 1266 591 600 63 11 1
Becker "Detroit Lakes W-3 P-1" 1630 658 890 73 9 0
Becker "Eagle View Twp" 58 31 27 0 0 0
Becker "Erie Twp" 882 341 507 26 8 0
Becker "Evergreen Twp" 127 28 91 4 3 1
Becker "Forest Twp" 69 30 35 4 0 0
Becker Frazee 448 147 265 33 3 0
Becker "Green Valley Twp" 164 63 95 3 2 1
Becker "Hamden Twp" 90 38 49 2 1 0
Becker "Height of Land Twp" 325 107 205 9 4 0
Becker "Holmesville Twp" 281 106 168 6 1 0
Becker "Lake Eunice Twp" 793 338 427 24 4 0
Becker "Lake Park" 258 132 104 19 3 0
Becker "Lake Park Twp" 234 83 144 7 0 0
Becker "Lake View Twp" 903 340 531 27 5 0
Becker "Maple Grove Twp" 153 79 63 11 0 0
Becker Ogema 36 18 14 4 0 0
Becker "Osage Twp" 356 103 238 11 4 0
Becker "Pine Point Twp" 66 41 18 5 2 0
Becker "Riceville Twp" 48 18 26 1 3 0
Becker "Richwood Twp" 322 128 181 12 1 0
Becker "Round Lake Twp" 78 42 33 2 1 0
Becker "Runeberg Twp" 189 44 142 1 2 0
Becker "Savannah Twp" 85 36 48 1 0 0
Becker "Shell Lake Twp" 155 57 88 9 1 0
Becker "Silver Leaf Twp" 201 72 120 8 1 0
Becker "Spring Creek Twp" 39 15 24 0 0 0
Becker "Spruce Grove Twp" 160 42 112 6 0 0
Becker "Sugar Bush Twp" 238 117 101 19 1 0
Becker "Toad Lake Twp" 239 67 160 10 2 0
Becker "Two Inlets Twp" 139 43 94 0 2 0
Becker "Walworth Twp" 39 23 16 0 0 0
Becker "White Earth Twp" 129 64 55 7 3 0
Becker "Wolf Lake" 32 7 23 2 0 0
Becker "Wolf Lake Twp" 125 22 103 0 0 0
Beltrami "Alaska Twp" 98 67 31 0 0 0
Beltrami "Battle Twp" 10 3 7 0 0 0
Beltrami "Bemidji Twp" 1303 559 676 48 20 0
Beltrami "Bemidji W-1" 811 473 266 65 7 0
Beltrami "Bemidji W-2" 877 485 338 45 9 0
Beltrami "Bemidji W-3 P-1" 977 526 379 62 10 0
Beltrami "Bemidji W-3 P-2" 174 89 79 4 2 0
Beltrami "Bemidji W-4" 1044 562 397 71 12 2
Beltrami "Bemidji W-5" 1304 691 536 64 13 0
Beltrami "Benville Twp" 39 14 23 1 1 0
Beltrami "Birch Twp" 55 23 31 0 1 0
Beltrami Blackduck 242 81 137 22 2 0
Beltrami "Buzzle Twp" 126 49 75 2 0 0
Beltrami "Cormant Twp" 75 23 50 2 0 0
Beltrami "Durand Twp" 88 29 57 2 0 0
Beltrami "Eckles Twp" 589 240 331 12 6 0
Beltrami "Frohn Twp" 771 347 392 27 5 0
Beltrami Funkley 6 2 3 1 0 0
Beltrami "Grant Valley Twp" 923 399 473 39 12 0
Beltrami "Hagali Twp" 159 48 102 7 2 0
Beltrami "Hamre Twp" 9 5 4 0 0 0
Beltrami "Hines Twp" 321 89 220 11 1 0
Beltrami "Hornet Twp" 85 26 57 2 0 0
Beltrami "Jones Twp" 103 15 81 5 2 0
Beltrami Kelliher 99 42 55 2 0 0
Beltrami "Kelliher Twp" 55 23 30 1 1 0
Beltrami "Lammers Twp" 239 84 143 9 3 0
Beltrami "Langor Twp" 99 15 84 0 0 0
Beltrami "Lee Twp" 17 4 13 0 0 0
Beltrami "Liberty Twp" 342 147 185 10 0 0
Beltrami "Maple Ridge Twp" 50 27 21 1 1 0
Beltrami "Minnie Twp" 17 5 12 0 0 0
Beltrami "Moose Lake Twp" 111 40 68 1 2 0
Beltrami "Nebish Twp" 122 58 64 0 0 0
Beltrami "Northern Twp P-1" 1977 817 1088 55 16 1
Beltrami "Northern Twp P-2" 0 0 0 0 0 0
Beltrami "O'Brien Twp" 22 1 21 0 0 0
Beltrami "Ponemah Prec" 295 255 9 29 2 0
Beltrami "Port Hope Twp" 384 140 225 16 3 0
Beltrami "Quiring Twp" 26 8 17 0 1 0
Beltrami "Red Lake Agency Prec" 526 448 10 67 1 0
Beltrami "Redby Prec" 349 301 11 37 0 0
Beltrami "Little Rock Prec" 271 223 8 36 3 1
Beltrami "Roosevelt Twp" 111 55 51 4 1 0
Beltrami "Shooks Twp" 74 9 64 1 0 0
Beltrami "Shotley Twp" 20 7 12 0 1 0
Beltrami Solway 32 10 19 1 2 0
Beltrami "Spruce Grove Twp" 32 17 15 0 0 0
Beltrami "Steenerson Twp" 18 4 13 1 0 0
Beltrami "Sugar Bush Twp" 86 41 43 1 1 0
Beltrami "Summit Twp" 139 22 115 0 2 0
Beltrami "Taylor Twp" 52 13 38 1 0 0
Beltrami "Ten Lake Twp" 410 256 128 22 4 0
Beltrami Tenstrike 80 23 55 2 0 0
Beltrami "Turtle Lake Twp" 716 303 402 9 2 0
Beltrami "Turtle River" 50 32 15 2 1 0
Beltrami "Turtle River Twp" 678 314 348 11 5 0
Beltrami "Unorg Dist 1" 13 7 6 0 0 0
Beltrami "Unorg Dist 2" 12 5 6 1 0 0
Beltrami "Unorg Dist 3" 81 35 37 9 0 0
Beltrami "Waskish Twp" 65 26 37 2 0 0
Beltrami Wilton 81 30 42 8 1 0
Beltrami "Woodrow Twp" 31 10 20 1 0 0
Benton "Alberta Twp" 324 88 223 10 3 0
Benton Foley 861 285 528 40 8 0
Benton Gilman 84 26 49 7 2 0
Benton "Gilmanton Twp" 388 119 260 7 2 0
Benton "Glendorado Twp" 360 97 249 11 3 0
Benton "Graham Twp" 269 65 195 8 1 0
Benton "Granite Ledge Twp" 338 85 246 5 2 0
Benton "Langola Twp" 496 119 351 19 7 0
Benton "Mayhew Lake Twp" 384 112 255 13 3 1
Benton "Maywood Twp" 427 123 286 16 2 0
Benton "Minden Twp P-1" 790 207 552 25 6 0
Benton "Minden Twp P-2" 5 2 3 0 0 0
Benton Rice 695 223 416 48 8 0
Benton Royalton 0 0 0 0 0 0
Benton "Saint Cloud W-2 P-1" 797 388 353 48 8 0
Benton "Saint Cloud W-2 P-3" 761 399 286 64 12 0
Benton "Saint Cloud W-2 P-4" 428 245 141 36 6 0
Benton "Saint George Twp" 547 138 396 8 4 1
Benton "Sartell P-2" 842 362 423 42 15 0
Benton "Sauk Rapids P-1" 928 391 483 43 11 0
Benton "Sauk Rapids P-2" 904 407 463 31 3 0
Benton "Sauk Rapids P-3" 1274 512 697 56 9 0
Benton "Sauk Rapids P-4" 927 417 448 45 17 0
Benton "Sauk Rapids P-5" 1329 562 696 59 11 1
Benton "Sauk Rapids P-6" 0 0 0 0 0 0
Benton "Sauk Rapids Twp" 293 111 168 11 3 0
Benton "Watab Twp" 1552 516 957 65 14 0
"Big Stone" "Akron Twp" 93 53 34 4 2 0
"Big Stone" "Almond Twp" 64 33 28 2 1 0
"Big Stone" "Artichoke Twp" 45 23 21 1 0 0
"Big Stone" Barry 9 6 2 1 0 0
"Big Stone" "Big Stone Twp" 183 62 114 5 2 0
"Big Stone" "Browns Valley Twp" 69 41 28 0 0 0
"Big Stone" Beardsley 90 51 30 5 3 1
"Big Stone" Clinton 191 106 72 12 1 0
"Big Stone" Correll 10 4 5 1 0 0
"Big Stone" "Foster Twp" 77 31 39 6 1 0
"Big Stone" Graceville 301 135 147 13 6 0
"Big Stone" "Graceville Twp" 47 21 25 1 0 0
"Big Stone" Johnson 15 7 7 1 0 0
"Big Stone" "Malta Twp" 48 20 26 1 1 0
"Big Stone" "Moonshine Twp" 51 21 29 1 0 0
"Big Stone" Odessa 52 24 22 6 0 0
"Big Stone" "Odessa Twp" 74 20 49 2 3 0
"Big Stone" "Ortonville P-1" 605 251 312 30 12 0
"Big Stone" "Ortonville P-2" 326 125 179 19 3 0
"Big Stone" "Ortonville Twp" 49 13 34 2 0 0
"Big Stone" "Otrey Twp" 45 22 22 1 0 0
"Big Stone" "Prior Twp" 106 53 49 2 2 0
"Big Stone" "Toqua Twp" 25 8 16 1 0 0
"Blue Earth" Amboy 204 82 110 8 4 0
"Blue Earth" "Beauford Twp" 174 59 108 6 1 0
"Blue Earth" "Butternut Valley Twp" 147 64 81 1 1 0
"Blue Earth" "Cambria Twp" 110 59 44 6 1 0
"Blue Earth" "Ceresco Twp" 79 27 49 2 1 0
"Blue Earth" "Danville Twp" 144 62 76 2 4 0
"Blue Earth" "Decoria Twp" 593 227 344 18 4 0
"Blue Earth" "Eagle Lake" 1260 571 601 66 21 1
"Blue Earth" "Garden City Twp" 376 157 194 23 2 0
"Blue Earth" "Good Thunder" 198 96 93 8 1 0
"Blue Earth" "Jamestown Twp" 361 139 206 13 3 0
"Blue Earth" "Judson Twp" 297 136 146 10 5 0
"Blue Earth" "Lake Crystal" 1076 552 460 53 10 1
"Blue Earth" "Le Ray Twp" 376 156 205 7 8 0
"Blue Earth" "Lime Twp" 513 211 278 15 9 0
"Blue Earth" "Lincoln Twp" 100 28 66 4 2 0
"Blue Earth" "Lyra Twp" 141 56 77 5 3 0
"Blue Earth" "McPherson Twp" 205 84 113 2 6 0
"Blue Earth" "Madison Lake" 580 254 283 38 5 0
"Blue Earth" "Mankato W-5 P-1" 521 308 162 49 2 0
"Blue Earth" "Mankato W-5 P-2" 184 112 53 16 3 0
"Blue Earth" "Mankato W-5 P-3" 728 417 265 37 9 0
"Blue Earth" "Mankato W-5 P-4" 354 255 82 14 3 0
"Blue Earth" "Mankato W-5 P-5" 521 307 162 43 9 0
"Blue Earth" "Mankato W-5 P-6" 681 344 215 114 8 0
"Blue Earth" "Mankato W-3 P-7" 690 433 201 48 8 0
"Blue Earth" "Mankato W-3 P-8" 1136 639 437 54 6 0
"Blue Earth" "Mankato W-3 P-9" 1334 765 451 108 10 0
"Blue Earth" "Mankato W-4 P-10" 1048 696 245 91 15 1
"Blue Earth" "Mankato W-4 P-10A" 1129 666 387 67 9 0
