COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Writein
Harris 2010360 0 1905 1042 37 4 0
Harris 2010361 0 1066 88 12 7 0
Harris 2010362 0 1506 2406 45 13 1
Harris 2010363 0 2427 1168 36 4 0
Harris 2010364 0 1127 844 21 8 0
Harris 2010365 0 902 135 8 2 0
Harris 2010366 0 1653 716 16 12 0
Harris 2010367 0 700 231 6 1 0
Harris 2010368 0 456 201 6 1 0
Harris 2010369 0 253 54 3 0 0
Harris 2010370 0 1394 2491 46 13 0
Harris 2010371 0 261 17 1 0 0
Harris 2010372 0 675 120 2 1 0
Harris 2010373 0 64 7 0 0 0
Harris 2010374 0 248 139 4 1 0
Harris 2010375 0 812 591 7 7 0
Harris 2010376 0 825 557 6 6 0
Harris 2010377 0 645 1704 24 4 0
Harris 2010378 0 523 733 31 6 0
Harris 2010379 0 1083 156 10 7 0
Harris 2010380 0 2464 1879 49 13 0
Harris 2010381 0 1468 1010 22 12 0
Harris 2010382 0 332 501 6 2 0
Harris 2010383 0 912 524 9 12 0
Harris 2010384 0 1337 501 12 4 0
Harris 2010385 0 656 1138 14 4 0
Harris 2010386 0 759 1624 18 6 0
Harris 2010387 0 1005 2094 26 7 0
Harris 2010388 0 2711 1971 53 14 0
Harris 2010389 0 549 56 6 3 0
Harris 2010390 0 974 128 8 2 0
Harris 2010391 0 746 777 20 3 0
Harris 2010392 0 769 29 1 7 0
Harris 2010393 0 520 379 23 3 0
Harris 2010394 0 250 203 7 1 0
Harris 2010395 0 602 824 22 6 0
Harris 2010396 0 1225 79 7 3 0
Harris 2010397 0 268 153 2 1 0
Harris 2010398 0 1587 1183 23 17 0
Harris 2010399 0 1471 685 15 12 0
Harris 2010400 0 1144 1203 27 6 0
Harris 2010401 0 947 95 8 3 0
Harris 2010402 0 1203 110 2 7 0
Harris 2010403 0 862 603 15 5 0
Harris 2010404 0 837 807 10 8 0
Harris 2010405 0 952 2256 36 3 0
Harris 2010406 0 281 13 3 1 0
Harris 2010407 0 1471 1538 43 6 0
Harris 2010408 0 565 330 5 3 0
Harris 2010409 0 571 328 6 3 0
Harris 2010410 0 431 126 6 0 0
Harris 2010411 0 817 416 6 5 0
Harris 2010412 0 216 18 1 2 0
Harris 2010413 0 1357 839 23 5 0
Harris 2010414 0 706 1631 19 4 0
Harris 2010415 0 669 1123 37 6 0
Harris 2010416 0 1634 1226 51 16 0
Harris 2010417 0 976 722 16 4 0
Harris 2010418 0 1452 875 17 13 0
Harris 2010419 0 833 989 20 8 0
Harris 2010420 0 769 3071 27 6 0
Harris 2010421 0 997 699 10 4 0
Harris 2010422 0 1932 119 9 13 0
Harris 2010423 0 500 206 5 4 0
Harris 2010424 0 541 435 11 1 0
Harris 2010425 0 283 120 1 4 0
Harris 2010426 0 428 401 4 2 0
Harris 2010427 0 422 286 3 2 0
Harris 2010428 0 2022 1447 18 7 0
Harris 2010429 0 1196 497 14 2 0
Harris 2010430 0 796 235 6 3 0
Harris 2010431 0 1696 537 28 9 0
Harris 2010432 0 602 243 5 4 0
Harris 2010433 0 242 77 1 2 0
Harris 2010434 0 701 594 17 2 0
Harris 2010435 0 1384 1400 32 7 0
Harris 2010436 0 1780 1407 34 9 0
Harris 2010437 0 849 990 26 2 1
Harris 2010438 0 1275 1738 33 6 0
Harris 2010439 0 1472 1776 32 8 0
Harris 2010440 0 903 1612 26 9 0
Harris 2010441 0 498 813 19 4 0
Harris 2010442 0 991 2517 48 6 0
Harris 2010443 0 228 331 5 0 0
Harris 2010444 0 1401 1324 37 10 0
Harris 2010445 0 771 807 18 4 0
Harris 2010446 0 96 55 1 1 0
Harris 2010447 0 2241 2531 50 10 0
Harris 2010448 0 1417 1132 28 7 0
Harris 2010449 0 102 8 0 0 0
Harris 2010450 0 1183 434 12 10 0
Harris 2010451 0 652 1567 14 3 0
Harris 2010452 0 1458 2196 48 8 0
Harris 2010453 0 970 370 11 4 0
Harris 2010454 0 1269 62 3 4 0
Harris 2010455 0 734 70 9 3 0
Harris 2010456 0 1222 1268 36 14 0
Harris 2010457 0 0 0 0 0 0
Harris 2010458 0 1185 120 9 7 0
Harris 2010459 0 1014 2077 38 6 0
Harris 2010460 0 1968 759 20 4 0
Harris 2010461 0 1667 1791 26 7 0
Harris 2010462 0 1698 848 26 7 0
Harris 2010463 0 1984 1036 26 9 0
Harris 2010464 0 815 986 22 11 1
Harris 2010465 0 1622 917 31 12 0
Harris 2010466 0 1692 1411 23 6 0
Harris 2010467 0 595 239 6 3 0
Harris 2010468 0 1862 871 9 12 0
Harris 2010469 0 742 1796 28 2 0
Harris 2010470 0 272 672 10 3 0
Harris 2010471 0 437 1372 17 13 0
Harris 2010472 0 638 271 14 1 0
Harris 2010473 0 584 810 27 0 0
Harris 2010474 0 965 1338 30 6 1
Harris 2010475 0 783 659 13 4 0
Harris 2010476 0 876 769 18 8 0
Harris 2010477 0 1306 2008 43 12 0
Harris 2010478 0 1556 1703 33 22 0
Harris 2010479 0 956 1933 37 7 0
Harris 2010480 0 922 1413 27 7 0
Harris 2010481 0 932 1881 34 7 0
Harris 2010482 0 1409 2041 54 11 0
Harris 2010483 0 2064 1438 52 10 0
Harris 2010484 0 1341 1643 38 9 0
Harris 2010485 0 1164 2113 32 7 0
