COUNTY AREA TOTAL DEM REP LIB GRN IA IND1 IND2 SAL SWP Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente West Pierce Riva Kennedy Writein
Beltrami "NORTHERN TWP P 01" 2171 832 1305 21 1 4 3 0 0 0 5
Beltrami "NORTHERN TWP P 02" 0 0 0 0 0 0 0 0 0 0 0
Beltrami "O'BRIEN TWP" 26 0 26 0 0 0 0 0 0 0 0
Beltrami "PONEMAH PREC" 414 398 10 0 1 0 4 0 1 0 0
Beltrami "PORT HOPE TWP" 465 149 308 2 2 0 1 2 0 0 1
Beltrami "QUIRING TWP" 36 8 27 1 0 0 0 0 0 0 0
Beltrami "RED LAKE AGENCY PREC" 869 815 29 4 0 1 17 0 2 0 1
Beltrami "REDBY PREC" 606 569 26 1 3 0 5 0 1 0 1
Beltrami "LITTLE ROCK" 413 385 21 2 1 0 4 0 0 0 0
Beltrami "ROOSEVELT TWP" 150 68 81 1 0 0 0 0 0 0 0
Beltrami "SHOOKS TWP" 104 5 98 1 0 0 0 0 0 0 0
Beltrami "SHOTLEY TWP" 28 6 21 1 0 0 0 0 0 0 0
Beltrami SOLWAY 42 13 28 1 0 0 0 0 0 0 0
Beltrami "SPRUCE GROVE TWP" 43 16 27 0 0 0 0 0 0 0 0
Beltrami "STEENERSON TWP" 17 4 13 0 0 0 0 0 0 0 0
Beltrami "SUGAR BUSH TWP" 114 49 64 0 0 1 0 0 0 0 0
Beltrami "SUMMIT TWP" 174 24 149 1 0 0 0 0 0 0 0
Beltrami "TAYLOR TWP" 76 20 56 0 0 0 0 0 0 0 0
Beltrami "TEN LAKE TWP" 531 342 181 0 3 0 2 0 1 0 2
Beltrami TENSTRIKE 100 29 70 1 0 0 0 0 0 0 0
Beltrami "TURTLE LAKE TWP" 901 351 533 6 2 2 2 2 0 0 3
Beltrami "TURTLE RIVER" 60 38 19 2 0 0 0 0 0 1 0
Beltrami "TURTLE RIVER TWP" 857 376 470 6 2 1 1 0 0 0 1
Beltrami "UNORG DIST 1" 21 6 15 0 0 0 0 0 0 0 0
Beltrami "UNORG DIST 2" 15 4 10 0 1 0 0 0 0 0 0
Beltrami "UNORG DIST 3" 114 54 57 1 0 0 0 0 2 0 0
Beltrami "WASKISH TWP" 84 34 47 0 0 1 2 0 0 0 0
Beltrami WILTON 122 51 68 2 0 0 1 0 0 0 0
Beltrami "WOODROW TWP" 51 15 35 1 0 0 0 0 0 0 0
Benton "ALBERTA TWP" 481 85 388 4 1 1 1 1 0 0 0
Benton FOLEY 1279 320 911 23 8 5 4 3 0 1 4
Benton GILMAN 120 26 91 0 0 0 0 2 0 0 1
Benton "GILMANTON TWP" 558 116 435 4 2 0 0 1 0 0 0
Benton "GLENDORADO TWP" 485 95 375 9 1 1 0 4 0 0 0
Benton "GRAHAM TWP" 365 49 314 1 0 0 0 0 0 0 1
Benton "GRANITE LEDGE TWP" 472 79 388 2 0 1 0 0 0 0 2
Benton "LANGOLA TWP" 671 140 523 1 3 1 1 0 0 0 2
Benton "MAYHEW LAKE TWP" 562 103 449 7 0 0 1 2 0 0 0
Benton "MAYWOOD TWP" 600 115 470 9 1 2 2 0 0 0 1
Benton "MINDEN TWP P-1" 1039 217 802 11 1 0 1 4 0 0 3
Benton "MINDEN TWP P-2" 5 2 3 0 0 0 0 0 0 0 0
Benton RICE 1064 269 761 15 9 1 6 2 0 1 0
Benton ROYALTON 0 0 0 0 0 0 0 0 0 0 0
Benton "ST CLOUD W2 P1" 1132 551 545 23 4 0 1 1 1 1 5
Benton "ST CLOUD W2 P3" 981 529 404 30 7 1 6 4 0 0 0
Benton "ST CLOUD W2 P4" 669 381 249 22 7 1 2 2 0 1 4
Benton "ST GEORGE TWP" 791 143 634 8 4 0 0 2 0 0 0
Benton "SARTELL P-2" 1095 449 618 15 2 3 2 1 0 0 5
Benton "SAUK RAPIDS P-1" 1250 490 720 28 4 3 1 2 0 0 2
Benton "SAUK RAPIDS P-2" 1185 451 698 25 4 2 1 1 0 1 2
Benton "SAUK RAPIDS P-3" 1676 642 993 26 6 1 2 2 0 0 4
Benton "SAUK RAPIDS P-4" 1296 546 712 19 6 4 3 2 2 0 2
Benton "SAUK RAPIDS P-5" 2013 748 1201 45 6 1 6 3 2 0 1
Benton "SAUK RAPIDS P-6" 0 0 0 0 0 0 0 0 0 0 0
Benton "SAUK RAPIDS TWP" 389 129 256 3 1 0 0 0 0 0 0
Benton "WATAB TWP" 2082 605 1442 21 4 1 5 1 0 0 3
"Big Stone" "AKRON TWP" 121 52 66 0 1 0 1 1 0 0 0
"Big Stone" "ALMOND TWP" 66 29 35 1 1 0 0 0 0 0 0
"Big Stone" "ARTICHOKE TWP" 52 26 24 0 1 1 0 0 0 0 0
"Big Stone" BARRY 11 6 5 0 0 0 0 0 0 0 0
"Big Stone" "BIG STONE TWP" 204 59 143 0 1 0 0 1 0 0 0
"Big Stone" "BROWNS VALLEY TWP" 83 33 50 0 0 0 0 0 0 0 0
"Big Stone" BEARDSLEY 117 52 62 0 2 0 1 0 0 0 0
"Big Stone" CLINTON 211 92 114 1 0 0 2 1 0 0 1
"Big Stone" CORRELL 15 3 11 0 0 1 0 0 0 0 0
"Big Stone" "FOSTER TWP" 86 31 55 0 0 0 0 0 0 0 0
"Big Stone" GRACEVILLE 335 105 227 1 0 0 2 0 0 0 0
"Big Stone" "GRACEVILLE TWP" 64 17 45 0 0 0 0 2 0 0 0
"Big Stone" JOHNSON 13 2 11 0 0 0 0 0 0 0 0
"Big Stone" "MALTA TWP" 54 12 41 1 0 0 0 0 0 0 0
"Big Stone" "MOONSHINE TWP" 53 13 40 0 0 0 0 0 0 0 0
"Big Stone" ODESSA 61 20 38 0 0 0 1 0 0 0 2
"Big Stone" "ODESSA TWP" 88 17 71 0 0 0 0 0 0 0 0
"Big Stone" "ORTONVILLE P-1" 712 288 405 5 5 1 5 3 0 0 0
"Big Stone" "ORTONVILLE P-2" 368 116 243 4 3 0 1 0 0 0 1
