DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Bexar 1058 0 699 702 20 24 2
NA Bexar 1059 0 132 89 5 6 0
NA Bexar 1060 0 1047 426 19 31 1
NA Bexar 1061 0 892 333 24 23 2
NA Bexar 1062 0 32 64 1 0 0
NA Bexar 1063 0 523 630 15 23 0
NA Bexar 1064 0 360 306 8 8 1
NA Bexar 1065 0 647 706 13 25 0
NA Bexar 1066 0 251 172 7 6 0
NA Bexar 1067 0 795 1102 15 19 0
NA Bexar 1068 0 654 558 18 44 1
NA Bexar 1069 0 182 186 0 6 0
NA Bexar 1070 0 372 198 7 16 0
NA Bexar 1071 0 724 415 8 20 1
NA Bexar 1072 0 821 346 12 26 0
NA Bexar 1073 0 1295 1059 17 56 2
NA Bexar 1074 0 6 5 0 0 0
NA Bexar 1075 0 768 319 12 15 1
NA Bexar 1076 0 1072 624 19 34 0
NA Bexar 1077 0 668 213 12 14 0
NA Bexar 1078 0 191 63 4 5 0
NA Bexar 1079 0 1055 572 9 44 4
NA Bexar 1080 0 1949 833 44 90 2
NA Bexar 1081 0 466 789 14 15 1
NA Bexar 1082 0 1683 974 27 74 1
NA Bexar 1083 0 1075 716 18 55 0
NA Bexar 1084 0 689 336 11 24 1
NA Bexar 1085 0 573 278 14 22 1
NA Bexar 1086 0 936 470 15 30 1
NA Bexar 1087 0 587 246 12 12 1
NA Bexar 1088 0 337 120 4 5 0
NA Bexar 1089 0 581 451 10 25 1
NA Bexar 1090 0 0 0 0 0 0
NA Bexar 1091 0 884 461 25 24 0
NA Bexar 1092 0 392 192 7 17 1
NA Bexar 1093 0 491 307 7 22 1
NA Bexar 1094 0 939 536 11 47 1
NA Bexar 1095 0 84 74 2 6 0
NA Bexar 1096 0 58 16 1 1 0
NA Bexar 1097 0 265 132 4 8 0
NA Bexar 1098 0 363 86 6 9 0
NA Bexar 1099 0 1192 697 22 53 0
NA Bexar 1100 0 1099 688 11 40 0
NA Bexar 1101 0 0 0 0 0 0
NA Bexar 1102 0 270 300 7 15 4
NA Bexar 1103 0 262 273 5 16 0
NA Bexar 1104 0 1276 825 25 42 0
NA Bexar 1105 0 249 141 11 11 0
NA Bexar 1106 0 0 0 0 0 0
NA Bexar 1107 0 876 762 16 41 1
NA Bexar 1108 0 1780 1359 27 65 1
NA Bexar 1109 0 1 2 0 0 0
NA Bexar 1110 0 1157 727 21 49 2
NA Bexar 1111 0 2033 1357 21 62 5
NA Bexar 1112 0 1916 897 32 84 2
NA Bexar 1113 0 1166 723 22 46 1
NA Bexar 1114 0 25 16 0 0 0
NA Bexar 1115 0 52 58 1 0 0
NA Bexar 1116 0 477 431 6 20 0
NA Bexar 1117 0 115 79 1 2 1
NA Bexar 1118 0 1582 1519 24 76 1
NA Bexar 1119 0 49 18 3 1 0
NA Bexar 1120 0 58 16 3 2 0
NA Bexar 1121 0 1376 956 12 63 3
NA Bexar 1122 0 1933 1523 19 67 1
NA Bexar 1123 0 153 181 2 3 0
NA Bexar 1124 0 257 181 5 11 0
NA Bexar 1125 0 801 698 13 31 0
NA Bexar 1126 0 0 0 0 0 0
NA Bexar 1127 0 198 82 2 7 0
NA Bexar 1128 0 567 398 10 23 1
NA Bexar 1129 0 998 669 10 34 1
NA Bexar 1130 0 0 0 0 0 0
NA Bexar 1131 0 0 0 0 0 0
NA Bexar 1132 0 2 0 0 0 0
NA Bexar 1133 0 0 2 0 0 0
NA Bexar 1134 0 0 0 0 0 0
NA Bexar 1135 0 0 0 0 0 0
NA Bexar 1136 0 37 25 2 0 0
NA Bexar 1137 0 0 0 0 0 0
NA Bexar 1138 0 332 149 12 19 2
NA Bexar 1139 0 385 203 9 19 0
NA Bexar 1140 0 454 306 5 33 1
NA Bexar 1141 0 879 672 15 50 3
NA Bexar 1142 0 830 399 8 35 0
NA Bexar 1143 0 1305 1048 11 48 0
NA Bexar 1144 0 869 1383 6 8 0
NA Bexar 1145 0 226 303 2 6 0
NA Bexar 1146 0 47 52 0 3 0
NA Bexar 1147 0 1025 633 17 44 1
NA Bexar 1148 0 319 197 2 19 1
NA Bexar 1149 0 908 494 14 38 2
NA Bexar 1150 0 965 708 19 32 1
NA Bexar 1151 0 922 715 11 39 0
NA Bexar 2001 0 261 71 4 6 0
NA Bexar 2002 0 442 139 10 14 0
NA Bexar 2003 0 681 187 10 24 0
NA Bexar 2004 0 992 296 15 33 3
NA Bexar 2005 0 444 135 8 11 1
NA Bexar 2006 0 8 2 0 1 0
NA Bexar 2007 0 564 201 12 15 1
NA Bexar 2008 0 378 141 8 14 2
NA Bexar 2009 0 814 316 16 28 2
NA Bexar 2010 0 489 320 11 25 0
NA Bexar 2011 0 681 198 18 15 1
NA Bexar 2012 0 496 167 5 11 0
NA Bexar 2013 0 473 166 13 6 0
NA Bexar 2014 0 473 167 7 11 0
NA Bexar 2015 0 590 188 20 16 1
NA Bexar 2016 0 411 95 8 10 0
NA Bexar 2017 0 336 100 7 9 0
NA Bexar 2018 0 512 182 11 6 0
NA Bexar 2019 0 594 175 6 14 0
NA Bexar 2020 0 977 259 19 25 1
NA Bexar 2021 0 976 302 22 30 4
NA Bexar 2022 0 516 183 8 17 1
NA Bexar 2023 0 1014 354 16 35 2
NA Bexar 2024 0 642 294 5 22 1
NA Bexar 2025 0 1091 395 18 37 0
NA Bexar 2026 0 922 480 14 32 1
NA Bexar 2027 0 566 277 6 18 0
NA Bexar 2028 0 1012 478 12 32 1
NA Bexar 2029 0 380 124 11 11 0
NA Bexar 2030 0 497 157 8 10 0
NA Bexar 2031 0 529 129 12 18 0
NA Bexar 2032 0 206 74 6 4 0
NA Bexar 2033 0 250 80 5 7 1
NA Bexar 2034 0 268 95 4 8 0
NA Bexar 2035 0 733 241 6 9 0
NA Bexar 2036 0 824 419 5 16 0
NA Bexar 2037 0 519 529 11 27 0
NA Bexar 2038 0 562 350 6 17 0
NA Bexar 2039 0 682 181 10 21 2
NA Bexar 2040 0 941 437 19 32 1
NA Bexar 2041 0 1111 482 10 20 1
NA Bexar 2042 0 601 214 11 30 0
NA Bexar 2043 0 726 267 13 18 0
NA Bexar 2044 0 745 287 17 28 2
NA Bexar 2045 0 1065 318 17 28 1
NA Bexar 2046 0 1036 420 9 23 0
NA Bexar 2047 0 740 334 10 15 1
NA Bexar 2048 0 655 228 13 19 0
NA Bexar 2049 0 1125 503 20 29 1
NA Bexar 2050 0 769 355 7 26 0
NA Bexar 2051 0 280 105 5 15 0
NA Bexar 2052 0 358 128 8 14 1
NA Bexar 2053 0 499 158 7 17 0
NA Bexar 2054 0 961 289 19 19 2
NA Bexar 2055 0 814 277 16 17 1
NA Bexar 2056 0 567 241 9 16 0
NA Bexar 2057 0 828 300 11 23 2
NA Bexar 2058 0 815 365 16 29 3
NA Bexar 2059 0 839 364 11 31 1
NA Bexar 2060 0 578 247 11 17 1
NA Bexar 2061 0 433 303 10 22 0
NA Bexar 2062 0 506 283 8 9 0
NA Bexar 2063 0 565 947 9 24 0
NA Bexar 2064 0 920 556 12 32 0
NA Bexar 2065 0 1977 1234 23 69 2
NA Bexar 2066 0 1403 1327 12 67 0
NA Bexar 2067 0 137 33 1 5 0
NA Bexar 2068 0 1506 1290 31 60 4
NA Bexar 2069 0 1175 657 21 37 2
NA Bexar 2070 0 727 172 14 21 0
NA Bexar 2071 0 247 80 7 10 1
NA Bexar 2072 0 1169 918 26 58 0
NA Bexar 2073 0 442 220 6 18 0
NA Bexar 2074 0 359 118 5 8 0
NA Bexar 2075 0 373 91 15 13 0
NA Bexar 2076 0 888 743 19 50 3
NA Bexar 2077 0 922 713 15 43 0
NA Bexar 2078 0 947 612 11 47 1
NA Bexar 2079 0 223 45 7 6 0
NA Bexar 2080 0 528 250 14 17 0
NA Bexar 2081 0 364 166 7 17 1
NA Bexar 2082 0 557 301 9 25 1
NA Bexar 2083 0 383 140 6 11 0
NA Bexar 2084 0 1110 1339 15 39 1
NA Bexar 2085 0 551 262 9 20 0
NA Bexar 2086 0 1351 967 11 55 0
NA Bexar 2087 0 651 652 12 26 1
NA Bexar 2088 0 1540 960 21 59 2
NA Bexar 2089 0 176 60 2 7 1
NA Bexar 2090 0 856 362 16 36 0
NA Bexar 2091 0 1178 504 23 36 1
NA Bexar 2092 0 158 123 2 5 0
NA Bexar 2093 0 566 389 9 30 0
NA Bexar 2094 0 59 66 0 1 0
NA Bexar 2095 0 737 1100 9 26 0
NA Bexar 2096 0 973 468 9 47 2
NA Bexar 2097 0 978 586 21 57 1
NA Bexar 2098 0 518 292 9 25 0
NA Bexar 2099 0 546 526 3 25 0
NA Bexar 2100 0 493 272 7 28 0
NA Bexar 2101 0 499 597 5 25 0
NA Bexar 2102 0 989 796 15 34 0
NA Bexar 2103 0 104 28 0 3 0
NA Bexar 2104 0 132 31 0 1 1
NA Bexar 2105 0 217 71 4 6 0
NA Bexar 2106 0 205 95 2 11 1
NA Bexar 2107 0 1346 914 22 59 3
NA Bexar 2108 0 412 473 3 10 1
NA Bexar 2109 0 1 0 0 0 0
NA Bexar 2110 0 440 348 8 10 0
NA Bexar 2111 0 406 204 13 17 2
NA Bexar 2112 0 680 469 14 29 2
NA Bexar 2113 0 35 16 0 1 0
NA Bexar 2114 0 826 426 24 21 1
NA Bexar 2115 0 2465 2295 28 97 1
NA Bexar 2116 0 0 0 0 0 0
NA Bexar 2117 0 265 76 10 7 0
NA Bexar 2118 0 14 0 0 0 0
NA Bexar 2119 0 129 41 0 4 0
NA Bexar 2120 0 872 740 12 33 2
NA Bexar 2121 0 183 112 4 10 0
NA Bexar 2122 0 649 257 18 24 0
NA Bexar 2123 0 738 761 16 31 1
NA Bexar 2124 0 272 192 4 4 1
NA Bexar 2125 0 1152 1020 17 47 2
NA Bexar 2126 0 541 357 12 12 1
NA Bexar 2127 0 1003 730 15 46 3
