COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DEM REP
Beaufort "HILTON HEAD 15A" 598 1 597
Beaufort "HILTON HEAD 15B" 971 1 970
Beaufort BELFAIR 2245 1 2244
Beaufort "Bluffton 1A" 1881 1 1880
Beaufort "Bluffton 1B" 1095 1 1094
Beaufort "Bluffton 1C" 2041 1 2040
Beaufort "Bluffton 1D" 1883 1 1882
Beaufort "Bluffton 2A" 1385 1 1384
Beaufort "Bluffton 2B" 1675 1 1674
Beaufort "Bluffton 2C" 2836 1 2835
Beaufort "MOSS CREEK" 1695 1 1694
Beaufort "Bluffton 3" 1137 1 1136
Beaufort "Bluffton 4A" 1300 1 1299
Beaufort "Bluffton 4B" 1948 1 1947
Beaufort "Bluffton 4C" 2332 1 2331
Beaufort "Bluffton 5A" 1926 1 1925
Beaufort "Bluffton 2D" 2193 1 2192
Beaufort "Bluffton 2E" 1574 1 1573
Beaufort "ROSE HILL" 1917 1 1916
Beaufort "Bluffton 4D" 2123 1 2122
Beaufort "Bluffton 5B" 1399 1 1398
Beaufort "PALMETTO BLUFF" 721 1 720
Beaufort "New River" 2554 1 2553
Beaufort "SANDY POINTE" 1457 1 1456
Beaufort "SUN CITY 1" 1601 1 1600
Beaufort "SUN CITY 2" 1298 1 1297
Beaufort "SUN CITY 3" 1840 1 1839
Beaufort "SUN CITY 4" 1491 1 1490
Beaufort "SUN CITY 5" 1574 1 1573
Beaufort "SUN CITY 6" 1479 1 1478
Beaufort "SUN CITY 7" 1312 1 1311
Beaufort "SUN CITY 8" 1746 1 1745
Berkeley ALVIN 951 1 950
Berkeley BETHERA 244 1 243
Berkeley BONNEAU 1385 1 1384
Berkeley "BONNEAU BEACH" 1697 1 1696
Berkeley CENTRAL 2506 1 2505
Berkeley CAINHOY 1288 1 1287
Berkeley "CARNES CROSS ROADS 1" 1459 1 1458
Berkeley "CARNES CROSS ROADS 2" 1010 1 1009
Berkeley CORDESVILLE 1349 1 1348
Berkeley CROSS 1282 1 1281
Berkeley "DANIEL ISLAND 1" 2266 1 2265
Berkeley "DANIEL ISLAND 2" 1899 1 1898
Berkeley "DEVON FOREST 1" 2486 1 2485
Berkeley "DEVON FOREST 2" 1842 1 1841
Berkeley EADYTOWN 741 1 740
Berkeley "HANAHAN 1" 2444 1 2443
Berkeley "HANAHAN 2" 1574 1 1573
Berkeley "HANAHAN 3" 1497 1 1496
Berkeley "HANAHAN 4" 1630 1 1629
Berkeley "HILTON CROSS RD" 1678 1 1677
Berkeley HUGER 1384 1 1383
Berkeley JAMESTOWN 568 1 567
Berkeley LEBANON 864 1 863
Berkeley MACEDONIA 1563 1 1562
Berkeley MCBETH 1057 1 1056
Berkeley "MONCKS CORNER 1" 1985 1 1984
Berkeley "MONCKS CORNER 2" 1794 1 1793
Berkeley "MONCKS CORNER 3" 2465 1 2464
Berkeley "MONCKS CORNER 4" 1695 1 1694
Berkeley PIMLICO 1273 1 1272
Berkeley PINOPOLIS 2000 1 1999
Berkeley RUSSELLVILLE 1466 1 1465
Berkeley "SANGAREE 1" 1252 1 1251
Berkeley "SANGAREE 2" 1716 1 1715
Berkeley "SANGAREE 3" 1417 1 1416
Berkeley SHULERVILLE 394 1 393
Berkeley "ST. STEPHEN 1" 1585 1 1584
Berkeley "ST. STEPHEN 2" 1650 1 1649
Berkeley "STRATFORD 1" 1955 1 1954
Berkeley "STRATFORD 2" 1955 1 1954
Berkeley "STRATFORD 3" 2301 1 2300
Berkeley "STRATFORD 4" 1859 1 1858
Berkeley "WASSAMASSAW 1" 1131 1 1130
Berkeley "WASSAMASSAW 2" 2606 1 2605
Berkeley "WESTVIEW 1" 1483 1 1482
Berkeley "WESTVIEW 2" 1823 1 1822
Berkeley "WESTVIEW 3" 1765 1 1764
Berkeley "BEVERLY HILLS" 1418 1 1417
Berkeley "HOWE HALL 1" 2524 1 2523
Berkeley "HOWE HALL 2" 1271 1 1270
Berkeley "LIBERTY HALL" 2509 1 2508
Berkeley MEDWAY 2392 1 2391
Berkeley "WHITESVILLE 1" 2185 1 2184
Berkeley "WHITESVILLE 2" 1085 1 1084
Berkeley "DANIEL ISLAND 3" 2120 1 2119
Berkeley "DANIEL ISLAND 4" 3105 1 3104
Berkeley "THE VILLAGE" 2618 1 2617
Berkeley "YELLOW HOUSE" 2815 1 2814
Berkeley "CANE BAY" 2894 1 2893
Berkeley DISCOVERY 2251 1 2250
Berkeley "FOX BANK" 2395 1 2394
Berkeley "HANAHAN 5" 1271 1 1270
Berkeley MOULTRIE 1508 1 1507
Berkeley "OLD 52" 1329 1 1328
Berkeley ROYLE 1362 1 1361
Berkeley "SEVENTY EIGHT" 1776 1 1775
Berkeley "STONE LAKE" 1446 1 1445
Berkeley "STRATFORD 5" 1651 1 1650
Berkeley "WESTVIEW 4" 1591 1 1590
Berkeley "FOSTER CREEK 1" 1261 1 1260
Berkeley "FOSTER CREEK 2" 2073 1 2072
Berkeley "FOSTER CREEK 3" 1814 1 1813
Berkeley "HARBOUR LAKE" 2083 1 2082
Berkeley "ST. JAMES" 1613 1 1612
Berkeley "SEDGEFIELD 1" 1778 1 1777
Berkeley "SEDGEFIELD 2" 1074 1 1073
Berkeley TRAMWAY 1673 1 1672
Berkeley WEATHERSTONE 2076 1 2075
Berkeley CYPRESS 1983 1 1982
Berkeley "NORTH CREEK" 549 1 548
Berkeley "BOULDER BLUFF" 2329 1 2328
Berkeley "BUSHY PARK" 48 1 47
Berkeley "CANE BAY EAST" 1838 1 1837
Berkeley "CANE BAY NORTH" 1382 1 1381
Berkeley "CANE BAY SOUTH" 1853 1 1852
Berkeley COBBLESTONE 1449 1 1448
Berkeley Fifty-two 1373 1 1372
Berkeley HORSESHOE 1307 1 1306
Berkeley "LIVE OAK" 1681 1 1680
Berkeley "MACEDONIA 2" 197 1 196
Berkeley NEXTON 1654 1 1653
Berkeley "PINE GROVE" 0 1 -1
Berkeley POMFLANT 0 1 -1
Berkeley "SEDGEFIELD 3" 641 1 640
Berkeley "WILDCAT TRAIL" 325 1 324
Berkeley "YEAMAN'S CLUB" 160 1 159
Calhoun Bethel 946 1 945
Calhoun Cameron 718 1 717
Calhoun "Center Hill" 1178 1 1177
Calhoun Creston 208 1 207
Calhoun Dixie 2167 1 2166
Calhoun "Fall Branch" 515 1 514
Calhoun "Fort Motte" 253 1 252
Calhoun "Lone Star" 1093 1 1092
Calhoun Midway 322 1 321
Calhoun "Murph Hill" 469 1 468
Calhoun "Sandy Run" 1691 1 1690
Calhoun "St. Matthews" 1516 1 1515
Charleston Awendaw 1497 1 1496
Charleston "Christ Church" 985 1 984
Charleston "Isle Of Palms 1A" 1141 1 1140
Charleston "Isle of Palms 1B" 1524 1 1523
Charleston "Isle of Palms 1C" 1810 1 1809
Charleston "Sullivans Island" 1806 1 1805
Charleston McClellanville 1785 1 1784
Charleston "Deer Park 1A" 1525 1 1524
Charleston "Deer Park 1B" 3629 1 3628
Charleston "Deer Park 2A" 3137 1 3136
Charleston "Deer Park 2B" 2134 1 2133
Charleston "Deer Park 2C" 1136 1 1135
Charleston "Deer Park 3" 2369 1 2368
Charleston Lincolnville 2155 1 2154
Charleston Ladson 3274 1 3273
Charleston "Edisto Island" 1666 1 1665
Charleston "Wadmalaw Island 1" 1196 1 1195
Charleston "Wadmalaw Island 2" 1200 1 1199
Charleston "Kiawah Island" 2085 1 2084
Charleston "Town of Seabrook" 2383 1 2382
Charleston "Folly Beach 1" 1063 1 1062
Charleston "Folly Beach 2" 1318 1 1317
Charleston "Charleston 1" 824 1 823
Charleston "Charleston 2" 1006 1 1005
Charleston "Charleston 3" 1075 1 1074
Charleston "Charleston 4" 1027 1 1026
Charleston "Charleston 5" 995 1 994
Charleston "Charleston 6" 1406 1 1405
Charleston "Charleston 7" 1492 1 1491
Charleston "Charleston 8" 1315 1 1314
Charleston "Charleston 9" 1027 1 1026
Charleston "Charleston 10" 806 1 805
Charleston "Charleston 11" 1724 1 1723
Charleston "Charleston 12" 1745 1 1744
Charleston "Charleston 13" 1350 1 1349
Charleston "Charleston 14" 1260 1 1259
Charleston "Charleston 15" 1605 1 1604
Charleston "Charleston 16" 1253 1 1252
Charleston "Charleston 17" 1310 1 1309
Charleston "Charleston 18" 1550 1 1549
Charleston "Charleston 19" 882 1 881
Charleston "Charleston 20" 1395 1 1394
Charleston "Charleston 21" 797 1 796
Charleston "Mt. Pleasant 1" 1635 1 1634
Charleston "Mt. Pleasant 2" 1392 1 1391
Charleston "Mt. Pleasant 3" 1830 1 1829
Charleston "Mt. Pleasant 4" 1818 1 1817
Charleston "Mt. Pleasant 5" 1423 1 1422
Charleston "Mt. Pleasant 6" 2244 1 2243
Charleston "Mt. Pleasant 7" 1182 1 1181
Charleston "Mt. Pleasant 8" 968 1 967
Charleston "Mt. Pleasant 9" 1162 1 1161
Charleston "Mt. Pleasant 10" 1151 1 1150
Charleston "Mt. Pleasant 11" 1414 1 1413
Charleston "Mt. Pleasant 12" 2834 1 2833
Charleston "Mt. Pleasant 13" 1302 1 1301
Charleston "Mt. Pleasant 14" 1672 1 1671
Charleston "Mt. Pleasant 15" 2642 1 2641
Charleston "Mt. Pleasant 16" 811 1 810
Charleston "Mt. Pleasant 17" 3343 1 3342
Charleston "Mt. Pleasant 18" 1271 1 1270
Charleston "Mt. Pleasant 19" 2464 1 2463
Charleston "Mt. Pleasant 20" 1627 1 1626
Charleston "Mt. Pleasant 21" 1829 1 1828
Charleston "Mt. Pleasant 22" 1947 1 1946
Charleston "Mt. Pleasant 23" 2133 1 2132
Charleston "Mt. Pleasant 24" 918 1 917
Charleston "Mt. Pleasant 25" 1140 1 1139
Charleston "Mt. Pleasant 26" 630 1 629
Charleston "Mt. Pleasant 27" 3148 1 3147
Charleston "Mt. Pleasant 28" 1320 1 1319
Charleston "Mt. Pleasant 29" 354 1 353
Charleston "Mt. Pleasant 30" 2251 1 2250
Charleston "Mt. Pleasant 31" 1650 1 1649
Charleston "Mt. Pleasant 32" 3114 1 3113
Charleston "Mt. Pleasant 33" 4910 1 4909
Charleston "Mt. Pleasant 34" 1992 1 1991
Charleston "Mt. Pleasant 35" 5878 1 5877
Charleston "Mt. Pleasant 36" 2011 1 2010
Charleston "Mt. Pleasant 37" 3967 1 3966
Charleston "Mt. Pleasant 38" 2094 1 2093
Charleston "Mt. Pleasant 39" 4163 1 4162
Charleston "James Island 1A" 2274 1 2273
Charleston "James Island 1B" 1131 1 1130
Charleston "James Island 3" 965 1 964
Charleston "James Island 5A" 1487 1 1486
Charleston "James Island 5B" 877 1 876
Charleston "James Island 6" 1774 1 1773
Charleston "James Island 7" 2298 1 2297
Charleston "James Island 8A" 1694 1 1693
Charleston "James Island 8B" 2428 1 2427
Charleston "James Island 9" 1659 1 1658
Charleston "James Island 10" 1786 1 1785
Charleston "James Island 11" 2059 1 2058
Charleston "James Island 12" 1382 1 1381
Charleston "James Island 13" 1763 1 1762
Charleston "James Island 14" 951 1 950
Charleston "James Island 15" 1924 1 1923
Charleston "James Island 17" 2193 1 2192
Charleston "James Island 19" 1868 1 1867
Charleston "James Island 20" 1735 1 1734
Charleston "James Island 22" 1658 1 1657
Charleston "Johns Island 1A" 2067 1 2066
Charleston "Johns Island 1B" 2348 1 2347
Charleston "Johns Island 2" 6004 1 6003
Charleston "Johns Island 3A" 4507 1 4506
Charleston "Johns Island 3B" 1777 1 1776
Charleston "Johns Island 4" 1245 1 1244
Charleston "St. Pauls 1" 865 1 864
Charleston "St. Pauls 2A" 953 1 952
Charleston "St. Pauls 2B" 1483 1 1482
Charleston "St. Pauls 3" 2136 1 2135
Charleston "St. Pauls 4" 1764 1 1763
Charleston "St. Pauls 5" 1178 1 1177
Charleston "St. Pauls 6" 2279 1 2278
Charleston "St. Andrews 1" 760 1 759
Charleston "St. Andrews 2" 1368 1 1367
Charleston "St. Andrews 3" 1502 1 1501
Charleston "St. Andrews 4" 1680 1 1679
Charleston "St. Andrews 5" 1418 1 1417
Charleston "St. Andrews 6" 1297 1 1296
Charleston "St. Andrews 7" 1901 1 1900
Charleston "St. Andrews 8" 949 1 948
Charleston "St. Andrews 9" 1369 1 1368
Charleston "St. Andrews 10" 1215 1 1214
Charleston "St. Andrews 11" 969 1 968
Charleston "St. Andrews 12" 1084 1 1083
Charleston "St. Andrews 13" 1289 1 1288
Charleston "St. Andrews 14" 1487 1 1486
Charleston "St. Andrews 15" 1610 1 1609
Charleston "St. Andrews 16" 1151 1 1150
Charleston "St. Andrews 17" 1806 1 1805
Charleston "St. Andrews 18" 1946 1 1945
Charleston "ST. ANDREWS 19" 358 1 357
Charleston "St. Andrews 20" 2920 1 2919
Charleston "St. Andrews 21" 942 1 941
Charleston "St. Andrews 22" 1307 1 1306
Charleston "St. Andrews 23" 1209 1 1208
Charleston "St. Andrews 24" 1410 1 1409
Charleston "St. Andrews 25" 1709 1 1708
Charleston "St. Andrews 26" 1491 1 1490
Charleston "St. Andrews 27" 4930 1 4929
Charleston "St. Andrews 28" 3601 1 3600
Charleston "St. Andrews 29" 3965 1 3964
Charleston "St. Andrews 30" 2319 1 2318
Charleston "St. Andrews 31" 1288 1 1287
Charleston "St. Andrews 32" 1208 1 1207
Charleston "St. Andrews 33" 801 1 800
Charleston "St. Andrews 34" 2594 1 2593
Charleston "St. Andrews 35" 1876 1 1875
Charleston "St. Andrews 36" 1751 1 1750
Charleston "St. Andrews 37" 5014 1 5013
Charleston "North Charleston 1" 932 1 931
Charleston "North Charleston 2" 541 1 540
Charleston "North Charleston 3" 1306 1 1305
Charleston "North Charleston 4" 1256 1 1255
Charleston "North Charleston 5" 1901 1 1900
Charleston "North Charleston 6" 1385 1 1384
Charleston "North Charleston 7" 1486 1 1485
Charleston "North Charleston 8" 1145 1 1144
Charleston "North Charleston 9" 1694 1 1693
Charleston "North Charleston 10" 1403 1 1402
Charleston "North Charleston 11" 968 1 967
Charleston "North Charleston 12" 1091 1 1090
Charleston "North Charleston 13" 938 1 937
Charleston "North Charleston 14" 772 1 771
Charleston "North Charleston 15" 1433 1 1432
Charleston "North Charleston 16" 1135 1 1134
Charleston "North Charleston 17" 878 1 877
Charleston "North Charleston 18" 1887 1 1886
Charleston "North Charleston 19" 1134 1 1133
Charleston "North Charleston 20" 791 1 790
Charleston "North Charleston 21" 1409 1 1408
Charleston "North Charleston 22" 1497 1 1496
Charleston "North Charleston 23" 2285 1 2284
Charleston "North Charleston 24" 2879 1 2878
Charleston "North Charleston 25" 701 1 700
Charleston "North Charleston 26" 414 1 413
Charleston "North Charleston 27" 1099 1 1098
Charleston "North Charleston 28" 981 1 980
Charleston "North Charleston 29" 883 1 882
Charleston "North Charleston 30" 1961 1 1960
Chesterfield ANGELUS-CARARRH 652 1 651
Chesterfield "BAY SPRINGS" 414 1 413
Chesterfield "BLACK CREEK" 401 1 400
Chesterfield "BROCKS MILL" 1708 1 1707
Chesterfield CASH 1086 1 1085
Chesterfield "Center Grove-Winzo" 1107 1 1106
Chesterfield "Cheraw No. 1" 1450 1 1449
Chesterfield "Cheraw No. 2" 1063 1 1062
Chesterfield "CHERAW NO. 3" 1842 1 1841
Chesterfield "CHERAW NO. 4" 1429 1 1428
Chesterfield COURTHOUSE 1959 1 1958
Chesterfield Dudley-Mangum 878 1 877
Chesterfield "GRANTS MILL" 1251 1 1250
Chesterfield JEFFERSON 1833 1 1832
Chesterfield McBee 1660 1 1659
Chesterfield MIDDENDORF 776 1 775
Chesterfield "MT. GROGHAN" 385 1 384
Chesterfield OUSLEYDALE 745 1 744
Chesterfield "Pageland No. 1" 1892 1 1891
Chesterfield "Pageland No. 2" 1639 1 1638
