COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Greenlee "006 East Plantsite" 0 46 152 0 0 0 6 0 0
Greenlee "007 York/Sheldon" 0 157 433 0 0 0 10 0 0
Greenlee "008 Duncan" 0 143 590 0 0 0 15 0 0
"La Paz" "051 Parker" 0 1000 1161 0 0 0 41 0 0
"La Paz" "052 Poston" 0 167 73 0 0 0 9 0 0
"La Paz" "054 Upriver" 0 290 1235 0 0 0 10 0 0
"La Paz" "055 Bouse" 0 73 340 0 0 0 1 0 0
"La Paz" "056 Wenden" 0 36 101 0 0 0 2 0 0
"La Paz" "057 Salome" 0 161 610 0 0 0 7 0 0
"La Paz" "058 Quartzsite Two" 0 231 725 0 0 0 11 0 0
"La Paz" "059 Cibola" 0 14 80 0 0 0 2 0 0
"La Paz" "060 Ehrenberg" 0 86 281 0 0 0 3 0 0
"La Paz" "062 Vicksburg" 0 47 174 0 0 0 1 0 0
"La Paz" "064 Quartzsite Three" 0 131 349 0 0 0 6 0 0
Maricopa "0001 ACACIA" 0 1770 1475 0 0 0 61 0 0
Maricopa "0002 ACOMA" 0 1029 1788 0 0 0 45 0 0
Maricopa "0003 ACUNA" 0 1655 328 0 0 0 13 0 0
Maricopa "0004 ADOBE" 0 875 1192 0 0 0 44 0 0
Maricopa "0005 ADORA" 0 2853 4067 0 0 0 91 0 0
Maricopa "0006 AGUA FRIA" 0 575 804 0 0 0 19 0 0
Maricopa "0007 AGUILA" 0 103 224 0 0 0 1 0 0
Maricopa "0008 AHWATUKEE" 0 1936 1468 0 0 0 37 0 0
Maricopa "0009 AIRLINE CANAL" 0 1422 1200 0 0 0 47 0 0
Maricopa "0010 ALAMO" 0 1825 1300 0 0 0 70 0 0
Maricopa "0011 ALEXANDER" 0 2729 1874 0 0 0 48 0 0
Maricopa "0012 ALHAMBRA" 0 586 220 0 0 0 19 0 0
Maricopa "0013 ALPACA" 0 662 955 0 0 0 5 0 0
Maricopa "0014 ALSUP" 0 304 489 0 0 0 13 0 0
Maricopa "0015 ALTADENA" 0 449 802 0 0 0 18 0 0
Maricopa "0016 ALVARADO" 0 1096 549 0 0 0 21 0 0
Maricopa "0017 AMBER" 0 811 708 0 0 0 26 0 0
Maricopa "0018 ANDERSON" 0 914 906 0 0 0 45 0 0
Maricopa "0019 ANDORA" 0 1179 1007 0 0 0 49 0 0
Maricopa "0020 ANGELA" 0 1747 2191 0 0 0 47 0 0
Maricopa "0021 ANNETTE" 0 1430 1464 0 0 0 55 0 0
Maricopa "0022 APACHE" 0 462 875 0 0 0 19 0 0
Maricopa "0023 APACHE PARK" 0 812 1117 0 0 0 44 0 0
Maricopa "0024 APACHE WELLS" 0 1704 2678 0 0 0 55 0 0
Maricopa "0025 APPLEBY" 0 2750 2884 0 0 0 69 0 0
Maricopa "0026 ARBOLEDA" 0 1101 2368 0 0 0 56 0 0
Maricopa "0027 ARCADIA" 0 1702 1056 0 0 0 47 0 0
Maricopa "0028 ARDMORE" 0 2408 847 0 0 0 48 0 0
Maricopa "0029 ARLINGTON" 0 21 128 0 0 0 3 0 0
Maricopa "0030 ARROWHEAD RANCH" 0 810 1012 0 0 0 22 0 0
Maricopa "0031 ARTESIAN" 0 1323 1294 0 0 0 49 0 0
Maricopa "0032 ASTER" 0 928 1124 0 0 0 32 0 0
Maricopa "0033 ATHENS" 0 1062 1310 0 0 0 33 0 0
Maricopa "0034 AUGUSTA" 0 544 356 0 0 0 17 0 0
Maricopa "0035 AUGUSTA RANCH" 0 1207 1869 0 0 0 48 0 0
Maricopa "0036 AVIANO" 0 2036 2009 0 0 0 35 0 0
Maricopa "0037 AVONDALE" 0 901 377 0 0 0 16 0 0
Maricopa "0038 AZTEC SPRINGS" 0 1628 1960 0 0 0 47 0 0
Maricopa "0039 BALBOA" 0 2038 950 0 0 0 85 0 0
Maricopa "0040 BALSZ" 0 2324 599 0 0 0 48 0 0
Maricopa "0041 BARNES" 0 1089 779 0 0 0 29 0 0
Maricopa "0042 BAYSHORE" 0 2563 2604 0 0 0 78 0 0
Maricopa "0043 BEARDSLEY" 0 1719 2538 0 0 0 41 0 0
Maricopa "0044 BERYL" 0 812 734 0 0 0 31 0 0
Maricopa "0045 BETHANY" 0 877 689 0 0 0 15 0 0
Maricopa "0046 BETHANY PARK" 0 500 216 0 0 0 13 0 0
Maricopa "0047 BETHUNE" 0 902 202 0 0 0 16 0 0
Maricopa "0048 BILTMORE" 0 1301 1078 0 0 0 19 0 0
Maricopa "0049 BISCUIT FLAT" 0 907 1895 0 0 0 34 0 0
Maricopa "0050 BLACK CANYON" 0 2650 1579 0 0 0 93 0 0
Maricopa "0051 BLACK GOLD" 0 900 1442 0 0 0 8 0 0
Maricopa "0052 BLACKHAWK" 0 1442 1511 0 0 0 75 0 0
Maricopa "0053 BLOOM" 0 746 1119 0 0 0 50 0 0
Maricopa "0054 BLUE SKY" 0 361 601 0 0 0 4 0 0
Maricopa "0055 BLUEBIRD" 0 2610 2094 0 0 0 88 0 0
Maricopa "0056 BLUEFIELD" 0 1215 1508 0 0 0 49 0 0
Maricopa "0057 BONANZA" 0 680 999 0 0 0 6 0 0
Maricopa "0058 BONSALL PARK" 0 423 155 0 0 0 17 0 0
Maricopa "0059 BREWER" 0 1259 1707 0 0 0 40 0 0
Maricopa "0060 BRONCO" 0 1382 1968 0 0 0 25 0 0
Maricopa "0061 BROOKS FARM" 0 2218 3669 0 0 0 73 0 0
Maricopa "0062 BUCKEYE" 0 520 717 0 0 0 23 0 0
Maricopa "0063 BUCKLEY" 0 1175 831 0 0 0 51 0 0
Maricopa "0064 BUFFALO RIDGE" 0 1733 1719 0 0 0 62 0 0
Maricopa "0065 BULLARD" 0 40 81 0 0 0 2 0 0
Maricopa "0066 BULLMOOSE" 0 831 885 0 0 0 41 0 0
Maricopa "0067 BUNKER PEAK" 0 104 231 0 0 0 7 0 0
Maricopa "0068 BURGESS" 0 1469 521 0 0 0 29 0 0
Maricopa "0069 BUTLER" 0 2828 2125 0 0 0 111 0 0
Maricopa "0070 CACTUS GLEN" 0 1132 1473 0 0 0 14 0 0
Maricopa "0071 CAIRO" 0 1699 650 0 0 0 47 0 0
Maricopa "0072 CALAVAR" 0 603 674 0 0 0 21 0 0
Maricopa "0073 CALAVEROS" 0 841 574 0 0 0 12 0 0
Maricopa "0074 CALYPSO" 0 1049 1434 0 0 0 28 0 0
Maricopa "0075 CAMBRIDGE" 0 418 95 0 0 0 12 0 0
Maricopa "0076 CAMELOT" 0 2498 2092 0 0 0 46 0 0
Maricopa "0077 CAMEO" 0 1180 1648 0 0 0 18 0 0
Maricopa "0078 CAMPBELL" 0 1200 2203 0 0 0 57 0 0
Maricopa "0079 CAMPBELL PARK" 0 1104 628 0 0 0 25 0 0
Maricopa "0080 CANDLELIGHT" 0 1367 2704 0 0 0 78 0 0
Maricopa "0081 CANTERBURY" 0 1394 1189 0 0 0 34 0 0
Maricopa "0082 CANYON" 0 97 141 0 0 0 0 0 0
Maricopa "0083 CANYON RIM" 0 1211 1884 0 0 0 68 0 0
Maricopa "0084 CAPITOL SCHOOL" 0 1227 425 0 0 0 25 0 0
Maricopa "0085 CARDINAL" 0 1812 1206 0 0 0 40 0 0
Maricopa "0086 CAREFREE" 0 1127 1853 0 0 0 21 0 0
Maricopa "0087 CARL" 0 1735 632 0 0 0 48 0 0
Maricopa "0088 CARLA VISTA" 0 1334 784 0 0 0 55 0 0
Maricopa "0089 CAROL ANN" 0 1499 2060 0 0 0 85 0 0
Maricopa "0090 CARON" 0 1086 1095 0 0 0 35 0 0
Maricopa "0091 CARRIAGE LANE" 0 1473 1164 0 0 0 71 0 0
Maricopa "0092 CARVER" 0 1882 931 0 0 0 44 0 0
Maricopa "0093 CASHION" 0 3463 1174 0 0 0 68 0 0
Maricopa "0094 CATAMARAN" 0 1028 1528 0 0 0 43 0 0
Maricopa "0095 CAVE BUTTES" 0 2177 2261 0 0 0 63 0 0
Maricopa "0096 CAVE CREEK" 0 1200 2039 0 0 0 34 0 0
Maricopa "0097 CELAYA" 0 2021 843 0 0 0 84 0 0
Maricopa "0098 CENTENNIAL" 0 802 750 0 0 0 33 0 0
Maricopa "0099 CENTRAL HIGH" 0 1952 597 0 0 0 61 0 0
Maricopa "0100 CHALLENGER" 0 1328 561 0 0 0 23 0 0
Maricopa "0101 CHANDLER HEIGHTS" 0 2006 2793 0 0 0 45 0 0
Maricopa "0102 CHAVEZ" 0 760 163 0 0 0 15 0 0
Maricopa "0103 CHEATHAM" 0 3404 1051 0 0 0 64 0 0
Maricopa "0104 CHENEY" 0 1188 1832 0 0 0 20 0 0
Maricopa "0105 CHILTON" 0 930 694 0 0 0 42 0 0
Maricopa "0106 CHOLLA" 0 1607 1227 0 0 0 61 0 0
Maricopa "0107 CHRISTY" 0 690 762 0 0 0 35 0 0
Maricopa "0108 CIELO" 0 1535 1618 0 0 0 23 0 0
Maricopa "0109 CIELO GRANDE" 0 1218 1246 0 0 0 37 0 0
Maricopa "0110 CITRUS" 0 1515 754 0 0 0 46 0 0
Maricopa "0111 CITRUS GARDENS" 0 1429 1505 0 0 0 40 0 0
Maricopa "0112 CITRUS GROVES" 0 1624 2148 0 0 0 61 0 0
Maricopa "0113 CLAY MINE" 0 169 409 0 0 0 6 0 0
Maricopa "0114 CLEARVIEW" 0 1548 1554 0 0 0 50 0 0
Maricopa "0115 CLEARWATER" 0 530 618 0 0 0 9 0 0
Maricopa "0116 CLIFFVIEW" 0 780 440 0 0 0 14 0 0
Maricopa "0117 CLOUD" 0 1594 2004 0 0 0 30 0 0
Maricopa "0118 CLOVER" 0 522 405 0 0 0 26 0 0
Maricopa "0119 CLUB WEST" 0 2708 2258 0 0 0 55 0 0
Maricopa "0120 COCOPAH" 0 795 953 0 0 0 15 0 0
Maricopa "0121 COLDWATER RIDGE" 0 1918 903 0 0 0 46 0 0
Maricopa "0122 COLONIA" 0 2644 2505 0 0 0 89 0 0
Maricopa "0123 COLONNADE" 0 1994 964 0 0 0 42 0 0
Maricopa "0124 COLTER" 0 878 397 0 0 0 27 0 0
Maricopa "0125 COMET" 0 1333 1588 0 0 0 52 0 0
Maricopa "0126 COMMONWEALTH" 0 1191 583 0 0 0 48 0 0
Maricopa "0127 COMPADRE" 0 2676 2355 0 0 0 66 0 0
Maricopa "0128 COMSTOCK" 0 874 763 0 0 0 36 0 0
Maricopa "0129 CONCORD" 0 913 762 0 0 0 26 0 0
Maricopa "0130 CONQUISTADOR" 0 472 817 0 0 0 6 0 0
Maricopa "0131 CONTENTION MINE" 0 667 692 0 0 0 32 0 0
Maricopa "0132 COPPER HILLS" 0 1240 1289 0 0 0 22 0 0
Maricopa "0133 COPPERWOOD" 0 745 712 0 0 0 22 0 0
Maricopa "0134 CORA" 0 773 280 0 0 0 21 0 0
Maricopa "0135 CORBELL" 0 2202 1302 0 0 0 43 0 0
Maricopa "0136 CORDES" 0 1056 423 0 0 0 20 0 0
Maricopa "0137 CORDONIZ" 0 1483 855 0 0 0 28 0 0
Maricopa "0138 CORDOVA" 0 538 258 0 0 0 13 0 0
Maricopa "0139 CORONA" 0 926 615 0 0 0 31 0 0
Maricopa "0140 CORONADO" 0 1690 1262 0 0 0 53 0 0
Maricopa "0141 CORRINE" 0 1047 1718 0 0 0 26 0 0
Maricopa "0142 CORTEZ" 0 680 440 0 0 0 29 0 0
Maricopa "0143 COTTON LANE" 0 2046 2611 0 0 0 80 0 0
Maricopa "0144 COTTONWOOD COUNTRY CLUB" 0 1638 2415 0 0 0 20 0 0
Maricopa "0145 COUNTRY GABLES" 0 489 569 0 0 0 27 0 0
Maricopa "0146 COUNTRY MEADOWS" 0 351 382 0 0 0 10 0 0
Maricopa "0147 COVINA" 0 1037 1638 0 0 0 48 0 0
Maricopa "0148 COYOTE BASIN" 0 1196 1333 0 0 0 39 0 0
Maricopa "0149 COYOTE HILLS" 0 1169 2579 0 0 0 55 0 0
