COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Arlington County" "21 - Virginia Highlands" 948 708 230 10 0
"Arlington County" "22 - Abingdon" 1734 1383 318 30 3
"Arlington County" "23 - Westover" 1530 1235 277 16 2
"Arlington County" "24 - Woodlawn" 1943 1592 333 18 0
"Arlington County" "25 - Arlington Forest" 1386 1091 282 11 2
"Arlington County" "26 - Fillmore" 1798 1506 258 32 2
"Arlington County" "27 - Jefferson" 1537 1234 283 20 0
"Arlington County" "28 - Wakefield" 1657 1372 272 12 1
"Arlington County" "29 - Dominion Hills" 1634 1318 302 13 1
"Arlington County" "30 - Glebe" 1326 1132 185 9 0
"Arlington County" "31 - Lexington" 1624 1261 348 14 1
"Arlington County" "32 - Oakridge" 635 448 176 8 3
"Arlington County" "33 - Rock Spring" 1694 1227 456 10 1
"Arlington County" "34 - Yorktown" 1490 1142 339 8 1
"Arlington County" "35 - Madison" 1766 1182 575 7 2
"Arlington County" "36 - Marshall" 1679 1276 388 14 1
"Arlington County" "37 - Nottingham" 1495 1122 365 6 2
"Arlington County" "38 - Arlington View" 1267 1077 170 19 1
"Arlington County" "39 - Ashlawn" 938 729 198 11 0
"Arlington County" "40 - Virginia Square" 1658 1300 328 28 2
"Arlington County" "41 - Navy League" 1209 985 207 16 1
"Arlington County" "42 - Shirlington" 1240 1020 207 12 1
"Arlington County" "43 - Campbell" 956 845 105 5 1
"Arlington County" "44 - Dawson Terrace" 1089 927 155 7 0
"Arlington County" "45 - Buckingham" 1050 870 173 5 2
"Arlington County" "46 - Central" 1575 1255 294 26 0
"Arlington County" "47 - Four Mile Run" 1179 1024 141 13 1
"Arlington County" "48 - Ausa" 1027 785 223 18 1
"Arlington County" "49 - Monroe" 840 684 146 10 0
"Arlington County" "50 - Crystal Plaza" 1080 792 269 18 1
"Arlington County" "51 - Taylor" 434 327 103 4 0
"Arlington County" "52 - Gunston" 1000 803 188 9 0
"Arlington County" "53 - Met Park" 1193 933 246 13 1
"Arlington County" "54 - Garfield Park" 640 506 125 9 0
"Arlington County" "Ab - Central Absentee Precinct" 12228 10448 1719 60 1
"Arlington County" Provisional 100 78 22 0 0
"Augusta County" "101 - Jolivue" 602 208 390 4 0
"Augusta County" "102 - Stuarts Draft Elementary" 665 208 453 4 0
"Augusta County" "103 - Verona" 1143 276 847 19 1
"Augusta County" "201 - Crimora" 1107 240 852 15 0
"Augusta County" "202 - New Hope" 803 168 622 13 0
"Augusta County" "203 - Weyers Cave" 1170 323 832 15 0
"Augusta County" "301 - Fort Defiance" 1845 521 1297 27 0
"Augusta County" "302 - North River" 509 112 392 5 0
"Augusta County" "303 - Mount Solon" 648 108 534 6 0
"Augusta County" "304 - Churchville Fire Station" 601 142 452 6 1
"Augusta County" "401 - Buffalo Gap" 673 143 521 9 0
"Augusta County" "402 - Churchville Elementary" 728 142 569 15 2
"Augusta County" "403 - Craigsville" 416 72 338 6 0
"Augusta County" "404 - Deerfield" 240 40 195 5 0
"Augusta County" "405 - Cedar Green" 926 281 632 12 1
"Augusta County" "501 - Greenville" 1083 213 856 13 1
"Augusta County" "502 - Middlebrook" 556 141 406 8 1
"Augusta County" "503 - Spottswood" 574 114 456 4 0
"Augusta County" "504 - White Hill" 1154 244 895 15 0
"Augusta County" "601 - Sherando" 727 181 536 9 1
"Augusta County" "602 - Ridgeview" 1628 379 1230 16 3
"Augusta County" "603 - Lyndhurst" 1201 345 835 18 3
"Augusta County" "801 - Dooms" 855 202 647 6 0
"Augusta County" "802 - Fishersville" 1611 507 1069 35 0
"Augusta County" "803 - Wilson" 1157 417 725 14 1
"Augusta County" "Ab - Central Absentee Precinct" 941 300 628 12 1
"Augusta County" Provisional 11 3 8 0 0
"Bath County" "101 - Warm Springs" 253 97 154 2 0
"Bath County" "102 - Mountain Grove" 58 12 46 0 0
"Bath County" "201 - Hot Springs" 220 78 140 2 0
"Bath County" "301 - Fairview" 225 40 181 4 0
"Bath County" "302 - Burnsville" 51 11 37 3 0
"Bath County" "401 - Millboro" 297 82 211 2 2
"Bath County" "501 - Healing Springs" 303 96 204 3 0
"Bath County" "Ab - Central Absentee Precinct" 75 34 40 0 1
"Bath County" Provisional 0 0 0 0 0
"Bedford County" "101 - Goodview Elem School" 1055 211 833 11 0
"Bedford County" "102 - Hardy Vol Fire Co" 512 142 368 2 0
"Bedford County" "103 - Chamblissburg Baptist Church" 788 204 580 4 0
"Bedford County" "104 - Stewartsville Rescue Squad" 708 155 546 6 1
"Bedford County" "201 - Bedford Christian Church" 409 98 309 2 0
"Bedford County" "202 - Staunton River High School" 566 126 435 4 1
"Bedford County" "203 - Moneta Elem School" 1208 340 859 9 0
"Bedford County" "204 - Quaker Baptist Church" 392 93 293 6 0
"Bedford County" "205 - Saunders Vol Fire Co" 964 267 692 5 0
"Bedford County" "301 - New London Academy" 1938 375 1547 16 0
"Bedford County" "302 - Bedford Regional Water Auth" 805 183 615 7 0
"Bedford County" "303 - Bethesda United Methodist Church" 510 129 379 2 0
"Bedford County" "304 - Forest Youth Athletic Assoc" 542 137 404 0 1
"Bedford County" "305 - Huddleston Elem School" 428 75 351 2 0
"Bedford County" "401 - Forest Elementary School" 1364 352 1003 9 0
"Bedford County" "402 - Thomas Jefferson Elem School" 741 191 543 6 1
"Bedford County" "403 - Knights Of Columbus Bldg" 1611 435 1163 13 0
"Bedford County" "404 - St. Paul Baptist Church" 1185 246 929 10 0
"Bedford County" "502 - Big Island Elem School" 316 83 227 6 0
"Bedford County" "503 - Sedalia Center" 414 98 305 11 0
"Bedford County" "504 - Suck Springs Baptist Church" 629 131 489 8 1
"Bedford County" "505 - Boonsboro Elementary School" 1282 381 888 12 1
"Bedford County" "506 - Boonsboro Ruritan Club" 1668 387 1265 16 0
"Bedford County" "601 - Montvale Elem School" 786 185 587 14 0
"Bedford County" "602 - Shady Grove Fire Department" 763 180 577 6 0
"Bedford County" "603 - Thaxton Baptist Church #1" 198 48 150 0 0
"Bedford County" "604 - Bedford Welcome Center" 1109 339 755 15 0
"Bedford County" "701 - Goode Vol Rescue Squad" 1224 221 998 5 0
"Bedford County" "702 - Liberty High School" 674 187 482 5 0
"Bedford County" "703 - Thaxton Baptist Church #2" 498 98 396 4 0
