COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DemReg RepReg
Belmont "COLERAIN TWP 1" 291 290 1
Belmont "COLERAIN TWP 3" 852 851 1
Belmont "COLERAIN TWP 4" 547 546 1
Belmont "COLERAIN TWP 5" 532 531 1
Belmont "COLERAIN TWP 6" 488 487 1
Belmont "FLUSHING VILLAGE" 574 573 1
Belmont "HOLLOWAY VILLAGE" 192 191 1
Belmont "FLUSHING TWP 1" 396 395 1
Belmont "BELMONT VILLAGE" 316 315 1
Belmont "BETHESDA VILLAGE" 816 815 1
Belmont "GOSHEN TWP" 1024 1023 1
Belmont "KIRKWOOD TWP" 251 250 1
Belmont "SHADYSIDE VILLAGE 1" 862 861 1
Belmont "SHADYSIDE VILLAGE 2" 1011 1010 1
Belmont "SHADYSIDE VILLAGE 3" 767 766 1
Belmont "MEAD TWP 1" 997 996 1
Belmont "MEAD TWP 2" 531 530 1
Belmont "BRIDGEPORT VILLAGE 1" 689 688 1
Belmont "BRIDGEPORT VILLAGE 2" 511 510 1
Belmont "BROOKSIDE VILLAGE" 446 445 1
Belmont "PEASE TWP 1" 963 962 1
Belmont "PEASE TWP 2" 873 872 1
Belmont "PEASE TWP 3" 315 314 1
Belmont "YORKVILLE VILLAGE" 284 283 1
Belmont "PEASE TWP 4" 597 596 1
Belmont "PULTNEY TWP 1" 262 261 1
Belmont "PULTNEY TWP 2" 1199 1198 1
Belmont "PULTNEY TWP 3" 826 825 1
Belmont "PULTNEY TWP 4" 834 833 1
Belmont "RICHLAND TWP 1" 710 709 1
Belmont "RICHLAND TWP 2" 802 801 1
Belmont "RICHLAND TWP 3" 684 683 1
Belmont "RICHLAND TWP 4" 824 823 1
Belmont "RICHLAND TWP 5" 789 788 1
Belmont "RICHLAND TWP 6" 1000 999 1
Belmont "RICHLAND TWP 7" 544 543 1
Belmont "SMITH TWP" 996 995 1
Belmont "SOMERSET TWP 1" 506 505 1
Belmont "SOMERSET TWP 2" 239 238 1
Belmont "MORRISTOWN VILLAGE" 185 184 1
Belmont "UNION TWP 1" 407 406 1
Belmont "UNION TWP 2" 1130 1129 1
Belmont "BARNESVILLE VILLAGE 1" 1209 1208 1
Belmont "BARNESVILLE VILLAGE 2" 761 760 1
Belmont "WARREN TWP" 1261 1260 1
Belmont "WASHINGTON TWP" 349 348 1
Belmont "WAYNE TWP" 481 480 1
Belmont "WHEELING TWP 1" 596 595 1
Belmont "WHEELING TWP 2" 630 629 1
Belmont "POWHATAN POINT VILLAGE" 983 982 1
Belmont "YORK TWP" 642 641 1
Belmont "FLUSHING TWP 2" 98 97 1
Belmont "PEASE TWP 5" 203 202 1
Belmont "BARNESVILLE VILLAGE 3" 654 653 1
Brown "BYRD TWP" 463 462 1
Brown "FRANKLIN TWP" 1134 1133 1
Brown "GREEN TWP NORTH" 461 460 1
Brown "GREEN TWP SOUTH" 658 657 1
Brown "MT ORAB SOUTH" 1543 1542 1
Brown "ABERDEEN VILLAGE" 1079 1078 1
Brown "HUNTINGTON TWP" 639 638 1
Brown "PERRY / LAKE LORELEI" 832 831 1
Brown "PERRY TWP SOUTH" 718 717 1
Brown "PERRY TWP WEST" 854 853 1
Brown "GEORGETOWN SW" 689 688 1
Brown "SARDINIA VILLAGE" 717 716 1
Brown "CLARK HAMERSVILLE" 902 901 1
Brown "CLARK TWP WEST" 916 915 1
Brown "EAGLE TWP" 851 850 1
Brown "MT ORAB NORTH" 1155 1154 1
Brown "JACKSON TWP" 1226 1225 1
Brown "JEFFERSON RUSS" 905 904 1
Brown "LEWIS TWP NORTH" 1167 1166 1
Brown LEWIS/HIGGINSPORT 471 470 1
Brown "PERRY TWP-VILLAGES" 798 797 1
Brown "PIKE TWP EAST" 863 862 1
Brown "PIKE TWP WEST" 898 897 1
Brown "GEORGETOWN EAST" 1160 1159 1
Brown "GEORGETOWN NORTH" 1004 1003 1
Brown "PLEASANT TWP" 900 899 1
Brown "SCOTT TWP" 893 892 1
Brown "STERLING TWP NORTH" 1268 1267 1
Brown "STERLING TWP SOUTH" 1080 1079 1
Brown "RIPLEY VILLAGE" 1150 1149 1
Brown "UNION TWP" 816 815 1
Brown "WASHINGTON TWP" 859 858 1
Butler FAIR2WD1 1143 1142 1
Butler FAIR11WD3 781 780 1
Butler FAIR4WD1 835 834 1
Butler FAIR5WD1 664 663 1
Butler FAIR6WD1 1119 1118 1
Butler FAIR7WD1 729 728 1
Butler FAIR8WD1 692 691 1
Butler FAIR9WD1 550 549 1
Butler FAIR3WD1 962 961 1
Butler FAIR1WD2 815 814 1
Butler FAIR2WD2 722 721 1
Butler FAIR3WD2 862 861 1
Butler FAIR4WD2 804 803 1
Butler FAIR5WD2 754 753 1
Butler FAIR6WD2 790 789 1
Butler FAIR7WD2 957 956 1
Butler FAIR8WD2 433 432 1
Butler FAIR1WD3 663 662 1
Butler FAIR2WD3 899 898 1
Butler FAIR3WD3 654 653 1
Butler FAIR4WD3 635 634 1
Butler FAIR5WD3 837 836 1
Butler FAIR6WD3 729 728 1
Butler FAIR7WD3 790 789 1
Butler FAIR8WD3 669 668 1
Butler FAIR10WD3 709 708 1
Butler FAIR10WD4 749 748 1
Butler FAIR2WD4 1113 1112 1
Butler FAIR3WD4 850 849 1
Butler FAIR4WD4 1071 1070 1
Butler FAIR5WD4 779 778 1
Butler FAIR6WD4 872 871 1
Butler FAIR7WD4 770 769 1
Butler FAIR8WD4 774 773 1
Butler FAIR9WD4 720 719 1
Butler HAM1WD1 800 799 1
Butler HAM2WD1 987 986 1
Butler HAM3WD1 803 802 1
Butler HAM4WD1 920 919 1
Butler HAM5WD1 927 926 1
Butler HAM6WD1 723 722 1
Butler HAM7WD1 1436 1435 1
Butler HAM8WD1 935 934 1
Butler HAM9WD1 899 898 1
Butler HAM10WD1 835 834 1
Butler HAM11WD1 866 865 1
Butler HAM12WD1 830 829 1
Butler HAM13WD1 657 656 1
Butler HAM14WD1 621 620 1
Butler HAM15WD1 1031 1030 1
Butler HAM16WD1 251 250 1
Butler HAM17WD1 994 993 1
Butler HAM18WD1 1429 1428 1
Butler HAM19WD1 826 825 1
Butler HAM20WD1 918 917 1
Butler HAM21WD1 994 993 1
Butler HAM22WD1 912 911 1
Butler HAM23WD1 497 496 1
Butler HAM1WD2 785 784 1
Butler HAM2WD2 782 781 1
Butler HAM1WD3 1669 1668 1
Butler HAM2WD3 744 743 1
Butler HAM1WD4 1389 1388 1
Butler HAM2WD4 1289 1288 1
Butler HAM1WD5 1045 1044 1
Butler HAM2WD5 908 907 1
Butler HAM3WD5 1346 1345 1
Butler HAM1WD6 834 833 1
Butler HAM2WD6 929 928 1
Butler HAM3WD6 733 732 1
Butler HAM4WD6 942 941 1
Butler HAM5WD6 782 781 1
Butler HAM6WD6 347 346 1
Butler HAM7WD6 735 734 1
Butler MIDD1WD1 838 837 1
Butler MIDD2WD1 837 836 1
Butler MIDD3WD1 648 647 1
Butler MIDD4WD1 726 725 1
Butler MIDD5WD1 1141 1140 1
Butler MIDD6WD1 743 742 1
Butler MIDD7WD1 1147 1146 1
Butler MIDD8WD1 599 598 1
Butler MIDD9WD1 871 870 1
Butler MIDD2WD2 755 754 1
Butler MIDD3WD2 676 675 1
Butler MIDD4WD2 714 713 1
Butler MIDD5WD2 795 794 1
Butler MIDD6WD2 793 792 1
Butler MIDD7WD2 525 524 1
Butler MIDD8WD2 763 762 1
Butler MIDD1WD3 649 648 1
Butler MIDD2WD3 735 734 1
Butler MIDD3WD3 643 642 1
Butler MIDD4WD3 590 589 1
Butler MIDD5WD3 766 765 1
Butler MIDD6WD3 917 916 1
Butler MIDD7WD3 879 878 1
Butler MIDD8WD3 887 886 1
Butler MIDD9WD3 602 601 1
Butler MIDD10WD3 756 755 1
Butler MIDD11WD3 848 847 1
Butler MIDD1WD4 1028 1027 1
Butler MIDD2WD4 915 914 1
Butler MIDD3WD4 826 825 1
Butler MIDD4WD4 566 565 1
Butler MIDD5WD4 785 784 1
Butler MIDD6WD4 1271 1270 1
Butler MIDD7WD4 1051 1050 1
Butler MIDD8WD4 873 872 1
Butler "OXFORD 1" 925 924 1
Butler "OXFORD 2" 744 743 1
Butler "OXFORD 3" 989 988 1
Butler "OXFORD 4" 953 952 1
Butler "OXFORD 5" 627 626 1
