COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Clinton Trump Johnson Stein Writein
Bexar 0291038 0 900 425 45 16 5
Bexar 0291039 0 795 202 19 7 10
Bexar 0291040 0 990 192 25 15 6
Bexar 0291041 0 735 153 12 6 9
Bexar 0291042 0 433 123 6 5 0
Bexar 0291043 0 470 224 13 7 5
Bexar 0291044 0 857 212 10 11 4
Bexar 0291045 0 1126 306 38 25 11
Bexar 0291046 0 739 170 20 7 4
Bexar 0291047 0 621 180 15 8 4
Bexar 0291048 0 788 217 28 13 9
Bexar 0291049 0 846 270 23 11 7
Bexar 0291050 0 445 192 11 4 3
Bexar 0291051 0 642 295 19 14 7
Bexar 0291052 0 637 264 32 10 6
Bexar 0291053 0 80 36 2 2 0
Bexar 0291054 0 786 234 30 15 9
Bexar 0291055 0 712 397 57 24 16
Bexar 0291056 0 731 365 34 7 13
Bexar 0291057 0 466 462 34 8 4
Bexar 0291058 0 601 541 23 16 12
Bexar 0291059 0 66 51 2 2 1
Bexar 0291060 0 994 226 30 10 10
Bexar 0291061 0 818 198 22 17 6
Bexar 0291062 0 32 40 1 0 1
Bexar 0291063 0 448 429 26 3 8
Bexar 0291064a 0 320 250 14 8 4
Bexar 0291064b 0 0 0 0 0 0
Bexar 0291065 0 575 467 25 9 10
Bexar 0291066 0 231 111 11 1 1
Bexar 0291067 0 607 763 27 13 12
Bexar 0291068 0 101 80 6 1 1
Bexar 0291069 0 174 136 14 2 1
Bexar 0291070 0 321 148 19 2 3
Bexar 0291071 0 575 342 35 4 11
Bexar 0291072 0 682 288 37 26 18
Bexar 0291073a 0 757 696 80 18 32
Bexar 0291073b 0 99 89 11 3 4
Bexar 0291074 0 8 1 0 0 0
Bexar 0291075 0 628 202 23 6 12
Bexar 0291076 0 914 502 51 10 17
Bexar 0291077 0 662 139 15 7 5
Bexar 0291078 0 183 33 1 6 2
Bexar 0291079 0 782 439 62 19 22
Bexar 0291080a 0 1206 473 64 29 31
Bexar 0291080b 0 12 5 1 0 0
Bexar 0291081 0 257 556 26 3 10
Bexar 0291082 0 1321 688 73 34 21
Bexar 0291083 0 972 614 64 7 28
Bexar 0291084 0 615 274 24 10 12
Bexar 0291085 0 517 210 15 12 6
Bexar 0291086 0 855 380 20 15 4
Bexar 0291087 0 492 192 12 3 1
Bexar 0291088 0 320 75 4 2 3
Bexar 0291089 0 356 271 30 5 8
Bexar 0291090 0 1 1 0 0 0
Bexar 0291091 0 764 288 27 10 11
Bexar 0291092 0 267 68 11 2 0
Bexar 0291093 0 193 184 19 6 8
Bexar 0291094 0 489 223 27 9 11
Bexar 0291095 0 52 54 13 4 4
Bexar 0291096 0 13 3 0 0 1
Bexar 0291097 0 254 92 3 4 2
Bexar 0291098 0 325 43 9 4 6
Bexar 0291099 0 843 460 44 15 15
Bexar 0291100 0 857 491 71 21 11
Bexar 0291101 0 1 3 0 0 0
Bexar 0291102 0 212 266 17 4 4
Bexar 0291103 0 217 227 17 5 7
Bexar 0291104 0 1029 637 57 19 26
Bexar 0291105 0 159 87 6 2 4
Bexar 0291106 0 0 0 0 0 0
Bexar 0291107 0 692 521 34 9 8
Bexar 0291108a 0 1176 1061 87 19 36
Bexar 0291108b 0 8 7 1 0 0
Bexar 0291108c 0 23 21 2 0 1
Bexar 0291109 0 0 1 0 0 0
Bexar 0291110a 0 362 229 34 8 12
Bexar 0291110b 0 12 7 1 0 0
Bexar 0291111 0 1622 940 111 27 40
Bexar 0291112 0 1269 538 80 22 19
Bexar 0291113 0 901 551 67 15 23
Bexar 0291114 0 0 0 0 0 0
Bexar 0291115 0 59 57 2 3 1
Bexar 0291116 0 336 352 26 7 12
Bexar 0291117 0 113 50 3 0 0
Bexar 0291118 0 371 352 39 12 12
Bexar 0291119 0 40 14 1 2 0
Bexar 0291120 0 43 4 0 1 0
Bexar 0291121 0 824 738 69 12 35
Bexar 0291122a 0 905 1076 61 12 27
Bexar 0291122b 0 9 10 0 0 0
Bexar 0291122c 0 16 19 1 0 0
Bexar 0291123 0 134 122 6 3 0
Bexar 0291124 0 201 112 14 1 1
Bexar 0291125a 0 252 268 20 6 8
Bexar 0291125b 0 0 0 0 0 0
Bexar 0291125c 0 5 5 0 0 0
Bexar 0291126 0 0 0 0 0 0
Bexar 0291127 0 211 51 4 1 0
Bexar 0291128 0 451 359 34 9 8
Bexar 0291129 0 436 401 44 10 17
Bexar 0291130 0 0 0 0 0 0
Bexar 0291131 0 0 0 0 0 0
Bexar 0291132 0 2 0 0 0 0
