COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
Madera 1315 7 4 3 0 0 0 0
Madera 1316 81 51 28 0 0 0 2
Madera 1317 44 28 15 0 0 0 0
Madera 1318 115 76 34 2 0 0 1
Madera 1319 0 0 0 0 0 0 0
Madera 1320 0 0 0 0 0 0 0
Madera 1502 228 25 197 3 1 0 0
Madera 1505 14 1 13 0 0 0 0
Madera 1509 425 83 331 6 1 2 1
Madera 1515 121 26 91 2 0 2 0
Madera 2001 48 16 32 0 0 0 0
Madera 2003 67 23 41 0 0 1 0
Madera 2007 0 0 0 0 0 0 0
Madera 2012 374 139 226 0 3 1 1
Madera 2104 87 19 67 1 0 0 0
Madera 2105 93 34 59 0 0 0 0
Madera 2106 249 75 168 3 0 0 0
Madera 2108 124 35 82 3 0 1 1
Madera 2109 167 25 140 0 0 0 1
Madera 2305 0 0 0 0 0 0 0
Madera 2306 40 14 24 1 0 0 0
Madera 2309 47 6 39 1 0 0 0
Madera 2324 0 0 0 0 0 0 0
Madera 2327 0 0 0 0 0 0 0
Madera 3200 128 66 55 3 1 1 0
Madera 3202 70 34 34 0 1 1 0
Madera 3203 45 22 20 0 0 0 0
Madera 3207 68 28 38 0 0 2 0
Madera 3208 78 26 51 0 0 0 0
Madera 3210 160 68 89 0 0 0 1
Madera 3211 97 40 54 1 0 0 1
Madera 3212 100 26 73 0 0 0 1
Madera 3213 109 54 53 0 1 1 0
Madera 3214 117 46 68 0 0 0 0
Madera 3215 96 42 52 0 0 0 0
Madera 3216 4 1 3 0 0 0 0
Madera 3217 1 1 0 0 0 0 0
Madera 3218 23 11 8 3 1 0 0
Madera 3219 0 0 0 0 0 0 0
Madera 3223 0 0 0 0 0 0 0
Madera 4200 85 48 35 0 0 0 1
Madera 4201 54 27 25 1 0 0 0
Madera 4202 200 117 73 1 0 2 1
Madera 4203 108 73 26 1 3 2 1
Madera 4204 36 16 18 1 0 1 0
Madera 4205 164 93 67 0 0 0 2
Madera 4207 64 37 24 0 2 0 0
Madera 4208 36 23 12 0 0 1 0
Madera 4310 82 47 35 0 0 0 0
Madera 4311 4 1 3 0 0 0 0
Madera 4312 3 2 1 0 0 0 0
Madera 5400 210 39 170 1 0 0 0
Madera 5403 46 8 38 0 0 0 0
Madera 5404 136 19 116 0 0 0 0
Madera 5409 607 133 463 3 2 0 1
Madera 5418 482 87 391 1 0 0 1
Madera 5424 7 1 6 0 0 0 0
Madera 5425 238 33 195 5 0 1 2
Madera 5429 70 4 64 1 0 0 1
Madera 5430 52 5 43 2 0 0 0
Madera 5431 0 0 0 0 0 0 0
Madera 5432 1 1 0 0 0 0 0
Madera SOV_CD04 0 0 0 0 0 0 0
Madera SOV_CD16 0 0 0 0 0 0 0
Madera SOV_SD08 0 0 0 0 0 0 0
Madera SOV_SD12 0 0 0 0 0 0 0
Madera SOV_AD05 0 0 0 0 0 0 0
Madera SOV_BE01 0 0 0 0 0 0 0
Madera SOV_AD00 0 0 0 0 0 0 0
Madera SOV_CD00 0 0 0 0 0 0 0
Madera SOV_SD00 0 0 0 0 0 0 0
Madera SOV_BE00 0 0 0 0 0 0 0
Napa 111131 14 9 5 0 0 0 0
Napa 111131A 336 240 85 6 2 0 0
Napa 111132 0 0 0 0 0 0 0
Napa 111132A 4 3 1 0 0 0 0
Napa 111151 0 0 0 0 0 0 0
Napa 111151A 41 33 7 1 0 0 0
Napa 111152 5 4 1 0 0 0 0
Napa 111152A 320 186 116 6 1 2 0
Napa 111153 0 0 0 0 0 0 0
Napa 111153A 3 3 0 0 0 0 0
Napa 111154 2 1 1 0 0 0 0
Napa 111154A 32 22 9 1 0 0 0
Napa 111155 1 0 1 0 0 0 0
Napa 111155A 22 16 6 0 0 0 0
Napa 111431 1 0 1 0 0 0 0
Napa 111431A 10 6 4 0 0 0 0
Napa 111751 1 1 0 0 0 0 0
Napa 111751A 95 64 25 2 0 1 0
Napa 111752 2 1 1 0 0 0 0
Napa 111752A 18 14 4 0 0 0 0
Napa 111753 2 1 1 0 0 0 0
Napa 111753A 217 119 93 3 0 0 0
Napa 121131 6 2 4 0 0 0 0
Napa 121131A 153 119 29 3 1 0 0
Napa 121132 10 5 3 1 0 0 1
Napa 121132A 282 198 76 2 1 1 0
Napa 121133 17 8 8 0 0 1 0
Napa 121133A 510 396 100 2 1 2 1
Napa 121134 13 5 8 0 0 0 0
Napa 121134A 223 167 49 3 0 0 0
Napa 121135 13 11 2 0 0 0 0
Napa 121135A 577 423 139 7 1 1 2
Napa 121136 28 7 20 0 0 0 0
Napa 121136A 725 519 175 9 4 6 1
Napa 121137 6 1 3 2 0 0 0
Napa 121137A 172 114 49 3 2 1 0
Napa 121151 13 9 4 0 0 0 0
Napa 121151A 244 176 60 1 1 1 1
Napa 121152 24 11 13 0 0 0 0
Napa 121152A 812 521 252 20 5 1 1
Napa 121153 6 4 2 0 0 0 0
Napa 121153A 185 132 42 3 4 1 0
Napa 121154 2 2 0 0 0 0 0
Napa 121154A 78 59 19 0 0 0 0
Napa 121155 8 4 4 0 0 0 0
Napa 121155A 233 160 60 4 1 3 0
Napa 121156 22 13 6 2 0 0 1
Napa 121156A 395 285 98 7 1 1 0
Napa 121157 15 7 7 0 0 0 0
Napa 121157A 389 284 83 9 3 3 2
Napa 121158 11 7 4 0 0 0 0
Napa 121158A 507 359 141 1 0 0 0
Napa 121159 2 2 0 0 0 0 0
Napa 121159A 63 44 16 0 1 0 0
Napa 121161 11 5 6 0 0 0 0
Napa 121161A 350 187 145 4 5 1 1
Napa 121162 10 4 6 0 0 0 0
Napa 121162A 587 364 202 6 4 0 0
Napa 121221 6 3 3 0 0 0 0
Napa 121221A 166 124 37 1 2 1 0
Napa 121222 3 3 0 0 0 0 0
Napa 121222A 75 61 12 0 0 0 0
Napa 121223 7 3 4 0 0 0 0
Napa 121223A 114 87 25 0 0 1 0
Napa 121224 9 4 5 0 0 0 0
Napa 121224A 75 59 14 2 0 0 0
Napa 121231 3 3 0 0 0 0 0
Napa 121231A 32 20 11 0 1 0 0
Napa 121232 7 4 2 0 1 0 0
Napa 121232A 249 208 30 6 0 1 0
Napa 121233 27 19 5 1 2 0 0
Napa 121233A 562 450 90 6 6 3 1
Napa 121234 11 9 1 1 0 0 0
Napa 121234A 444 358 74 4 0 1 2
Napa 121235 12 3 9 0 0 0 0
Napa 121235A 377 301 63 4 2 0 1
Napa 121236 9 8 1 0 0 0 0
Napa 121236A 380 273 92 7 2 1 1
Napa 121237 21 10 11 0 0 0 0
Napa 121237A 218 159 48 2 1 2 1
Napa 121238 12 4 8 0 0 0 0
Napa 121238A 507 359 119 9 4 0 3
Napa 121239 16 7 8 1 0 0 0
Napa 121239A 522 399 110 5 1 2 2
Napa 121431 9 4 5 0 0 0 0
Napa 121431A 377 254 105 4 2 1 1
Napa 121432 3 1 2 0 0 0 0
Napa 121432A 310 229 71 6 0 1 0
Napa 121551 6 1 4 0 0 0 0
Napa 121551A 133 109 19 1 2 0 0
Napa 121552 13 5 8 0 0 0 0
Napa 121552A 202 160 37 2 0 3 0
Napa 121751 0 0 0 0 0 0 0
Napa 121751A 8 3 4 1 0 0 0
Napa 121752 7 2 5 0 0 0 0
Napa 121752A 612 383 196 11 1 3 1
Napa 121753 6 4 2 0 0 0 0
Napa 121753A 322 217 94 3 0 1 0
Napa 211161 1 1 0 0 0 0 0
Napa 211161A 64 45 16 3 0 0 0
Napa 211162 0 0 0 0 0 0 0
Napa 211162A 18 7 11 0 0 0 0
Napa 211561 16 8 8 0 0 0 0
Napa 211561A 440 330 94 4 3 5 0
Napa 211562 12 4 7 0 1 0 0
Napa 211562A 445 287 137 3 6 1 3
Napa 211563 0 0 0 0 0 0 0
Napa 211563A 34 23 8 0 0 0 0
Napa 211751 0 0 0 0 0 0 0
Napa 211751A 78 55 20 1 0 0 0
Napa 211761 6 3 3 0 0 0 0
Napa 211761A 279 200 77 0 0 0 0
Napa 211762 2 0 2 0 0 0 0
Napa 211762A 20 13 7 0 0 0 0
Napa 211771 0 0 0 0 0 0 0
Napa 211771A 1 1 0 0 0 0 0
Napa 221161 4 0 4 0 0 0 0
Napa 221161A 294 197 88 3 0 1 1
Napa 221162 9 5 4 0 0 0 0
Napa 221162A 435 295 125 5 1 2 0
Napa 221163 2 2 0 0 0 0 0
Napa 221163A 370 228 125 3 1 1 1
Napa 221231 6 3 3 0 0 0 0
Napa 221231A 311 247 49 3 3 1 1
Napa 221232 6 4 2 0 0 0 0
Napa 221232A 353 272 69 4 3 1 0
Napa 221233 1 1 0 0 0 0 0
Napa 221233A 45 33 8 0 0 1 1
Napa 221551 19 12 7 0 0 0 0
Napa 221551A 519 417 78 8 1 2 3
Napa 221552 7 4 3 0 0 0 0
Napa 221552A 337 260 67 5 1 0 1
Napa 221553 9 6 3 0 0 0 0
Napa 221553A 249 201 42 4 1 0 0
Napa 221561 7 4 3 0 0 0 0
Napa 221561A 150 106 39 1 1 0 0
Napa 221562 15 5 9 0 0 0 0
Napa 221562A 521 346 161 6 1 1 2
Napa 221563 15 4 11 0 0 0 0
Napa 221563A 612 418 176 5 2 4 2
Napa 221564 22 13 8 1 0 0 0
Napa 221564A 623 417 186 5 3 1 3
Napa 221565 11 1 10 0 0 0 0
Napa 221565A 579 348 206 11 1 3 2
Napa 221566 24 18 4 2 0 0 0
Napa 221566A 433 293 126 6 3 1 1
Napa 221571 35 9 24 2 0 0 0
Napa 221571A 1002 679 276 22 2 1 2
Napa 221572 18 10 8 0 0 0 0
Napa 221572A 759 469 248 11 6 2 2
Napa 221573 9 3 6 0 0 0 0
Napa 221573A 526 349 155 4 4 1 0
Napa 221574 28 12 13 2 0 0 0
Napa 221574A 801 555 219 2 7 4 0
Napa 221575 33 7 24 1 1 0 0
Napa 221575A 1062 695 328 9 1 7 2
Napa 221671 5 2 3 0 0 0 0
Napa 221671A 314 217 93 1 1 0 1
Napa 221672 17 10 7 0 0 0 0
Napa 221672A 725 449 251 8 1 2 0
Napa 221673 3 1 2 0 0 0 0
Napa 221673A 423 264 149 4 0 1 1
Napa 221674 24 6 18 0 0 0 0
Napa 221674A 663 407 233 12 0 2 0
Napa 221675 20 2 16 1 0 1 0
Napa 221675A 813 526 255 7 4 4 0
Napa 221676 15 10 4 1 0 0 0
Napa 221676A 335 216 108 6 1 1 1
Napa 221677 7 3 4 0 0 0 0
Napa 221677A 291 213 68 4 0 2 2
Napa 221762 18 5 13 0 0 0 0
Napa 221762A 589 399 174 6 1 3 0
Napa 311411 0 0 0 0 0 0 0
Napa 311411A 24 15 8 1 0 0 0
Napa 311471 1 0 1 0 0 0 0
Napa 311471A 59 29 29 1 0 0 0
Napa 311571 0 0 0 0 0 0 0
Napa 311571A 62 33 24 1 2 0 0
Napa 311572 1 0 1 0 0 0 0
Napa 311572A 18 5 12 0 0 0 0
Napa 311611 6 3 3 0 0 0 0
Napa 311611A 501 277 202 11 1 1 2
Napa 311612 2 0 2 0 0 0 0
Napa 311612A 35 21 12 0 1 0 1
Napa 311671 12 6 6 0 0 0 0
Napa 311671A 255 144 97 3 1 1 0
Napa 311672 0 0 0 0 0 0 0
Napa 311672A 76 38 26 5 3 1 0
Napa 311712 0 0 0 0 0 0 0
Napa 311712A 21 21 0 0 0 0 0
Napa 312401 0 0 0 0 0 0 0
Napa 312401A 5 2 3 0 0 0 0
Napa 312601 4 3 1 0 0 0 0
Napa 312601A 127 73 51 0 0 0 1
Napa 312602 10 3 6 0 1 0 0
Napa 312602A 299 213 82 2 0 0 0
Napa 312706 7 6 1 0 0 0 0
Napa 312706A 240 168 66 4 0 0 1
Napa 312701 4 2 2 0 0 0 0
Napa 312701A 44 22 20 1 0 1 0
Napa 312702 1 1 0 0 0 0 0
Napa 312702A 53 27 26 0 0 0 0
Napa 312703 0 0 0 0 0 0 0
Napa 312703A 6 2 3 0 0 0 1
Napa 312704 5 2 2 1 0 0 0
Napa 312704A 139 84 48 2 2 0 0
Napa 312705 14 7 7 0 0 0 0
Napa 312705A 321 215 94 8 1 0 0
Napa 312707 13 11 1 0 0 0 0
Napa 312707A 203 135 57 1 1 2 0
Napa 312708 22 12 8 1 0 0 1
Napa 312708A 361 234 109 6 0 1 0
Napa 312709 10 4 5 1 0 0 0
Napa 312709A 315 193 103 4 0 3 0
Napa 313701 13 4 9 0 0 0 0
Napa 313701A 439 315 101 6 1 2 3
Napa 313702 8 3 4 0 0 0 0
Napa 313702A 234 146 82 1 0 0 0
Napa 314701 124 55 61 2 0 1 0
Napa 314701A 1397 863 443 38 15 8 5
Napa 315701 8 1 7 0 0 0 0
Napa 315701A 165 92 64 3 0 1 2
Napa 315702 10 2 7 0 0 0 0
Napa 315702A 170 74 86 5 0 1 1
Napa 321671 16 2 14 0 0 0 0
Napa 321671A 481 314 154 3 2 0 1
Napa 321672 11 7 4 0 0 0 0
Napa 321672A 420 272 137 5 2 0 0
Napa 332601 47 26 19 1 0 0 0
Napa 332601A 694 509 158 7 6 2 2
Napa 332602 17 10 7 0 0 0 0
Napa 332602A 478 360 101 5 0 0 1
Napa 332603 19 7 10 0 0 2 0
Napa 332603A 660 488 142 8 2 3 1
Napa 332604 33 20 12 0 0 0 0
Napa 332604A 595 461 113 9 1 4 0
Napa 332605 32 15 15 2 0 0 0
Napa 332605A 398 300 84 6 1 0 0
Napa 332606 4 2 2 0 0 0 0
Napa 332606A 281 211 66 0 0 2 0
Napa 343701 63 38 23 1 0 0 1
Napa 343701A 783 600 145 21 5 1 0
Napa 343702 18 7 11 0 0 0 0
Napa 343702A 361 277 77 3 0 0 0
Napa 343703 8 2 5 0 0 0 0
Napa 343703A 393 324 59 2 1 0 1
Napa 343704 17 8 8 0 0 0 1
Napa 343704A 325 261 49 0 3 2 3
Napa 343705 11 6 5 0 0 0 0
Napa 343705A 351 254 82 0 4 2 0
Napa 351611 7 4 3 0 0 0 0
Napa 351611A 408 252 150 1 1 1 0
Napa 351612 20 11 9 0 0 0 0
Napa 351612A 474 334 118 7 0 0 1
Napa 351613 32 16 14 1 1 0 0
Napa 351613A 563 419 128 6 0 2 0
Napa 351614 7 3 4 0 0 0 0
Napa 351614A 233 159 70 1 2 0 0
Napa 411221 1 0 1 0 0 0 0
Napa 411221A 101 65 35 1 0 0 0
Napa 411411 3 0 3 0 0 0 0
Napa 411411A 191 108 75 3 0 1 0
Napa 411412 7 2 5 0 0 0 0
Napa 411412A 271 117 141 4 4 1 0
Napa 411413 8 5 3 0 0 0 0
Napa 411413A 332 216 107 3 0 2 0
Napa 411414 7 1 6 0 0 0 0
Napa 411414A 136 79 46 2 1 1 0
Napa 411415 6 2 3 0 0 0 1
Napa 411415A 535 321 196 5 0 0 2
Napa 411416 9 4 5 0 0 0 0
Napa 411416A 617 356 228 12 1 2 1
Napa 411417 0 0 0 0 0 0 0
Napa 411417A 37 21 14 2 0 0 0
Napa 411418 9 1 8 0 0 0 0
Napa 411418A 190 73 108 4 2 0 0
Napa 411419 22 7 15 0 0 0 0
Napa 411419A 725 422 279 4 3 1 0
Napa 411711 14 6 8 0 0 0 0
Napa 411711A 303 144 144 4 3 0 1
Napa 411712 8 6 2 0 0 0 0
Napa 411712A 310 180 115 6 3 1 0
Napa 411713 0 0 0 0 0 0 0
Napa 411713A 126 84 40 2 0 0 0
Napa 416801 3 0 3 0 0 0 0
Napa 416801A 172 72 94 2 0 0 0
Napa 421221 18 11 7 0 0 0 0
Napa 421221A 364 261 86 5 0 5 1
Napa 421222 26 9 17 0 0 0 0
Napa 421222A 398 292 93 6 2 0 0
Napa 421223 3 2 1 0 0 0 0
Napa 421223A 84 58 21 2 0 1 0
Napa 421224 16 9 5 2 0 0 0
Napa 421224A 478 363 97 5 1 2 4
Napa 421225 14 8 6 0 0 0 0
Napa 421225A 464 349 99 7 2 1 1
Napa 421226 20 10 10 0 0 0 0
Napa 421226A 362 277 71 2 1 0 2
Napa 421227 4 1 3 0 0 0 0
Napa 421227A 82 42 37 0 1 0 0
Napa 421228 0 0 0 0 0 0 0
Napa 421228A 146 88 49 4 0 0 0
Napa 421229 4 0 4 0 0 0 0
Napa 421229A 107 81 22 1 1 0 1
Napa 421421 4 1 3 0 0 0 0
Napa 421421A 106 74 26 0 1 1 0
Napa 421422 19 7 10 0 0 0 0
Napa 421422A 520 380 119 7 5 2 1
Napa 421423 13 9 4 0 0 0 0
Napa 421423A 399 277 102 9 4 0 2
Napa 421424 35 12 19 3 0 1 0
Napa 421424A 748 510 215 12 2 1 2
Napa 421425 19 11 7 0 0 0 1
Napa 421425A 684 513 152 8 2 2 2
Napa 421426 24 11 12 1 0 0 0
Napa 421426A 680 500 166 2 4 2 1
Napa 421427 35 9 26 0 0 0 0
Napa 421427A 658 474 166 6 0 2 3
Napa 421471 14 4 10 0 0 0 0
Napa 421471A 582 402 160 4 1 0 2
Napa 421472 39 20 18 0 0 0 0
Napa 421472A 1277 860 354 15 8 9 8
Napa 421521 0 0 0 0 0 0 0
Napa 421521A 9 4 5 0 0 0 0
Napa 421571 22 11 11 0 0 0 0
Napa 421571A 693 482 183 11 3 5 0
Napa 421671 25 12 11 0 1 1 0
Napa 421671A 641 399 214 11 2 3 3
Napa 511141 2 0 2 0 0 0 0
Napa 511141A 142 73 59 2 0 0 2
Napa 511142 0 0 0 0 0 0 0
Napa 511142A 17 8 9 0 0 0 0
Napa 511211 2 1 1 0 0 0 0
Napa 511211A 259 157 94 3 1 1 0
Napa 511221 0 0 0 0 0 0 0
Napa 511221A 83 42 39 0 0 0 0
Napa 511411 11 3 8 0 0 0 0
Napa 511411A 566 334 203 12 1 3 1
Napa 511431 14 5 9 0 0 0 0
Napa 511431A 381 241 122 7 2 1 1
Napa 511441 0 0 0 0 0 0 0
Napa 511441A 32 13 18 0 0 0 0
Napa 521141 31 17 11 1 0 0 0
Napa 521141A 884 650 197 13 1 0 0
Napa 521142 29 16 12 1 0 0 0
Napa 521142A 804 544 220 17 6 3 1
Napa 521221 10 5 5 0 0 0 0
Napa 521221A 222 164 46 5 2 1 1
Napa 521222 5 2 2 1 0 0 0
Napa 521222A 135 104 30 1 0 0 0
Napa 521223 13 7 6 0 0 0 0
Napa 521223A 658 513 132 4 4 0 3
Napa 521224 0 0 0 0 0 0 0
Napa 521224A 146 97 40 3 0 0 1
Napa 521225 0 0 0 0 0 0 0
Napa 521225A 217 158 51 3 2 0 0
Napa 521226 4 3 1 0 0 0 0
Napa 521226A 295 225 56 5 2 1 1
Napa 561141 0 0 0 0 0 0 0
Napa 561141A 2 0 1 1 0 0 0
Napa 561142 1 0 1 0 0 0 0
Napa 561142A 8 5 3 0 0 0 0
Napa 561340 135 70 59 2 2 0 0
Napa 561340A 2039 1511 478 8 3 4 3
Napa 561341 3 3 0 0 0 0 0
Napa 561341A 62 47 15 0 0 0 0
Napa 561342 76 42 32 0 0 2 0
Napa 561342A 1223 864 314 9 1 5 4
Napa 561343 72 29 39 1 1 0 1
Napa 561343A 897 569 279 11 9 8 4
Napa 561344 102 36 64 2 0 0 0
Napa 561344A 957 674 259 7 4 1 0
Napa 561345 49 26 22 1 0 0 0
Napa 561345A 729 530 180 3 4 2 0
Napa 561346 80 48 30 0 1 1 0
Napa 561346A 981 685 260 9 7 3 6
Napa 561347 63 36 26 0 0 0 0
Napa 561347A 948 700 209 17 4 4 3
Napa 561348 9 2 7 0 0 0 0
Napa 561348A 177 133 41 1 0 1 0
Napa 561349 127 58 65 1 2 0 0
Napa 561349A 1845 1385 399 18 7 6 7
Napa SOV_CD05 0 0 0 0 0 0 0
Napa SOV_SD03 0 0 0 0 0 0 0
Napa SOV_AD04 0 0 0 0 0 0 0
Napa SOV_BE02 0 0 0 0 0 0 0
Napa SOV_AD00 0 0 0 0 0 0 0
Napa SOV_CD00 0 0 0 0 0 0 0
Napa SOV_SD00 0 0 0 0 0 0 0
Napa SOV_BE00 0 0 0 0 0 0 0
Sonoma 1002 18 15 2 1 0 0 0
Sonoma 1002A 18 14 4 0 0 0 0
Sonoma 1003 1 1 0 0 0 0 0
Sonoma 1003A 0 0 0 0 0 0 0
Sonoma 1005 34 17 16 0 0 0 0
Sonoma 1005A 69 52 13 1 1 0 0
Sonoma 1006 0 0 0 0 0 0 0
Sonoma 1006A 0 0 0 0 0 0 0
Sonoma 1007 18 14 3 1 0 0 0
Sonoma 1007A 39 35 3 0 0 0 0
Sonoma 1008 23 11 10 1 0 0 0
Sonoma 1008A 105 77 23 1 2 0 1
Sonoma 1009 45 28 16 0 0 0 0
Sonoma 1009A 85 63 20 0 1 1 0
Sonoma 1012 3 3 0 0 0 0 0
Sonoma 1012A 17 14 3 0 0 0 0
Sonoma 1017 203 128 65 3 1 0 1
Sonoma 1017A 530 442 73 6 2 3 0
Sonoma 1018 6 3 2 1 0 0 0
Sonoma 1018A 7 4 3 0 0 0 0
Sonoma 1022 17 9 8 0 0 0 0
Sonoma 1022A 25 16 9 0 0 0 0
Sonoma 1023 125 84 36 0 0 1 1
Sonoma 1023A 347 270 72 2 2 0 0
Sonoma 1024 15 10 5 0 0 0 0
Sonoma 1024A 17 11 4 2 0 0 0
Sonoma 1027 2 1 1 0 0 0 0
Sonoma 1027A 0 0 0 0 0 0 0
Sonoma 1029 0 0 0 0 0 0 0
Sonoma 1029A 0 0 0 0 0 0 0
Sonoma 1031 34 15 14 1 0 0 2
Sonoma 1031A 117 77 37 2 0 1 0
Sonoma 1032 29 18 9 0 0 1 0
Sonoma 1032A 149 122 26 0 0 0 0
Sonoma 1033 18 7 9 0 0 2 0
Sonoma 1033A 42 39 3 0 0 0 0
Sonoma 1039 0 0 0 0 0 0 0
Sonoma 1039A 1 0 1 0 0 0 0
Sonoma 1040 8 5 3 0 0 0 0
Sonoma 1040A 45 34 9 0 0 1 0
Sonoma 1041 4 3 1 0 0 0 0
Sonoma 1041A 12 12 0 0 0 0 0
