COUNTY AREA TOTAL DEM REP LIB GRN CON IND ASC
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle McMullin Skewes
Anderson "Grove School" 360 42 313 4 0 0 1 0
Anderson Hall 711 158 535 8 3 2 5 0
Anderson "Hammond School" 1176 266 838 40 7 5 19 1
Anderson "High Point" 358 45 303 4 2 1 2 1
Anderson "Homeland Park" 1126 479 618 12 8 2 5 2
Anderson "Honea Path" 814 149 640 17 2 2 3 1
Anderson Hopewell 839 178 621 23 2 4 10 1
Anderson Iva 857 151 679 12 3 2 9 1
Anderson "Jackson Mill" 424 57 345 14 1 1 3 3
Anderson "La France" 531 129 376 9 6 0 11 0
Anderson Melton 412 100 289 10 4 4 5 0
Anderson "Mount Tabor" 1277 329 907 24 3 1 12 1
Anderson "Mountain Creek" 601 144 443 7 0 2 4 1
Anderson "Neal's Creek" 928 297 596 17 5 2 11 0
Anderson "North Pointe" 870 191 628 26 3 1 21 0
Anderson Pelzer 438 53 371 10 2 1 1 0
Anderson Pendleton 1496 687 691 54 18 3 32 11
Anderson Piedmont 499 101 378 8 7 2 3 0
Anderson Piercetown 1160 178 928 24 8 3 13 6
Anderson "Rock Mill" 647 118 514 7 2 0 3 3
Anderson "Rock Spring" 463 104 347 9 0 0 2 1
Anderson "Shirley's Store" 471 86 375 8 0 0 1 1
Anderson Simpsonville 1488 251 1163 42 8 9 14 1
Anderson Starr 523 68 445 8 0 1 1 0
Anderson "Three and Twenty" 1398 184 1158 32 3 5 16 0
Anderson "Toney Creek" 310 42 255 8 3 0 1 1
Anderson Townville 431 68 345 8 3 2 4 1
Anderson "Town Creek" 757 154 563 22 2 3 12 1
Anderson "West Pelzer" 992 145 816 21 4 3 3 0
Anderson "West Savannah" 193 52 136 3 0 1 0 1
Anderson "White Plains" 1710 255 1373 40 14 9 17 2
Anderson Williamston 1217 245 912 33 9 4 12 2
Anderson "Williamston Mill" 1397 215 1141 25 7 2 6 1
Anderson "Wright's School" 480 55 418 3 1 1 2 0
Anderson "Anderson 1/1" 684 257 391 18 7 1 10 0
Anderson "Anderson 1/2" 679 171 479 14 4 4 5 2
Anderson "Anderson 2/1" 670 174 441 22 10 3 20 0
Anderson "Anderson 2/2" 1157 399 691 36 6 3 21 1
Anderson "Anderson 3/1" 341 198 123 11 2 0 6 1
Anderson "Anderson 3/2" 1105 773 309 9 4 3 6 1
Anderson "Anderson 4/1" 306 242 51 8 1 1 2 1
Anderson "Anderson 4/2" 329 288 33 3 4 0 0 1
Anderson "Anderson 5/A" 305 217 78 5 3 0 2 0
Anderson "Anderson 5/B" 516 414 92 1 2 1 6 0
Anderson "Anderson 6/1" 860 284 510 35 9 3 17 2
Anderson "Anderson 6/2" 177 153 21 2 1 0 0 0
Anderson Varennes 548 211 315 10 3 2 6 1
Anderson Lakeside 1179 445 699 13 5 6 8 3
Anderson "Centerville Station B" 1345 367 921 32 9 3 12 1
Anderson "Edgewood Station B" 1031 226 747 27 4 2 24 1
Anderson "Cox's Creek" 454 113 304 24 1 0 11 1
Anderson "Mt. Airy" 1441 222 1162 30 2 7 18 0
Anderson "Belton Annex" 996 235 719 25 6 2 8 1
Anderson Powdersville 1672 336 1269 34 13 10 10 0
Anderson Glenview 950 298 606 14 12 5 15 0
Anderson "Hammond Annex" 860 207 609 18 4 4 18 0
Anderson "Center Rock" 1284 260 990 17 2 2 10 3
Anderson "Hunt Meadows" 2328 375 1834 62 14 16 23 4
Anderson "Absentee 1" 3300 1071 2109 49 19 10 36 6
Anderson "Absentee 2" 5639 1520 3969 67 24 11 40 8
Anderson "Absentee 3" 2467 719 1661 34 13 9 28 3
Anderson "Absentee 4" 2709 1035 1596 41 14 5 15 3
Anderson "Emergency 1" 0 0 0 0 0 0 0 0
Anderson "Emergency 2" 0 0 0 0 0 0 0 0
Anderson "Emergency 3" 0 0 0 0 0 0 0 0
Anderson "Emergency 4" 0 0 0 0 0 0 0 0
Anderson "Failsafe 1" 46 24 21 0 1 0 0 0
Anderson "Failsafe 2" 75 27 46 1 1 0 0 0
Anderson "Failsafe 3" 41 17 22 2 0 0 0 0
Anderson "Failsafe 4" 51 34 14 1 0 0 1 1
Anderson "Provisional 1" 11 1 10 0 0 0 0 0
Anderson "Provisional 2" 5 2 3 0 0 0 0 0
Anderson "Provisional 3" 4 0 4 0 0 0 0 0
Anderson "Provisional 4" 6 1 5 0 0 0 0 0
Anderson "Failsafe / Provisional 1" 161 53 101 3 2 1 1 0
Bamberg COLSTON 114 31 81 0 0 1 0 1
Bamberg EDISTO 191 54 131 6 0 0 0 0
Bamberg EHRHARDT 425 176 241 7 0 0 1 0
Bamberg "EAST DENMARK" 839 679 146 3 2 2 6 1
Bamberg GOVAN 91 56 33 0 0 0 0 2
Bamberg "HIGHTOWERS MILL" 58 31 25 1 0 0 1 0
Bamberg "HUNTER'S CHAPEL" 134 64 68 1 0 0 1 0
Bamberg KEARSE 74 3 71 0 0 0 0 0
Bamberg "LITTLE SWAMP" 80 6 74 0 0 0 0 0
Bamberg OLAR 209 86 121 0 0 2 0 0
Bamberg "SOUTH BAMBERG" 942 695 225 7 7 6 1 1
Bamberg "WEST DENMARK" 645 551 86 2 3 0 2 1
Bamberg "NORTH BAMBERG" 875 389 459 13 4 4 6 0
Bamberg Absentee 1498 1053 428 11 1 1 3 1
Bamberg Emergency 0 0 0 0 0 0 0 0
Bamberg Failsafe 25 14 11 0 0 0 0 0
Bamberg Provisional 14 10 4 0 0 0 0 0
Bamberg "Failsafe Provisional" 0 0 0 0 0 0 0 0
Barnwell "BARNWELL 1" 298 153 141 2 2 0 0 0
Barnwell "BARNWELL 2" 706 243 448 5 2 3 5 0
Barnwell "BARNWELL 3" 800 301 462 20 8 2 5 2
Barnwell "BARNWELL 4" 652 395 244 7 1 1 3 1
Barnwell "BLACKVILLE 1" 484 336 141 2 2 0 2 1
Barnwell "BLACKVILLE 2" 317 215 93 0 1 3 5 0
Barnwell ELKO 333 155 170 2 3 1 2 0
Barnwell FRIENDSHIP 377 23 351 0 2 0 1 0
Barnwell KLINE 328 125 192 8 2 0 0 1
Barnwell "HEALING SPRINGS" 449 352 89 3 2 1 2 0
Barnwell HILDA 498 58 433 0 1 0 4 2
Barnwell SNELLING 661 296 357 6 1 0 1 0
Barnwell "WILLISTON 1" 718 443 259 8 3 3 2 0
Barnwell "WILLISTON 2" 317 97 212 5 0 1 2 0
Barnwell "WILLISTON 3" 472 173 285 6 1 5 2 0
Barnwell Absentee 1980 981 972 12 4 4 7 0
Barnwell Emergency 0 0 0 0 0 0 0 0
Barnwell Failsafe 89 49 39 1 0 0 0 0
Barnwell Provisional 0 0 0 0 0 0 0 0
Barnwell "Failsafe Provisional" 6 5 1 0 0 0 0 0
Beaufort "BEAUFORT 1" 377 229 127 8 7 2 3 1
Beaufort "BEAUFORT 2" 456 201 221 28 4 1 1 0
Beaufort "BEAUFORT 3" 548 188 314 28 5 0 11 2
Beaufort "BURTON 1A" 731 246 449 16 6 1 11 2
