COUNTY AREA TOTAL DEM REP CON IND LIB REF
COUNTY AREA TOTAL Clinton Trump Castle Other Johnson DeLaFuente
Clark 2465 0 244 632 9 28 28 1
Clark 2466 0 408 722 2 20 17 0
Clark 2468 0 0 0 0 0 0 0
Clark 2469 0 84 267 1 5 7 1
Clark 2473 0 54 332 8 14 14 0
Clark 2476 0 115 1014 13 22 25 0
Clark 2477 0 180 444 2 12 8 0
Clark 2478 0 0 0 0 0 0 0
Clark 2479 0 771 534 1 29 50 2
Clark 2480 0 680 576 3 28 52 1
Clark 2481 0 919 356 4 25 43 0
Clark 2483 0 925 338 4 40 49 4
Clark 2484 0 642 415 1 21 38 4
Clark 2486 0 0 0 0 0 0 0
Clark 2487 0 0 0 0 0 0 0
Clark 2488 0 0 0 0 0 0 0
Clark 2489 0 0 0 0 0 0 0
Clark 2500 0 502 595 1 24 11 1
Clark 2501 0 4 20 0 2 2 0
Clark 2503 0 4 7 0 0 1 0
Clark 2600 0 475 589 5 28 46 1
Clark 2601 0 9 7 0 1 0 0
Clark 2602 0 44 70 0 3 5 0
Clark 2603 0 441 582 10 27 56 1
Clark 2604 0 368 410 5 18 38 2
Clark 2605 0 391 540 5 28 26 2
Clark 2606 0 519 333 3 15 31 2
Clark 2607 0 633 287 3 21 11 1
Clark 2608 0 0 0 0 0 0 0
Clark 2609 0 1 1 1 1 1 1
Clark 2611 0 610 592 6 43 46 3
Clark 2612 0 0 0 0 0 0 0
Clark 2613 0 457 494 8 33 42 1
Clark 2614 0 373 483 3 30 23 4
Clark 2615 0 406 565 4 20 47 2
Clark 2616 0 357 179 1 17 23 0
Clark 2617 0 386 267 5 14 23 0
Clark 2621 0 546 547 7 40 56 4
Clark 2622 0 334 419 8 29 24 0
Clark 2623 0 1 1 1 1 1 1
Clark 2624 0 236 406 4 11 21 1
Clark 2625 0 1 1 1 1 1 1
Clark 2631 0 5 14 0 0 0 0
Clark 2632 0 5 25 2 1 0 0
Clark 2633 0 222 602 3 22 35 0
Clark 2634 0 250 366 8 22 29 1
Clark 2635 0 491 625 1 25 36 0
Clark 2640 0 0 0 0 0 0 0
Clark 2641 0 8 3 0 0 0 0
Clark 2642 0 17 37 0 2 3 0
Clark 2643 0 505 783 11 28 24 1
Clark 2644 0 307 649 4 11 26 1
Clark 2645 0 38 74 0 1 3 0
Clark 2646 0 0 0 0 0 0 0
Clark 2650 0 317 489 4 16 28 0
Clark 2651 0 195 312 2 12 11 1
Clark 2652 0 630 598 5 42 52 4
Clark 2653 0 371 766 6 35 30 6
Clark 2654 0 296 377 2 20 24 0
Clark 2655 0 300 518 3 17 24 0
Clark 2660 0 257 350 2 12 27 3
Clark 2661 0 562 710 5 35 42 2
