COUNTY AREA TOTAL DEM REP Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
COUNTY AREA TOTAL Clinton Trump Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
Buchanan Aurora 0 229 305 5 4 0 19 0 0 1 0 3
Buchanan Brandon 0 157 245 3 2 1 20 1 0 2 0 7
Buchanan Fairbank 0 228 350 0 1 0 7 2 0 4 0 7
Buchanan Hazleton 0 188 318 2 0 0 19 0 1 2 1 2
Buchanan "Independence 1st Ward" 0 487 631 4 6 1 55 1 0 4 0 13
Buchanan "Independence 2nd Ward" 0 260 297 6 2 0 29 0 0 2 0 2
Buchanan "Independence 3rd Ward" 0 378 523 7 5 1 54 2 1 3 0 10
Buchanan "Independence 4th Ward" 0 252 239 1 6 1 34 2 0 3 0 14
Buchanan "Independence 5th Ward" 0 246 272 3 6 1 33 2 0 1 0 11
Buchanan Jesup 0 461 671 9 8 3 61 2 0 11 0 13
Buchanan "Middlefield - Newton" 0 115 207 3 5 1 16 0 0 0 0 4
Buchanan Perry-Westburg 0 241 364 8 1 0 27 1 0 3 0 3
Buchanan Quasqueton 0 238 373 4 6 0 35 1 0 4 0 2
Buchanan Rowley 0 197 324 1 1 0 33 2 0 5 0 7
Buchanan "Buchanan-Winthrop Total" 0 293 391 2 1 0 36 1 0 3 0 7
"Buena Vista" ACFC 0 112 429 3 1 0 24 1 0 3 0 6
"Buena Vista" ALNE 0 308 809 7 5 0 51 1 0 7 0 11
"Buena Vista" LKHM 0 199 495 3 0 0 19 0 0 6 0 5
"Buena Vista" NENP 0 134 510 6 5 0 27 3 0 1 0 5
"Buena Vista" SL01 0 485 347 2 6 1 27 1 0 4 0 7
"Buena Vista" SL02 0 324 146 2 3 0 11 1 0 5 0 5
"Buena Vista" SL03 0 413 558 0 10 1 29 1 1 11 0 14
"Buena Vista" "SL04 - City" 0 504 396 0 14 0 52 2 0 17 0 16
"Buena Vista" SMLR 0 264 881 0 4 2 38 2 0 2 0 7
"Buena Vista" "Buena Vista-TRWG Total" 0 113 332 0 0 0 10 1 0 2 0 8
Butler 1-GR 0 371 614 9 8 2 25 1 0 5 0 7
Butler 2-CL 0 395 789 12 7 0 33 0 0 10 0 5
Butler 3-DU 0 158 527 4 4 3 25 1 0 3 0 6
Butler 4-AL 0 148 513 1 4 1 26 0 1 4 0 9
Butler 5-AP 0 162 686 7 3 0 20 0 0 13 0 11
Butler 6-SR 0 405 742 7 6 2 47 0 0 5 0 5
Butler 7-PB 0 337 773 3 4 1 31 2 1 8 0 8
Butler "Butler-8-NH Total" 0 181 277 4 7 2 12 1 1 2 0 6
Calhoun Butler-Williams 0 126 349 1 3 0 19 1 0 2 0 6
Calhoun "Calhoun-Jackson-Elm Grove-Lake City" 0 373 654 7 7 0 33 1 0 4 1 4
Calhoun Cedar 0 38 144 0 1 0 2 0 0 1 0 3
Calhoun "Center-Logan-Twin Lakes-Garfield-Lake Creek" 0 107 316 3 0 0 13 0 0 2 0 5
Calhoun "Greenfield-Lincoln 2" 0 49 176 0 0 0 9 0 0 0 0 0
Calhoun "Lincoln 1" 0 234 638 5 3 1 41 0 0 5 0 7
Calhoun Reading 0 62 189 2 2 1 12 1 0 0 0 4
Calhoun "Rockwell City" 0 287 575 8 2 0 31 0 0 2 0 10
Calhoun Sherman 0 66 248 1 0 0 3 1 0 1 0 4
Calhoun "Calhoun-Union Total" 0 56 179 2 0 0 10 0 0 0 0 6
Carroll Arcadia 0 79 266 0 7 0 11 0 0 2 0 5
Carroll "Carroll Ward Four" 0 442 595 6 10 2 41 3 0 5 0 12
Carroll "Carroll Ward One" 0 464 837 5 11 2 38 3 0 8 0 11
Carroll "Carroll Ward Three and S1/2 Maple River" 0 436 772 9 5 1 55 0 1 1 0 10
Carroll "Carroll Ward Two and N1/2 Maple River" 0 579 903 5 4 2 45 4 0 12 0 6
Carroll Eden 0 75 218 0 1 0 7 0 0 3 0 2
Carroll Ewoldt 0 270 572 5 4 0 19 2 0 1 0 21
Carroll Glidden-Richland 0 231 541 2 7 1 32 1 0 10 0 5
Carroll "Pleasant Valley-Newton" 0 86 301 2 1 0 9 1 0 2 0 1
Carroll Sheridan-Grant-Jasper 0 161 419 4 4 1 21 1 0 1 0 6
Carroll Union 0 217 482 0 1 1 18 0 0 5 0 4
Carroll Washington-Roselle 0 129 331 0 2 2 9 4 0 2 0 3
Carroll "Carroll-Wheatland-Kniest Total" 0 140 401 3 4 1 13 0 0 2 0 4
Cass "Atlantic 1" 0 158 328 0 7 1 18 2 0 10 0 6
Cass "Atlantic 2" 0 185 320 2 11 2 20 1 0 1 0 6
Cass "Atlantic 3" 0 222 465 3 9 2 28 0 0 9 0 4
