DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Smith 4230043 0 231 432 0 0 0
1 Smith 4230044 0 975 1584 0 0 0
1 Smith 4230045 0 101 895 0 0 0
1 Smith 4230046 0 202 554 0 0 0
1 Smith 4230047 0 101 190 0 0 0
1 Smith 4230048 0 112 165 0 0 0
1 Smith 4230049 0 82 69 0 0 0
1 Smith 4230050 0 491 1340 0 0 0
1 Smith 4230052 0 267 1369 0 0 0
1 Smith 4230054 0 647 1617 0 0 0
1 Smith 4230055 0 1305 2183 0 0 0
1 Smith 4230056 0 700 1724 0 0 0
1 Smith 4230058 0 639 1888 0 0 0
1 Smith 4230059 0 687 1966 0 0 0
1 Smith 4230060 0 172 187 0 0 0
1 Smith 4230061 0 638 759 0 0 0
1 Smith 4230063 0 39 13 0 0 0
1 Smith 4230064 0 49 51 0 0 0
1 Smith 4230065 0 50 49 0 0 0
1 Smith 4230066 0 205 231 0 0 0
1 Smith 4230070 0 121 223 0 0 0
1 Smith 4230071 0 759 2579 0 0 0
1 Smith 4230072 0 49 100 0 0 0
1 Smith 4230073 0 187 205 0 0 0
1 Smith 4230074 0 87 308 0 0 0
1 Smith 4230075 0 326 2131 0 0 0
1 Smith 4230076 0 221 125 0 0 0
1 Smith 4230077 0 121 120 0 0 0
1 Smith 4230078 0 25 75 0 0 0
1 Smith 4230079 0 608 2100 0 0 0
1 Smith 4230080 0 3 10 0 0 0
1 Smith 4230081 0 91 67 0 0 0
1 Smith 4230082 0 26 38 0 0 0
1 Upshur 4590009 0 230 1107 0 0 0
1 Upshur 4590010 0 185 1450 0 0 0
1 Upshur 4590011 0 101 387 0 0 0
1 Upshur 4590017 0 365 1017 0 0 0
1 Upshur 4590018 0 131 261 0 0 0
1 Upshur 4590019 0 3 3 0 0 0
1 Wood 49902-1 0 36 313 0 0 0
1 Wood 49903-1 0 133 763 0 0 0
1 Wood 49903-2 0 414 2050 0 0 0
1 Wood 49903-3 0 431 1991 0 0 0
1 Wood 49904-1 0 73 513 0 0 0
1 Wood 49904-2 0 274 1626 0 0 0
2 Harris 2010032 0 1595 805 56 0 0
2 Harris 2010033 0 2208 1083 73 0 0
2 Harris 2010034 0 1841 517 49 0 0
2 Harris 2010037 0 1498 650 43 0 0
2 Harris 2010038 0 1769 809 28 0 0
2 Harris 2010039 0 2003 671 33 0 0
2 Harris 2010040 0 256 190 5 0 0
2 Harris 2010041 0 629 476 30 0 0
2 Harris 2010043 0 688 573 25 0 0
2 Harris 2010052 0 1354 938 52 0 0
2 Harris 2010054 0 827 717 19 0 0
2 Harris 2010056 0 512 685 30 0 0
2 Harris 2010058 0 1710 1338 63 0 0
2 Harris 2010060 0 1736 561 32 0 0
2 Harris 2010070 0 1663 1921 43 0 0
2 Harris 2010071 0 2748 2518 121 0 0
2 Harris 2010082 0 816 1787 37 0 0
2 Harris 2010098 0 348 2014 36 0 0
2 Harris 2010108 0 1051 1051 51 0 0
2 Harris 2010110 0 1176 1301 43 0 0
2 Harris 2010112 0 852 1501 52 0 0
2 Harris 2010113 0 966 974 28 0 0
2 Harris 2010117 0 608 418 28 0 0
2 Harris 2010120 0 1544 1991 67 0 0
2 Harris 2010123 0 856 308 23 0 0
2 Harris 2010125 0 842 956 34 0 0
2 Harris 2010148 0 1405 723 19 0 0
2 Harris 2010155 0 1291 2060 42 0 0
2 Harris 2010165 0 738 1068 27 0 0
2 Harris 2010179 0 724 691 21 0 0
2 Harris 2010199 0 757 2254 41 0 0
2 Harris 2010200 0 1895 1400 51 0 0
2 Harris 2010204 0 1427 1573 48 0 0
2 Harris 2010222 0 1364 1043 21 0 0
