COUNTY AREA TOTAL DEM REP Herzog Writein
COUNTY AREA TOTAL Greenfield Ernst Herzog Writein
Chickasaw "New Hampton Rural" 452 127 308 2 0
Chickasaw Stapleton 483 181 289 4 0
Chickasaw "Washington 1" 195 78 108 4 1
Chickasaw "City of New Hampton Ward 1" 445 204 227 6 0
Chickasaw "City of New Hampton Ward 2" 409 176 217 4 0
Chickasaw "City of New Hampton Ward 3" 557 220 318 8 0
Chickasaw "City of New Hampton Ward 4" 496 201 279 7 0
Clarke "MIDDLE PRECINCT" 687 167 491 9 0
Clarke "MURRAY PRECINCT" 699 192 459 19 0
Clarke "NORTHEAST PRECINCT" 950 298 629 5 2
Clarke "Osceola 1st Ward" 645 241 375 10 2
Clarke "Osceola 2nd Ward" 584 242 320 5 0
Clarke "Osceola 3rd Ward" 723 284 421 6 0
Clarke "WOODBURN PRECINCT" 321 96 211 6 0
Clay Douglas/Peterson 424 92 315 4 0
Clay Garfield/Herdland 243 73 164 4 0
Clay Lake/Freeman 320 101 208 3 0
Clay Lincoln/Clay 461 122 326 3 0
Clay "Logan/Gillett Grove" 275 63 201 2 0
Clay "Spencer Ward 1" 882 346 497 7 0
Clay "Spencer Ward 2" 1028 423 566 13 5
Clay "Spencer Ward 3" 1139 415 690 8 2
Clay "Spencer Ward 4" 1423 398 990 10 1
Clay "Spencer Ward 5" 1334 474 813 16 0
Clay Summit/Riverton/Sioux/Meadow 820 231 567 11 0
Clay "Waterford/Lone Tree" 519 123 379 8 1
Clayton BOARDMAN-HIGHLAND 1120 518 574 10 0
Clayton "BUENA VISTA" 175 75 91 3 0
Clayton CASS 874 312 547 5 0
Clayton CLAYTON-GARNAVILLO 708 210 479 5 2
Clayton "COX CREEK-SPERRY" 487 144 322 7 1
Clayton ELK-MALLORY-VOLGA 601 176 417 6 1
Clayton FARMERSBURG-WAGNER 534 180 340 6 0
Clayton GIARD-LUANA-MONONA 1347 422 888 11 2
Clayton "GRAND MEADOW" 218 79 135 2 0
Clayton JEFFERSON-MILLVILLE 1765 695 1027 16 0
Clayton LODOMILLO 347 89 251 1 0
Clayton MARION 182 45 133 1 0
Clayton MENDON 1015 435 546 7 0
Clayton READ 151 54 95 2 0
Clinton "BLOOMFIELD BROOKFIELD DELMAR" 674 251 399 7 0
Clinton "CAMANCHE 1" 1313 608 661 11 0
Clinton "CAMANCHE 2" 1207 544 628 8 0
Clinton "CENTER TWP" 351 90 251 2 0
Clinton "CLINTON 1-1" 888 497 334 13 1
Clinton "CLINTON 1-2" 1445 700 689 18 2
Clinton "CLINTON 2-1" 1042 579 394 19 0
Clinton "CLINTON 2-2" 1747 905 795 9 0
Clinton "CLINTON 3-1" 1469 860 545 22 2
Clinton "CLINTON 3-2" 1718 903 766 13 1
Clinton "CLINTON 4-1" 1675 811 810 7 0
Clinton "CLINTON 4-2" 1560 793 714 16 1
Clinton "DEEP CREEK GOOSE LAKE" 405 110 280 2 0
Clinton "DEWITT 1" 1392 645 695 7 0
Clinton "DEWITT 2" 1708 777 891 9 0
Clinton "DEWITT TWP" 909 264 628 6 1
Clinton "EDEN CAMANCHE TWP" 373 126 234 0 1
Clinton "ELK RIVER HAMPSHIRE ANDOVER" 944 329 584 10 1
Clinton "LIBERTY TORONTO" 187 62 121 1 0
Clinton "LOW MOOR" 137 48 85 1 1
Clinton "OLIVE GRANT CALAMUS" 667 192 463 4 2
Clinton "ORANGE GRAND MOUND" 659 249 383 6 0
Clinton "SHARON LOST NATION" 368 122 226 3 0
Clinton "SPRING ROCK WHEATLAND" 592 189 384 3 2
Clinton "WATERFORD CHARLOTTE" 362 102 246 0 0
Clinton "WELTON WASHINGTON WELTON" 559 186 353 3 0
Crawford "Charter Oak" 518 136 371 3 0
Crawford DCAB 745 234 482 8 0
Crawford "Denison 1st Ward" 874 406 444 11 1
Crawford "Denison 2nd Ward and Denison TWP" 970 422 501 14 0
Crawford "Denison 3rd Ward and Goodrich TWP" 1154 403 706 16 4
Crawford Northeast 851 231 598 7 0
Crawford Southeast 1024 295 691 12 3
Crawford SRK 873 209 631 9 1
Dallas Adams 898 281 598 5 0
Dallas "ADEL 1" 1056 435 578 13 1
Dallas "ADEL 2" 2292 904 1312 23 1
Dallas "BEAVER / DES MOINES" 1251 573 623 13 3
Dallas "CLIVE 5" 1794 846 928 5 0
Dallas "CLIVE 6" 2777 1200 1521 15 2
Dallas "COLFAX / ADEL" 847 245 581 5 1
Dallas DESOTO 461 210 231 2 0
Dallas "LINCOLN /WASHINGTON /LINN" 654 208 429 4 1
Dallas "PERRY 1" 974 543 390 13 0
Dallas "PERRY 2" 871 510 325 11 1
Dallas "PERRY 3" 922 496 388 10 2
Dallas "SPRING VALLEY / DALLAS" 549 233 308 3 0
Dallas "SUGAR GROVE / DALLAS CENTER" 1537 557 918 19 1
Dallas UNION 1171 391 739 9 1
Dallas "URBANDALE 13" 2847 1327 1467 13 0
Dallas "URBANDALE 14" 2302 928 1347 10 0
Dallas "URBANDALE 15" 1998 841 1117 9 0
Dallas "VAN METER" 2035 702 1274 12 1
Dallas "WALNUT / GRIMES /  GRANT" 1455 537 877 14 1
Dallas "WAUKEE 1" 2204 1054 1089 22 1
Dallas "WAUKEE 2" 3012 1528 1395 16 2
Dallas "WAUKEE 3" 2328 1279 970 22 4
Dallas "WAUKEE 4" 1927 813 1084 9 0
Dallas "WAUKEE 5" 2073 948 1088 9 0
Dallas "WAUKEE 6" 2119 1039 1030 11 2
Dallas "WEST DES MOINES 221" 2699 1385 1256 7 1
Dallas "WEST DES MOINES 222" 1819 989 795 9 3
Dallas "WEST DES MOINES 223" 1551 777 747 5 0
Dallas "WEST DES MOINES 224" 441 202 234 1 0
Dallas "WEST DES MOINES 225" 2572 1378 1115 29 3
Dallas "WEST DES MOINES 226" 1119 609 476 11 0
Dallas "WEST DES MOINES 321" 2048 1054 947 18 1
Dallas "WEST DES MOINES 322" 971 405 550 4 0
Davis Bloomfield 1380 524 793 16 1
Davis Central 658 175 472 2 0
Davis Northeast 645 150 475 4 0
Davis Northwest 540 136 386 4 0
Davis Southeast 539 115 395 5 0
Davis Southwest 279 67 207 1 1
Decatur BL/FA/Lamoni 1104 500 571 7 0
Decatur "BU/HA/Mo/NB/Davis City/Pleasanton" 391 70 310 2 1
Decatur CE/ED/Leon 1109 303 759 18 2
Decatur "DE/Decatur City" 190 41 143 2 0
Decatur "GG/HP/WO/Garden Grove/LeRoy" 352 81 254 10 0
Decatur "GR/RL/Grand River" 243 66 167 3 0
Decatur "FR/LC/Van Wert/Weldon" 351 104 235 1 0
Delaware "Adams/Hazel Green" 607 199 400 1 0
Delaware Colony 428 123 287 8 0
Delaware Delaware 667 179 480 2 1
Delaware "Delhi/Delaware Corp" 657 170 467 7 0
Delaware "Honey Creek/Elk" 800 222 558 8 0
