COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Kaine Stewart Waters Other
"Botetourt County" "301 - Buchanan" 1292 358 916 16 2
"Botetourt County" "302 - Mill Creek" 1267 358 877 31 1
"Botetourt County" "403 - Eagle Rock" 859 219 629 11 0
"Botetourt County" "406 - Fincastle" 1819 545 1250 23 1
"Botetourt County" "501 - Troutville" 879 237 627 14 1
"Botetourt County" "502 - Cloverdale" 2037 645 1357 30 5
"Botetourt County" "Ab - Central Absentee Precinct" 968 364 584 19 1
"Botetourt County" Provisional 0 0 0 0 0
"Bristol City" "1 - First Ward" 858 267 582 8 1
"Bristol City" "2 - Second Ward" 1238 464 740 31 3
"Bristol City" "3 - Third Ward" 708 315 388 4 1
"Bristol City" "4 - Fourth Ward" 2041 550 1465 24 2
"Bristol City" "Ab - Central Absentee Precinct" 423 173 249 0 1
"Bristol City" Provisional 4 1 3 0 0
"Brunswick County" "101 - Brodnax" 292 167 121 4 0
"Brunswick County" "102 - Rock Store" 452 193 253 5 1
"Brunswick County" "103 - Tillman" 523 206 315 2 0
"Brunswick County" "201 - Dromgoole" 179 87 90 2 0
"Brunswick County" "202 - Edgerton" 529 395 131 3 0
"Brunswick County" "203 - Fitzhugh" 450 309 139 1 1
"Brunswick County" "301 - Alberta" 144 78 65 1 0
"Brunswick County" "302 - Danieltown" 540 275 262 3 0
"Brunswick County" "303 - Elmore" 258 138 120 0 0
"Brunswick County" "304 - Seymour" 242 133 107 2 0
"Brunswick County" "401 - Sturgeon" 843 539 295 9 0
"Brunswick County" "402 - King's Store" 315 229 85 0 1
"Brunswick County" "501 - Totaro" 898 693 200 5 0
"Brunswick County" "Ab - Central Absentee Precinct" 484 269 210 4 1
"Brunswick County" Provisional 7 6 1 0 0
"Buchanan County" "102 - Blackey" 251 49 202 0 0
"Buchanan County" "103 - Hurley" 484 74 407 3 0
"Buchanan County" "201 - Grassy" 74 29 45 0 0
"Buchanan County" "202 - Bull" 326 94 229 3 0
"Buchanan County" "203 - Rocklick" 340 98 237 5 0
"Buchanan County" "301 - Slate" 402 120 280 2 0
"Buchanan County" "302 - North Grundy" 381 101 274 5 1
"Buchanan County" "403 - South Grundy" 586 161 419 6 0
"Buchanan County" "404 - Oakwood" 56 17 38 1 0
"Buchanan County" "501 - Prater" 341 133 205 3 0
"Buchanan County" "502 - Fox" 118 63 55 0 0
"Buchanan County" "503 - Vansant" 371 99 268 3 1
"Buchanan County" "601 - Council" 231 78 153 0 0
"Buchanan County" "602 - Garden" 359 111 246 2 0
"Buchanan County" "603 - Hurricane" 237 114 123 0 0
"Buchanan County" "701 - Whitewood" 461 147 311 3 0
"Buchanan County" "702 - Contrary" 370 87 275 8 0
"Buchanan County" "Ab - Central Absentee Precinct" 544 209 328 6 1
"Buchanan County" Provisional 1 1 0 0 0
"Buckingham County" "101 - New Canton" 779 374 394 11 0
"Buckingham County" "102 - Georgia Creek" 219 80 132 6 1
"Buckingham County" "201 - White Hall" 521 240 274 6 1
"Buckingham County" "301 - Curdsville" 597 244 343 9 1
"Buckingham County" "302 - New Store" 418 129 283 6 0
"Buckingham County" "401 - Maysville" 896 380 505 10 1
"Buckingham County" "501 - Wrights" 399 133 259 7 0
"Buckingham County" "502 - Glenmore" 555 306 245 3 1
"Buckingham County" "601 - Slate River" 790 457 320 13 0
"Buckingham County" "701 - Gold Hill" 551 257 288 6 0
"Buckingham County" "Ab - Central Absentee Precinct" 412 200 206 6 0
"Buckingham County" Provisional 2 2 0 0 0
"Buena Vista City" "1 - First Ward" 995 362 609 22 2
"Buena Vista City" "2 - Second Ward" 759 304 438 15 2
"Buena Vista City" Provisional 0 0 0 0 0
"Campbell County" "101 - Brookville" 1775 492 1244 35 4
"Campbell County" "102 - New London" 1722 418 1259 45 0
"Campbell County" "201 - Walker" 1315 383 880 46 6
"Campbell County" "202 - Bedford Springs" 1833 439 1349 43 2
"Campbell County" "301 - Evington" 633 174 453 6 0
"Campbell County" "302 - Otter River" 588 158 418 11 1
"Campbell County" "303 - Altavista" 1607 636 948 22 1
"Campbell County" "401 - Three Forks" 1095 249 826 18 2
"Campbell County" "402 - Court House" 1954 457 1460 35 2
"Campbell County" "501 - Spring Hill" 1786 448 1299 35 4
"Campbell County" "502 - Yellow Branch" 1093 360 716 16 1
"Campbell County" "601 - Kings" 1123 355 749 16 3
"Campbell County" "602 - Concord" 1717 477 1206 33 1
"Campbell County" "701 - Brookneal" 903 306 585 12 0
"Campbell County" "702 - Gladys" 1234 401 817 16 0
"Campbell County" "703 - Morris Church" 556 166 380 10 0
"Campbell County" "Ab - Central Absentee Precinct" 1045 386 650 9 0
"Campbell County" Provisional 0 0 0 0 0
"Caroline County" "101 - Bowling Green" 1004 378 609 14 3
"Caroline County" "102 - Sparta" 766 303 450 12 1
"Caroline County" "201 - North Madison" 867 488 368 11 0
"Caroline County" "202 - South Madison" 1083 506 546 31 0
"Caroline County" "301 - Port Royal" 443 205 233 5 0
"Caroline County" "302 - Woodford" 1132 525 587 18 2
"Caroline County" "401 - Dawn" 1391 892 486 12 1
"Caroline County" "402 - Carmel Church" 480 300 172 8 0
"Caroline County" "501 - West Mattaponi" 983 623 345 14 1
"Caroline County" "502 - Milford" 735 323 403 8 1
"Caroline County" "601 - Chilesburg" 993 530 435 28 0
"Caroline County" "602 - Lake" 676 330 328 18 0
"Caroline County" "Ab - Central Absentee Precinct" 783 424 355 0 4
"Caroline County" Provisional 17 11 6 0 0
"Carroll County" "101 - Mt Bethel" 397 89 306 1 1
"Carroll County" "102 - St Paul" 584 107 474 3 0
"Carroll County" "103 - Lambsburg" 324 59 261 3 1
"Carroll County" "105 - Fancy Gap" 543 140 401 2 0
"Carroll County" "201 - Hillsville B" 1148 317 815 15 1
"Carroll County" "202 - Laurel Fork" 397 99 294 4 0
"Carroll County" "203 - Gladesboro" 588 138 443 7 0
"Carroll County" "301 - Hillsville C" 1219 278 925 16 0
"Carroll County" "302 - Sylvatus" 467 102 357 8 0
"Carroll County" "303 - Dugspur" 282 57 220 5 0
"Carroll County" "401 - Oakland" 917 209 696 11 1
"Carroll County" "402 - Woodlawn D" 942 245 683 13 1
"Carroll County" "406 - Woodlawn F" 163 40 120 3 0
"Carroll County" "501 - Vaughan" 330 60 268 2 0
"Carroll County" "502 - Gladeville" 814 148 656 9 1
"Carroll County" "503 - Woodlawn E" 416 102 312 2 0
"Carroll County" "504 - Laurel" 468 90 375 3 0
"Carroll County" "Ab - Central Absentee Precinct" 619 179 433 7 0
"Carroll County" Provisional 3 0 3 0 0
"Charles City County" "101 - Precinct 1-1" 1007 569 421 16 1
"Charles City County" "201 - Precinct 2-1" 952 677 266 9 0
"Charles City County" "301 - Precinct 3-1" 1026 640 374 11 1
"Charles City County" "Ab - Central Absentee Precinct" 352 245 107 0 0
"Charles City County" Provisional 0 0 0 0 0
"Charlotte County" "101 - County Seat" 707 287 413 6 1
"Charlotte County" "201 - Red Oak Wylliesburg" 670 266 402 2 0
"Charlotte County" "302 - Drakes Branch" 543 205 327 11 0
"Charlotte County" "401 - Keysville" 683 253 422 8 0
"Charlotte County" "501 - Cullen/Red House" 593 222 363 6 2
"Charlotte County" "602 - Phenix" 694 226 458 9 1
"Charlotte County" "702 - Bacon/Saxe" 571 252 309 10 0
"Charlotte County" "Ab - Central Absentee Precinct" 257 159 98 0 0
"Charlotte County" Provisional 1 1 0 0 0
"Charlottesville City" "101 - Recreation" 2366 1991 312 58 5
"Charlottesville City" "102 - Clark" 2253 1967 247 35 4
"Charlottesville City" "201 - Carver" 2002 1822 133 45 2
"Charlottesville City" "202 - Walker" 2626 2152 417 54 3
"Charlottesville City" "301 - Benjamin Tonsler" 1935 1728 163 39 5
"Charlottesville City" "302 - Johnson" 2590 2157 356 70 7
"Charlottesville City" "303 - Buford" 1329 1169 117 39 4
"Charlottesville City" "401 - Venable" 1255 1107 114 27 7
"Charlottesville City" "402 - Alumni Hall" 1493 1196 252 41 4
"Charlottesville City" "Ab - Central Absentee Precinct" 2600 2315 232 42 11
"Charlottesville City" Provisional 41 37 3 1 0
"Chesapeake City" "1 - Great Bridge" 1437 563 843 30 1
"Chesapeake City" "2 - Bethel" 1409 330 1045 32 2
"Chesapeake City" "3 - Camelot" 1818 1695 110 10 3
"Chesapeake City" "4 - Churchland" 1185 453 708 19 5
"Chesapeake City" "5 - Crestwood" 1453 1303 137 11 2
"Chesapeake City" "6 - Deep Creek" 2590 1485 1058 45 2
"Chesapeake City" "7 - Greenbrier" 1726 759 931 34 2
"Chesapeake City" "8 - South Norfolk Recreation" 1523 894 600 26 3
"Chesapeake City" "9 - Bells Mill" 2672 1035 1595 42 0
"Chesapeake City" "10 - Oscar Smith" 700 382 294 22 2
"Chesapeake City" "11 - Geneva Park" 1054 515 514 22 3
"Chesapeake City" "12 - Georgetown" 1318 1155 145 16 2
"Chesapeake City" "13 - Gilmerton" 1249 650 578 19 2
"Chesapeake City" "14 - Grassfield" 489 220 260 9 0
"Chesapeake City" "15 - B M Williams" 1317 861 437 18 1
"Chesapeake City" "16 - Hickory Grove" 1602 504 1072 25 1
"Chesapeake City" "17 - Indian Creek" 1060 302 735 22 1
"Chesapeake City" "18 - Indian River" 1034 711 303 18 2
"Chesapeake City" "19 - Jolliff" 1035 398 616 19 2
"Chesapeake City" "20 - E W Chittum" 26 11 14 1 0
"Chesapeake City" "20 - E W Chittum" 1696 787 880 26 3
"Chesapeake City" "21 - Fellowship" 1519 731 763 23 2
"Chesapeake City" "22 - Norfolk Highlands" 869 394 459 14 2
"Chesapeake City" "23 - Oak Grove" 1573 920 624 28 1
"Chesapeake City" "24 - Oaklette" 1239 791 427 21 0
"Chesapeake City" "25 - St Julians" 690 387 288 14 1
"Chesapeake City" "26 - Johnson Park" 648 455 179 13 1
"Chesapeake City" "27 - Silverwood" 1786 874 879 31 2
"Chesapeake City" "28 - Sunray I" 242 92 146 3 1
"Chesapeake City" "29 - Tanglewood" 1130 419 687 23 1
"Chesapeake City" "30 - South Norfolk" 654 628 20 5 1
"Chesapeake City" "31 - Carver School" 1467 1280 176 10 1
"Chesapeake City" "32 - Providence" 1708 1622 68 13 5
"Chesapeake City" "33 - Westover" 813 354 440 18 1
"Chesapeake City" "34 - Hickory Middle School" 2080 630 1398 50 2
"Chesapeake City" "35 - Taylor Road" 966 689 260 17 0
"Chesapeake City" "36 - Great Bridge Baptist Church" 2333 936 1353 41 3
"Chesapeake City" "37 - Bridgetown" 1243 543 675 24 1
"Chesapeake City" "38 - Bailey Creek" 1285 448 813 20 4
"Chesapeake City" "39 - Lake Drummond" 597 219 366 12 0
"Chesapeake City" "40 - River Birch" 1881 1138 713 27 3
"Chesapeake City" "41 - John T West" 2300 1340 920 39 1
"Chesapeake City" "42 - Parkways" 1269 804 443 21 1
"Chesapeake City" "43 - Pleasant Crossing" 1244 389 832 18 5
"Chesapeake City" "44 - Nansemond" 1151 720 418 12 1
"Chesapeake City" "45 - Sunray Ii" 574 401 165 8 0
"Chesapeake City" "46 - Bells Mill Ii" 1296 635 642 18 1
"Chesapeake City" "47 - Green Sea" 775 281 478 14 2
"Chesapeake City" "48 - Jolliff Middle School" 1618 1491 118 9 0
"Chesapeake City" "49 - Waterway" 2710 1339 1310 58 3
"Chesapeake City" "50 - River Walk" 1506 932 540 34 0
"Chesapeake City" "51 - Coopers Way" 1721 506 1185 28 2
"Chesapeake City" "52 - Shipyard Road" 1561 977 556 26 2
"Chesapeake City" "53 - Fairways" 1037 643 370 22 2
"Chesapeake City" "54 - Pughsville" 1377 1019 333 20 5
