DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
8 Brevard 509 549 270 279 0 0 1 22
8 Brevard 510 6920 3066 3854 0 0 0 151
8 Brevard 511 2205 623 1582 0 0 1 39
8 Brevard 512 2544 744 1800 0 0 0 53
8 Brevard 513 493 177 316 0 0 0 18
8 Brevard 515 2862 1133 1729 0 0 0 74
8 Brevard 516 5506 2710 2796 0 0 0 113
8 Brevard 517 4731 2272 2459 0 0 0 87
8 Brevard 518 2892 1094 1798 0 0 0 69
8 Brevard 519 5080 2514 2566 0 0 1 121
8 Brevard 520 4093 1900 2193 0 0 0 71
8 Brevard 521 3921 1829 2092 0 0 0 76
8 Brevard 522 372 131 241 0 0 0 3
8 Brevard 523 818 345 473 0 0 0 19
8 Brevard 525 1906 696 1210 0 0 0 42
8 Brevard 527 1994 854 1140 0 0 0 54
8 Brevard 528 895 447 448 0 0 0 25
8 Brevard 529 1276 532 744 0 0 0 23
8 Brevard 530 764 270 494 0 0 0 28
8 Brevard 531 3 0 3 0 0 0 0
8 Brevard 999 577 260 317 0 0 0 24
20 Broward C005 1671 1607 64 0 0 0 23
20 Broward C006 2329 2151 178 0 0 0 45
20 Broward C009 28 19 9 0 0 0 0
20 Broward C015 1759 1615 144 0 0 0 37
20 Broward C020 678 573 105 0 0 0 19
20 Broward C021 1443 852 591 0 0 2 71
20 Broward C024 4 1 3 0 0 0 0
20 Broward C025 528 467 61 0 0 0 23
20 Broward C027 404 312 92 0 0 0 12
20 Broward C028 2038 1948 90 0 0 0 34
20 Broward C029 653 343 310 0 0 2 38
20 Broward C035 1045 901 144 0 0 0 27
20 Broward D007 891 772 119 0 0 0 34
20 Broward D009 2115 1786 329 0 0 1 68
20 Broward D012 435 383 52 0 0 0 6
20 Broward D013 1027 813 214 0 0 0 29
20 Broward D016 1 1 0 0 0 0 0
20 Broward G013 0 0 0 0 0 0 0
20 Broward H001 2069 1787 282 0 0 1 49
20 Broward H002 810 722 88 0 0 0 17
20 Broward H003 2562 2259 303 0 0 3 55
20 Broward H004 1032 870 162 0 0 0 28
20 Broward H005 2254 1987 267 0 0 1 55
20 Broward H006 1427 1172 255 0 0 2 53
20 Broward H007 1709 1464 245 0 0 2 33
20 Broward H008 1335 1145 190 0 0 0 41
20 Broward H009 776 666 110 0 0 0 25
20 Broward H010 233 196 37 0 0 0 9
