COUNTY AREA TOTAL DEM REP LMN GRN Writein
COUNTY AREA TOTAL Klobuchar Newberger Schuller Overby Writein
Beltrami "Cormant Twp" 75 24 50 1 0 0
Beltrami "Durand Twp" 89 32 53 3 1 0
Beltrami "Eckles Twp" 585 270 299 11 5 0
Beltrami "Frohn Twp" 774 398 358 17 1 0
Beltrami Funkley 6 3 3 0 0 0
Beltrami "Grant Valley Twp" 924 442 447 26 9 0
Beltrami "Hagali Twp" 159 56 95 6 2 0
Beltrami "Hamre Twp" 9 5 4 0 0 0
Beltrami "Hines Twp" 322 105 204 11 2 0
Beltrami "Hornet Twp" 86 28 54 3 1 0
Beltrami "Jones Twp" 103 21 78 4 0 0
Beltrami Kelliher 99 49 47 3 0 0
Beltrami "Kelliher Twp" 55 24 30 1 0 0
Beltrami "Lammers Twp" 239 94 135 7 3 0
Beltrami "Langor Twp" 100 18 82 0 0 0
Beltrami "Lee Twp" 17 6 11 0 0 0
Beltrami "Liberty Twp" 344 171 165 7 1 0
Beltrami "Maple Ridge Twp" 50 26 21 2 1 0
Beltrami "Minnie Twp" 17 7 10 0 0 0
Beltrami "Moose Lake Twp" 112 50 61 1 0 0
Beltrami "Nebish Twp" 122 66 55 0 1 0
Beltrami "Northern Twp P-1" 1981 952 974 37 18 0
Beltrami "Northern Twp P-2" 0 0 0 0 0 0
Beltrami "O'Brien Twp" 21 3 18 0 0 0
Beltrami "Ponemah Prec" 294 261 8 23 2 0
Beltrami "Port Hope Twp" 387 171 209 6 1 0
Beltrami "Quiring Twp" 26 10 16 0 0 0
Beltrami "Red Lake Agency Prec" 527 474 14 34 5 0
Beltrami "Redby Prec" 349 303 9 33 4 0
Beltrami "Little Rock Prec" 271 241 5 23 1 1
Beltrami "Roosevelt Twp" 111 63 44 4 0 0
Beltrami "Shooks Twp" 74 11 62 1 0 0
Beltrami "Shotley Twp" 20 7 12 0 1 0
Beltrami Solway 32 13 19 0 0 0
Beltrami "Spruce Grove Twp" 32 20 12 0 0 0
Beltrami "Steenerson Twp" 18 4 14 0 0 0
Beltrami "Sugar Bush Twp" 86 48 38 0 0 0
Beltrami "Summit Twp" 141 28 111 1 1 0
Beltrami "Taylor Twp" 52 15 35 1 1 0
Beltrami "Ten Lake Twp" 411 280 115 12 4 0
Beltrami Tenstrike 80 29 50 1 0 0
Beltrami "Turtle Lake Twp" 716 345 359 9 3 0
Beltrami "Turtle River" 50 34 14 0 2 0
Beltrami "Turtle River Twp" 679 361 307 8 3 0
Beltrami "Unorg Dist 1" 13 7 6 0 0 0
Beltrami "Unorg Dist 2" 12 6 6 0 0 0
Beltrami "Unorg Dist 3" 81 40 33 6 2 0
Beltrami "Waskish Twp" 65 29 33 3 0 0
Beltrami Wilton 82 37 39 5 1 0
Beltrami "Woodrow Twp" 31 12 18 1 0 0
Benton "Alberta Twp" 327 107 209 7 4 0
Benton Foley 870 344 483 33 10 0
Benton Gilman 86 33 47 6 0 0
Benton "Gilmanton Twp" 393 156 228 6 3 0
Benton "Glendorado Twp" 363 116 235 9 3 0
Benton "Graham Twp" 270 82 183 4 1 0
Benton "Granite Ledge Twp" 339 101 231 5 2 0
Benton "Langola Twp" 498 165 319 11 3 0
Benton "Mayhew Lake Twp" 387 144 233 6 4 0
Benton "Maywood Twp" 430 146 270 12 2 0
Benton "Minden Twp P-1" 793 266 501 21 5 0
Benton "Minden Twp P-2" 5 4 1 0 0 0
Benton Rice 698 271 382 32 13 0
Benton Royalton 0 0 0 0 0 0
Benton "Saint Cloud W-2 P-1" 795 439 307 34 15 0
Benton "Saint Cloud W-2 P-3" 766 458 257 37 14 0
Benton "Saint Cloud W-2 P-4" 426 266 133 23 4 0
Benton "Saint George Twp" 551 179 365 4 3 0
Benton "Sartell P-2" 848 423 382 36 7 0
Benton "Sauk Rapids P-1" 934 446 439 36 12 1
Benton "Sauk Rapids P-2" 909 446 432 24 7 0
Benton "Sauk Rapids P-3" 1281 628 612 29 12 0
