DIST COUNTY AREA TOTAL DEM REP CON IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Con Ind Other
6 Brown "Town Of Pittsfield Wards 1-3" 0 479 1352 0 0 1
6 Brown "Village Of Pulaski Wards 1-3,6" 0 589 1211 0 0 0
6 Oconto "Village Of Pulaski Ward 5" 0 0 0 0 0 0
6 Outagamie "Town Of Bovina Wards 1-2" 0 188 526 0 0 0
6 Outagamie "Town Of Deer Creek Ward 1" 0 47 253 0 0 0
6 Outagamie "Town Of Hortonia Wards 1-2" 0 176 503 0 0 0
6 Outagamie "Town Of Liberty Ward 1" 0 128 403 0 0 0
6 Outagamie "Town Of Maine Ward 1" 0 124 374 0 0 0
6 Outagamie "Town Of Maple Creek Ward 1" 0 68 278 0 0 0
6 Outagamie "Village Of Bear Creek Ward 1" 0 49 93 0 0 0
6 Outagamie "Village Of Hortonville Wards 1-3" 0 569 1105 0 0 0
6 Outagamie "Village Of Shiocton Ward 1" 0 112 320 0 0 0
6 Shawano "City Of Shawano Wards 1-2" 0 252 371 0 0 0
6 Shawano "City Of Shawano Wards 11-12" 0 327 432 0 0 0
6 Shawano "City Of Shawano Wards 3-4" 0 276 388 0 0 0
6 Shawano "City Of Shawano Wards 5-6" 0 293 363 0 0 0
6 Shawano "City Of Shawano Wards 7-8" 0 255 331 0 0 0
6 Shawano "City Of Shawano Wards 9-10" 0 313 423 0 0 0
6 Shawano "Town Of Angelica Wards 1-3" 0 234 834 0 0 0
6 Shawano "Town Of Bartelme Ward 1" 0 245 92 0 0 0
6 Shawano "Town Of Belle Plaine Wards 1-3" 0 312 782 0 0 0
6 Shawano "Town Of Fairbanks Ward 1" 0 65 282 0 0 0
6 Shawano "Town Of Germania Wards 1-2" 0 68 135 0 0 0
6 Shawano "Town Of Grant Wards 1-2" 0 87 439 0 0 0
6 Shawano "Town Of Hartland Ward 1" 0 68 357 0 0 0
6 Shawano "Town Of Herman Wards 1-2" 0 95 327 0 0 0
6 Shawano "Town Of Lessor Wards 1-2" 0 147 637 0 0 0
6 Shawano "Town Of Maple Grove Ward 1" 0 148 411 0 0 0
6 Shawano "Town Of Morris Ward 1" 0 78 162 0 0 0
6 Shawano "Town Of Navarino Ward 1" 0 53 199 0 0 0
6 Shawano "Town Of Pella Ward 1" 0 122 413 0 0 0
6 Shawano "Town Of Red Springs Wards 1-2" 0 291 225 0 0 0
6 Shawano "Town Of Richmond Wards 1-3" 0 296 841 0 0 0
6 Shawano "Town Of Seneca Ward 1" 0 86 205 0 0 0
6 Shawano "Town Of Waukechon Wards 1-2" 0 127 440 0 0 0
6 Shawano "Town Of Wescott Wards 1-4" 0 654 1315 0 0 0
6 Shawano "Town Of Wittenberg Wards 1-2" 0 149 338 0 0 0
6 Shawano "Village Of Bonduel Wards 1-2" 0 180 601 0 0 0
6 Shawano "Village Of Gresham Ward 1" 0 110 152 0 0 0
6 Shawano "Village Of Pulaski Wards 4,7" 0 26 68 0 0 0
6 Shawano "Village Of Tigerton Ward 1" 0 105 249 0 0 0
6 Shawano "Village Of Wittenberg Wards 1-2" 0 157 270 0 0 0
6 Waupaca "City Of Clintonville Wards 1-7" 0 687 1199 0 0 3
6 Waupaca "Town Of Bear Creek Ward 1" 0 75 333 0 0 0
6 Waupaca "Town Of Lebanon Wards 1-3" 0 275 673 0 0 1
6 Waupaca "Town Of Matteson Ward 1" 0 136 451 0 0 0
6 Waupaca "Village Of Embarrass Ward 1" 0 57 127 0 0 0
7 Milwaukee "City Of Greenfield Ward 1" 0 700 0 0 0 27
7 Milwaukee "City Of Greenfield Ward 18" 0 542 0 0 0 15
7 Milwaukee "City Of Greenfield Ward 3" 0 562 0 0 0 17
7 Milwaukee "City Of Greenfield Ward 4" 0 573 0 0 0 12
7 Milwaukee "City Of Milwaukee Ward 206" 0 510 0 0 0 14
7 Milwaukee "City Of Milwaukee Ward 207" 0 530 0 0 0 21
7 Milwaukee "City Of Milwaukee Ward 213" 0 631 0 0 0 21
7 Milwaukee "City Of Milwaukee Ward 261" 0 397 0 0 0 6
7 Milwaukee "City Of Milwaukee Ward 262" 0 784 0 0 0 23
7 Milwaukee "City Of Milwaukee Ward 263" 0 437 0 0 0 5
7 Milwaukee "City Of Milwaukee Ward 264" 0 838 0 0 0 26
7 Milwaukee "City Of Milwaukee Ward 265" 0 451 0 0 0 20
7 Milwaukee "City Of Milwaukee Ward 266" 0 458 0 0 0 15
7 Milwaukee "City Of Milwaukee Ward 267" 0 457 0 0 0 17
7 Milwaukee "City Of Milwaukee Ward 268" 0 1021 0 0 0 36
7 Milwaukee "City Of Milwaukee Ward 279" 0 724 0 0 0 17
7 Milwaukee "City Of Milwaukee Ward 280" 0 1256 0 0 0 25
7 Milwaukee "City Of Milwaukee Ward 309" 0 806 0 0 0 18
7 Milwaukee "City Of Milwaukee Ward 310" 0 263 0 0 0 3
7 Milwaukee "City Of Milwaukee Ward 311" 0 456 0 0 0 14
7 Milwaukee "City Of Milwaukee Ward 312" 0 672 0 0 0 18
7 Milwaukee "City Of Milwaukee Ward 326" 0 3 0 0 0 0
7 Milwaukee "City Of Milwaukee Ward 327" 0 0 0 0 0 0
7 Milwaukee "City Of West Allis Ward 1" 0 613 0 0 0 30
7 Milwaukee "City Of West Allis Ward 10" 0 769 0 0 0 36
7 Milwaukee "City Of West Allis Ward 2" 0 934 0 0 0 17
7 Milwaukee "City Of West Allis Ward 20" 0 691 0 0 0 26
7 Milwaukee "City Of West Allis Ward 3" 0 601 0 0 0 16
7 Milwaukee "City Of West Allis Ward 4" 0 842 0 0 0 33
7 Milwaukee "City Of West Allis Ward 5" 0 687 0 0 0 15
7 Milwaukee "Village Of West Milwaukee Wards 1-2,5" 0 546 0 0 0 13
7 Milwaukee "Village Of West Milwaukee Wards 3-4,6" 0 677 0 0 0 22
8 Milwaukee "City Of Milwaukee Ward 222" 0 433 120 0 0 0
8 Milwaukee "City Of Milwaukee Ward 223" 0 491 142 0 0 2
8 Milwaukee "City Of Milwaukee Ward 224" 0 333 118 0 0 1
8 Milwaukee "City Of Milwaukee Ward 225" 0 338 90 0 0 1
8 Milwaukee "City Of Milwaukee Ward 228" 0 272 61 0 0 2
8 Milwaukee "City Of Milwaukee Ward 229" 0 253 69 0 0 2
8 Milwaukee "City Of Milwaukee Ward 230" 0 427 108 0 0 2
8 Milwaukee "City Of Milwaukee Ward 231" 0 182 66 0 0 2
8 Milwaukee "City Of Milwaukee Ward 232" 0 176 40 0 0 0
8 Milwaukee "City Of Milwaukee Ward 233" 0 152 36 0 0 3
8 Milwaukee "City Of Milwaukee Ward 234" 0 435 127 0 0 0
8 Milwaukee "City Of Milwaukee Ward 235" 0 1317 398 0 0 6
8 Milwaukee "City Of Milwaukee Ward 236" 0 351 77 0 0 1
8 Milwaukee "City Of Milwaukee Ward 237" 0 465 87 0 0 2
8 Milwaukee "City Of Milwaukee Ward 238" 0 362 95 0 0 0
8 Milwaukee "City Of Milwaukee Ward 239" 0 321 88 0 0 2
8 Milwaukee "City Of Milwaukee Ward 240" 0 462 92 0 0 0
8 Milwaukee "City Of Milwaukee Ward 249" 0 274 73 0 0 2
8 Milwaukee "City Of Milwaukee Ward 250" 0 267 61 0 0 0
8 Milwaukee "City Of Milwaukee Ward 251" 0 171 49 0 0 1
8 Milwaukee "City Of Milwaukee Ward 254" 0 143 41 0 0 0
8 Milwaukee "City Of Milwaukee Ward 255" 0 185 48 0 0 0
8 Milwaukee "City Of Milwaukee Ward 256" 0 214 49 0 0 1
8 Milwaukee "City Of Milwaukee Ward 257" 0 463 125 0 0 5
8 Milwaukee "City Of Milwaukee Ward 321" 0 159 34 0 0 2
8 Milwaukee "City Of Milwaukee Ward 323" 0 187 54 0 0 0
8 Milwaukee "City Of Milwaukee Ward 324" 0 81 27 0 0 0
9 Milwaukee "City Of Milwaukee Ward 215" 0 286 76 0 0 2
9 Milwaukee "City Of Milwaukee Ward 216" 0 223 66 0 0 2
9 Milwaukee "City Of Milwaukee Ward 217" 0 488 153 0 0 2
9 Milwaukee "City Of Milwaukee Ward 218" 0 571 143 0 0 0
9 Milwaukee "City Of Milwaukee Ward 219" 0 382 111 0 0 1
9 Milwaukee "City Of Milwaukee Ward 220" 0 397 99 0 0 0
9 Milwaukee "City Of Milwaukee Ward 221" 0 727 209 0 0 0
9 Milwaukee "City Of Milwaukee Ward 226" 0 202 35 0 0 1
9 Milwaukee "City Of Milwaukee Ward 227" 0 531 113 0 0 1
9 Milwaukee "City Of Milwaukee Ward 252" 0 331 107 0 0 0
9 Milwaukee "City Of Milwaukee Ward 253" 0 143 52 0 0 0
9 Milwaukee "City Of Milwaukee Ward 258" 0 539 161 0 0 2
9 Milwaukee "City Of Milwaukee Ward 259" 0 387 109 0 0 0
9 Milwaukee "City Of Milwaukee Ward 260" 0 282 104 0 0 1
9 Milwaukee "City Of Milwaukee Ward 281" 0 462 252 0 0 1
9 Milwaukee "City Of Milwaukee Ward 282" 0 259 102 0 0 1
9 Milwaukee "City Of Milwaukee Ward 283" 0 461 239 0 0 1
9 Milwaukee "City Of Milwaukee Ward 284" 0 488 176 0 0 1
9 Milwaukee "City Of Milwaukee Ward 285" 0 122 52 0 0 0
9 Milwaukee "City Of Milwaukee Ward 286" 0 278 118 0 0 0
9 Milwaukee "City Of Milwaukee Ward 287" 0 328 144 0 0 1
9 Milwaukee "City Of Milwaukee Ward 288" 0 658 373 0 0 2
9 Milwaukee "City Of Milwaukee Ward 289" 0 440 167 0 0 0
9 Milwaukee "City Of Milwaukee Ward 290" 0 386 145 0 0 0
9 Milwaukee "City Of Milwaukee Ward 291" 0 352 142 0 0 1
9 Milwaukee "City Of Milwaukee Ward 292" 0 416 189 0 0 2
9 Milwaukee "City Of Milwaukee Ward 306" 0 456 215 0 0 1
9 Milwaukee "City Of Milwaukee Ward 307" 0 476 286 0 0 1
9 Milwaukee "City Of Milwaukee Ward 308" 0 487 219 0 0 1
9 Milwaukee "City Of Milwaukee Ward 320" 0 35 3 0 0 0
9 Milwaukee "City Of Milwaukee Ward 322" 0 91 25 0 0 0
9 Milwaukee "City Of Milwaukee Ward 325" 0 297 73 0 0 0
10 Milwaukee "City Of Milwaukee Ward 112" 0 516 0 0 0 3
10 Milwaukee "City Of Milwaukee Ward 113" 0 470 0 0 0 1
10 Milwaukee "City Of Milwaukee Ward 114" 0 448 0 0 0 2
10 Milwaukee "City Of Milwaukee Ward 115" 0 724 0 0 0 6
10 Milwaukee "City Of Milwaukee Ward 116" 0 365 0 0 0 1
10 Milwaukee "City Of Milwaukee Ward 117" 0 416 0 0 0 2
10 Milwaukee "City Of Milwaukee Ward 118" 0 511 0 0 0 2
10 Milwaukee "City Of Milwaukee Ward 119" 0 525 0 0 0 6
10 Milwaukee "City Of Milwaukee Ward 120" 0 420 0 0 0 2
10 Milwaukee "City Of Milwaukee Ward 121" 0 582 0 0 0 1
10 Milwaukee "City Of Milwaukee Ward 122" 0 608 0 0 0 5
10 Milwaukee "City Of Milwaukee Ward 123" 0 802 0 0 0 12
10 Milwaukee "City Of Milwaukee Ward 124" 0 534 0 0 0 5
10 Milwaukee "City Of Milwaukee Ward 125" 0 970 0 0 0 15
10 Milwaukee "City Of Milwaukee Ward 140" 0 306 0 0 0 5
10 Milwaukee "City Of Milwaukee Ward 146" 0 163 0 0 0 0
10 Milwaukee "City Of Milwaukee Ward 54" 0 394 0 0 0 1
10 Milwaukee "City Of Milwaukee Ward 55" 0 837 0 0 0 10
10 Milwaukee "City Of Milwaukee Ward 56" 0 583 0 0 0 2
10 Milwaukee "City Of Milwaukee Ward 57" 0 745 0 0 0 2
10 Milwaukee "City Of Milwaukee Ward 58" 0 584 0 0 0 6
10 Milwaukee "City Of Milwaukee Ward 59" 0 1071 0 0 0 3
10 Milwaukee "City Of Milwaukee Ward 60" 0 687 0 0 0 3
10 Milwaukee "City Of Milwaukee Ward 61" 0 588 0 0 0 9
10 Milwaukee "City Of Milwaukee Ward 62" 0 472 0 0 0 1
10 Milwaukee "City Of Milwaukee Ward 63" 0 475 0 0 0 1
10 Milwaukee "Village Of Shorewood Wards 1-4" 0 2760 0 0 0 47
10 Milwaukee "Village Of Shorewood Wards 5-8" 0 2352 0 0 0 36
10 Milwaukee "Village Of Shorewood Wards 9-12" 0 2300 0 0 0 41
11 Milwaukee "City Of Glendale Ward 11S" 0 219 48 0 0 0
11 Milwaukee "City Of Glendale Wards 1,7" 0 901 375 0 0 4
11 Milwaukee "City Of Glendale Wards 2,8S" 0 656 211 0 0 0
11 Milwaukee "City Of Glendale Wards 6,12" 0 803 277 0 0 0
11 Milwaukee "City Of Milwaukee Ward 11" 0 812 156 0 0 0
11 Milwaukee "City Of Milwaukee Ward 12" 0 637 135 0 0 0
11 Milwaukee "City Of Milwaukee Ward 13" 0 372 120 0 0 1
11 Milwaukee "City Of Milwaukee Ward 14" 0 875 85 0 0 0
11 Milwaukee "City Of Milwaukee Ward 15" 0 501 232 0 0 2
11 Milwaukee "City Of Milwaukee Ward 16" 0 1147 171 0 0 2
11 Milwaukee "City Of Milwaukee Ward 17" 0 459 128 0 0 2
11 Milwaukee "City Of Milwaukee Ward 18" 0 694 140 0 0 1
11 Milwaukee "City Of Milwaukee Ward 19" 0 519 93 0 0 2
11 Milwaukee "City Of Milwaukee Ward 20" 0 745 106 0 0 1
11 Milwaukee "City Of Milwaukee Ward 21" 0 711 63 0 0 1
11 Milwaukee "City Of Milwaukee Ward 22" 0 589 84 0 0 2
11 Milwaukee "City Of Milwaukee Ward 23" 0 243 41 0 0 0
11 Milwaukee "City Of Milwaukee Ward 24" 0 286 32 0 0 0
11 Milwaukee "City Of Milwaukee Ward 25" 0 563 81 0 0 1
11 Milwaukee "City Of Milwaukee Ward 26" 0 568 83 0 0 1
11 Milwaukee "City Of Milwaukee Ward 27" 0 490 93 0 0 0
11 Milwaukee "City Of Milwaukee Ward 28" 0 192 31 0 0 1
11 Milwaukee "City Of Milwaukee Ward 41" 0 540 52 0 0 0
11 Milwaukee "City Of Milwaukee Ward 43" 0 224 19 0 0 0
11 Milwaukee "City Of Milwaukee Ward 45" 0 730 86 0 0 0
11 Milwaukee "City Of Milwaukee Ward 46" 0 431 39 0 0 0
11 Milwaukee "City Of Milwaukee Ward 47" 0 736 60 0 0 1
11 Milwaukee "City Of Milwaukee Ward 48" 0 364 40 0 0 0
11 Milwaukee "City Of Milwaukee Ward 49" 0 488 52 0 0 1
11 Milwaukee "City Of Milwaukee Ward 50" 0 446 51 0 0 1
11 Milwaukee "City Of Milwaukee Ward 51" 0 445 31 0 0 1
11 Milwaukee "City Of Milwaukee Ward 52" 0 618 46 0 0 1
11 Milwaukee "City Of Milwaukee Ward 53" 0 325 38 0 0 0
12 Milwaukee "City Of Milwaukee Ward 1" 0 947 182 0 0 1
12 Milwaukee "City Of Milwaukee Ward 10" 0 839 261 0 0 3
12 Milwaukee "City Of Milwaukee Ward 2" 0 307 32 0 0 1
12 Milwaukee "City Of Milwaukee Ward 29" 0 290 37 0 0 0
12 Milwaukee "City Of Milwaukee Ward 3" 0 679 124 0 0 0
12 Milwaukee "City Of Milwaukee Ward 30" 0 535 76 0 0 1
12 Milwaukee "City Of Milwaukee Ward 31" 0 569 63 0 0 0
12 Milwaukee "City Of Milwaukee Ward 32" 0 1188 210 0 0 4
12 Milwaukee "City Of Milwaukee Ward 35" 0 566 233 0 0 1
12 Milwaukee "City Of Milwaukee Ward 36" 0 679 83 0 0 3
12 Milwaukee "City Of Milwaukee Ward 37" 0 548 66 0 0 1
12 Milwaukee "City Of Milwaukee Ward 38" 0 474 41 0 0 0
12 Milwaukee "City Of Milwaukee Ward 39" 0 539 103 0 0 1
12 Milwaukee "City Of Milwaukee Ward 4" 0 1195 182 0 0 5
12 Milwaukee "City Of Milwaukee Ward 40" 0 565 42 0 0 0
12 Milwaukee "City Of Milwaukee Ward 42" 0 791 71 0 0 1
12 Milwaukee "City Of Milwaukee Ward 5" 0 646 107 0 0 0
12 Milwaukee "City Of Milwaukee Ward 6" 0 1352 333 0 0 2
12 Milwaukee "City Of Milwaukee Ward 7" 0 377 150 0 0 2
12 Milwaukee "City Of Milwaukee Ward 78" 0 849 136 0 0 4
12 Milwaukee "City Of Milwaukee Ward 79" 0 888 166 0 0 3
12 Milwaukee "City Of Milwaukee Ward 8" 0 1105 326 0 0 4
12 Milwaukee "City Of Milwaukee Ward 80" 0 1025 373 0 0 2
12 Milwaukee "City Of Milwaukee Ward 81" 0 361 239 0 0 4
12 Milwaukee "City Of Milwaukee Ward 9" 0 601 108 0 0 0
12 Milwaukee "City Of Wauwatosa Ward 24" 0 624 373 0 0 0
13 Milwaukee "City Of Milwaukee Ward 208" 0 511 302 0 0 1
13 Milwaukee "City Of Milwaukee Ward 209" 0 433 316 0 0 0
13 Milwaukee "City Of Milwaukee Ward 210" 0 338 336 0 0 0
13 Milwaukee "City Of Milwaukee Ward 211" 0 462 287 0 0 2
