COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cooper Forest DiFiore Pisano
BUNCOMBE 06.1 0 397 88 8 1
BUNCOMBE 07.1 0 510 71 7 2
BUNCOMBE 08.2 0 564 127 14 7
BUNCOMBE 08.3 0 591 107 15 4
BUNCOMBE 09.1 0 837 242 35 10
BUNCOMBE 10.1 0 320 31 7 3
BUNCOMBE 11.1 0 386 44 3 3
BUNCOMBE 12.1 0 547 83 18 2
BUNCOMBE 13.1 0 566 79 13 5
BUNCOMBE 14.2 0 504 79 20 1
BUNCOMBE 14.3 0 223 57 14 3
BUNCOMBE 15.1 0 571 97 12 1
BUNCOMBE 16.2 0 617 92 15 5
BUNCOMBE 17.1 0 449 89 6 1
BUNCOMBE 18.2 0 1358 437 22 5
BUNCOMBE 19.1 0 387 122 7 4
BUNCOMBE 20.1 0 289 41 2 3
BUNCOMBE 21.1 0 700 196 11 4
BUNCOMBE 22.2 0 765 143 6 0
BUNCOMBE 23.2 0 161 38 4 0
BUNCOMBE 23.3 0 242 73 1 1
BUNCOMBE 24.1 0 435 183 12 3
BUNCOMBE 25.1 0 551 176 17 5
BUNCOMBE 26.1 0 412 97 14 1
BUNCOMBE 27.2 0 252 50 2 0
BUNCOMBE 28.1 0 503 47 9 4
BUNCOMBE 29.2 0 949 245 16 3
BUNCOMBE 30.2 0 515 300 23 4
BUNCOMBE 30.3 0 560 353 20 1
BUNCOMBE 31.1 0 395 281 1 0
BUNCOMBE 32.1 0 339 232 12 2
BUNCOMBE 33.2 0 208 144 3 0
BUNCOMBE 33.3 0 294 195 17 5
BUNCOMBE 34.1 0 263 119 5 0
BUNCOMBE 35.1 0 442 142 5 0
BUNCOMBE 36.1 0 269 197 12 1
BUNCOMBE 37.1 0 201 269 7 1
BUNCOMBE 38.2 0 237 200 3 3
BUNCOMBE 38.3 0 431 397 13 6
BUNCOMBE 39.2 0 191 147 10 5
BUNCOMBE 39.3 0 375 230 9 1
BUNCOMBE 40.2 0 498 397 14 7
BUNCOMBE 41.1 0 365 420 16 6
BUNCOMBE 42.1 0 371 253 20 2
BUNCOMBE 43.2 0 256 116 12 5
BUNCOMBE 44.1 0 1134 397 37 8
BUNCOMBE 45.1 0 621 373 42 9
BUNCOMBE 46.1 0 264 147 11 0
BUNCOMBE 47.1 0 485 632 22 13
BUNCOMBE 48.1 0 528 399 18 11
BUNCOMBE 49.1 0 494 664 17 9
BUNCOMBE 50.1 0 204 370 9 0
BUNCOMBE 51.2 0 278 249 4 1
BUNCOMBE 52.1 0 393 350 20 11
BUNCOMBE 53.1 0 336 303 15 3
BUNCOMBE 54.2 0 667 347 20 9
BUNCOMBE 55.1 0 587 284 15 3
BUNCOMBE 56.2 0 455 156 13 3
BUNCOMBE 57.1 0 577 354 8 3
BUNCOMBE 58.1 0 445 166 11 1
BUNCOMBE 59.1 0 751 350 23 5
BUNCOMBE 60.2 0 242 112 5 1
BUNCOMBE 60.4 0 333 143 8 1
BUNCOMBE 61.1 0 520 252 8 3
BUNCOMBE 62.1 0 550 254 16 4
BUNCOMBE 63.1 0 93 145 1 1
BUNCOMBE 64.1 0 273 227 9 5
BUNCOMBE 65.1 0 488 214 12 2
BUNCOMBE 66.1 0 275 126 8 4
BUNCOMBE 67.1 0 514 140 9 1
BUNCOMBE 68.1 0 592 364 22 8
BUNCOMBE 681 0 64 84 5 1
BUNCOMBE 69.1 0 419 279 14 2
BUNCOMBE 70.1 0 693 249 22 6
BUNCOMBE 71.1 0 884 282 12 4
BUNCOMBE ABSENTEE 0 0 0 0 0
BUNCOMBE AVML 0 6278 2310 178 33
BUNCOMBE AVOM 0 3201 3249 88 17
BUNCOMBE BMBL 0 3736 2700 85 14
BUNCOMBE BTFD 0 3060 2497 45 26
BUNCOMBE ECBL 0 3573 4905 93 30
BUNCOMBE FVCC 0 3456 3855 74 26
BUNCOMBE HACC 0 2445 267 37 9
BUNCOMBE LECC 0 1633 3546 47 14
BUNCOMBE LSKY 0 2681 3019 72 15
BUNCOMBE PROVISIONAL 0 0 0 0 0
BUNCOMBE REYV 0 4418 1771 73 16
BUNCOMBE SBBL 0 4731 3851 97 37
BUNCOMBE TCRK 0 3575 2230 63 30
BUNCOMBE TRANSFER 0 0 0 0 0
BUNCOMBE UNCA 0 4361 398 70 13
BUNCOMBE WACC 0 6083 1299 100 26
BUNCOMBE WGSC 0 3997 232 45 15
BUNCOMBE WVTH 0 4486 5691 104 25
BURKE 0001 0 765 1560 13 9
BURKE 0003 0 238 636 5 3
BURKE 0011 0 442 1748 19 7
BURKE 0012 0 201 1288 5 7
BURKE 0013 0 430 1743 14 8
BURKE 0014 0 281 1254 13 9
BURKE 0015 0 270 819 7 2
BURKE 0018 0 152 254 1 2
BURKE 0019 0 183 311 4 1
BURKE 0020 0 358 417 5 1
BURKE 0021 0 365 734 8 5
BURKE 0022 0 384 1042 6 8
BURKE 0024 0 640 1307 21 8
BURKE 0029-A 0 165 682 5 3
BURKE 0029-B 0 228 619 2 4
BURKE 0031 0 971 470 15 9
BURKE 0034 0 846 622 15 2
BURKE 0035 0 647 423 8 6
BURKE 0036 0 435 1022 13 3
BURKE 0038 0 703 938 18 6
BURKE 0039 0 638 600 18 8
BURKE 0040 0 499 795 27 8
BURKE 0047-A 0 781 789 16 2
BURKE 0047-B 0 391 628 9 5
BURKE 0048 0 702 914 16 7
BURKE 0051 0 934 1607 17 4
BURKE 0052 0 318 651 8 8
BURKE 0053 0 388 1178 15 4
BURKE 0062 0 193 451 3 1
BURKE 0064 0 178 438 4 0
BURKE 0065 0 202 622 4 7
BURKE 0066 0 465 1045 14 6
BURKE 0070 0 635 1291 16 6
CABARRUS 01-02 0 121 419 11 3
CABARRUS 01-04 0 233 308 15 3
CABARRUS 01-07 0 88 216 1 0
CABARRUS 01-08 0 212 316 18 3
CABARRUS 01-10 0 133 269 12 1
CABARRUS 01-11 0 132 293 9 2
CABARRUS 02-01 0 115 238 4 2
CABARRUS 02-02 0 213 338 9 6
CABARRUS 02-03 0 233 439 23 6
CABARRUS 02-05 0 165 285 7 1
CABARRUS 02-06 0 215 222 15 7
CABARRUS 02-07 0 130 255 6 0
CABARRUS 02-08 0 316 443 22 7
CABARRUS 02-09 0 281 359 7 5
CABARRUS 03-00 0 183 454 17 6
CABARRUS 04-01 0 178 149 8 4
CABARRUS 04-03 0 179 237 10 6
CABARRUS 04-08 0 90 183 10 3
CABARRUS 04-09 0 144 256 13 4
CABARRUS 04-11 0 181 214 13 2
CABARRUS 04-12 0 323 311 16 6
CABARRUS 04-13 0 220 424 17 3
CABARRUS 05-00 0 96 306 4 1
CABARRUS 06-00 0 85 555 2 3
CABARRUS 07-00 0 46 296 2 1
CABARRUS 08-00 0 91 483 9 2
CABARRUS 09-00 0 79 501 8 3
CABARRUS 10-00 0 196 793 15 10
CABARRUS 11-01 0 361 350 18 5
CABARRUS 11-02 0 124 338 9 2
CABARRUS 12-03 0 112 185 6 2
CABARRUS 12-04 0 149 190 15 6
CABARRUS 12-05 0 124 223 5 1
CABARRUS 12-08 0 106 138 5 5
CABARRUS 12-09 0 132 287 6 4
CABARRUS 12-11 0 120 155 13 1
CABARRUS 12-12 0 124 237 13 2
CABARRUS 12-13 0 370 143 12 4
CABARRUS 12-14 0 191 290 12 1
CABARRUS ABSENTEE 0 14853 6355 305 100
CABARRUS "OS CAE" 0 7750 14841 217 77
CABARRUS "OS HAR" 0 9843 8552 191 63
CABARRUS "OS KTD" 0 6028 7463 145 48
CABARRUS "OS NTP" 0 9420 10166 200 78
CABARRUS PROVISIONAL 0 180 207 9 7
CABARRUS TRANSFER 0 0 0 0 0
CALDWELL ABSENTEE 0 2812 1974 59 21
CALDWELL "OS GRANITE REC" 0 2658 10910 96 33
CALDWELL "OS RESOURCE CENTER" 0 4862 12167 125 46
CALDWELL PR01 0 118 284 7 4
CALDWELL PR02 0 68 201 6 0
CALDWELL PR07 0 66 331 2 2
CALDWELL PR08 0 69 218 1 2
CALDWELL PR13 0 71 395 3 1
CALDWELL PR14 0 56 217 8 1
CALDWELL PR16 0 67 66 2 1
CALDWELL PR17 0 66 127 1 2
CALDWELL PR18 0 79 244 3 3
CALDWELL PR21 0 80 357 5 2
CALDWELL PR22 0 79 343 4 2
CALDWELL PR24 0 44 152 3 3
CALDWELL PR25 0 40 168 2 2
CALDWELL PR29 0 104 191 7 3
CALDWELL PR30 0 113 184 4 2
CALDWELL PR31 0 62 100 0 2
CALDWELL PR32 0 97 388 5 1
CALDWELL PR33 0 129 445 10 4
CALDWELL PR34 0 102 427 10 3
CALDWELL PR35 0 44 244 3 2
CALDWELL PROVISIONAL 0 40 101 2 3
CALDWELL TRANSFER 0 0 0 0 0
CAMDEN ABSENTEE 0 275 242 13 3
CAMDEN CH 0 75 262 11 3
CAMDEN "ONE STOP" 0 1099 2805 38 15
CAMDEN PROVISIONAL 0 5 14 0 0
CAMDEN SH 0 56 323 13 2
CAMDEN SM 0 90 554 12 3
CAMDEN TRANSFER 0 0 0 0 0
CARTERET ABCH 0 322 870 11 2
CARTERET ASCI 0 159 458 2 3
CARTERET BCRK 0 362 1161 8 5
CARTERET BFT1 0 715 498 19 1
CARTERET BFT2 0 1201 1644 20 17
CARTERET BOGU 0 568 1819 24 16
CARTERET CCCP 0 679 1982 22 10
CARTERET DASW 0 111 408 2 0
CARTERET EMIS 0 1123 2058 21 6
CARTERET HAIS 0 184 621 2 1
CARTERET ISPK 0 565 879 9 2
CARTERET MASM 0 166 336 4 1
CARTERET MCRK 0 83 361 3 3
CARTERET MERR 0 150 265 1 0
CARTERET MHD1 0 698 1195 24 5
CARTERET MHD2 0 843 1265 27 10
CARTERET MHD3 0 898 1772 14 6
CARTERET MHD4 0 729 1598 20 6
CARTERET NPT1 0 751 1819 32 7
CARTERET NPT2 0 503 1706 33 19
CARTERET NRIV 0 299 218 5 1
CARTERET OTBEG 0 388 1120 13 4
CARTERET PELE 0 283 809 8 9
CARTERET STEL 0 293 985 21 5
CARTERET WIHA 0 424 1036 13 4
CARTERET WILD 0 796 1806 30 11
CASWELL ANDE 0 206 482 5 2
CASWELL LEAS 0 258 263 4 1
CASWELL LOCU 0 881 676 9 2
CASWELL MILT 0 926 624 7 2
CASWELL PELH 0 761 1460 9 7
CASWELL PH 0 551 896 8 4
CASWELL PROVI 0 238 414 4 2
CASWELL STON 0 597 1139 13 3
CASWELL YANC 0 867 680 10 9
CATAWBA 01 0 521 2299 20 3
CATAWBA 02 0 389 1413 9 5
CATAWBA 03 0 474 1358 19 14
CATAWBA 04 0 314 306 16 2
CATAWBA 05 0 686 1789 21 9
CATAWBA 06 0 604 1347 18 4
CATAWBA 07 0 904 1289 25 14
CATAWBA 08 0 729 1373 15 8
CATAWBA 09 0 354 1641 13 6
CATAWBA 10 0 256 160 7 1
CATAWBA 11 0 386 355 7 3
CATAWBA 12 0 773 241 7 4
CATAWBA 13 0 633 421 11 6
CATAWBA 14 0 646 660 10 5
CATAWBA 15 0 390 30 6 3
CATAWBA 16 0 866 1027 20 12
CATAWBA 17 0 495 686 22 8
CATAWBA 19 0 329 528 9 8
CATAWBA 20 0 685 1866 28 9
CATAWBA 21 0 327 1139 15 4
CATAWBA 22 0 758 1862 26 18
CATAWBA 23 0 1117 2298 32 16
CATAWBA 24 0 923 2332 32 13
CATAWBA 25 0 649 843 16 12
CATAWBA 26 0 733 812 15 1
CATAWBA 27 0 732 2307 33 14
CATAWBA 28 0 798 1472 26 18
CATAWBA 29 0 1055 2500 37 10
CATAWBA 30 0 1191 1612 35 17
CATAWBA 31 0 1056 2919 52 9
CATAWBA 32 0 904 1346 36 8
CATAWBA 33 0 964 2363 25 11
CATAWBA 34 0 1024 2374 22 16
CATAWBA 35 0 810 1328 24 10
CATAWBA 36 0 857 1066 20 6
CATAWBA 37 0 971 1003 30 9
CATAWBA 38 0 959 1442 15 11
CATAWBA 39 0 750 1274 16 6
CATAWBA 40 0 493 671 15 12
CATAWBA 41 0 762 2050 23 6
CHATHAM 15 0 1317 681 11 5
CHATHAM 18 0 713 1195 12 6
CHATHAM 20 0 675 929 19 5
CHATHAM 21 0 697 674 13 2
CHATHAM 24 0 91 560 2 0
CHATHAM 3 0 454 989 9 4
CHATHAM 30 0 685 808 13 1
CHATHAM 42 0 869 969 14 5
CHATHAM 45 0 350 481 11 6
CHATHAM 6 0 126 533 1 0
CHATHAM 75 0 2478 1726 18 5
CHATHAM 78 0 3149 1474 29 7
CHATHAM 85 0 1065 969 20 14
CHATHAM 9 0 369 825 11 3
CHATHAM ESC114 0 1718 1314 19 5
CHATHAM MCH110 0 5690 1979 56 13
CHATHAM NWM117 0 3779 1472 46 8
CHATHAM PIT113 0 3903 2359 60 26
CHEROKEE ANNW 0 271 857 17 5
CHEROKEE ANSW 0 280 817 19 4
CHEROKEE BELL 0 235 726 6 3
CHEROKEE BRAS 0 192 508 9 3
CHEROKEE CSON 0 145 529 8 2
CHEROKEE GCRK 0 53 317 3 0
CHEROKEE HANG 0 86 495 8 2
CHEROKEE HIWA 0 344 1164 17 5
CHEROKEE HOTH 0 228 859 9 4
CHEROKEE MARB 0 209 805 12 1
CHEROKEE MURN 0 456 1090 14 9
CHEROKEE MURS 0 436 1306 19 2
CHEROKEE PCHT 0 378 1279 16 8
CHEROKEE RGER 0 314 981 11 6
CHEROKEE TOPT 0 57 270 0 0
CHEROKEE UNKA 0 88 346 3 5
CHOWAN 1 0 952 491 10 5
CHOWAN 2 0 1168 1216 17 6
CHOWAN 3 0 251 1030 7 2
CHOWAN 4 0 350 332 2 2
CHOWAN 5 0 173 550 3 0
CHOWAN 6 0 505 689 4 0
CLAY BRAS 0 190 453 3 1
CLAY HAY1 0 243 682 5 6
CLAY HAY2 0 314 765 12 9
CLAY HAYC 0 96 237 5 2
CLAY HIAW 0 325 813 14 3
CLAY SHCR 0 178 776 14 5
CLAY SWEE 0 145 414 7 1
CLAY TUSQ 0 134 415 2 4
CLAY WARN 0 136 439 7 3
CLEVELAND BETHWR 0 357 1086 21 8
CLEVELAND BR 0 1102 2534 17 13
CLEVELAND CASAR 0 151 986 8 3
CLEVELAND FALSTN 0 239 982 10 6
CLEVELAND GROVER 0 651 1800 12 7
CLEVELAND KINGST 0 453 245 4 1
CLEVELAND "KM N" 0 1354 2283 32 13
CLEVELAND "KM S" 0 1312 2044 28 8
CLEVELAND LATT 0 513 1590 16 11
CLEVELAND LAWNDL 0 603 739 14 4
CLEVELAND MRB-YO 0 260 927 12 2
CLEVELAND MULLS 0 320 1211 15 2
CLEVELAND OAKGRV 0 661 2138 22 9
CLEVELAND POLKVL 0 409 1481 12 6
CLEVELAND RIPPY 0 934 1841 14 3
CLEVELAND "S 4A" 0 1733 1723 18 8
CLEVELAND "S 5" 0 1038 995 18 2
CLEVELAND "S C" 0 2798 2180 49 11
CLEVELAND "S S" 0 2178 2160 41 14
CLEVELAND SHANGI 0 643 1436 13 7
CLEVELAND WACO 0 840 1650 23 7
COLUMBUS P01A 0 491 678 3 4
COLUMBUS P02B 0 456 270 2 6
COLUMBUS P03 0 103 289 0 0
COLUMBUS P04 0 102 154 1 5
COLUMBUS P05 0 61 253 0 2
COLUMBUS P06 0 168 506 4 2
COLUMBUS P07 0 1103 1049 12 7
COLUMBUS P08 0 28 283 2 0
COLUMBUS P09 0 379 362 5 2
COLUMBUS P10 0 72 553 2 3
COLUMBUS P11 0 146 493 1 0
COLUMBUS P12 0 33 142 0 0
COLUMBUS P13 0 87 383 2 2
COLUMBUS P14 0 1232 1393 12 10
COLUMBUS P15 0 686 909 6 2
COLUMBUS P16B 0 456 770 10 10
COLUMBUS P17 0 534 275 5 3
COLUMBUS P18 0 165 231 1 0
COLUMBUS P19 0 878 801 16 6
COLUMBUS P20A 0 342 201 5 2
COLUMBUS P21 0 311 569 5 0
COLUMBUS P22A 0 504 960 9 1
COLUMBUS P23 0 675 845 9 4
COLUMBUS P24 0 226 1247 3 2
COLUMBUS P25B 0 108 868 8 3
COLUMBUS P26B 0 963 1229 16 8
CRAVEN 02 0 2518 3683 133 40
CRAVEN 03 0 1031 1952 17 5
CRAVEN 05 0 817 1175 21 9
CRAVEN 07 0 761 1114 11 6
