COUNTY AREA TOTAL DEM REP LIB GRN WI1 WI2 WI3 WI4 WI5 WI6
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Boddie Carroll Hoefling Hunter Simmons Wells
Ashtabula "JEFFERSON TWP. 2" 347 81 261 3 0 0 0 0 0 0 0
Ashtabula "JEFFERSON TWP 3" 417 122 282 5 3 0 0 0 0 0 0
Ashtabula "JEFF VILL 1" 363 104 245 8 1 0 0 0 0 0 0
Ashtabula "JEFF VILL 2" 695 237 435 16 1 0 0 0 0 0 0
Ashtabula "JEFF VILL 3" 473 167 293 5 0 0 0 0 0 0 0
Ashtabula "KINGSVILLE TWP. 1" 481 161 306 6 4 0 0 0 0 0 0
Ashtabula "KINGSVILLE TWP. 2" 491 172 307 8 1 0 0 0 0 0 0
Ashtabula "LENOX TWP. 1" 401 96 295 5 0 0 0 0 0 0 0
Ashtabula "LENOX TWP. 2" 387 100 273 5 0 0 0 0 0 0 0
Ashtabula "MONROE TWP. 1" 543 140 382 6 7 0 0 0 0 0 0
Ashtabula "MONROE TWP. 2" 498 118 366 4 2 0 0 0 0 0 0
Ashtabula "ROCK CREEK VILLAGE" 287 93 183 7 0 0 0 0 0 0 0
Ashtabula "MORGAN TWP." 481 124 347 6 2 0 0 0 0 0 0
Ashtabula "NEW LYME TWP." 522 145 366 6 2 0 0 0 0 0 0
Ashtabula "N KINGS VILL 1" 590 243 330 7 2 0 0 0 0 0 0
Ashtabula "N KINGS VILL 2" 737 273 441 8 5 0 0 0 0 0 0
Ashtabula "N KINGS VILL 3" 253 99 149 2 1 0 0 0 0 0 0
Ashtabula "ORWELL TWP." 577 131 429 4 3 0 0 0 0 0 0
Ashtabula "ORWELL VILLAGE" 603 203 386 7 2 0 0 0 0 0 0
Ashtabula "PIERPONT TWP." 532 133 385 7 0 0 0 0 0 0 0
Ashtabula "PLYMOUTH TWP. 1" 418 146 257 8 4 0 0 0 0 0 0
Ashtabula "PLYMOUTH TWP. 2" 750 247 480 12 2 0 0 0 0 0 0
Ashtabula "RICHMOND TWP." 424 99 306 9 4 0 0 0 0 0 0
Ashtabula "ROME TWP." 451 114 329 2 3 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 1" 341 108 226 4 1 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 2" 390 167 212 7 1 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 3" 446 213 216 5 2 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 4" 460 195 255 2 3 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 5" 546 250 281 4 2 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 6" 618 318 282 8 4 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 7" 347 113 229 3 1 0 0 0 0 0 0
Ashtabula "SAYBROOK TWP. 8" 323 132 179 2 2 0 0 0 0 0 0
Ashtabula "SHEFFIELD TWP. 1" 336 113 216 4 0 0 0 0 0 0 0
Ashtabula "SHEFFIELD TWP. 2" 484 127 345 5 4 0 0 0 0 0 0
Ashtabula "TRUMBULL TWP." 812 216 584 5 3 0 0 0 0 0 0
Ashtabula "WAYNE TWP." 285 68 207 3 3 0 0 0 0 0 0
Ashtabula "WMSFLD TWP 1" 298 73 219 3 2 0 0 0 0 0 0
Ashtabula "WMSFLD TWP 2" 401 98 289 5 0 0 0 0 0 0 0
Ashtabula "WINDSOR TWP." 635 181 439 3 1 0 0 0 0 0 0
