DIST COUNTY AREA TOTAL DEM REP LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Lib Other
6 Bay "PCT 11" 0 1282 3173 0 196
6 Bay "PCT 12" 0 1017 2985 0 142
6 Bay "PCT 13" 0 526 1669 0 71
6 Bay "PCT 14" 0 843 2574 0 109
6 Bay "PCT 15" 0 506 2137 0 72
6 Bay "PCT 16" 0 204 1141 0 24
6 Bay "PCT 17" 0 783 2453 0 88
6 Bay "PCT 18" 0 381 1571 0 63
6 Bay "PCT 19" 0 541 955 0 36
6 Bay "PCT 20" 0 317 1069 0 40
6 Bay "PCT 21" 0 744 2746 0 93
6 Bay "PCT 22" 0 789 2356 0 84
6 Bay "PCT 23" 0 1060 2574 0 107
6 Bay "PCT 24" 0 360 889 0 51
6 Bay "PCT 25" 0 402 1380 0 49
6 Bay "PCT 26" 0 486 1610 0 69
6 Bay "PCT 27" 0 682 1733 0 79
6 Bay "PCT 28" 0 531 983 0 49
6 Bay "PCT 29" 0 811 1196 0 72
6 Bay "PCT 3" 0 98 466 0 17
6 Bay "PCT 30" 0 366 553 0 31
6 Bay "PCT 31" 0 1056 1890 0 113
6 Bay "PCT 32" 0 937 183 0 42
6 Bay "PCT 33" 0 759 460 0 46
6 Bay "PCT 34" 0 271 610 0 18
6 Bay "PCT 35" 0 490 1205 0 44
6 Bay "PCT 36" 0 255 375 0 20
6 Bay "PCT 37" 0 886 1314 0 69
6 Bay "PCT 38" 0 356 836 0 38
6 Bay "PCT 39" 0 759 1996 0 86
6 Bay "PCT 4" 0 384 2065 0 84
6 Bay "PCT 40" 0 521 945 0 39
6 Bay "PCT 41" 0 624 1179 0 60
6 Bay "PCT 42" 0 299 747 0 51
6 Bay "PCT 43" 0 433 869 0 44
6 Bay "PCT 44" 0 184 593 0 34
6 Bay "PCT 6" 0 516 2743 0 80
6 Bay "PCT 7" 0 59 232 0 9
6 Bay "PCT 8" 0 652 2127 0 106
6 Bay "PCT 9" 0 748 2063 0 119
7 Franklin "0001 Eastpoint" 0 216 1150 0 88
7 Franklin "0002 Alligator Point" 0 92 240 0 6
7 Franklin "0003 National Guard Armory" 0 609 520 0 71
7 Franklin "0004 Fort Coombs Armory" 0 119 194 0 25
7 Franklin "0005 Carrabelle" 0 286 1058 0 71
7 Franklin "0006 Lanark Village" 0 119 392 0 25
7 Franklin "0007 St. George Island" 0 230 550 0 31
7 Franklin "0008 American Legion" 0 129 634 0 44
7 Gulf "Cape San Blas Fire Station" 0 163 507 0 0
7 Gulf "Centennial Building" 0 162 1175 0 0
7 Gulf "First Pentecostal Church Hall" 0 229 879 0 0
7 Gulf "Highland View Fire Station" 0 58 304 0 0
7 Gulf "Honeyville Community Center" 0 212 1413 0 0
7 Gulf "Howard Creek Fire Station" 0 15 160 0 0
7 Gulf "Overstreet Fire Station" 0 91 416 0 0
7 Gulf "Port St. Joe Fire Station" 0 472 620 0 0
7 Gulf "St. Joe Beach Fire Station" 0 157 687 0 0
7 Gulf "White City Fire Station" 0 28 180 0 0
7 Jefferson 1 0 42 94 0 0
7 Jefferson 10 0 108 165 0 0
7 Jefferson 11 0 63 198 0 0
7 Jefferson 12 0 66 225 0 0
7 Jefferson 13 0 17 48 0 0
