COUNTY AREA TOTAL DEM REP Others
COUNTY AREA TOTAL Bellows Collins Others
PEN PASSADUMKEAG 0 43 142 0
PEN PATTEN 0 95 365 0
PEN "PENOBSCOT NATION VOTING DIST" 0 134 81 1
PEN "PENOBSCOT TWPS" 0 36 87 0
PEN PLYMOUTH 0 106 465 1
PEN "PRENTISS TWP" 0 15 49 0
PEN "SEBOEIS PLT" 0 8 18 0
PEN SPRINGFIELD 0 33 121 0
PEN STACYVILLE 0 32 136 0
PEN STETSON 0 105 450 0
PEN "T5 R7 WELS TWP/T5 R8 WELS TWP/T6 R8 WELS TWP" 0 1 7 0
PEN VEAZIE 0 268 606 0
PEN "WEBSTER PLT" 0 6 12 0
PEN WINN 0 29 123 0
PEN WOODVILLE 0 25 83 0
PIS ABBOT 0 53 282 0
PIS ATKINSON 0 35 124 2
PIS "BARNARD TWP/EBEEMEE TWP (T5 R9 NWP)/T4 R9 NWP TWP/WILLIAMSBURG TWP" 0 18 74 0
PIS "BEAVER COVE" 0 16 70 0
PIS BOWERBANK 0 12 61 0
PIS BROWNVILLE 0 149 374 0
PIS DOVER-FOXCROFT 0 453 1427 0
PIS "ELLIOTTSVILLE TWP" 0 8 7 0
PIS GREENVILLE 0 213 814 0
PIS GUILFORD 0 157 469 1
PIS "KINGSBURY PLT" 0 5 10 0
PIS "LAKE VIEW PLT" 0 16 46 0
PIS MEDFORD 0 24 85 0
PIS MILO 0 232 731 2
PIS MONSON 0 93 287 0
PIS "ORNEVILLE TWP" 0 0 1 0
PIS PARKMAN 0 87 318 0
PIS SANGERVILLE 0 138 451 1
PIS SEBEC 0 66 265 0
PIS SHIRLEY 0 19 111 0
PIS "T1 R9 WELS" 0 13 43 0
PIS "T10 R15 WELS TWP" 0 0 0 0
PIS WELLINGTON 0 38 67 0
PIS WILLIMANTIC 0 17 57 0
SAG ARROWSIC 0 153 170 0
SAG BATH 0 1410 2374 0
SAG BOWDOIN 0 291 1176 6
SAG BOWDOINHAM 0 515 1057 1
SAG GEORGETOWN 0 247 406 0
SAG PHIPPSBURG 0 352 896 0
SAG RICHMOND 0 445 1163 5
SAG TOPSHAM 0 1499 3454 1
SAG "WEST BATH" 0 316 782 0
SAG WOOLWICH 0 438 1237 0
SOM ANSON 0 273 704 0
SOM ATHENS 0 104 288 0
SOM BINGHAM 0 110 339 1
