COUNTY AREA TOTAL DEM REP CON WRI
COUNTY AREA TOTAL Harrison Graham Bledsoe Writein
Berkeley "SANGAREE 1" 741 298 421 22 0
Berkeley "SANGAREE 2" 1101 443 624 34 0
Berkeley "SANGAREE 3" 930 406 498 24 2
Berkeley SHULERVILLE 294 120 167 7 0
Berkeley "ST. STEPHEN 1" 996 828 162 6 0
Berkeley "ST. STEPHEN 2" 1008 534 454 20 0
Berkeley "STRATFORD 1" 987 457 503 26 1
Berkeley "STRATFORD 2" 1554 497 1048 9 0
Berkeley "STRATFORD 3" 1485 668 783 31 3
Berkeley "STRATFORD 4" 1202 515 654 32 1
Berkeley "WASSAMASSAW 1" 816 464 339 13 0
Berkeley "WASSAMASSAW 2" 1823 742 1055 24 2
Berkeley "WESTVIEW 1" 1136 357 767 11 1
Berkeley "WESTVIEW 2" 1287 483 784 18 2
Berkeley "WESTVIEW 3" 1144 394 714 36 0
Berkeley "BEVERLY HILLS" 906 479 409 17 1
Berkeley "HOWE HALL 1" 1535 907 605 23 0
Berkeley "HOWE HALL 2" 765 388 357 19 1
Berkeley "LIBERTY HALL" 1743 972 731 39 1
Berkeley MEDWAY 1786 1028 729 29 0
Berkeley "WHITESVILLE 1" 1463 800 640 23 0
Berkeley "WHITESVILLE 2" 730 364 356 7 3
Berkeley "DANIEL ISLAND 3" 1539 670 865 3 1
Berkeley "DANIEL ISLAND 4" 2357 946 1398 12 1
Berkeley "THE VILLAGE" 1949 667 1262 19 1
Berkeley "YELLOW HOUSE" 2019 913 1079 24 3
Berkeley "CANE BAY" 2204 1012 1141 50 1
Berkeley DISCOVERY 1506 801 659 42 4
Berkeley "FOX BANK" 1807 757 1005 45 0
Berkeley "HANAHAN 5" 954 219 718 16 1
Berkeley MOULTRIE 967 752 210 4 1
Berkeley "OLD 52" 817 317 486 13 1
Berkeley ROYLE 896 370 503 21 2
Berkeley "SEVENTY EIGHT" 1092 510 563 19 0
Berkeley "STONE LAKE" 1099 399 677 22 1
Berkeley "STRATFORD 5" 963 540 407 16 0
Berkeley "WESTVIEW 4" 1182 418 742 19 3
Berkeley "FOSTER CREEK 1" 843 382 447 13 1
Berkeley "FOSTER CREEK 2" 1575 619 930 25 1
Berkeley "FOSTER CREEK 3" 1271 558 688 24 1
Berkeley "HARBOUR LAKE" 1044 727 295 21 1
Berkeley "ST. JAMES" 1061 503 532 25 1
Berkeley "SEDGEFIELD 1" 1131 644 459 25 3
Berkeley "SEDGEFIELD 2" 406 201 192 13 0
Berkeley TRAMWAY 1079 428 621 29 1
Berkeley WEATHERSTONE 1357 663 665 27 2
Berkeley CYPRESS 1390 700 657 31 2
Berkeley "NORTH CREEK" 438 204 225 8 1
Berkeley "BOULDER BLUFF" 1563 887 638 35 3
Berkeley "BUSHY PARK" 38 5 33 0 0
Berkeley "CANE BAY EAST" 1573 594 965 11 3
Berkeley "CANE BAY NORTH" 1197 454 730 13 0
Berkeley "CANE BAY SOUTH" 1377 565 770 41 1
Berkeley COBBLESTONE 935 522 399 14 0
Berkeley Fifty-two 1042 628 401 11 2
Berkeley HORSESHOE 891 391 482 18 0
Berkeley "LIVE OAK" 1098 194 882 21 1
Berkeley "MACEDONIA 2" 138 11 120 6 1
Berkeley NEXTON 1373 563 795 14 1
Berkeley "PINE GROVE" 0 0 0 0 0
Berkeley POMFLANT 0 0 0 0 0
Berkeley "SEDGEFIELD 3" 418 183 228 7 0
Berkeley "WILDCAT TRAIL" 289 115 166 8 0
Berkeley "YEAMAN'S CLUB" 114 37 72 5 0
Berkeley Failsafe 43 20 21 2 0
Berkeley Provisional 130 68 59 3 0
Berkeley "Failsafe Provisional" 74 25 48 1 0
Calhoun Bethel 716 227 477 12 0
Calhoun Cameron 558 288 259 11 0
Calhoun "Center Hill" 880 446 418 15 1
Calhoun Creston 164 72 90 2 0
Calhoun Dixie 1520 1154 351 15 0
Calhoun "Fall Branch" 376 160 204 12 0
Calhoun "Fort Motte" 194 89 100 5 0
Calhoun "Lone Star" 789 351 428 8 2
Calhoun Midway 257 60 196 1 0
Calhoun "Murph Hill" 349 211 134 4 0
Calhoun "Sandy Run" 1284 350 910 23 1
Calhoun "St. Matthews" 1184 550 619 14 1
Calhoun Failsafe 28 15 12 1 0
Calhoun Provisional 0 0 0 0 0
Calhoun "Failsafe Provisional" 5 2 3 0 0
Charleston Awendaw 1115 601 504 10 0
Charleston "Christ Church" 736 377 350 9 0
Charleston "Isle Of Palms 1A" 866 312 551 3 0
Charleston "Isle of Palms 1B" 1172 453 698 19 2
Charleston "Isle of Palms 1C" 1414 496 913 5 0
Charleston "Sullivans Island" 1489 763 718 6 2
Charleston McClellanville 1357 899 445 9 4
Charleston "Deer Park 1A" 894 628 246 19 1
Charleston "Deer Park 1B" 2091 1217 850 23 1
Charleston "Deer Park 2A" 1749 1081 639 26 3
Charleston "Deer Park 2B" 1196 830 350 14 2
Charleston "Deer Park 2C" 795 420 354 20 1
Charleston "Deer Park 3" 1474 1053 401 20 0
Charleston Lincolnville 1434 833 570 29 2
Charleston Ladson 2134 1342 756 34 2
Charleston "Edisto Island" 1335 685 639 11 0
Charleston "Wadmalaw Island 1" 921 540 376 4 1
Charleston "Wadmalaw Island 2" 905 578 319 8 0
Charleston "Kiawah Island" 1618 656 959 2 1
Charleston "Town of Seabrook" 1769 783 980 6 0
Charleston "Folly Beach 1" 754 405 341 8 0
Charleston "Folly Beach 2" 991 484 497 9 1
Charleston "Charleston 1" 640 238 401 0 1
Charleston "Charleston 2" 731 298 430 2 1
Charleston "Charleston 3" 787 435 349 3 0
Charleston "Charleston 4" 631 378 252 1 0
Charleston "Charleston 5" 608 359 247 2 0
Charleston "Charleston 6" 811 512 292 7 0
