COUNTY AREA TOTAL DEM REP Johnson Stein Castle Fox Kotlikoff McMullin
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle Fox Kotlikoff McMullin
HAN "SWANS ISLAND" 254 102 122 13 8 0 0 0 4
HAN "T10 SD TWP" 14 4 10 0 0 0 0 0 0
HAN "T22 MD TWP" 5 0 5 0 0 0 0 0 0
HAN "T3 ND TWP" 6 3 3 0 0 0 0 0 0
HAN "T7 SD TWP" 5 0 0 2 3 0 0 0 0
HAN "T9 SD/T10 SD TWP" 7 2 5 0 0 0 0 0 0
HAN TREMONT 943 477 381 44 19 0 0 0 1
HAN TRENTON 878 398 396 42 15 1 0 0 2
HAN "VERONA ISLAND" 314 122 164 19 2 0 0 0 3
HAN WALTHAM 210 48 141 15 3 0 0 0 1
HAN "WINTER HARBOR" 310 113 153 25 8 0 0 0 0
KEN ALBION 1175 329 716 65 27 1 0 0 2
KEN AUGUSTA 9214 4396 3805 501 192 0 0 0 15
KEN BELGRADE 2049 826 1062 89 18 0 0 0 4
KEN BENTON 1566 544 842 101 20 0 0 0 2
KEN CHELSEA 1527 520 860 63 26 0 0 0 1
KEN CHINA 2516 919 1347 135 42 4 0 0 3
KEN CLINTON 1707 521 1012 86 29 0 0 0 0
KEN FARMINGDALE 1723 773 761 96 32 2 0 0 6
KEN FAYETTE 789 344 373 40 10 2 0 0 2
KEN GARDINER 3120 1446 1361 156 80 0 0 0 6
KEN HALLOWELL 1659 1093 374 71 46 2 0 0 4
KEN LITCHFIELD 2085 701 1156 109 43 1 0 0 11
KEN MANCHESTER 1679 746 769 84 19 0 0 0 0
KEN MONMOUTH 2412 865 1271 166 36 0 0 0 9
KEN "MOUNT VERNON" 1064 458 475 63 27 0 0 0 1
KEN OAKLAND 3596 1442 1715 232 64 0 0 0 11
KEN PITTSTON 1723 577 936 101 29 0 0 0 0
KEN RANDOLPH 1018 426 475 59 18 0 0 0 4
KEN READFIELD 1666 793 710 84 29 1 0 0 4
KEN ROME 622 282 268 28 16 0 0 0 0
KEN SIDNEY 2666 939 1411 160 46 4 0 0 16
KEN VASSALBORO 2480 904 1335 126 34 0 0 0 3
KEN VIENNA 396 157 195 25 8 0 0 0 0
KEN WATERVILLE 7433 4171 2424 412 152 2 0 0 25
KEN WAYNE 815 424 321 42 15 0 0 0 0
KEN "WEST GARDINER" 2209 792 1186 121 41 1 0 0 7
KEN WINDSOR 1388 406 813 90 31 0 0 0 6
KEN WINSLOW 4406 1825 2100 255 68 0 0 0 5
KEN WINTHROP 3708 1683 1602 208 86 0 0 0 12
KNO APPLETON 874 393 396 41 16 0 0 0 3
KNO CAMDEN 3503 2430 802 80 60 0 0 0 8
KNO "CRIEHAVEN TOWNSHIP" 1 1 0 0 0 0 0 0 0
KNO CUSHING 882 372 440 34 12 2 0 0 0
KNO FRIENDSHIP 758 271 425 31 13 1 0 0 0
KNO HOPE 1048 537 418 44 20 0 0 0 3
KNO "ISLE AU HAUT" 66 38 15 3 7 0 0 0 0
KNO "MATINICUS ISLE PLT" 53 33 18 0 0 0 0 0 0
KNO "NORTH HAVEN" 301 189 67 18 11 0 0 0 0
KNO "OWLS HEAD" 1038 496 431 35 36 0 0 0 1
KNO ROCKLAND 3650 2024 1209 147 105 3 0 0 13
KNO ROCKPORT 2362 1381 740 107 35 0 0 0 13
KNO "SAINT GEORGE" 1689 930 621 47 29 2 0 1 6
KNO "SOUTH THOMASTON" 926 445 383 46 13 3 0 0 0
KNO THOMASTON 1516 785 581 63 38 0 0 0 0
KNO UNION 1369 582 665 59 27 0 0 0 5
KNO VINALHAVEN 787 448 249 34 32 0 0 0 0
KNO WARREN 2153 765 1181 109 45 0 0 0 5
KNO WASHINGTON 950 323 507 50 36 0 0 0 4
LIN ALNA 482 262 176 15 14 0 0 0 0
LIN BOOTHBAY 2113 980 899 112 40 0 0 0 2
LIN "BOOTHBAY HARBOR" 1393 729 541 64 22 0 0 0 0
LIN BREMEN 513 282 194 11 6 0 0 0 2
LIN BRISTOL 1894 936 767 73 35 1 0 0 13
LIN DAMARISCOTTA 1372 767 454 70 23 0 0 0 0
LIN DRESDEN 1089 447 513 63 20 1 0 0 5
LIN EDGECOMB 823 422 321 47 14 0 0 0 1
LIN JEFFERSON 1613 548 874 88 40 3 0 0 6
LIN "MONHEGAN ISLAND PLT" 60 40 6 2 9 0 0 0 0
LIN NEWCASTLE 1270 786 380 43 15 1 0 0 3
LIN NOBLEBORO 1176 548 518 45 26 1 0 0 8
LIN SOMERVILLE 346 101 197 29 8 0 0 0 2
LIN "SOUTH BRISTOL" 630 332 229 40 13 0 0 0 0
LIN SOUTHPORT 431 218 179 18 5 0 0 0 0
LIN WALDOBORO 2834 1133 1409 123 46 3 0 0 15
LIN "WESTPORT ISLAND" 516 241 219 29 12 0 0 0 1
LIN WHITEFIELD 1431 605 687 62 38 0 0 0 2
LIN WISCASSET 2251 864 1164 105 39 1 0 0 0
OXF "ALBANY TWP" 315 106 152 33 13 0 0 0 0
OXF ANDOVER 546 195 280 40 13 0 0 0 0
OXF BETHEL 1712 856 678 102 20 0 0 0 0
OXF BROWNFIELD 878 366 428 42 11 0 0 0 3
OXF BUCKFIELD 1112 371 619 58 19 1 0 0 4
OXF BYRON 93 29 52 3 5 0 0 0 0
OXF CANTON 539 152 242 37 76 1 0 0 0
OXF DENMARK 752 285 382 40 21 0 0 0 1
OXF DIXFIELD 1306 415 709 90 24 0 0 0 0
OXF FRYEBURG 1833 810 768 134 38 1 0 0 2
OXF GILEAD 118 42 62 10 2 0 0 0 0
OXF GREENWOOD 474 213 211 27 7 0 0 0 0
OXF HANOVER 189 84 85 11 5 0 0 0 0
OXF HARTFORD 655 206 378 43 10 0 0 0 0
OXF HEBRON 753 249 397 74 10 2 0 0 1
OXF HIRAM 857 312 442 49 19 0 0 0 1
OXF "LINCOLN PLT" 29 8 17 1 0 0 0 1 2
OXF LOVELL 716 313 335 44 8 0 0 0 0
OXF "MAGALLOWAY PLT" 18 2 15 0 0 0 0 0 0
OXF MEXICO 1362 544 647 85 28 0 0 0 2
OXF "MILTON TWP" 88 26 53 4 2 0 0 0 0
OXF NEWRY 282 136 109 14 10 0 0 0 1
OXF NORWAY 2693 1056 1313 152 36 8 0 0 13
OXF OTISFIELD 1094 423 560 60 22 0 0 0 0
OXF OXFORD 2230 694 1270 150 39 1 0 0 6
OXF PARIS 2752 1034 1372 177 55 2 0 0 14
OXF PERU 978 321 547 63 10 0 0 0 15
OXF PORTER 822 270 462 48 10 3 0 0 4
OXF ROXBURY 249 76 143 17 4 0 0 0 0
OXF RUMFORD 2924 1137 1400 182 67 1 0 0 6
OXF STONEHAM 176 77 89 5 0 0 0 0 1
OXF STOW 227 97 98 15 3 0 0 0 0
OXF SUMNER 559 187 299 28 13 0 0 0 3
OXF SWEDEN 256 115 116 14 3 0 0 0 0
OXF UPTON 60 13 39 3 1 0 0 0 0
OXF WATERFORD 947 338 493 59 20 0 0 0 0
OXF "WEST PARIS" 1015 340 544 77 21 0 0 0 2
OXF WOODSTOCK 796 274 404 54 16 0 0 0 11
PEN ALTON 473 153 273 33 5 0 0 0 0
PEN "ARGYLE TOWNSHIP" 86 34 47 2 1 0 0 0 0
PEN BANGOR 15912 8155 6001 868 310 5 0 1 84
PEN BRADFORD 679 185 442 26 8 0 0 0 0
PEN BRADLEY 834 335 411 42 15 0 0 0 0
PEN BREWER 5304 2165 2585 302 92 0 0 0 0
PEN BURLINGTON 194 41 131 10 6 0 0 0 0
PEN CARMEL 1632 459 1019 79 20 0 0 0 0
PEN "CARROLL PLT" 95 17 72 2 3 0 0 0 0
PEN CHARLESTON 716 140 532 20 9 0 0 0 1
PEN CHESTER 332 65 244 14 4 0 0 0 1
PEN CLIFTON 518 170 293 30 11 1 0 0 1
PEN CORINNA 1161 304 738 61 22 0 0 0 5
PEN CORINTH 1531 368 1057 60 9 0 0 0 6
PEN DEXTER 1829 572 1062 103 38 0 0 0 0
PEN DIXMONT 746 232 431 31 20 0 0 0 2
PEN "DREW PLT" 24 3 20 1 0 0 0 0 0
PEN "EAST MILLINOCKET" 950 373 494 37 17 0 0 0 0
PEN EDDINGTON 1367 444 784 86 20 0 0 0 0
PEN EDINBURG 75 26 47 0 1 0 0 0 0
PEN ENFIELD 853 259 493 56 9 0 0 0 0
PEN ETNA 657 198 385 35 16 0 0 2 0
PEN EXETER 550 177 330 28 6 0 0 0 1
PEN GARLAND 577 167 344 34 7 4 0 0 0
PEN GLENBURN 2606 933 1411 143 34 3 0 0 10
PEN "GRAND FALLS TOWNSHIP" 7 1 2 2 2 0 0 0 0
PEN GREENBUSH 709 185 440 45 12 3 0 0 0
PEN "GRINDSTONE/HERSEYTOWN/SOLDIERTOWN TWP" 25 4 18 2 0 0 0 0 0
PEN HAMPDEN 4532 1929 2103 272 74 2 0 0 21
PEN HERMON 3588 1101 2170 171 35 1 0 0 17
PEN "HERSEYTOWN TWP" 15 0 13 1 1 0 0 0 0
PEN HOLDEN 2050 719 1123 102 36 1 0 0 10
PEN HOWLAND 698 248 387 28 6 1 0 0 4
PEN HUDSON 758 194 490 38 12 0 0 0 1
PEN KENDUSKEAG 742 202 461 45 17 0 0 0 0
PEN "KINGMAN TWP" 71 16 53 1 0 0 0 0 0
PEN LAGRANGE 370 112 237 9 4 0 0 0 0
PEN LAKEVILLE 59 18 32 6 0 3 0 0 0
PEN LEE 534 137 358 11 8 3 0 0 0
PEN LEVANT 1595 424 1025 74 15 0 0 0 13
PEN LINCOLN 2533 704 1574 124 39 0 0 0 3
PEN LOWELL 232 61 155 4 9 0 0 0 1
PEN "MATTAMISCONTIS TOWNSHIP" 42 1 40 1 0 0 0 0 0
PEN MATTAWAMKEAG 362 105 222 17 7 0 0 0 1
PEN MAXFIELD 58 17 36 3 2 0 0 0 0
PEN MEDWAY 751 193 508 23 7 0 6 0 0
PEN MILFORD 1780 783 809 109 31 0 0 0 0
PEN MILLINOCKET 2285 913 1161 101 32 0 0 0 0
PEN "MILLINOCKET PENOBSCOT TOWNSHIPS" 136 62 63 4 1 0 0 0 0
PEN "MOUNT CHASE" 107 23 71 4 2 0 0 0 0
PEN NEWBURGH 966 328 546 41 14 0 0 0 3
PEN NEWPORT 1770 576 1026 86 31 0 0 0 10
PEN "OLD TOWN" 4015 2029 1514 245 90 0 0 0 9
PEN ORONO 5556 3420 1445 364 115 0 0 0 21
PEN ORRINGTON 2415 869 1313 131 38 0 0 0 9
PEN PASSADUMKEAG 224 37 165 10 3 0 0 0 1
PEN PATTEN 511 138 322 20 7 0 0 0 1
PEN "PENOBSCOT NATION VOTING DISTRICT" 284 198 43 10 20 0 0 0 0
PEN PLYMOUTH 748 184 484 42 11 0 0 0 3
PEN "PRENTISS TWP" 98 18 70 1 2 0 0 0 0
PEN "SEBOEIS PLT" 35 15 19 0 0 0 0 0 0
PEN SPRINGFIELD 178 34 130 7 1 0 0 0 0
PEN STACYVILLE 199 35 148 3 5 0 0 0 0
PEN STETSON 732 206 433 52 17 0 0 0 1
PEN "T5 R7 TWP/T5 R8 TWP/T6 R8 TWPS" 12 4 8 0 0 0 0 0 0
PEN VEAZIE 1168 556 483 53 24 0 0 0 10
PEN "WEBSTER PLT" 32 5 26 1 0 0 0 0 0
PEN WINN 201 36 151 4 3 0 0 0 0
PEN WOODVILLE 131 23 99 7 1 0 0 0 0
PIS ABBOT 408 101 255 31 10 0 0 0 0
PIS ATKINSON 188 50 120 10 1 0 0 0 1
PIS "BARNARD TWP/EBEEMEE TWP/T4 R9 NWP/WILLIAMSBURG TWP" 104 32 55 11 2 0 0 0 0
PIS "BEAVER COVE" 101 37 58 4 0 0 0 0 1
PIS BOWERBANK 93 25 60 3 0 0 0 0 0
PIS BROWNVILLE 611 211 332 37 13 1 0 0 5
PIS DOVER-FOXCROFT 2176 789 1138 111 58 1 0 0 12
PIS "ELLIOTTSVILLE TWP" 16 7 6 1 1 0 0 0 0
PIS GREENVILLE 1128 407 625 41 11 0 0 0 0
PIS GUILFORD 702 222 401 32 20 1 0 0 1
PIS "KINGSBURY PLT" 19 9 9 1 0 0 0 0 0
PIS "LAKE VIEW PLT" 73 33 39 0 0 0 0 0 0
PIS MEDFORD 152 44 96 5 3 0 0 0 0
PIS "MILLINOCKET PISCATAQUS TOWNSHIPS" 67 14 52 0 0 0 0 0 0
PIS MILO 1239 385 696 55 22 0 0 0 6
PIS MONSON 458 159 255 17 10 0 0 0 0
PIS PARKMAN 498 151 283 38 3 1 0 0 3
PIS SANGERVILLE 731 209 455 32 16 0 0 0 0
PIS SEBEC 395 102 257 18 6 0 0 0 0
PIS SHIRLEY 150 43 93 8 1 0 0 0 0
PIS "T10 R15 WELS" 1 0 1 0 0 0 0 0 0
PIS WELLINGTON 120 48 62 5 2 0 0 0 0
PIS WILLIMANTIC 88 20 58 4 0 0 0 0 2
SAG ARROWSIC 351 222 98 9 10 0 0 0 0
SAG BATH 4823 2717 1571 252 115 2 0 0 3
SAG BOWDOIN 1764 589 1007 81 21 3 0 0 9
SAG BOWDOINHAM 1885 876 803 109 41 1 0 0 4
SAG GEORGETOWN 769 402 281 29 32 0 0 0 0
SAG PHIPPSBURG 1440 617 692 67 27 0 0 0 0
SAG RICHMOND 1939 733 961 115 53 0 0 0 0
SAG TOPSHAM 6105 3109 2328 354 91 0 0 1 6
SAG "WEST BATH" 1257 572 562 51 20 1 0 0 0
SAG WOOLWICH 2023 827 1001 111 26 0 0 0 4
SOM ANSON 1175 360 705 57 20 2 0 0 0
SOM ATHENS 501 160 275 32 13 0 0 0 0
SOM BINGHAM 544 191 302 16 14 0 0 0 0
SOM "BRIGHTON PLT" 49 12 32 2 2 0 0 0 0
SOM CAMBRIDGE 269 65 173 18 5 0 0 0 0
SOM CANAAN 1156 362 647 78 27 0 0 0 3
SOM CARATUNK 50 27 23 0 0 0 0 0 0
SOM "CONCORD TOWNSHIP" 3 0 3 0 0 0 0 0 0
SOM CORNVILLE 732 251 410 36 16 0 0 0 0
SOM "DENNISTOWN PLT" 26 5 19 0 0 0 0 0 0
SOM DETROIT 415 147 228 19 10 0 0 0 0
SOM EMBDEN 535 167 322 23 10 0 0 0 2
SOM FAIRFIELD 3382 1250 1745 206 56 0 0 0 12
SOM HARMONY 493 154 293 17 6 0 0 0 2
SOM HARTLAND 888 222 600 37 9 1 0 0 2
SOM "HIGHLAND PLT" 118 33 70 5 5 0 0 0 0
SOM JACKMAN 544 121 376 20 5 3 0 0 0
SOM "LEXINGTON TWP/SPRING LAKE TWP" 21 4 14 2 1 0 0 0 0
SOM MADISON 2306 813 1262 107 30 1 0 0 7
SOM MERCER 424 158 225 16 8 0 0 0 1
SOM "MOOSE RIVER" 119 15 94 5 1 0 0 0 0
SOM MOSCOW 263 88 155 3 8 0 0 0 0
SOM "NEW PORTLAND" 442 153 226 29 19 0 0 0 2
SOM NORRIDGEWOCK 1840 636 1022 92 32 1 0 0 5
SOM PALMYRA 1089 309 681 54 20 0 0 0 8
SOM PITTSFIELD 1980 670 1072 126 40 0 0 0 19
SOM "PLEASANT RIDGE PLT" 51 11 33 4 0 0 0 0 1
SOM RIPLEY 269 72 155 12 21 0 0 0 0
SOM "ROCKWOOD STRIP TWP" 224 57 156 4 1 0 0 0 0
SOM "SAINT ALBANS" 1163 282 768 52 27 0 0 0 7
SOM SKOWHEGAN 4155 1674 2046 211 67 0 0 0 4
SOM SMITHFIELD 624 244 319 29 13 0 0 0 0
SOM SOLON 607 233 316 22 16 1 0 0 1
SOM STARKS 357 122 182 15 14 1 0 0 7
SOM "THE FORKS PLT" 44 9 21 10 0 0 0 0 0
SOM "WEST FORKS PLT" 49 15 31 3 0 0 0 0 0
WAL BELFAST 3998 2351 1241 177 100 0 0 0 7
WAL BELMONT 577 225 281 35 12 0 0 0 3
WAL BROOKS 581 207 298 32 21 0 0 0 7
WAL BURNHAM 689 213 404 35 13 0 0 0 1
WAL FRANKFORT 671 220 381 34 14 0 0 0 2
WAL FREEDOM 440 172 209 32 12 0 0 0 1
WAL ISLESBORO 430 280 116 14 9 0 0 0 0
WAL JACKSON 334 104 189 20 6 0 0 0 2
WAL KNOX 459 131 281 23 9 0 0 0 1
WAL LIBERTY 566 233 267 31 13 1 0 0 1
WAL LINCOLNVILLE 1574 883 510 78 43 0 0 0 3
WAL MONROE 561 247 246 32 17 0 0 0 1
WAL MONTVILLE 647 288 279 28 30 0 0 0 2
WAL MORRILL 551 192 296 29 6 1 0 0 3
